"filename","nome","titolo","anno","chunk","DIL"
"Muzzi_Salvatore-Cento_novelline_morali_raccolte_da_S_Muzzi-1849","Muzzi Salvatore","Cento novelline morali raccolte da S Muzzi","1849","CENTO NOVELLINE MORALI RACCOLTE DA S. MUZZI E CENTO BREVI RACCONTI DEL SIG. SCHMID AI LETTORI Si trovano a centinaja i libri di novelline morali intitolate ai fanciulli, e forse non avvene un solo che possa dirsi intieramente per la piccola età; poichè vi si scontrano alcuni difetti, i quali però, appena avvertiti, di leggieri si to'gono.","NO"
"Muzzi_Salvatore-Cento_novelline_morali_raccolte_da_S_Muzzi-1849","Muzzi Salvatore","Cento novelline morali raccolte da S Muzzi","1849","Alle Novelline morali sono spesso frammiste delle favole: e il fanciullo che scorge inverisimili queste, entra in sospetto sulla possibilità di quelle. Altre volte sono narrate cose si lievi e scipite, che la mente puerile rimane vuota di bene, e il cuore non si informa a virtù. Sovente poi s' insegna la morale sulla punizione del ma'vagio, e così i fanciulli, prima di imparar rettitudine, apprendono le arti funeste del delitto.","NO"
"Muzzi_Salvatore-Cento_novelline_morali_raccolte_da_S_Muzzi-1849","Muzzi Salvatore","Cento novelline morali raccolte da S Muzzi","1849","In questo mio libricciuolo ho studioto di non urtare in codesti tre scogli; perciò le storielle vi sono tutte verisimili e di qualche importanza, avendo pro curato ad un tempo che la morale vi sia positiva, cioè insegnata sull' escmpio della virtù. I primi cinquanta racconti, che qui trovate, non tutti mi appartengono per invenzione, ma sono tutti dettati da me; e vi ha tanta semplicità e brevità, che i più piccoli fanciulli gl intendono, e spesso ancora (siccome feci sperienza) li possono scrivere a memoria. Gli uttimi cinquanta furono scelti e tradotti da me sui molti originali francesi del benemerito canonico Schmid.","NO"
"Muzzi_Salvatore-Cento_novelline_morali_raccolte_da_S_Muzzi-1849","Muzzi Salvatore","Cento novelline morali raccolte da S Muzzi","1849","Negli uni e negli altri vorrei aver soddisfatto alle condizioni sunnominate: e qualora mancassi in proprietà e semplicità di lingua, o in quanto all'ordine che potesse tornare il migliore, o perchè inoltre fossi caduto in inganno, deh! venga alcuno che mi corregga, ed io saprogliene grado, tenendomi abbastanza contento di avere aperto una via non forse tenuta nell' educare la mente il cuore dei piccoli fanciulli. SALVATORE Muzzt NOVELLE ORIGINALI NOVELLA 1.","NO"
"Muzzi_Salvatore-Cento_novelline_morali_raccolte_da_S_Muzzi-1849","Muzzi Salvatore","Cento novelline morali raccolte da S Muzzi","1849","IL BUON FRATELLINO Carluccio aveva avuto da suo zio un bellissimo pomo. Appena giunto a casa disse a Caterina, sua sorella: «¡Guarda il bel pomo! Vicni; e mangiamolo insieme >> << Se fosse più grande », rispose la sarella, << allora lo potremmo dividere; ma così piccolo com'è, mangialo pure tu solo >>-<< Tant' è » soggiunse Carluccio, « mangiamolo insieme, e così mi sembrerà più saporito ».","NO"
"Muzzi_Salvatore-Cento_novelline_morali_raccolte_da_S_Muzzi-1849","Muzzi Salvatore","Cento novelline morali raccolte da S Muzzi","1849","2. LA BUONA FIGLIUOLINA Una povera fanciullina raccoglieva delle mammole presso una siepe, e ne faceva un mazzolino. Passò frattanto un giovine, e le disse: « dammi quel mazzolino e ti do un bajocco >>-<< Non posso >>, rispose la bambina, « lo compongo per Ja mamma, che oggi è la sua festa ».","NO"
"Muzzi_Salvatore-Cento_novelline_morali_raccolte_da_S_Muzzi-1849","Muzzi Salvatore","Cento novelline morali raccolte da S Muzzi","1849","« Ti do due haiocchi », prosegui l' altro. << No!» -«Te ne do tre ». - « L'ho destinato alla mamma, e nol darei per uno scudo ».- Il giovine allora ammirò questa buona figliuola, le donò un mezzo paolo, e le lasciò il mazzolino delle mammoline.","NO"
"Muzzi_Salvatore-Cento_novelline_morali_raccolte_da_S_Muzzi-1849","Muzzi Salvatore","Cento novelline morali raccolte da S Muzzi","1849","LA TENTAZIONE VINTA Un fanciullo entrò in casa d' un suo amico per invitarlo seco a spasso. In sala non vide nossuno; e trovò sulla tavola un canestro di pere. << Oh le belle pere », sclamò, « potrei mangiarmene una!","NO"
"Muzzi_Salvatore-Cento_novelline_morali_raccolte_da_S_Muzzi-1849","Muzzi Salvatore","Cento novelline morali raccolte da S Muzzi","1849","qui nessuno mi vede.... Come! non vì è Dio ? » - e così dicendo partiva.","YES"
"Muzzi_Salvatore-Cento_novelline_morali_raccolte_da_S_Muzzi-1849","Muzzi Salvatore","Cento novelline morali raccolte da S Muzzi","1849","Ma un vecchio, che stava nascosto dietro una stufa, uscì, e gli disse: << Bravo il mio ragazzo; tu hai vinto la tentazione della gola, e ti meriti lode. Prondi il canestro; te lo regalo, e ti esorto a pensar sempre che Dio ti vede ». 4.4.","NO"
