"filename","nome","titolo","anno","chunk","DIL"
"Nievo_Ippolito-Il_barone_di_Nicastro-1860","Nievo Ippolito","Il barone di Nicastro","1860","﻿IL BARONE DI NICASTRO Or fa un secolo, scriveva Giangiacomo essere la Corsica il paese più vergine d’Europa. Ma dappoi l’eredità di un tale privilegio, toltole ladramente dai Francesi, fu adita col benefizio dell’inventario dalla sorella Sardegna; e forse sperò costei d’invogliare così gli sposatori, che solamente adesso cominciano a inuzzolirle dintorno.","NO"
"Nievo_Ippolito-Il_barone_di_Nicastro-1860","Nievo Ippolito","Il barone di Nicastro","1860","Peraltro ai tempi di cui parlo, la verginità della Sardegna non correva ancora di tali pericoli; anzi da Cagliari a Sassari la sua prole irrequieta, viveva allo scuro come un devoto uditorio sotto il tendone del predicatore, credeva a Dio, ad alcuni Santi, e a tutte le streghe della tragedia, e s’accoltellava con rara semplicità senza dar di sè contezza o desiderio al parentado oltremarino. - Notate che io non parlo del secolo passato, ma solo di nove o dieci anni addietro. Eppure come la Trinacria Ciclopica allo sbarco d’Ulisse, ed Otahiti all’arrivo di Cook e il Giappone oggidì, era la Sardegna a que’ tempi - Tempi beati!","NO"
"Nievo_Ippolito-Il_barone_di_Nicastro-1860","Nievo Ippolito","Il barone di Nicastro","1860","… … … … … … … … … Per l’appunto allora nella più selvatica Giudicaria dell’isola viveva il barone Camillo di Nicastro; viveva, in barba ai dolcissimi tempi, tutt’altro che beato. Il suo castello per la qualità del paese era grande e magnifico; le torricelle non gli pencolavano addosso con troppo amore, nè i colombi temevano di posare sulle grondaie; la scala aveva quasi tutti i suoi gradini, e due sole finestre perdevano le imposte; del resto tutti i boschi, tutte le montagne, tutti i seminati che si scoprivano dal più alto abbaino ingrassavano la Baronia di Nicastro, e gli avi remoti o per avarizia o per orgoglio, o per accidia aveano legato al loro ultimo rampollo un cassone pieno raso di belle monete; di quelle gialle che non patiscono ruggine o vecchiaia.","NO"
"Nievo_Ippolito-Il_barone_di_Nicastro-1860","Nievo Ippolito","Il barone di Nicastro","1860","Finalmente l’albero, o meglio la selva genealogica, che copriva dei suoi rami a spalliera tutte le pareti della sala, faceva malleveria dei sessantaquattro quarti di questo prezioso rampollo; il che voleva dire, che circa duecento anni addietro, sessantaquattro parrucconi d’ambo i sessi erano abbassati a una certa funzione plebea per condensare le loro esimie virtù in trentadue figli o figliuole, e questi in sedici nipoti, e questi in otto pronipoti, e questi in quattro tra figli e figliuole di pronipoti, e questi in due nipoti di pronipoti, e questi da ultimo nel pronipote dei pronipoti, cioè nel Barone Camillo; il quale raccoglieva in sè lo stillicidio vitale di centoventisei tra Baroni e Baronesse, se non isbaglio; ma fate voi la prova della somma, poichè la parte aritmetica dell’anima mia risiede nelle dita, e non me ne fido gran fatto. Contuttociò, lo ripeto, il Barone non era felice, e gli stessi antenati, che per fabbricarlo squisitamente aveano speso tanti sudori, erano la cagione de’ suoi sospiri. Figuratevi che lo stemma dei Nicastro era una bilancia in campo rosso col motto cabalistico: Pensare e pesare: alle quali parole uno stregone d’un trisarcavolo aveva accomodato un suo giudizio, che nessuno della famiglia potesse immischiarsi mai nelle cose degli uomini prima di averne cercato e conosciuto il valore.","NO"
"Nievo_Ippolito-Il_barone_di_Nicastro-1860","Nievo Ippolito","Il barone di Nicastro","1860","E tutti di padre in figlio avevano obbedito rigidamente alla sentenza gentilizia; sicchè tutti erano morti nel loro nicchio proprio mentre si credevano vicini a toccare le ardue sommità di quella scienza. Non saprei dir pel sottile a quali conclusioni fosse giunto ognuno degli antenati del nostro Barone, quando la morte veniva a conchiudere le loro conclusioni; soltanto posso affermare, che il bisavolo parteggiava per Democrito, e rideva di cuore quando capitò il becchino ad annunziargli l’ora della partenza: che l’avo invece s’attenne ad Eraclito vivendo per modo che dopo morto parve meno lunatico di prima, e che il padre s’accommiatò da questo mondo recitando il Rosario con pace 2 serena. Ma già da qualche tempo il devoto infermo e il vecchio pedagogo erano iti ai cavoli, allorchè il Barone Camillo, orfano di padre e di madre a quindici anni, si chiuse nella Biblioteca di famiglia a rifar l’opera de’ suoi predecessori.","NO"
"Nievo_Ippolito-Il_barone_di_Nicastro-1860","Nievo Ippolito","Il barone di Nicastro","1860","«Studiar il valor degli uomini e delle cose!… pensava il giovine romito, vedendo fisarsi in lui dai profondi scaffali l’occhio vitreo e miscredente dei morti scrittori; converrebbe aver tra mano le anime non i libri!… pure anche il notomista cerca nei cadaveri la scienza della vita, e cosa son altro i libri se non le reliquie degli spiriti?»… Smoccolò la lucerna e senz’altro si diede a leggere. Solo toccati i ventiquattro anni intromise due giorni quello studio per disposarsi secondo lo stile de’ suoi maggiori ad una donzella appena slattata dalle Salesiane che a sua volta contava sessantaquattro quarti abbondanti di nobiltà, e coll’aiuto della quale sperava rendere ad un figliuol maschio l’egregio favore a lui reso dai due genitori, dai quattro nonni, dagli otto bisnonni, ecc., ecc. - Ma un tale svagamento non durò a lungo, e dopo il banchetto nuziale tornò nella biblioteca; e là stette altri sette anni finchè la moglie dilettissima ebbe a morire di noia, e a lui toccò accompagnarla alla Chiesa, e tornarvi l’ottava seguente per l’Uffizio di commemorazione.","YES"
"Nievo_Ippolito-Il_barone_di_Nicastro-1860","Nievo Ippolito","Il barone di Nicastro","1860","«Peccato! mormorava il filosofo - mi riempì gli armadii di calze e non fu capace di mettermi un bimbo nella cuna!…» Tuttavia la colpa di tale ommissione cadeva più nel Barone che nella Baronessa; perocchè ligio come egli era più assai degli stessi antenati al senso filosofico-morale del suo motto araldico, si smemorava troppo sovente di certi altri doveri. Ciò nullameno la funebre interruzione non gli vietò di tornare all’opera con miglior lena; e tanto si diede fretta per non essere burlato come tutti gli altri, che nel giorno appunto che compiva i quarant’anni potè alzarsi dallo scrittoio e spalancar la finestra dicendo: Ho finito!","YES"
"Nievo_Ippolito-Il_barone_di_Nicastro-1860","Nievo Ippolito","Il barone di Nicastro","1860","- Povero filosofo!… prima di cominciare credeva sul serio di aver finito! … - Ma come poi aveva finito?… Col ficcarsi appunto in capo la fede più santa, più generosa che mai santificasse cranio di barone!… col creder che la virtù basti per conforto, per alimento, per premio a sè stessa; ch’essa sia il sommo onore, la somma felicità, la somma gloria, il sommo bene che regola il valore delle cose e degli uomini!… Tale opinione, lo confesso, fu comperata assai a buon mercato con venticinque anni di studio e di prigionia; nè fu piccola in ciò la ventura del Barone. Ma gli sovvenne allora d’una tradizione gentilizia, che a qualunque primogenito, prima di abbandonare il castello di Nicastro, imponeva l’obbligo di leggere le pergamene d’una scansia inchiodata fra due travi del soffitto.","YES"
"Nievo_Ippolito-Il_barone_di_Nicastro-1860","Nievo Ippolito","Il barone di Nicastro","1860","Richiuse dunque la finestra, appoggiò una scala a piuoli al misterioso ripostiglio e salì con gran batticuore, fermandosi ad ogni gradino. Finalmente la chiave rugginosa girò stridendo nella toppa e la scansia s’aperse ch’era piena di polvere: ma per cercar che facesse della mano per entro a quel buio non palpava altro che polvere; tuttavia dopo molto frugare eccoti che due delle sue dita si addentrano in un buco ad abbrancare una coda di pergamena; e in quel momento una nebbia sì fitta gli corse dinanzi agli occhi, che per poco rovinando da quella sommità non ebbe a finire come aveano finito tutti gli altri di sua casa. Se nonchè si riebbe per uno sforzo di curiosità, e gettò lo sguardo su quel cencio di pelle che gli si impigliava tra le dita.","NO"
"Nievo_Ippolito-Il_barone_di_Nicastro-1860","Nievo Ippolito","Il barone di Nicastro","1860","«Ecco la gratitudine dei sorci! brontolò il Barone scendendo un piuolo; - io li lascio vagare senza sospetto di trappole per le dispense e pei granai, ed essi si spassano a rosicchiare il più gran tesoro di mia casa.» E scese un altro piuolo; ma mentre s’apprestava a calare sul terzo, ecco l’occhio corrergli quasi involontario al titolo di quello strano documento. Non si ricordò più dove si fosse, non vide, nè il pavimento, nè il soffitto, nè la scala; sedette senza accorgersene su quel secondo gradino, e quanta conoscenza aveva di numismatica, di ermeneutica e di paleografia, tutta la costrinse nel rilevare il pieno concetto di quella scrittura dagli sgorbii sconnessi e rosicchiati che la componevano.","YES"
