"filename","nome","titolo","anno","chunk","DIL"
"Nievo_Ippolito-Il_conte_pecoraio-1857","Nievo Ippolito","Il conte pecoraio","1857","Un bel paesino guarda nel mezzano Friuli1 lo sbocco d'una di quelle forre, che dividono il parlare italico dallo slavo; ma quanto le montagne gli si radunano da tergo aspre e aggrottate, altrettanto esso ride tutto aperto e pampinoso incontro al sole che lo vagheggia dall'alba al tramonto anche nelle giornate piú avare del verno. Pronunciare cosí di botto le tre dolci sillabe del suo nome, sarebbe come innamorarvene addirittura, e togliere a me scrittore il merito di un tal trionfo; onde, lettori garbati, accontentatevi di sapere per ora, come lo divida per mezzo il torrente Cornapo, nato poche miglia piú sopra tra le prime vedette del grande accampamento slavo. A destra si digrada per poggi e valloncelli un giardino intrecciato di castagneti e di vigne; e sembra che il Pittore eterno, compiaciutosi troppo di quella parte del quadro, ne abbia poi sbozzato affrettatamente le altre, dove le nude rocce si drizzano, si storcono, e precipitano nel torrente in atteggiamenti orribili e mostruosi.","NO"
"Nievo_Ippolito-Il_conte_pecoraio-1857","Nievo Ippolito","Il conte pecoraio","1857","Ciò nullameno sulla riva sinistra torreggia anche adesso un vasto caseggiato, che raccoglie gli aspetti di palazzo e di fattoria; e dietro di esso fino ad alcune rovinose merlature feudali s'inerpica un bosco di castagni confitto e saldato su quei greppi dalla solerte mano di molte generazioni. Quel caseggiato poi, per quanto, conosciuto dappresso, abbia viso piú d'un villan rifatto che d'un rigido guerriero o d'un parruccone patrizio, ha redatto dalle soprastanti rovine il titolo di castello, per quel sottile buon senso delle lingue volgari, che mirando al fondo delle cose o, come esso dice, alla morale della favola, imbercia sempre nel vero. Cosí i contadini che veggono stare lassú l'oracolo padronale, e scenderne gli assoluti comandi, e salirvi le migliori derrate, non si sbracciano con noi poetuzzi a cantare le esequie dei diritti feudali; ma se per sorte cade loro dalle labbra il nome dei Conti, lo sventolano tosto con una levata e mezzo di cappello; e se all'indomani si affiggesse un bando per ristorare i privilegi magnatizi, sarebbe piú assai la meraviglia che lo sgomento.","NO"
"Nievo_Ippolito-Il_conte_pecoraio-1857","Nievo Ippolito","Il conte pecoraio","1857","Infatti le casicciuole paesane stanno ancora rannicchiate qua e là, per le falde del monte, come i pulcini sotto la siepe quando il volo del falco s'arrotonda poco lontano; e se taluna alza timidamente il nuovo coperto di tegole, molte anche nascondono tra i carpini e i gelsi l'antica tettoia di paglia. Sola si mostra all'aperto sopra romito sterrato la chiesuola del villaggio, come quella che appartenendo a piú alto signore non ha paura delle mobili fortune di quaggiú; e sotto il patrocinio del campanile si ricovera anche la canonica, la quale sembra invitar da lontano le mendicanti Resiane, che scendono in autunno con la gerla in ispalla alla cerca annuale; povere e scalze cappuccine, non votate alla povertà ma contente di essa, che domandano un soldo per l'amore di Dio, e anche negate di quello si accommiatano col sublime saluto: «Lodato sia Gesú Cristo!». La strada carreggiabile che dalla valle del Turro, scolo dei minori rigagnoli, serpeggia salendo per un buon miglio, dopo attraversata una metà del paesello, per dar mano all'altra, scavalca il Cornapo, sopra un ponte, che per la solida e pittoresca arditezza potrebbe esser stato eretto dagli angeli, come quello di Cividale dal diavolo; ma oltre l'acqua, e di poco oltrepassata la calata del castello, la carraia scompare in un rovinío di frane, di ghiaie, di cespugli; e di là molti sentieri si partono alle varie loro faccende, alcuni de' quali ripiombano nel torrente dov'è il lavatoio e la fontana; altri montano pei fianchi scheggiosi della rupe, come in cerca delle capre che ad essi convengono sulla sera al fischio del pastore; e il piú coraggioso s'addentra direttamente nella gola del Cornapo, e a volte piegando a patteggiare con esso fino a raderne il letto, talora sfuggendogli via snello e periglioso per le ripiegature della costa, tal'altra circuendo qualche macchia di castagni, sale a provvedere delle derrate pianigiane i casolari pastorecci della montagna.","NO"
"Nievo_Ippolito-Il_conte_pecoraio-1857","Nievo Ippolito","Il conte pecoraio","1857","Né è raro ai giorni di mercato incontrarsi per esso in un carico di fieno che da lunge sembra avanzare, come un nuvolone sospinto dal vento, tra la spaccatura della roccia; e poi al farglisi piú accosto, si scernono due gambe nerborute alternarsi misuratamente sotto la vasta mole, finché quando ti premi nella rupe a dargli il passo, ne scappa fuori un saluto di voce soave e femminina, e tra l'erba odorosa e cadente d'ogni lato riposi collo sguardo negli occhioni umidi e cerulei d'una fanciulla di Schiavonia. A quel modo campa sua vita quella paziente famiglia, scambiando il fieno, i capretti, gli utensili di legno e le castagne con quel po' di farina che basti al suo sostentamento; e vorrei sciupar l'anima se nel volgo cittadino si trova un'occhiata cosí contenta e soave come quella della donzelletta accennata poco fa. La gola del Cornapo non è, a vero dire, cosí tetra e piena di ribrezzo come l'altra detta di Crosis, che dà varco poco piú sopra alla corrente del Turro; e infatti s'avrebbe a fare una lunga e proficua meditazione su questo appellativo di Crosis venutole appunto dagli infortuni che frequenti vi accadono; ma pure anche il Cornapo ha le sue dure battaglie da sostenere con la montagna prima di uscirne vincitore; e lo si vede nel fondo di essa aprire col continuo sbattito dell'onda un borro angusto e cavernoso; finché decorrendo all'aperto traverso le campagnette pedemontane perde sotto Nimis il nome e la vita nel letto ghiaioso del Turco, che sembra raccogliersi di bel nuovo sotto il monte appunto per vietare il passaggio allo spaurito tributario.","NO"
"Nievo_Ippolito-Il_conte_pecoraio-1857","Nievo Ippolito","Il conte pecoraio","1857","Tra Nimis poi e lo stretto di Crosis s'accavalla via via un labirinto di poggi, di colli e d'affaldamenti alpini che ricetta i villaggi schiavoneschi di Sedilis e di Ramandolo, e che, cominciando a mezzodí al confluire del Cornapo col Turro, finisce poi a tramontana quasi strozzato fra questo e la rupe sul tenere di Ciseriis; Ciseriis, tenetelo ben a mente, povero e sparpagliato paesuccio di montagna il quale del pari che lo Zuglio Carnico e il Foro Giulio cividalese, è un'orma impressa sulla terra friulana da quel vittorioso viaggiatore che fu Giulio Cesare. Tuttavia, se pieno il capo di grandi e storiche memorie ci addentriamo fra le sonanti grotte del Turro, lungo il dirotto sentiero dove i creduli montanari ancora discernono le rotaie dei carri romani, un piú dolce sentimento di allegria ne allaga l'anima, quando, tra i frondosi castagni e i rosseggianti vigneti di Ramandolo, pieghiamo verso il Cornapo; e cosí a mano a mano che il piede s'inerpica per quelle piagge ombreggiate, cresce la giocondezza nel cuore, finché, attraverso i rami stormeggianti delle piante sottoposte traspariscono le rovine, il castello, la chiesuola e le casupole descritte in addietro. Bellissimo in verità fra tutti gli aspetti di natura e tale che accontenta lo spirito d'una serena contemplazione; onde io, o benigni lettori, al vedervi già invaghiti per opera mia di quel paesello, non posso tenermi dal bisbigliarne sommessamente il nome che è Torlano; e se non gli siete grati d'aver serbato lí sul confine degli Slavi una cosí italiana armonia di parola, ben siete i piú barbari e malcreati dei lettori.","NO"
"Nievo_Ippolito-Il_conte_pecoraio-1857","Nievo Ippolito","Il conte pecoraio","1857","Or dunque, per narrarvi la storia ab ovo, quaranta anni or sono il conte Alberico di Torlano era uscito per l'appunto del prete, quando gli scialacquî paterni e i disperdimenti della rivoluzione avevan dato l'ultimo crollo al gentilizio patrimonio. Non che si fosse raccorciato d'un palmo il vastissimo possedimento; ma quell'invisibile cancro delle ipoteche era venuto smagrandolo per modo, che alla morte del padre il conte ebbe a rimanere semplice amministratore di venti o trenta creditori diversamente affamati; il che, sia detto con buona pace dei presenti, non è certo lo stato piú comodo, o il meglio confacente ad aristocratica maestà. Fino allora, per quanto la sua vita fosse somigliata ad un sonnellino nella bambagia, egli non aveva cessato dall'armarsi via via di tutte quelle doti che dovevano servire poi le sue trame ambiziose ed avare.","NO"
"Nievo_Ippolito-Il_conte_pecoraio-1857","Nievo Ippolito","Il conte pecoraio","1857","Dalle dottrine liberalesche, per esempio, che avevano presieduto per moda alla educazione di lui fanciullo, aveva guadagnato quel dispregio dei principî morali e quella sfrenatezza, anzi servile anarchia d'opinioni, cui esse menano assai facilmente i cervelli deboli o disonesti. Quando poi la restaurazione delle antiche autorità ebbe dato un tuffo a quei suoi grilli di stolteggiante filosofia, eccoti ch'egli, comprendendo di sbalzo quanto a lui potevano ridondare vantaggi dal vecchio ordine di cose, si era dato a rinverniciare d'arrogante sussiego e di religiosa ipocrisia quell'impasto di sordidi viziacci che gli marciva nel sangue. Questo ebbe ad operare il Contino nei verdi anni dell'innocenza con la sola scorta di sua buona indole; ma allorché, seppellito il padre e scandagliata la domestica miseria, si trovò di fronte alla vita, alla vera vita per proprio conto; e le cose non le ebbe piú a travedere con la debole fiaccola del raziocinio, ma le palpò e le giudicò con mano, allora si diede fra sé e sé a rifare e ringagliardire con ogni studio quel suo primo virginale ingegno; finché, stimandosi uguale alla grandezza della lotta, non titubò da ultimo a mettere in pratica la boriosa e crudele ingiustizia, appresa nel doppio tirocinio del bigottismo ingallonato e della cinica miscredenza.","NO"
"Nievo_Ippolito-Il_conte_pecoraio-1857","Nievo Ippolito","Il conte pecoraio","1857","Negare i debiti aviti, piluccare fino al quattrino i pochi debitori, fraudare le dovute mercedi, opprimere in ogni modo i contadini, furono le sue prime scaramucce; né v'era mezzo riputato iniquo, ove tendesse a quella santa opera di ridonare alla famiglia i perduti splendori. Immaginatevi come stessero i coloni; i quali, avvezzi alla sapiente noncuranza d'un fattore, sentivano improvvisa la verga ferrea di questo devoto Neroncino! Molti furono quelli cui non parve vero potersela svignare, lasciando arnesi e bestie da lavoro, stupefatti e beatissimi di condur salva una suppellettile di casa; ma anche fra contadini ci sono certe teste guaste che pigliano affetto al luogo dove sono cresciuti, e, come il cane, non si partono che cacciati.","NO"
"Nievo_Ippolito-Il_conte_pecoraio-1857","Nievo Ippolito","Il conte pecoraio","1857","Tra questi era sui poderi del conte di Torlano una famiglia che portava il cognome del padrone, e dalle bocche dei contadini andava fregiata dei medesimi titoli; né è strano qui nel Friuli trovare dietro l'aratro una scaduta o piuttosto rinverginata aristocrazia, mentre il gemello patriziato, rigonfio di maggioraschi e di primogeniture, poltrisce tirannescamente, tanto piú crudo ed immemore, quanto meglio la tradizione e la consonanza dei casati ricordano l'origine comune. Il fatto sta, che la casata villeresca dei Torlano numerava tra le antichissime del territorio, e a qualche vecchio sovveniva aver udito narrare dai vecchi, come avesse avuto il suo primo stipite in un contino del castello, che diseredato dal padre per la rifiutata cocolla, si era ridotto a vivere su venti campi di colonía2 concessigli in usufrutto da uno zio scialone; ma tornati al Creatore que' personaggi, e allentatesi le corrispondenze familiari con i figli e piú ancora con i nipoti del ribelle, la parentela a poco a poco aveva dato luogo alla padronanza, e l'usufrutto ad un affitto bello e buono; dalla gravezza del quale i nobili fittaiuoli furono in breve costretti ad incallire le mani sul badile. Cosí mormorava la gente; mentre nella sala dei castellani un ramo importante dell'albero genealogico appariva troncato da bugiarda sterilità.","NO"
"Nievo_Ippolito-Il_conte_pecoraio-1857","Nievo Ippolito","Il conte pecoraio","1857","Quando dunque il conte Alberico rimase affatto padrone di sé, due buoni campagnoli, padre e figlio, soli sopravvivevano di quella famiglia patriarcale; ma i loro affari domestici, per mille vicende, di gragnuole, di malattie, di guerre, e d'altri simili infortuni, rovinavano giorno per giorno in guisa, che ben poca lusinga durava di poterli almeno puntellare; se pure il giovine Santo, che era di lunga mano il piú bello e costumato dei dintorni, non avesse gettato fortunatamente l'amo in una dote vistosa. Il conte, che non amava per nulla i coloni poveri e addebitati con lui, vedeva di mal occhio quei due pezzenti; e credette mostrarsi buono buono, col proporre in moglie al giovane la vedova d'un certo castaldo, che aveva raggrumolato qualche zecchino con le ruberie proprie e del marito; ma Santo che, unico retaggio dell'originaria nobilea, serbava la magnanimità e il dispregio della servitú prezzolata, si era schivato rispondendo non convenirgli lo accasarsi prima della coscrizione, e a ciò non dovergli mancar il tempo, e non veder nella fretta cagione di fiaccarsi il collo con la prima capitata. Non vi posso dire, quanto molesta saltasse la mosca al naso del tirannello, per questa risposta, che lo ammoniva, non esser lui padrone di tutto.","NO"
