"filename","nome","titolo","anno","chunk","DIL"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","﻿YAMBO (ENRICO NOVELLI) Ciuffettino alla guerra LIBRO PER I RAGAZZI CON 100 DISEGNI DELL’AUTORE I. Ciuffettino tornato dai suoi viaggi straordinari fa la solenne inaugurazione della sua casa e sfila i travicelli di sotto i piedi del Podestà Coromillo.","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","Il ritorno di Ciuffettino a Cocciapelata, nella patria dell’immortale Celso Perepè, ebbe, come tutti sanno, un’eco di entusiasmo e di allegrezza non ancora dimenticata. La fama di quel ragazzo straordinario, alto come un grillo, che aveva compiuto una specie di viaggio intorno al.... mondo della fantasia, per ricercare un paese dove fosse permesso non studiare e non far mai nulla; quel ragazzo inverosimile, provvisto di un ciuffo di capelli più grande di lui, e che era stato, secondo le occasioni, burattino, marinaio, imperatore dei pappagalli; che aveva burlato il Lupo manaro e mastro Spellacane, l’orco-burattinaio, e i più formidabili nemici materiali e morali, ed aveva salvato da un triste destino il prode capitano Mangiavento e un popolo intero di pappagalli: che aveva traversato l’Oceano sopra una zucca, ed era riuscito, chi sa per quali reconditi motivi, a propiziarsi la benevolenza e l’affetto della Fata dei bambini; che infine, era tornato al suo paese come un trionfatore, con un sacco di scudi e un cane quasi parlante: la fama di questo ragazzo, ripetiamo, aveva superato i confini, non solo dei cervelli degli abitanti di Cocciapelata, ma anche di Cocciapelata medesima.","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","Alcuni audaci erano arrivati addirittura a proporre di sostituire alla statua di Celso Perepè, l’inventore dei cavatappi a macchina, la statua.... equestre di Ciuffettino, dell’eroico Ciuffettino, a cavallo del fido cane Melampo. La proposta, presentata al Consiglio comunale di Cocciapelata, sarebbe stata indubbiamente accolta senza la fiera opposizione della parte retrograda e tabaccosa del Consiglio, capitanata dal podestà Coromillo Tradebranz, il quale era invecchiato nel dolore di non essere mai stato giudicato meritevole di statua dai suoi concittadini. Conviene dire anche che alcuni consiglieri pensarono non essere conveniente tributare onori eccessivi ad un ragazzo che non aveva mai voluto aprire un libro e che aveva cominciato, si può dire, la sua vita di avventure con un deplorevole scherzo fatto al proprio maestro: ma questi consiglieri dotati di buon senso squisito non vollero levar la voce e dire il proprio parere in una così grave discussione.","YES"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","Di solito, le buone idee hanno sostenitori timidi: e subiscono la sorte della modesta mammoletta che fiorisce nell’ombra.... A conti fatti, se Ciuffettino non potè avere l’insigne onore della statua.... equestre, (a cavallo al cane) rimase pur sempre il ragazzo più celebre di Cocciapelata e dintorni; e il ricordo dell’inventore dei cavatappi a macchina, di Celso Perepè, cominciò a dileguarsi, a fondersi nelle nebbie lontane del passato. La gloria di Ciuffettino oscurava ogni altra gloria di Cocciapelata.","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","È vero che Cocciapelata non vantava al suo attivo troppe glorie, ed aveva anzi dovuto ricorrere a Celso Perepè proprio per disperazione: ma insomma, Ciuffettino poteva riparare benissimo a questa mancanza di luminosità storica, con le sue prodigiose avventure che formarono il soggetto di un nostro precedente libro. Con gli scudi portati a casa, Ciuffettino volle, da quel buon figliuolo che era, migliorare le condizioni e le sorti dei suoi genitori, i quali in addietro, come forse ricorderete, non nuotavano nell’oro. Prima di tutto, consigliato dal babbo, mastro Attanasio, comperò una casetta, proprio in cima al poggio dove sorgeva Cocciapelata vecchia, e precisamente presso le mura dell’antico Castello, delizia degli artisti girovaghi e delle civette.","YES"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","La casetta si componeva di due stanze sfondate, di una soffitta senza solaio, di un tetto con pochissime tegole, di un gallinaio vuoto e di un ripostiglio per i topi. Ma a mastro Attanasio parve una reggia. Sopra la facciata principale ‒ la casa aveva quattro lati, pare impossibile, tutti disuguali ‒ egli dipinse con una bella tinta rossa la parola ""Ciabatino"" e dall’altra parte questa indicazione importantissima: ""Qui si risola le scarpe a tutte lore e si fanno anche nove"".","YES"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","L’impianto della bottega fu rapidissimo; un bischetto, una mezza dozzina di lesine, qualche pezzo di cuoio e una collezione di giornali illustrati da appiccicare al muro. Intanto la mamma di Ciuffettino si diede all’arredamento interno della casa: comprò in un blocco due letti sganasciati, un cassettone che non stava in piedi, una tavola zoppa, sei sedie tutte spagliate che erano una bellezza, e un lume a petrolio rotto, da tenersi per figura. Ciuffettino rimise a posto le tegole, e diede un po’ d’aspetto al pollaio e all’orto che si stendeva di fianco alla casa, per più di cinque o sei metri quadrati: nel pollaio mise i conigli e nell’orto i polli: nel ripostiglio dei topi il gatto e Melampo.","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","Fu comprata anche, per completare l’estetica della casa, una gran gabbia di vimini dove un vecchio merlo spennacchiato venne condannato a finire i suoi disgraziatissimi giorni. L’inaugurazione della reggia di mastro Attanasio e di Ciuffettino si svolse in mezzo allo sbalordimento del popolo minuto di Cocciapelata. Basti dire che mastro Attanasio aveva invitato al rinfresco ‒ vino, castagne, e salsicce secche ‒ anche il podestà del paese, e la sora Aspasia, la mamma dell’eroe, aveva invitato il fior fiore della nobiltà femminile: Gigia la fruttivendola di Cocciapelata bassa, Rosa la rivenditrice di cenci usati, Clomilde la tabaccaia, soprannominata Pillacchera e molte altre signore dello stesso grado: Ciuffettino, poi, aveva chiamato intorno a sè i compagni più vispi e più rumorosi: Scricciolo, Burchiello, Grattaragni, Pallino, Giuggiolone, Pippetto, Perticone, Caramella, Schizzetto, e una infinità di altri campioni della monelleria di Cocciapelata....","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","Non mancava, naturalmente, il celebre capitano Mangiavento, venuto apposta chi sa di dove, per festeggiare anch’egli il rinnovamento della vita di Ciuffettino e dei suoi buoni e bravi genitori. Aveva lasciato, per l’occasione, il vestito pittoresco del capitano di lungo corso, e aveva indossato il non meno pittoresco vestito del gitante in montagna: cappellino di feltro con tanto di edelweiss, giubba corta coi ricami, calzoni al ginocchio, gambe nude, scarponi coi chiodi. Fumava in una bella pipa di maiolica azzurra coi fiorellini gialli, e gettava nuvole di fumo negli occhi di tutti gli invitati.","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","E ogni tanto alzava la voce per raccontare qualcuna delle sue avventure di terra e di mare, e per rivolgere un affettuosissimo ringraziamento al bravo Ciuffettino che era stato mozzo a bordo di una sua nave e lo aveva salvato, nientemeno, da una congiura di marinai.... ‒ Eh! questo ragazzo! ‒ ripeteva, tra un bicchier di vino e una salsiccia secca ‒ piuttosto di aiutare quei manigoldi a tradirmi, rischiò la propria vita!","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","è proprio così!... Bisognerebbe che tutti i ragazzi imparassero da lui a fare.... gli uomini!... Io bevo alla fortuna di Ciuffettino e della sua famiglia!...","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","E tutti rispondevano ""Evviva!..."" porgendo il bicchiere vuoto alla sora Aspasia che, tutta sorridente e affannata, andava in giro col fiasco del vino.... A un certo punto il podestà Coromillo, che aveva gli occhietti piccini per la commozione, si arrampicò, aiutato da alcuni consiglieri, sul tetto della casuccia di Ciuffettino, e improvvisò un discorso commemorativo.... che aveva preparato dal giorno avanti: ""Cittadini di Cocciapelata e paesi limitrofi!...","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","in questo solenne momento che tutte le anime commosse si volgono a Ciuffettino, io sento il dovere, come primo cittadino del paese, di gridare in faccia a voi tutti il mio superiore compiacimento! Non volli, è vero che fosse dedicata una statua a questo ragazzo maraviglioso, poichè di statue in Cocciapelata ce n’è già una, e l’altra, se mai, potrebbe e dovrebbe esser dedicata ad un uomo insigne, un uomo che riunisce tutte le virtù e tutte le doti, fisiche e morali, necessarie ad eccellere non pure in Cocciapelata, ma anche nel mondo; di un uomo che gode ‒ non dovrei dirlo! ‒ tutta la mia fiducia e la mia stima, e che non nomino per non mettere a dura prova la mia già troppo provata nonchè proverbiale modestia, e.... ""","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","Il magnifico discorso fu interrotto improvvisamente da una esclamazione del podestà e da un urlo di stupore e di ilarità della folla. Coromillo Tradebranz era sparito!!... Si udì, nello stesso tempo, un gran tramestìo e un gran vociare nella casa: il capitano Mangiavento e il sor Attanasio si precipitarono dentro e.... videro uno spettacolo inverosimile: il podestà di Cocciapelata disteso in terra, sotto un diluviare di tegoli, di travi e di calcina: e intorno ragazzi che sgambettavano strillando, conigli che saltavano di qua e di là agitando le lunghe orecchie e sbarrando gli immensi occhi spauriti, e galline che starnazzavano, folli di paura, inseguite dal gatto e da Melampo.... una confusione, un diavoleto da non dirsi....","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","Quando fu tornata un po’ di calma, e il povero Coromillo, rimesso in forza a furia di vermuttini, potè ripresentarsi alla folla dei convenuti, con i segni della tremenda caduta su la faccia e su gli abiti, il capitano Mangiavento accennò a voler fare un nuovo discorso d’occasione. Ma l’ora era tarda: salivano dalle valli le prime nebbie della sera e una lieve sfumatura di viola e d’oro indugiava in alto, su i merli diroccati del Castello: nel cielo terso come una gran coppa di cristallo le prime stelle si accendevano, a una a una, per la gloria del buon Dio.... E il vento freddo di ottobre cominciava a soffiare dalle gole aspre dei monti....","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","Gli invitati lasciarono il capitano a parlar solo, e si dispersero frettolosi per le vie ripide di Cocciapelata. In casa, il sor Attanasio e la moglie si dettero a lavorare per tappare il buco fatto nel tetto dal podestà: e Ciuffettino, aiutato dall’amico Burchiello, rimise i conigli nel pollaio, i polli nell’orto e Melampo nel nascondiglio dei topi. Così si chiuse la memoranda giornata della inaugurazione della casa di Ciuffettino.","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","Dimenticavo di aggiungere che l’autore della catastrofe, purtroppo, era stato Ciuffettino stesso: il quale mentre Coromillo parlava, si era messo a sfilare i travicelli di sotto i tegoli.... Buon figliolo, sì: coraggioso, intelligente, generoso: ma sbarazzino sempre, nonostante i pericoli, le sorprese, le durissime prove passate nei suoi viaggi per il mondo.... II. Ciuffettino fa la pace col maestro e dopo avere pianto per uno stivale ripete con gli scolari di Cocciapelata la parola: ITALIA!","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","Un giorno, Ciuffettino pensò di tornare a scuola: anche per rifar la pace col maestro, il quale non aveva mai potuto dimenticare, giustamente, le sgarberie e le insolenze di quel monello che ‒ prima del suo viaggio ‒ s’era meritato la fama di scolaro svogliato, indisciplinato, irriverente, insopportabile, ecc.... L’incontro di Ciuffettino col maestro fu semplice e commovente. Il ragazzo, piccino piccino, vestito del suo solito vestito bizzarro, con qualche toppa colorata di più, col solito ciuffo di capelli inverosimilmente lungo e ardito fuori del cappelluccio a cono, si trovò a un tratto dinanzi il maestro, solenne e un po’ sdegnoso, alto come un palo telegrafico, calvo come un ginocchio, con i grandi occhiali neri simili a due fanali di locomotiva.... spenti, con il pizzo ben pettinato, il lunghissimo corpo smilzo chiuso nel pastrano verde abbottonato fino al mento, le uose di panno bigio tutte rammendate, intorno alle gambe talmente magre da far pensare, per la somiglianza, alle lunghe zampe di certi uccelli di padule.... Ciuffettino alzò gli occhi fino al maestro, il maestro abbassò.... gli occhiali fino a Ciuffettino: e i due personaggi restarono un pezzo a considerarsi in silenzio.","NO"
"Novelli_Enrico-Ciuffettino_alla_guerra-1916","Novelli Enrico","Ciuffettino alla guerra","1916","Finalmente il maestro brontolò: ‒ Sei qui, eh, birba? sei tornato?... ma con che idee?","NO"
