"filename","nome","titolo","anno","chunk","DIL"
"Oddo_Bonafede_Giacomo-Alessandro_Bonforti_o_l_apostata_siciliano-1860","Oddo Bonafede Giacomo","Alessandro Bonforti o l apostata siciliano","1860","ALESSANDRO BONFORTI L'APOSTATA SICILIANO ALLA SIGNORA MARIA CHATAIN VEDOVA JOSTY SIGNORA Una volta i nobili; i ricchi, i potenti, non so se per stima che ne avessero o per vanità, prendevano a proteggere le lettere, e quanti mezzi erano nelle loro mani adoperavano perchè esse fiorissero e si tenessero in onore. Epoche di fortuna erano quelle pei letterati, i quali, ora in una ed ora in un'altra corte, trovavano appartamenti, biblioteche, pranzo e danaro, tanto da poter vivere studiando, senza darsi pensiero nè dell'oggi nè del dimane.","NO"
"Oddo_Bonafede_Giacomo-Alessandro_Bonforti_o_l_apostata_siciliano-1860","Oddo Bonafede Giacomo","Alessandro Bonforti o l apostata siciliano","1860","Però quando raccoglievano il frutto dei loro studi era il tempo di pagare il tributo alla protezione, ed essi lo pagavano fedelmente e scrupolosamente dedicando le loro opere ai buoni e generosi mecenati. Ma ora le cose vanno per altro verso: i nobili, i ricchi, i potenti, o perchè non ne hanno stima, o perchè non son vanitosi, lasciano che le lettere fioriscan se voglion fiorire, che decadano se voglion decadere, e nel primo caso e nel secondo non si allegrano e non si attristano. Pei letterati questa è epoca sfortunata; bisogna che essi vengan su per propria virtù, a forza di sagrificii, stentatamente, e come Dio solo sa.","NO"
"Oddo_Bonafede_Giacomo-Alessandro_Bonforti_o_l_apostata_siciliano-1860","Oddo Bonafede Giacomo","Alessandro Bonforti o l apostata siciliano","1860","Ma appunto perchè han perduta la protezione, han guadagnato qualche cosa, ed è il non dovere pagar tributi a questa o quella Eccellenza, nè adulare questa o quell' altra Altezza, nè macchiare la prima pagina dei loro libri con tutte quelle menzogne che composero sempre il panegirico dei mecenati. Io non mi metto nel numero dei letterati, chè ben conosco di non meritare tanto onore, ma ho VII scritto un libro, e non avendo avuti protettori posso dedicarlo a chi mi pare é piace. Io lo dedico a voi, SIGNORA MARIA, e vado augurandomi che vorrete gradire questo segno di stima.","NO"
"Oddo_Bonafede_Giacomo-Alessandro_Bonforti_o_l_apostata_siciliano-1860","Oddo Bonafede Giacomo","Alessandro Bonforti o l apostata siciliano","1860","Se il vostro nome messo in fronte al mio libro, nè trarrà lustro o ne discapiterà, non saprei affirmare, chè strano è il giudizio degli uomini, stranissima poi, specialmente oggi, la sorte di questa specie di libri. Ignoro eziandio se quanto ho scritto vi andrà a genio, o se sarete la prima a condannare la mia opera; in quest'ultimo caso non condannerete almeno le mie intenzioni che sono state buone, nè la mia volontà che è stata, per quanto poteva. esserlo, giusta ed operosa.","NO"
"Oddo_Bonafede_Giacomo-Alessandro_Bonforti_o_l_apostata_siciliano-1860","Oddo Bonafede Giacomo","Alessandro Bonforti o l apostata siciliano","1860","In ogni modo, dedicando a voi il mio libro, io VIII ho appagato un forte desiderio del mio cuore. Dappoichè vi degnaste ammettermi nel numero dei vostri buoni amici, e potei ammirare la vostra non comune intelligenza ed istruzione; da quando potei notare tante belle virtù che vi adornano e che vi rendono cara a quanti vi conoscono e vi circondano; dacchè per ragioni di parentado la mia famiglia si strinse alla vostra, io desiderai fortemente darvi un pegno della mia stima e della mia amicizia. Ora il mio desiderio è soddisfatto, e ne vado contento.","NO"
"Oddo_Bonafede_Giacomo-Alessandro_Bonforti_o_l_apostata_siciliano-1860","Oddo Bonafede Giacomo","Alessandro Bonforti o l apostata siciliano","1860","Insieme a questo segno di amicizia e di stima accettate i saluti e i buoni auguri del vostro Servo ed amico GIACOMO ODDO. 1 CAPITOLO I. Solanto. Se vuoi, o lettore, formarti l'idea del paradiso terrestre descritto nella Bibbia, di quel terrestre paradiso di che tanto favoleggiarono i popoli orientali, e su cui vagolò attenta ed innamorata l' anima sublime di Milton, va a Solanto nel mese di aprile, e quivi fermati qualche giorno a vedere, ad osservare, a notare tanta dovizia di cielo e di terra, d' industria e di natura.","NO"
"Oddo_Bonafede_Giacomo-Alessandro_Bonforti_o_l_apostata_siciliano-1860","Oddo Bonafede Giacomo","Alessandro Bonforti o l apostata siciliano","1860","Giace questa felice contrada nella costa settentrionale di Sicilia, a dieci miglia da Palermo, lungo la spiaggia che da questa città distendesi inverso Termini, avanzo ultimo dell' antica Imera. Alquanto elevata sopra il livello del mare, sta come centro di vasto orizzonte, il quale si termina dove il cielo pare si congiunga alle onde, e dove i monti Erei pare raggiungano il firmamento. Se guardi alla tranquilla ed azzurra superficie del mare, vicino alla spiaggia, essa ti offre il grato spettacolo di centinaia e migliaia di barchette di pescatori che con moto lento e irregolare vanno e vengono, si accostano e si allontanano, spariscono e ritornano, e più alto ti si presenta solcata da navi, da battelli, da bastimenti d' ogni grandezza e bandiera, che provenienti da Napoli e da Messina vanno alla volta del molo di Palermo, o da questo sciol gono verso levante e ponente.","NO"
"Oddo_Bonafede_Giacomo-Alessandro_Bonforti_o_l_apostata_siciliano-1860","Oddo Bonafede Giacomo","Alessandro Bonforti o l apostata siciliano","1860","Se trascorri con lo sguardo lo spazio chiuso dal mare e dalla catena degli Erei, vedi coltivate pianure, alle quali succedono verdeggianti colline, e poi montagne boscose, l'una dall'altra divise per valli e per torrenti, e qua e là, or sopra la vetta di un monte, or nel declivio di un colle, or sulla riva di un fiume, paesetti, città, castella, eremi, torri, capanne. Se levi al cielo i tuoi occhi, lo trovi sereno, chiaro, senza nuvola che lo maculi, sorridente, ricco di luce, benigno. Esso ti parla al cuore un inebriante linguaggio, soave come la benedizione di Dio; e se ti fermerai a contemplarlo, e fiso lo sguardo ne riceverai nell'anima i benefici influssi, allora, come per incanto, sentirai lontano lontano le misteriose e superne armonie di Platone.","NO"
"Oddo_Bonafede_Giacomo-Alessandro_Bonforti_o_l_apostata_siciliano-1860","Oddo Bonafede Giacomo","Alessandro Bonforti o l apostata siciliano","1860","Ma non è nel cielo, non è nei luoghi lontani, non è nel mare il paradiso terrestre ch' io ti promisi; esso - è intorno a te, è Solanto, la felice, la fortunata, la contrada bellissima. Immaginati vaste tenute di ulivi e di viti, giardini di aranci e di limoni, chiuse d' ogni specie d' alberi fruttiferi, ovunque la lussureggiante vegetazione del mezzogiorno. In ogni tenuta, in ogni giardino, in ogni chiusa immaginati ville e casini, esteriormente dipinti a vari e sempre vaghi colori, aventi chi un solo, chi due e chi tre ordini di balconi, e terminati al disopra da eleganti terrazzi, sui quali in bella guisa disposti vegetano e sbucciano in innumerevoli vasi fiori d' ogni maniera.","YES"
"Oddo_Bonafede_Giacomo-Alessandro_Bonforti_o_l_apostata_siciliano-1860","Oddo Bonafede Giacomo","Alessandro Bonforti o l apostata siciliano","1860","Immaginati lunghi viali qua fiancheggiati da mesti ed alti cipressi, là da siepi infiorate, e pei quali le ville fra loro comunicano e si va dalle case ai vicini sentieri. Immaginati cotesta terra di delizie, attraversata dalla gran via per la quale passa di e notte un' interminata serie di carri, di carrozze, di muli, che dalla provincia trasportano alla capitale granaglie, derrate, persone; aggiungi a tutto questo le tiepide aure di aprile che rinvigoriscono il corpo ed inebriano lo spirito, il canto svariato d' infiniti uccelli nella stagione dei loro amori, l'aria imbalsamata da aromatiche esalazioni... eppure v' ha ancora qualche cosa di più; v'ha ancora, o lettore, ciò che tu cerchi e desideri come corona a tanta copia di bello, come centro in cui tante bellezze riflettonsi e per cui sorge al Creatore la grata parola della benedizione e della laude. In queste ville le nobili e ricche famiglie palermitane vivono i mesi di primavera, contente di dimenticare, nell' innocenza e semplicità della vita campestre, leire i rancori, le invidie, le passioni sociali della popolosa città.","NO"
