"filename","nome","titolo","anno","chunk","DIL"
"Ortolani_Sergio-Rufino_protomartire-1926","Ortolani Sergio","Rufino protomartire","1926","﻿SERGIO ORTOLANI RUFINO PROTOMÀRTIRE ROMANZO AGLI UOMINI DELLA MIA CASA MIO NONNO MIO PADRE CHE HANNO SEMPRE VISTO BUONO E CHIARO VENEZIA, 1925 Hora che siamo passati per acqua et per fuoco et che havemo provato cosse che mai se le pensassemo...., questa pocca vita che ne resta consumàmola almanco in quella cuiete che si pô; che invero è da far pochissimo conto de le accione de la fortuna, tanto è trista e dolorosa. Io mi son ridutto a tanto, che potrìa ruinare l’universo, che non me ne curo et me la rido de ogni cossa. Ma io uscirò de la mano del diavolo, che a me non mi par honesto affanarsi in questo..., sì che lavoriamo.... a ciò ch’e’ poltroni et cichaloni crèpino.","NO"
"Ortolani_Sergio-Rufino_protomartire-1926","Ortolani Sergio","Rufino protomartire","1926","SEBASTIANO DEL PIOMBO A MICHELANGELO, SALUTE Nacque, visse, morì di quest’anni nella più dormigliosa terra sotto l’occhio del sole: una cittaduzza turrita che s’arrotola sopra un collicello e lo cinghia di mura. Quattro stradoni s’appuntano dall’orizzonte spianato alle quattro Porte; quattro viacce torte s’inerpicano fino in sommo, dove spazia la Piazza quadrata col suo Palazzo del Comune in còtto vivo, la Cattedrale di San Rufo patrono fiorettata di marmi, e due grandi conventi di qua e di là. Cittadella d’Italia, che ancóra dell’antico ritiene l’accorto spirito rinchiuso; ma il bel fiume a piede, cerulo e spanto nel piano, le fa sognare l’enormità dei monti onde cala, a pena segnati nel cielo; del più remoto mare che se lo beve a grandi sorsate armoniose e piene di respiro.","NO"
"Ortolani_Sergio-Rufino_protomartire-1926","Ortolani Sergio","Rufino protomartire","1926","* * * Uomini ardenti e fieri avevano popolato quelle torri in èvi lontani; femmine bionde, possenti signore. E la Piazza quadrata aveva accolto fragore d’armi e di canti al tocco della martinella. Poi la nuova borghesia s’era rubato il suo bene pei castelli del piano e aveva fatto di tutto commercio, con allegra impudenza, pel mondo intero: pingui donne e bimbi ciarlieri rinfrescavano le stanche anime dei mercanti, ai ritorni.","NO"
"Ortolani_Sergio-Rufino_protomartire-1926","Ortolani Sergio","Rufino protomartire","1926","Ma vento d’invasioni aveva travolto la libertà del Comune, e i grassi borghesi s’erano ridotti a covare l’oro e i vizi nelle stanze segrete e a cantar litania sotto l’occhio adunco dei preti spagnoli; nè rivoluzione di Francia nè raffica di Risorgimento avevano toccato quella rocca spaurita. Solo i villani del contado – gente di nobili, di borghesi e di religiosi, eppure sempre riottosa pel suo Dio ch’era la terra, pel suo ventre ch’era l’unico Re – si sbramarono della strana libertà. Dettero figli all’esercito, alle fabbriche, alle Americhe: uomini audaci e femmine feconde.","NO"
"Ortolani_Sergio-Rufino_protomartire-1926","Ortolani Sergio","Rufino protomartire","1926","E di mese in mese affluirono ai mercati della cittaduzza con più spavalda prepotenza, con più irriverenti risa; stanarono gli uomini di usura e di chiesa e li spinsero a mercare nelle città; rimontarono come la marea le vie fosche; empirono le rare bettole, le bottegucce annidate sotto i portici, la Piazza dei Signori, con minacciosa protervia; nuovi stalli, negozi, osterie apersero alla loro smania del grasso vivere. La gioventù del piano, più destra e faccendiera, invase le case e le vie: servi, camerieri, operai, braccianti, carrettieri, lavandaie, modiste cantarono male di tutti per la cittaduzza spaurita; uomini rèduci dall’esercito e dall’estero sbraitarono le loro verità davanti al sagrato, sputando tondo; ragazzettacci spudorati pizzicarono i fianchi alle massare che non si facevano più il segno della croce prima di lasciarsi sotto i maschi; un frizzante doppio senso, un calore di bòtte e d’invettiva colorirono il dialetto paesano; un vento di gioventù e di follia parve facesse tremare nelle fondamenta la vecchia cittadella munita e rinchiusa. E il sole la contemplò con più benevolo riso.","NO"
"Ortolani_Sergio-Rufino_protomartire-1926","Ortolani Sergio","Rufino protomartire","1926","* * * Con l’affluire di questa marea Rufino Protomartire venne al mondo trentacinque anni fa. Papà, grumo d’ossa colore della terra, era becchino al Cimitero, mezzo miglio fuori di Porta Oria. Fumava, ormai cinquantenne, una pipa inverosimilmente lunga, le zampe di moscerino ciondoloni sul fosso accanto al cancello nero.","NO"
"Ortolani_Sergio-Rufino_protomartire-1926","Ortolani Sergio","Rufino protomartire","1926","Mamma, contadina del piano, batteva la biancheria nel fosso e cantava. Corse voce ch’essa fosse larga di sè anche a un fratacchio del Convento di Piazza e che il figlio unico e tardo venisse da quella mala lega. Il bimbetto di pelo rossiccio, scarno e mal lavato, con un paio di mutande accampanate che gli pendeva di sotto al camicione, sedette giorni e mesi sulla terra smossa dalle tombe; e la più assidua operazione della sua lunga infanzia fu di sorbire con la punta della lingua le due candelette che gli colavano dal naso: assumeva allora un’aria estatica di iniziato.","NO"
"Ortolani_Sergio-Rufino_protomartire-1926","Ortolani Sergio","Rufino protomartire","1926","A otto anni, per consiglio del frate protettore, il padre ingoffito negli abiti della festa, tutto scontroso se lo trascinò al Convento perchè vi seguisse scuola. Ma dopo un mese il vecchio becchino tornò a riprenderselo. — Fàgli lavorare la terra – ammonì il fratacchio – che sarà meglio!","NO"
"Ortolani_Sergio-Rufino_protomartire-1926","Ortolani Sergio","Rufino protomartire","1926","Così Rufino aiutò il babbo a scavare fosse; imparò a gettare sopra le casse bianche, fra lo smoccolìo dei ceri e il pianto delle buone femmine, la prima palata di terra con quel tonfo tragico e rinchiuso. — Dormi in pace! – mormorava a capo chino, perchè queste parole papà gliele aveva insegnate con le mani.","NO"
"Ortolani_Sergio-Rufino_protomartire-1926","Ortolani Sergio","Rufino protomartire","1926","Per l’occasione si buttava sulle spalle una vecchia giubba nera dai bottoni sdorati che gli giungeva ai ginocchi; sul capo un tricorno spelato che faceva ridere il sole. * * * Rufino era stato a scuola e l’avevano cacciato via senza misericordia, chè certo la sua animuccia aveva bisogno d’anni e di silenzio per conquistarsi viva. Infatti egli mordeva appena un elemento di pensiero che già con un sorriso interiore so lo ruminava per ore intere; lo ridiceva in mille modi, dàndogli mille accenti diversi: gli pareva così sempre un altro e non si persuadeva.","YES"
