"filename","nome","titolo","anno","chunk","DIL"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Nelle aiuole culte dei giardini, a soli di tiepide riviere vengono ammirabili fiori, e di semplici ne vengono lungo le siepi e per le balze, su gli scogli e ai margini dei ghiacciai delle Alpi. E anche questi è chi li coglie talvolta con affetto. È vero che, spuntino all'aiuola o alla balza, a zefiri o a brume, fiori son sempre fiori, opera divina; e questi racconti non potrebbero per ciò star con loro fino al termine del paragone; ma, poichè l'obbiezione fu preoccupata da noi, ancorchè non sia stata distrutta, non ci si potrebbe generosamente ricacciare tra'piedi.","NO"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","L'AUTORE. Carità non è tutta di pane. RACCONTO.","NO"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Se vedi una zitella volgere al vizio..., non isdegnare di porgerle la mano per salvarla. Talvolta quella giovane, che prende la malvagia strada, non abbisognerebbe che d'un grido, d'un cenno per vergognarsene e retrocedere alla strada buona. SILVIO PELLICO, Dei Doveri.","NO"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Imbruniva; dalla chiesuola parrocchiale di.. San Gemignano, data la benedizione, cantata dalle donne la lode di Maria, madre d'amore, uscivano lenti e pii i contadini; era un chioccar di zoccoli, uno stridere e un ribattersi dell'usciale, un lodar la sera e la luna, un augurar del dimane; gli uomini rimettendosi il feltro in capo, le donne ripiegando lo zendado, si volgevano per trovar conoscenti, si accoz zavano, si partivano, e, scambiando la buona sera, dileguavano pel paese, ove alle finestre e agli usci già lucevano i fuochi. Tra gli ultimi, spenti già tutti i ceri, quando pei banchi non era più che qualche vecchio o mendico, dimoranti per riposarsi anzichè per pregare, s'erano levate due signore, come sogliono i contadini chiamare chi nel paese non istà a bottega, nè volta fieno per l'aia, e a capo basso, con un sommesso tossire schiarendo la gola, erano venute alla pila dell'acqua benedetta; una ne toccò le dita all'altra, si segnarono, si inchinarono e furono fuori di chiesa. Bella sera, neh!","NO"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","disse l'una, fatti pochi passi, guardando il cielo in ogni parte. Era donna, non giovane, non matura; bella statura, belle forme: nel volto amabile e piacente, se avesse voluto essere amata e piacere; ma da due anni le era morto il marito, e una ragazzina di dodici anni le facea pensar d'esser madre e non altro; e così a tutti la signora Maddalena parea bella della bellezza della bontà. Proprio, rispose l'altra alzando allora gli occhi-guardiamo!","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","stamattina era così serrato; ma non vuole durare; ho qui una fitta.....io già so sempre pur troppo quando vuole cambiare. Costei chi la volesse ritrarre in parole avrebbe, vi so dir io, la crusca a vagliare. Come un pensiero non definito nella mente non si sa onde cominciarlo a esprimere, così la signora Felicita era più facile dir dentro: so com' è, che far conoscere a chi non la vedeva.","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Forse proprio tanto vecchia non era; ma chi sa? quel parrucchino così nero e lustro, con quella drizzatura fina, che pigliava tanto di fronte, non volendo parere, pareva. Del resto bassa, magra, naso affilato, narici stazzonate dal tabaccare; un cappelluzzo, un mantelletto nero, misero, corto, e un gonnellino spiovuto sulle calcagna erano i tratti, che dava di lei chi si metteva a volerne far conoscere altrui.","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","La signora Maddalena avea lasciato cadere senza riappicco le parole della sua compagna; poichè sapeva che metterla in parole de' suoi malori e delle sue fitte era come parlare di battaglie a una gamba di legno napoleonica, o di processi a legisti, che non la rifinano più. Però dopo breve silenzio : Stassera, ripigliò, sono arrivata così un po' tardi in parrocchia; credeva di poter fare un passo fin dalla Caterina della Rivata, prima che fosse tempo; ma ho trovato poi gente per via, che m'ha trattenuta. - Aveva bisogno di nulla da Caterina?","NO"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Oh ecco; volea darle a pettinare del lino. Ma la non c'era; i ragazzi della Nencia, dove sta, m'han detto che l'era ita giù per Via fonda. Anche quella..... il signor curato le dice in pulpito le cose, che fanno per lei.","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Ma..... C'è qualche cosa? M'è parsa a me sempre una buona figlia.","NO"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Eh sì! finchè quella buon'anima di sua madre avea gli occhi aperti, era un'altra canzone. Adesso poi.....","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Oh, mi dispiace. E qui la signora Maddalena fermava gli occhi sul volto dell'altra, quasi per dubbio. Io già non le ho più dato lavoro; anzi le mie amiche le metto in guardia; e le ragazze del paese, avvertite da me, non le vanno più insieme.","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","- Ma, davvero, ha fatto qualche male? Tutto il paese ne dice. Conosce il signor Ferdinando Salvi, il figlio del padrone della filanda, che è qui in vacanza?","NO"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Studia da avvocato alla Università. Fan belle cose tutti e due. Io poi un bel dì ho trovato Tonio, che le parlava, sa, a Caterina, prima che la madre morisse, e gli ho detto: oh sentite, Tonio; voi siete un bravo figliuolo; ragazze in paese, da voi, non mancano; la Caterina bisogna lasciarla, ha grilli, non propositi in capo.","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","E lui? Lui? lui è talpa a veder certe cose; i ma, i so bene li fioccava; adesso poi sembra che voglia mettersi davvero a farla da uomo.","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Mа се n'è voluto. Mi dicono che parla già alla Rosa del Prà d'oro. Quella è una ragazza!","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","benedizioni, feste, non una ne lascia; quest'anno porterà lei l'orifiamma alla festa della Madonna. Povera Caterina! mi parea così cheta, con quella testolina bionda.... sua madre ha fatto male a morire.","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Quantunque... si sa che nei paesi a sospettare si fa presto. Fossero un po' le traveggole di qualcheduno? Oh, se ce lo dico io.","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","Poi, vede, non si sbaglia; quella ragazza li non è come le altre. Alla prima messa non capitava mai; e sì che io vedo chi c'è e chi non c'è; a benedizione a ogni morte di vescovo. Poi un bel dì, quando già le voci andavano pel paese, ha sentito da me che il signor curato le voleva dire qualche cosetta agro-dolce: era stata io che l'aveva avvertito di tutto; l'ha veduta lei?","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","così il curato ha visto la Caterina. Lo fugge come se fosse il malaugurio. Lei, che conosceva la madre quando viveva, ha mai detto qualche cosa alla Caterina?","YES"
"Ottino_Enrico-Imaginazioni_e_ricordi-1862","Ottino Enrico","Imaginazioni e ricordi","1862","le ha mai fatto qualche rimprovero amorevole? Io? magari!","YES"
