"filename","nome","titolo","anno","chunk","DIL"
"Paladini_Luisa_Amalia-La_famiglia_del_soldato-1859","Paladini Luisa Amalia","La famiglia del soldato","1859","AL CORTESE LETTORE. Sterne, non mi ricordo in qual luogo delle sue amenissime opere, ma certo fu Sterne che disse: Io non so se i miei libri siano belli, ma che siano conformi ai voleri del Cielo posso asserirlo; poichè gettata giù la prima riga, mi abbandono alla Provvidenza, e ciò che essa detta, io scrivo. E in questo, badiamo bene, in questo soltanto (chè io non voglio che salti su alcun critico a dire, che io m' ebbi la stolta temerità di paragonarmi a Sterne), in questo soltanto io posso dirmi simile a lui.","NO"
"Paladini_Luisa_Amalia-La_famiglia_del_soldato-1859","Paladini Luisa Amalia","La famiglia del soldato","1859","Stabilita la massima sulla quale basar voleva questo edifizio di carta, lo incominciai con l'intenzione di empirne appena una diecina di colonne di un giornale in ottavo grande; ma non so dir come, la diecina delle colonne si cangiò nelle dozzine, ed il giornale, incontrando sorte comune con tanti onorevoli suoi confratelli, mori che io non era ancor giunta a metà del mio lavoro. Distolta da altre cure, lasciai dormire parecchi anni questa Famiglia del soldato fra certi miei scartafacci dimenticati; e forse vi dormirebbe ancora, se alcuni amici, per loro grazia, non mi avessero eccitata ad ultimarla, e se l'editore Le Monnier non fossesi offerto di presentarla al pubblico gentilmente abbigliata in roseo-giallo colore. E ciò io volli dire (non mi ascondo, o lettore) per ottenere la tua indulgenza; poichè ognun vede che un racconto dettato a più riprese, e dopo lunghi intervalli di tempo, deve necessariamente mancare di unità di stile, se non di concetto.","NO"
"Paladini_Luisa_Amalia-La_famiglia_del_soldato-1859","Paladini Luisa Amalia","La famiglia del soldato","1859","Ancora alcuno dirà, non esservi neppure, almeno apparentemente, unità di azione; ma siami concesso rispondere che nel ro manzo famigliare questa unità rigorosamente osservata sarebbe contraria al buon senso. Quale unità di azione havvi fra gli avvenimenti che ci accaddero dieci anni addietro con quelli che ci accadono oggidi? Ebbene; il romanzo famigliare deve essere ritratto fedele della vita che noi viviamo; e standosene ristretto ne' suoi modesti confini, deve lasciare le catastrofi inaspettate, le macchine, ed ogni sforzo dell'arte al dramma e al poema..","NO"
"Paladini_Luisa_Amalia-La_famiglia_del_soldato-1859","Paladini Luisa Amalia","La famiglia del soldato","1859","Ed alcun altro dira forse che questa famiglia Molandi è troppo perfetta, quindi impossibile. Confesso che i miei personaggi sono tutti ideali; ma impossibili non credo: e poi, su questo io non mi scuso. Per questa volta volli passare, almeno in fantasía, qualche ora con uomini e donne quali dovrebbero essere e mi piacerebbe che fossero; un'altra volta poi mi proverò a dipingerli quali essi sono veramente, ed allora vedremo quali saranno i migliori.","NO"
"Paladini_Luisa_Amalia-La_famiglia_del_soldato-1859","Paladini Luisa Amalia","La famiglia del soldato","1859","Scrivere un libro sul genere di questo mio, sarebbe, qualora non avesse un fine morale, tempo, inchiostro e carta gettati via. Ed io son quell' una che credo fermamente che gli Italiani non dovrebbero dettare romanzi, se non se per valersene siccome di antidoto al veleno di quelli che ci vengono di oltremonte. Ma qual sia il fine morale della Famiglia del soldato, non ispetta a me il dirlo: se non apparisse chiaramente dai fatti, il lettore getti pure il libro sul fuoco; chè altra sorte non meriterebbe, poichè avrei fallito il mio scopo.","NO"
"Paladini_Luisa_Amalia-La_famiglia_del_soldato-1859","Paladini Luisa Amalia","La famiglia del soldato","1859","E se invece vi gettassi io stessa ora subito il manoscritto? Che perderebbe il mondo? niente....","YES"
"Paladini_Luisa_Amalia-La_famiglia_del_soldato-1859","Paladini Luisa Amalia","La famiglia del soldato","1859","Dunque?... ma no. Povero figlio del mio intelletto; va' pure modesto ed umile, ma senza arrossir, fra la gente; chè se ti mancheranno le liete accoglienze dei dotti, alle quali non puoi certo pretendere, se potrai giungere ad intrattenere piacevolmente le giovani donne d' Italia, eccitando nell' animo loro un qualche generoso affetto, tu non sarai inutile ingombro sulle scancie del librajo.","YES"
"Paladini_Luisa_Amalia-La_famiglia_del_soldato-1859","Paladini Luisa Amalia","La famiglia del soldato","1859","Firenze, nel febbraio 1859. PARTE PRIMA. MARIANNA.","NO"
"Paladini_Luisa_Amalia-La_famiglia_del_soldato-1859","Paladini Luisa Amalia","La famiglia del soldato","1859","I. Era nella città di Torino una buona famiglia, della quale fu capo il capitano Molandi, virtuoso non men che prode soldato. Ancorchè modesta fosse la fortuna di lui, che altro non possedeva che la sua paga e i frutti della poca dote della moglie, onorata e tranquilla vita viveva fra le dolcezze della domestica pace e la stima de' suoi concittadini.","NO"
"Paladini_Luisa_Amalia-La_famiglia_del_soldato-1859","Paladini Luisa Amalia","La famiglia del soldato","1859","Degna al tutto di sì probo consorte era la donna sua, ed ambedue si deliziavano nel lieto avvenire che loro promettevano i figli, due donzellette ed un fanciullo, al fianco dei genitori cresciuti nell'amore, nella modestia e nello studio d'ogni gentil disciplina. La Marianna non volle dividere con estranea donna le cure soavissime della maternità, ed essa sola era maestra alle figlie ne' femminili lavori; ne'loro doveri le istruiva, e porgeva loro, avvalorati dall'esempio continuo, i precetti d'ogni cristiana e civile virtù; mentre Molandi le ammaestrava unitamente al piccolo Vittorio nello scrivere, nell'aritmetica, nelle patrie storie, e in quanto conviensi sapere a bennate e sagge fanciulle. La quiete del cuore traspariva dalle 1 fronti serene di que' genitori e di que' figli, nè vi era donna che vedendoli o incontrandoli così lieti e sempre insieme, non dicesse sospirando in cuor suo: Oh quella sì che è una famiglia felice!","NO"
