"filename","nome","titolo","anno","chunk","DIL"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","﻿Aldo Palazzeschi DUE IMPERI.... MANCATI Agosto 1914 – Agosto 1919","NO"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","«Perdonate, e sarà a voi perdonato.» S. LUCA A tutti i poeti che rinnegando sé stessi alimentarono il fuoco immondo, perdonando l’offesa. Due imperi.... Come doveva essere grande un impero Che cosa poteva fare la Francia, assalita in una così gigantesca maniera?","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Stanata dai lupanari di Montmartre coi lugubri rintocchi della guerra l’avremmo vista correre nell’alba tragica strofinandosi gli occhi cerchiati per assicurarsi di essere desta, cadaverica sotto il belletto scomposto, colle narici come fragole, spalancate all’estasi della cocaina, trascinare a brandelli i suoi stracci della notte di orgia verso le frontiere, e il ventre ancora sussultante gli ultimi rantoli del tango. Che cosa poteva fare? Anche le forze dei suoi poveri nervi si dovevano infrangere, non poteva essere che così, irremissibilmente così, non più in là di quindici giorni, passare per il Belgio o per il Reno era lo stesso, Parigi, la vecchia meretrice, sarebbe stata posseduta.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","E nessuno poteva dirti satiro. Chi ti avrebbe denunziato per stupro? E di lì a poco Calais, e tutta la provincia.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","L’Inghilterra, prima di avere il tempo di mettere lo scarpino sul continente si sarebbe sentita qualche colpetto un po’ più in su, vicino al cuore; sviato il suo approvvigionamento c’entrava anche di tirare un buon respiro prima di rovesciarsi sopra la Russia che sarebbe stata dietro ad ammassare mandrie di mentecatti con un bastone in mano, e farne delle retate come si fa colle aringhe, avanzando, possedendola nei suoi grandi centri vitali: Varsavia, Riga, Pietroburgo, Mosca, Kiew, Odessa.... come l’acqua del fiume straripato inonda la terra. E tanto a Oriente che a Occidente pigliare, a nord e a sud, pigliare, tutto quel poco di buono che c’è, pigliare e mangiare o portare a casa, rodere fino all’osso, succhiare il midollo, lasciare solamente il tempo per riposare. Due colpacci d’ascia sui Balcani, la via di Bagdad era aperta.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Si poteva anche per una volta tanto dar di braccio a maman Turchia serrando i Dardanelli. Un po’ di tappo a Suez e la buona via dell’Oriente era chiusa. All’Inghilterra non sarebbe rimasto che una lenta e decente morte di trattenuti sbadigli.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","L’Italia la Spagna gli altri, o sottomettersi o farsi metter sotto, chi non ci si sarebbe messo da sé? Il Mediterraneo tutto conquistato, colla costa dell’Africa. E dappertutto racimolare, rimbruscolare, mangiucchiare, beccuzzare; e preparare l’ultimo colpo, quello dell’estremo oriente.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","E anche questo è una cosa che sembra tanto difficile ed è di una semplicità spaventosa: colle Indie in tasca, sedurre la vecchia Cina e farle sgozzare il Giappone. Europa, Africa, Asia.... l’America si sarebbe aggiunta da sé, e con essa chiunque altro fosse restato fuori si spicciasse a mettersi dentro. Bene eh?","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Che bel giuoco sarebbe stato il tuo, per te! Dopo pochi mesi di cotesta agitazione, posare piano piano sul bambagio le amate armi, metterle nella vetrina, e andarsi a sedere sopra una poltrona di porpora e d’oro, e collo scettro in mano. Il sole, da cotesto giorno, sarebbe battuto tutto tutto sopra di te, non un raggio escluso, e tu ce lo avresti dispensato graziosamente, come il granoturco alle vecchie chiocce ai galli e ai pollastrini.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","L’alzarsi del tuo ciglio, oh! quali sprazzi di luce sopra il mondo, Imperatore, e quali ondate di calore, o Cesare, benigno Signore! E l’abbassarsi, ahimè!","NO"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","la tenebra, la notte, gesummaria, il gelo, Imperatore! Con un dito tu lo avresti fatto tremare, il mondo, con uno sguardo arrossire come una fanciulla, e con una carezza svenire di languore. Questa piccola cosa nella tua mano, piccola come un’arancia e dalla quale è sempre stato veduto anche l’infinito....","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Come doveva essere grande un altro impero Chi mai avrebbe potuto sopportare l’orrenda aggressione? L’empio misfatto? Quale uomo, che meritasse ancora di essere chiamato con questo nome, non sarebbe corso per fare giustizia dello scempio abominevole?","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","La Francia correva irata alle frontiere, maschi e femmine, vecchi e fanciulli, fermamente decisa di versare fino all’ultima goccia il proprio sangue. E siccome tu eri lì apposta per farglielo versare, si poteva logicamente supporre che in pochissimo tempo di francesi non se ne sarebbe parlato più. E già l’Inghilterra traghettava uomini e donne sui campi di Francia nella più dura risoluzione di morire tutti, di versare fino all’ultima goccia la stessa cosa contro di voi.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","«Fino all’ultima sterlina!» si gridava alla Camera dei Comuni. E siccome si sapeva che di sterline ce ne avevano parecchie si poteva anche pensare che sarebbe finito prima il rosso del giallo. «Venti anni dureremo!» Bene!","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","«Trenta anni vogliamo durare!» Meglio! Si gridava ancora. Oh!","NO"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Come nascostamente il mio cuore ne gongolava. I Russi giungevano a sciami sotto il fuoco delle tue mitragliatrici coll’invasamento di altrettanti maniaci di morte, e anche quelli, non era poi pensarla da matti, una volta o l’altra, per molti che fossero, dovevano pur finire. Si parlava già di donne che impugnavano le armi dappertutto, e riempivano via via i vuoti lasciati dai maschi, e di milioni di cinesi, indiani, giapponesi, africani, americani, tutti, tutti erano dietro ad allestirsi per giungere a te come le onde del mare.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Attorno io non udivo più che un grido: «all’armi! all’armi!». Bisognava fare così, era il meglio che si potesse fare, la sola via, la buona, la vera.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","La sera, sui margini dei giornali, segnavo cifre, quelle dei bollettini, quelle delle previsioni, facevo addizioni e sottrazioni, frugavo nelle statistiche, cercavo or piano piano sulle carte geografiche, or mi davo a frullare il mappamondo assalito da furore, lo fermavo d’un tratto, lo fissavo per spulciarlo bene il mio sguardo si posava su certi paesucoli ignoti, che ora assumevano una grande suprema importanza. Sarebbero venuti quelli? Li avrebbero saputi scovare?","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Forse essi non lo sapevano ancora che fosse scoppiata la guerra, Dio mio! O forse un giornalista, un letterato qualunque era già in viaggio verso di loro, non poteva essere altrimenti. Perché tardava egli a giungere?","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Che faceva? Fosse andato ai pesci senza averne potuto dare notizia? Iddio lo salvi!","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Quali ansie, quali ore di ambascia! E quando il nome di un nuovo paese entrava nella danza emettevo lunghi sospiri di sollievo, mi ristoravo un poco, prendevo un boccone, un po’ di brodo, mi concedevo cinque minuti di riposo. Eppoi ancora a frugare sui vecchi atlanti, valutando la possibilità di qualche lembo di terra non ancora scoperta che potesse venir fuori all’ultimo momento.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","L’universale rimescolìo avrebbe potuto benissimo favorirne la scoperta, un novello Colombo, mio Dio! La vertigine mi serrava le tempie. E non appena riavuto, dagli a addizionare cifre su cifre, dividere sottrarre, eppoi una frullatina al mappamondo, talora pieno di ottimismo, talaltra schiacciato dal pessimismo più nero.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Ma quanti, quanti sono insomma questi benedetti uomini? Tutti vogliono morire e tutti moriranno, non era poi pensarla tanto da grulli. E bada sai, ammettevo che uno dei tuoi ne potesse uccidere a migliaia, a diecine di migliaia, ma facevo i miei conti che anche lui alla fine dovesse pur tirarle in qualche modo le calzette.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Per quanto ritenessi smisurata la tua superiorità ci contavo assolutamente. E giù a fare proporzioni. Quanti eravate voi?","NO"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Pareva che tu avessi messo in giro censimenti falsi. Ah! vigliacco!","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Doppio come le cipolle! Quanti potevate essere? Io.... non volevo morire, chi sa perché.... non volevo morire, e questo non volere morire mi sembrava che dovesse bastare per salvarmi.","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Chi sa per quale fatalità per quale bizzaria del caso, ma sopratutto per questa mia volontà io sarei rimasto, mentre poco a poco attorno a me si sarebbe fatto il vuoto, il silenzio, tutti, tutti sarebbero periti, tutti. Ascoltami, ora che il fallimento dei nostri piani è stato completo, ora che noi altro non siamo che due miserabili vinti, voglio confidarmi in te, voglio confessarti quello che la mia forsennata ambizione aveva osato sperare. Odimi: un impero grande come il tuo, non un palmo di terra né un sorso d’acqua di meno.","NO"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Ho sognato di fare l’imperatore come te, il tuo stesso impero, e dalle tue stesse mani mi doveva venire. Oh! insensato!","NO"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","folle! Mentre che tu fuori all’intemperie poverino, ti scalmanavi tanto per procurarmelo, io, rannicchiato in un cantuccio, sul mio sofà, fra le carte vertiginose di cifre, le carte geografiche postillate solcate ammonticchiate a centinaia, col mappamondo tutto bucherellato ai piedi, livido d’impazienza aspettavo l’ora l’istante di potere uscire, stendere le mani, quando avessi sentito sparare proprio l’ultimo colpo, solo! Solo, intendi?","YES"
"Palazzeschi_Aldo-Due_imperi_mancati-1920","Palazzeschi Aldo","Due imperi mancati","1920","Non tu ed io, bada. Fossimo rimasti insieme! Che orrore!","YES"
