"filename","nome","titolo","anno","chunk","DIL"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","﻿Aldo Palazzeschi Il Codice di Perelà L’Utero nero Pena! Rete!","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","Lama! Pena! Rete!","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","Lama! Pe... Re... La... – Voi sareste un uomo, per caso?","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","– No. Io sono una povera vecchia, un uomo per caso sarete voi. – È vero, è vero, scusate, avete ragione, voi siete una povera vecchia, un uomo sono io.","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","– Voi che cosa siete? – Io sono leggero... un uomo leggero... tanto leggero... e voi siete una povera vecchia, lo so, come Pena, come Rete, come Lama, anche loro erano vecchie. Sapreste dirmi se ciò che si vede in fondo a questa via è la città?","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","– Sì. – Quella che si vede laggiù sarebbe dunque la casa del Re? – No, è la porta della città, e quelle sono le sue mura.","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","La casa del Re è posta in mezzo d’un giardino, circondata di altissime cancellate e bene guardata dai vigili. Quei cittadini uccidono spesso il loro Re. Ora è Re Torlindao.","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","Ma voi siete diretto alla città, signore? – Sì. – Ci sarete fra poco.","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","E di dove venite? – Di lassù. – Non vi hanno mai veduto in città?","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","– Ci vado per la prima volta. – Guardate, guardate quella nuvola di polvere che avanza verso di noi, sono i vigili del Re, è la scorta a cavallo, vengono per fare una perlustrazione nei dintorni. Vi saluto, addio, addio signore, vedendomi con voi potrebbero sospettare, se vi interrogano sappiategli rispondere, sospettano con facilità, e voi potete colpire i loro occhi.","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","Buon viaggio, addio. – Hai visto come lo abbiamo impolverato? Non si capiva più che cosa fosse.","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","– Quando gli siamo stati vicini m’è parso di vederlo scomparire. – È vero, anche a me. – Ma quello non era mica un uomo, sapete.","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","– Che cos’era, sentiamo. – Sembrava una nuvola. – Per forza, lo abbiamo ricoperto di polvere.","NO"
"Palazzeschi_Aldo-Il_codice_di_Perela-1911","Palazzeschi Aldo","Il codice di Perela","1911","– Una nuvola sembriamo noi, su questa porca strada. – No, no, l’ho visto prima che la strada fosse invasa dalla polvere, è un uomo di fumo. – Salame!","NO"
