"filename","nome","titolo","anno","chunk","DIL"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","﻿ Bemualda, 1 Novembre. Mio caro Johnny, eccomi a Bemualda: sono giunto che era già notte. Tre ore di vettura mi hanno, posso dire, assassinato: sono irrigidito.","NO"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Tu hai veduto la giornata. E sono da tre ore chiuso quassù. Che cosa ti posso dire?","NO"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Che cosa ti posso incominciare a dire? Sono tanto stonato... sbattuto... né so orientarmi ancora. Sono entrato senza guardarmi attorno, senza volere, senza tentare di riconoscere o ricercare.","NO"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Ed eccomi in questa stanza. Non ne sento che l'alito della vecchia polvere, e l'alito mio quasi taccio a questi poveri tarli che immagino padroni, comodi padroni della villa. Non ho visto nulla di fuori, e nulla avvicinandomi a Bemualda.","YES"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Tu hai veduto la giornata; la nebbia quassù era intensissima. Tutte le finestre della villa sono chiuse e tutte rimarranno così, soltanto quella della mia stanza si aprirà. Abiterò questa e un'altra più piccola, vicina, che prende luce dal tetto.","NO"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Vedrò la campagna rude e nulla di umano, spero, mi disturberà se io mi affacci talvolta. Tu lo sai, tutto rimarrà al suo posto, e la polvere di quindici anni non verrà disturbata. Appena giunto mi sono buttato sopra il letto grande, bianco, e vi sono rimasto fino ad ora senza dormire e senza aprire mai gli occhi.","YES"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Forse ho paura di guardarmi attorno anzi, certo, ho paura. Il lume della candela vacilla e lascia presentire dietro a me chi sa quali ombre vive, e chi sa quali altre nascoste morte, peggiori, assai peggiori di quelle. È vero, è così, ho paura di guardarmi attorno anche un poco.","NO"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Penso a te, mio caro Johnny, ti penso senza avere la forza di cercarti. Cercarti? E come ti troverei?","NO"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Ti sento tanto vicino e non ti vedo, non ti riconosco più. Grazie mio caro Johnny, grazie tanto e sempre di quello che mi hai dato e di quello che mi hai offerto, e di quello che io, forse, non ho saputo chiedere a te. Grazie soprattutto se mi saprai seguire forte, severamente sino alla fine senza, bada bene, dubitare, senza un attimo di sosta o d'incertezza, senza voltarti indietro una volta soltanto.","YES"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","È bello il nostro piano ma non deve subire cambiamento alcuno. Questo ho voluto e voglio da te, e questo a te solo potevo chiedere. Tu lo farai, non è vero?","NO"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Ne sono certo. Ti penso un poco più lucidamente, mio caro compagno, mi fermo a ricordarti ora come quando ti vidi la prima volta superbo di freddezza come un bel marmo. Dimentico per un attimo la nostra amicizia e quanto tu abbia vissuto vicino a me e ti rivedo così, bello soltanto.","YES"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","A quest'ora tu sei a Venezia; come mi fa bene di saperti costà, quando tu lo proponesti con un calore nella voce che non ti è consueto, che non è del tuo carattere, ti sentii per la prima volta balzarmi nel cuore, senti allora l'apice della nostra amicizia, il perché di essere stati insieme, la comunione di due anime tanto diverse, tanto lontane, di due anime opposte. Tu non potevi, tu non dovevi rimanere a Roma, lo hai sentito mentre io mi domandavo perché la nostra posizione fosse incompleta. Venezia.","YES"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Così deve essere. Io non so dove tu sia ma ti seguirò cieco, ti cercherò vanamente, e mi parrà di vederti seguire ora le fiamme di un tramonto in riva alla Laguna, ora una piccola barca nera e celata. E miparrà sempre che tu abbia l'ultima mia lettera gualcita nelle mani, pensante, pensante alla sua ultima parola che allaccerà la prima di domani, pensante a questo tempo che per appartenermi troppo più non mi appartiene, pensante alla fatalità e al colore delle cose.","YES"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","E ancora rivedrò la riga fonda che ti si fa nel mezzo della fronte ancora pura quando gli occhi si fanno troppo grandi e le labbra si chiudono per non comunicare. Tutto sembra mi protegga sui primi passi. Poco distante da qui, a Croce di Strade, è la cassetta della posta: vi anderò di notte, ogni notte, per non essere veduto, per non essere sospettato, e per poterti raccontare di ogni giorno la mia vita umilmente, con semplicità.","NO"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Dalla mia stanza si accede, per una porta segreta, ad una scala angusta che porta fuori nascostamente. Domani sera ti dirò delle prime disposizioni e delle prime impressioni. Nessuno si è fatto vivo.","NO"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","E in prossimità della villa c'è una specie di fattoria in dissolvimento, la tenuta è oramai quasi tutta alienata e dispersa. Le donne consuete rimarranno al loro posto. Sono stanchissimo.","YES"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Uscirò per impostare la lettera, e al ritorno mi getterò sul letto ancora così, senza spogliarmi. Ho paura di ogni movimento della mia persona e di ogni pensiero, e della mia ombra soprattutto, non voglio, non voglio guardarmi attorno, ho paura, mi pare che le cose dormano un sonno tanto leggero che uno sguardo basti a ridestarle: non so dove sono né perché ci sono, domani, domani ti dirò. E tu mi seguirai nella corsa?","NO"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","E sarà poi una corsa, o non piuttosto una sosta? E tu mi scruterai allora, trovando per la prima volta una fissità al tuo pensiero giovanile, tu mi scruterai nella lucida immobilità e non mi chiederai, e non mi chiamerai. Tu non conosci Bemualda.","YES"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Bene è, bene cosi. E io pure devo riconoscerla. Tu la conoscerai per me, per il racconto di questi giorni: Bemualda.","YES"
"Palazzeschi_Aldo-Riflessi-1908","Palazzeschi Aldo","Riflessi","1908","Lo splendore del tuo maggio lo ricordo ancora. Troppe, troppe rose dappertutto, e troppo oro nei miei capelli. Sui colli di Toscana il Novembre ètragicamente bello, bello di irreparabile e contenuto declino, composto, nobile, austero.","YES"
