"filename","nome","titolo","anno","chunk","DIL"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","PARTE PRIMA L'appuntamento Il tempo è questo e l'ora Degli atroci delitti. MONTI - Galeotto Manf., Atto V.","NO"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","La dottrina è la sola conforme alle sacre scritture è la sola che possa conciliarsi colla ragione e colla morale. MANZONI - Sulla morale cattolica. - No, Saverio; per tutti i santi benedetti, di cui domani è la giornata, ti ripeto no!","YES"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","Se dovessi accettare il tuo piano, e sì che la impresa se ne anderebbe come il fumo della mia pipa; e poi, chi sa, quali altre tristi conseguenze non ne verrebbero dietro, da romperci le uova nel sacco!... Oh no... no! Gli uomini che hanno del sale in zucca, come dice il nostro savio Dottor Cavilla, sanno fare le cose a tempo e luogo, с in modo che il guadagno venga coi suoi piedi.","YES"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","E sì, pardeo (1) che non mi aspettava mô io di sentir da te di cotesti dubbi, che a dirtela schietta, Lorenzone mio, puzzano le mille miglia di paura - rispondeva accigliato un giovine ventenne, non senza dar manifesti segni d' impazienza. Ed il primo a sua volta ripigliava con tulla la pacatezza di un uomo, che sa d'avere a fare con un suo subordinato, di cui poco o nulla gli cale l' opposizione. Cotesta non è paura, no, ragazzotto mio!","NO"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","chiamala pur prudenza, precauzione, previggenza, e, via, passi.... ma paura!... oh! questo fusto, Saverio mio, non sa che cosa significhi paura!","YES"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","1 Ed è per questo che io.... E poi ti voglio dire anche un'altra cosa, figliuolo mio! Questa notte l' affare non avrebbe potuto affatto riuscire.","NO"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","Perchè? Perchè ! - rispose fra un sorriso sardonico l' altro - perchè!...","NO"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","ma via Saverio - riprese dopo una breve pausa ti devi pur una volta persuadere, che prima di sapere i perchè, bisogna che gli uomini si facciano uscire i peli alle loro barbe. (1) Idiotismo calabrese in luogo di per dio. Uhm!","NO"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","sogghignò l'altro, tastandosi il mento con la mano, come per accertarsi se vi fosse barba. Uhm! - soggiunse il primo contraffacendolo eppure è vero: I peli, dice l'amico dottore, anno una certa simpatia col cervello !","NO"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","- Evvia, Lorenzone, pare che tu parlassi mô con uno, che manchi di cervello, come se mi fossi un tanghero io! Alle corte, ti ripeto che l'affare riuscirà bello e buono, se vorrai seguire il mio piano: Eccolo in due parole: Antonio anderà avanti, e si spaccerà del cane: sai che i passi d'Antonio sono tanto leggieri quanto quelli d'un gatto: una volta spacciato il cane, vi saliremo noi, e subito all'opera: le chiavi sono belle e preparate; la pioggia ed il vento ci ajuteranno per la buona riuscita. Anzi ci guasteranno ogni cosa !......","NO"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","- Uhm! - ripeteva il giovine allungando il muso - Ti conosco malerba! Or che vieni avanti con quelle tue difficoltà, con quei tuoi soliti dubbi, e si, che non c'è più da far nulla!","NO"
"Palermo_Nicola-L_ipocrita_ossia_i_misteri_di_Calabria-1867","Palermo Nicola","L ipocrita ossia i misteri di Calabria","1867","quando ti entra in zucca una qualcosa, non v'è santo che te la possa togliere! E. Lorenzone, che tale era il nome del più grande di quei due che ivano cosi ragionando, se la rideva sotto i baffi, mentre l'altro ricominciava a dire: - Ma, per la Madonna, camminando di questo passo noi non combineremo mai una maledetta! Facendoci scappare dalle unghie cosi belle occasioni, finiremo col perdere il sacco e la farina!","YES"
