"filename","nome","titolo","anno","chunk","DIL"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","I FRANCESI NELLE CALABRIE La partenza dal villaggio. - I Briganti.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Non v'ha gente che creda tanto ai racconti dei vecchi, alle leggende o alle tradizioni di famiglia, quanto i montanari in generale, e tra questi ben si possono annoverare in special modo i Cala bresi. In ciascuna delle loro borgate, ed in ogni villaggio, non v'è castello diroccato che non abbia il suo spettro orribile; non umile capanna senza il suo spirito familiare. La superstizione, figlia dell'ignoranza, si è impadronita talmente di questa gente, che ne ha fatto parte caratteristica della loro vita.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Dotati però di fino intelletto, sensibili di cuore, fieri di animo, arditi nelle intraprese ed appassionati alle loro rocche native, sono genti vi gorose, attive, e non date alle mollezze della vita; anzi, la continuata fatica non permette al loro spirito di cadere in quella specie di letargia cotanto comune in seno alle città. Tra costoro dunque condurro il mio lettore, narrandogli un frammento di storia che ricorda glorie e delitti, virtù ed infamie: - Una pagina di storia calabrese. Sorgeva appena il sole, foriero di uno di quei ridenti giorni che sogliono rallegrare il caro cielo d' Italia, allorchè un uomo vestito alla foggia dei montanari calabresi, con piccolo fardello, ed un fanciullo che gli teneva dietro, seguito da un grosso mastino, avviavansi per un sentiero che conduceva ad una collina soprastante al piccolo villaggio di Badila dal quale erano partiti.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Il primo, giovine di età e robusto di persona, camminava innanzi taciturno, e coll'occhio fiso al suolo. Si leggevano sul suo volto le impronte di un profondo cordoglio. Il fanciullo nella sua innocente età di sei a sett'anni, non mostrava essere a parte del dolore del padre; al contrario, tutto allegro e vispo giocava col mastino, lanciandogli dei sassi, ed affaticavasi per l'erta salita tentando di raggiungere il passo del genitore.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Questi, sordo alla voce del figlio che lo pregava di aspettare, continuava il suo cammino. Di tanto in tanto si soffermava, e rivolgeva indietro n addolorato lo sguardo. Alla vista del sottoposto villaggio traeva dal petto profondi sospiri e len tamente ripigliava il cammino; finchè giunto s la vetta della collina, per l'ultima volta si ful mò lungamente a contemplare la incantevole prospettiva che presentavasigli innanzi, e rimase silenzioso spettatore di quella commuovente scena, Udivasi per aria il lieto garrire degli uccelletti.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Una fresca aura di primavera scuoteva le verdi foglie degli alberi traendone mesto mormorio e dolcemente agitava i mille fiori del ricco suolo italiano, facendone esalare i più soavi profumi. Oh come quella terra era bella e cara in quel momento! - Tutto all'intorno stendevansi bellissime campagne che davano immagine di verde tappeto di velluto finissimo.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Quà e là seorgevansi boschetti, di cedri e melaranci, e ridenti prati smaltati di fiori, con in mezzo modeste capanne. Da lungi vedevasi il vasto golfo di SantaEufemia col suo bell' azzurro e la città di Monteleone colpita dai primi raggi del nascente sole. Qui presentavansi e chine e poggi fioriti; là verdeggianti macchioni; più discosto e balze e dirupi; in fondo erte scoscese e folte foreste attraversate da agitato e spumante fiume; di sotto comparivano le bianche casupole del villaggio con l'acuminato campanile nel mezzo, e le contadinelle e i ragazzi che canterellando guidavano numerose mandre al pascolo; tutto prendeva quel movimento di vita solito al levarsi del grand' astro, tutto aveva un non so che d'incantevole, di attraente.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Due lagrime scesero ad irrigare le pallide guance dello sconosciuto, e dai lineamenti del suo volto trasparivano i sensi mal repressi di profonda mestizia e di dolore. Lasciandosi allora cadere inginocchio, chinò la fronte ed intenerito baciò il suolo. Piangeva il meschino; e tra i singhiozzi escla mava: << Addio terra natale..... addio cari luoghi testimonî della mia infanzia, io vado lontano da voi, oppresso dal dolore, e col cuore vulnerato dalle ferite profondissime che vi avete lasciato..... ramingo e misero col solo figlio che mi rimane, io parto, e lungi da te mia patria mi ciberò del duro pane del volontario esilio;.... altro cielo, altra terra mi darà un ricovero.... ed alla fine della mia trambasciata esistenza, altro terreno e non il tuo raccoglierà le mie ossa, nè vi sarà un segno ove riposeranno!...","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Addio cari monti! non vi rivedrò mai più!... Addio sacre mura ove pregai tante volte il Signore!....","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Addio!.... e interrotto da forti singhiozzi stringeva il figlio al seno, lo copriva di baci e gl'inondava il viso di lagrime. Presolo poi per mano, riprendeva il cammino sempre col capo abbassato ed in perfetto silenzio... Nel centro della folta ed alpestre foresta di S. Eufemia, in un luogo solo accessibile alle fiere, dimorava una famiglia più feroce e più terribile di loro.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","E di fatti osserva, o lettore, quella testa che a belva più che ad uomo si affà, tanto n'è sinistro l'aspetto; ma che ella si appartiene ad un individuo della nostra specie, lo addimostra quel lungo cappello a cono che la ricopre. Mira come essa sorge dal terreno, e lanciato un ferino sguardo d'intorno, spicca su la forma gigantesca d'un uomo imbacuccato in un mantello di pelle di montone, ed armato di schioppo. Alfine costui si porta due dita nella bocca e ne trae acuto fischio.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Nell' istesso tempo numerosi briganti, l'un dodo l'altro escono da mezzo agli alberi. Il feroce aspetto e lo svariato vestire ne formavano delle figure tanto caratteristiche, del tutto simili a quelle che s'incontrano così bene tratteggiate sulle tele del Rosa. Unitisi in gruppo, incominciarono a iarsi domande sulle occorse cose del passato giorno, ed uno di essi, il più giovane ed il più allegro della compagnia, approssimandosi a colui che abbiam veduto sorgere da terra, in tuono scherzevole gli chiese:: Ebbene Parafanti, come l'hai passata questa bella nottata sui morbidi sassi?","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Lasciami stare; proprio tutto il maledetto freddo si è scatenato questa notte a mio danno. Ti giuro che non ci reggevo più; ci voleva altro che tracannare sorsi di spiriti e coprirmi bene con questo mantello... - Quanto mi dispiace caro Parafanti, interrompevalo l'altro fingendo di commiserarlo; e perchè non sei venuto a chiamarmi? Sarei rimasto di tutto cuore in vece tua.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Per me t'assicu ro che mai non ho dormito tanto saporitamente quanto la notte passata, e tu sai come si sta caldo nella nostra dimora... Sii maledetto! mi sento tutte le ossa infrante.","YES"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","E poi, che diamine è saltato in testa al nostro capo. Quando mai abbiamo usato far guardie in questa nostra ritirata, ove sfido chiunque sulla terra a snidarci. E non ti ricordi dell'affaruccio avuto jer sera.","YES"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Forse avrà temuto che avessimo lasciato qualche traccia. - Quando ci penso, mi vien rabbia di spezzargli il cranio; e con un ahi prolungato distendeva in aria le braccia addormentate. -E finiscila una volta per sempre!","YES"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Quando incominci coi tuoi lamenti... hai un non so che... basta, volevo farti una parlata, ma il vento non mi soffia questa mattina a ben spiegarmi; e così dicendo si pose a cantare e fare delle sgambettate..... poi fermandosi ad un tratto, oh! a proposito, sai che oggi avremo una festa. - Dunque è vero!","YES"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","esclamò l'altro. - Vedi, come ha spalancato gli occhi il vecchio gattone; adesso non pensa più ai dolori. - Va, lascia lo scherzo, dimmi, è vero dunque che oggi... » - Sì, sì è vero, l'intesi dire jeri stesso dal capo.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","E cosa diceva? domandava Parafanti sorridendo con curiosità. - Ecco bello mio, così ti voglio, sempre col riso.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","- Via, raccontami, ripeteva Parafanti ansioso di sapere. - Ti voglio contentare. - Dicevo che oggi deve passare il procaccio da Napoli con una gran somma, scortato da forte compagnia di soldati.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Dunque, rispondeva Parafanti, da quel che pare, avremo un osso duro da rosicchiare. È vero, ma sii certo che dopo vi troveremo polpa in quantità. - Sì, per chi sopravvive.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","rosica. Eh! Parafanti caro, chi non risica non E a quanto ammonta questa gran somma?","YES"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Non lo so; cioè, non mi rammento bene; ma che è grossa sta certo. E credi che basteremo a far fronte alla forte compagnia di soldati? Perchè no!","YES"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Non è la prima volta che ci siam battuti contro soldati. Essi non son pratici dei luoghi, e ti assicuro che a campo aperto non vanno tanto male, ma al sentirsi schioppettate da ogni lato senza scorgere da qual mano parta il colpo, ti accerto è dura faccenda per loro. Hai inteso dove andremo ad imboscarci ?","YES"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","No. E sai a che ora deve passare? Nemmeno; ma il capo ha mandato Maso e Paolo jer sera per scoprire quanti sono i soldati ed informarci di tutto, e credo che non dovranno tardare, perchè s'è approssimata l'ora.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","In questo mentre il resto della banda incominció a schiamazzare e dar segni di gioja, e gridavano: Maso, ecco Maso... E difatti veniva di lontano un uomo tutto anelante; e giunto dappresso, tutti gli si accalcarono d'intorno chiedendogli in una sola voce: Che nuove rechi? passerà?","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","a che ora? quanti sono i soldati? Dopo di aver soddisfatto a tutti, col dire, che doveva passare verso le nove ore di quella mattina, vi fu un grido unanime di gioja.","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","Uno di loro voltandosi allora a Maso gli chiese: -E Paolo dov'è, non è venuto con te? Oh sì a proposito. Ho belle nuove da raccontarvi, mentre che aspetteremo l'ora per imbo scarci: Cosa è stato?","NO"
"Palmieri_Achille-I_francesi_nelle_Calabrie-1861","Palmieri Achille","I francesi nelle Calabrie","1861","raccontaci. Di Paolo forse? - Sì, appunto di lui.","NO"
