"filename","nome","titolo","anno","chunk","DIL"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","CAPITOLO PRIMO. La bella fetta d'angùria. I calzoni di Aquilino erano corti per quelle gambe che si facevano ogni anno più lunghe; ma quella sera riserbavano al giovinetto una piacevole sorpresa, perchè sentì alcunchè di solido dentro una tasca.","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","E non era la medaglia della Madonna, che mamà gli cuciva tra gli abiti: non era un baiocco del papa, ma una moneta con l'effige del re. Nel cielo splendeva la luna piena d'agosto; sulla terra la gente andava in processione a respirare la frescura del mare, e sentire la banda. Aquilino, trovata che ebbe la moneta, si fermò.","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","Lì, presso la barriera, c'era un venditore di angurie. Le spaccava con la coltella e, al lume di una candela, esponeva quella roridezza di fiamma. - Angurie dai semi mondi - vociava l'omaccione: - si mangia e si beve.","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","Aquilino stette un po' considerando se era cosa più saggia comperare con quel denaro una misura di brustolini, o forse anche entrare arditamente nel caffè dei signori e comperare un'offella: cose nutrienti e solide. Ma vinse l'anguria, benchè acquosa. Che bontà, ma come sottile quella fetta!","YES"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","E stava intagliando sulla scorza gli ultimi vestigi del rosso, quando il venditore gli si appressò, e gli portò una nuova fetta, grande quasi un quarto di anguria. - Ma questo cos'è? - C'è quel signore che gliela paga.","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","Il giovinetto si accorse allora che, un poco discosto da lui, sedeva un signore che mangiava anche lui l'anguria. Sorrideva, e faceva cenno di «no»! Era proprio un signore!","YES"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","con una bella barba e due occhi dolci e luminosi: ma una faccia forestiera; di quei foresti che vengono pei bagni di mare: anche perchè un signore della sua città mai si sarebbe seduto sotto una frasca a mangiare angurie. - Mangi senza scrùpolo la sua cocòmera - disse la voce di quel signore - , io non c'entro. È quest'onesto cocomeraio che è stato preso da un violento accesso di rimorso per la fetta troppo sottile che le ha dato.","YES"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","È vero, signor cocomeraio? Quel signore parlava a sbalzi, a sfumature, con un certo accento che Aquilino non avrebbe saputo ben definire di qual paese, ma non era la gorgia melliflua e cascante dei signori della sua città: oh, un forastiero. - Sai?","YES"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","- disse poi confidenzialmente - non te ne avere a male; ma mi è parso che tu stavi facendo come dicono a Napoli: si mangia, si beve e si lava la faccia. - La faccia me la lavo con l'acqua tutte le mattine. - Oh, guarda!","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","E allora prendi.... E così dicendo, gli diede una manciatella di confetti, di cioccolatini, di quelli ravvolti nella stagnola d'oro e d'argento. Gli sonavano nelle tasche.","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","Aquilino si voleva schermire, ma fu vano. - E adesso te ne vai anche tu al mare, a sentire la banda, eh? - È un po' tardi oramai, signore, e mamà non va a letto se prima non vado a casa io.","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","- Ma tu sei l'araba fenice dei figliuoli. Lavori anche? - Studio, signore.","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","- Oh, guarda! e cosa studi? - Il liceo, signore!","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","- Il liceo? - E colui corrugò le ciglia. - Il liceo, sì: oh bella!","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","Perchè mi guarda così? E parve ad Aquilino che gli occhi di quell'incognito lo fissassero stranamente. Ma fu un attimo.","YES"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","Attinse dalle tasche altre manciate di confetti, e a forza li insinuò nelle tasche di Aquilino. - Così ne porti anche alla mamma che aspetta, vero? Oh, puoi accettare senza scrupoli.","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","Io sono il padrone delle cose dolci: io vivo sempre in mezzo alle cose dolci. - Cosa? - Sono un dolciere.","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","Vai, vai! Gli àngioli. Aquilino si destò il dì seguente col bel sole d'estate e con una vaghezza nel cuore di incontrare nella luce del giorno quel così dolce signore.","YES"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","- Che buoni confetti, quelli col rosòlio dentro, e le mandorle toste! - Non sono certo quelli del droghiere, - confermava la mamma, - che c'è più gesso che zucchero; e con quei numeri del lotto, che poi non vengono mai. Che mattino gioioso!","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","C'erano lì, nella stanzetta, tutti i libri della scuola: un po' in vacanza anche loro. E i libri di scuola riposavano, un po' perchè era il mese delle vacanze; e un po' anche perchè, da qualche tempo, fra il giovinetto ed i libri di scuola si interponevano gli àngioli della terra. Aquilino era oramai entrato in quella beata costellazione dello zodìaco della sua esistenza, in cui davanti agli occhi meravigliati appaiono figure con l'aurèola d'oro in testa, come gli àngioli che i pittori di una volta dipingevano.","NO"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","Erano teste chiomate di giovanette. Oh, quante! Oh, come belle!","YES"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","Con gli occhioni pietosi o sorridenti su di lui. Oh, come pure! perchè, dopo la testa chiomata, non appariva allora che un manto che ventilava, come appunto negli àngioli degli antichi pittori.","YES"
"Panzini_Alfredo-La_madonna_di_Mama-1916","Panzini Alfredo","La madonna di Mama","1916","Spesso la stanza era piena di queste testoline. Provava una dolcezza di sogno; e tutt'al più - ogni tanto - qualche fremito strano nelle maschili membra; del quale fremito non trovava allora la relazione con tutti quegli àngioli così puri; e insieme col fremito, una gran distrazione. E bisognava proprio che fosse un bravo figliuolo per non abbandonare interamente i suoi libri di latino, di greco, di matematica, che erano proprio niente in confronto degli àngioli.","YES"
