"filename","nome","titolo","anno","chunk","DIL"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","﻿FERDINANDO PAOLIERI Novelle agrodolci STORIELLA STUPIDA DI VITA COTIDIANA","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","S'erano avvicinati per quel fascino simpatico il quale non ha spiegazione che nella probabilità di leggi oscure da cui sono regolati tutti i movimenti dell'universo. La giovinetta che coglieva fragole e lamponi avvolgendosi tra il verde della boscaglia tutto illuminato dagli occhi d'oro del sole e dal traforo azzurro dei rami e delle frasche, aveva visto il pittore curvo sul suo lavoro e gli s'era messa alle spalle, in silenzio. Poi il cuore aveva traboccato dai labbri.","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Dopo un'ora già erano amici e scuoprivano. con lieto stupore, la meravigliosa identità delle loro vedute, del reciproco senso della vita e di quell'arte che l'avviva e la rende sopportabile, piacevole, bella, alle creature elette a cui la bontà viene largita, come un dono conseguente e necessario, dalla gioia. L'intuizione d'un colore, il raffronto tra esso colore e una nota musicale ridestava in entrambi la medesima esplosione di felicità.","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Ne seguì un colloquio immediato e strano di cui il significato sarebbe stato, certamente, incomprensibie ai profani, come ai primi esploratori il linguaggio gutturale degli indigeni di Tomboctù. - Quell'ombra violetta mette una nota fredda così simpatica fra quegli smeraldi.... - E accanto, quei tronchi di lacca.... - E sopra, quel triangolo di cobalto. - E in primo piano quel tritume secco, tutto color d'oro spento.... - Già, è la nota che sento cantare più alta.... - Oro tra rubini e topazii.... - Proprio.","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Uno squillo d'oro fra tòni freddi, ma puri.... La tavoletta con l'impressione violetta, cobaltina e d'oro, giaceva colla cassetta al piede d'un tronco di pino, fra le barbe enormi simili a tentacoli irrigiditi, e lottava coraggiosamente col tumulto sinfonico circostante nel quale si mescevano, rutilando e mandando scintille, sprazzi iridati di pietre preziose. Una capinera venne, d'un volettino fremente, a posarsi sulla cima della conifera e gorgheggiò, con insolenza: Bene mio!","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","bene mio!... Quel trillo fece sentire ai due il silenzio e dal silenzio balzò, a un tratto, il rammarico del ruscello, in fondo alla ragnaia di felci e corbezzoli, che pareva sbaciucchiare i sassi, gemendo invisibile. Poi le cicale, dopo una sosta fatta quasi per vedere ciò che avvenisse, ripresero inebbriate a sbattersi qua e là, nella gran luce ronzante d'ali e di pòlline, e il canto dell'esistenza travolse tutto, come il crescendo d'una sinfonia sgorgante all'infinito da qualche orchestra prodigiosa.","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Ora i due giovani non parlavano più. Pareva avessero paura di non potere udire le proprie parole e le teste si avvicinarono insensibilmente, perchè divenisse più manifesto il linguaggio degli occhi. E l'uccellino, su in alto, tra gli aghi lucenti della conifera, trillò di nuovo: Bene mio!...","YES"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Le bocche s'erano incontrate e congiunte. Dopo il bacio, il bosco ripiombò nel silenzio, o, per lo meno, i due amanti non sentirono più la melodia sonora che riempiva il bosco scuotendolo come un gran cembalo d'argento. Le parole tornarono ad affiorare sulle bocche umide e furono parole di paura, domande volgari, di vita triste e uniforme, consueta.... Lui disse di sè, chi era, come viveva, giorno per giorno, ora per ora, calmando la fame coi frutti dei campi, senza pensare all'inverno.","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Lei raccontò di suo padre che stava alla testa di una immensa cartiera, sempre in viaggio, senza vedere i luoghi per dove passava, intento soltanto a procacciarsi guadagni, sognando un genero capace di chiudersi come lui in uno studio gelido, tutto tappezzato di campioni di carta, sedendo a una grande scrivania di noce davanti a grossi registri pieni di cifre. Egli aggiunse di sapere che a inverno avrebbe dovuto sguazzare nella neve, passando di fronte a palazzi colle finestre illuminate, sui cui davanzali i passerotti smarriti picchiavano col becco nei vetri, gonfiando, per riscaldarsi, le piume del petto, e domandando una briciola di pane. Lei accennò, in terra, a una lunga riga di formicole nere le quali, senza posa, inceppate da ostacoli inverosimili, sassi e fili d'erba che evitavano, girandovi intorno faticosamente, trascinavano con fatica chicchi di grano e larve d'insetti venti volte più grossi di ciascuna di loro.","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","- Odio le formicole! - disse. - Esse non hanno mai un'ora di gioia!","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","- rispose lui. - Già!... l'inverno mangiano, al buio, come in sogno, i tesori che hanno accumulato l'estate, mentre tutti gli altri animali s'abbandonano al piacere.","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","- A chi gode, veramente, anche un'ora sola, non rimane più nulla da desiderare. Tacquero; davanti a loro s'apriva il fondo violetto del bosco e ognuno vi scorgeva delinearsi la visione del futuro. Lui vedeva una strada interminabile, sotto un cielo livido d'uragani, e lungo la strada la gente lo additava per vagabondo e lo rincorreva coi bastoni, mentre i cani abbaiavano.","YES"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Lei vedeva una casa bellissima, ma triste, dove i giorni si succedevano lenti fino alla sera quando uno sconosciuto sarebbe tornato, come suo padre accigliato, nervoso, disfatto, mangiando in silenzio e andando poi a letto, lasciandola piangere. Lui disse tristamente: - Bisognerebbe che non ci fosse l'inverno.... - È a causa dell'inverno, - rispose lei, - che la gente s'affatica tanto. - Eppure riprese lui, se chi ha tutto lasciasse tutto per correr dietro a quel poco che non può avere e che formerebbe la sua felicità, avrebbe risoluto il problema.","YES"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","- È vero, - rispose la giovinetta - ma.... e se chi non ha nulla s'adattasse alla tristezza della formicola per aver tutto? - Allora quello che avesse lasciato tutto non troverebbe più la felicità perchè la felicità forse è riserbata a chi non ha nulla. - E una volta analizzato il sogno, che cosa si sognerebbe?","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","La felicità sta forse nel concepirla, ciascuno a modo suo, e nel cercarla sempre senza poterla raggiungere, mai.... Tacquero. Lui raccattava il panchetto, lo piegava, l'appoggiava contro una pianta, infilava l'impressione nel portastudî, chiudeva la cassetta, si disponeva a partire.","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Lei cercava d'allontanarsi cercando fragole e lamponi salvatici tra le felci. A un tratto si fermò e disse: - Io credo che ognuno abbia il suo destino segnato. Egli rispose gravemente: - Per distaccarsi dal proprio destino non c'è che morire.","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Lei tornò addietro e guardò a lungo, gingillandosi macchinalmente con un fascio di erbe silvestri strappate a caso nel cercare i lamponi, quel bel giovine dall'aspetto stanco e un po' strano, da cui s'era lasciata baciare. Lui avrebbe voluto andarsene e sentiva che ancora non gli riusciva. Finalmente, dopo qualche istante d'imbarazzante silenzio la giovinetta chiese con un filo di voce: E se io mi ribellassi al mio destino?","YES"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Se io, veramente, facessi quello che nessuno osa fare, quello che, forse, soltanto una donna può osare? se io lasciassi tutto per avere la felicità? - La felicità?","YES"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","come? dov'è, per voi, la felicità? - Nell'amore.... - Rispose la fanciulla e volse il capo altrove, arrossendo.","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Il pittore ebbe un impulso istintivo verso di lei, la sua faccia si colorì vivamente, la mano che impugnava la cassetta e il panchetto li lasciò cascare sull'erba umida; ma quasi subito egli si contenne, il suo sguardo divenne duro, la bocca beffarda. - No! - rispose con forza, - se io fossi un uomo come tutti gli altri vi avrei già ripresa tra le mie braccia, ma io sono un poeta, e non posso agire come i miei dissimili.","NO"
"Paolieri_Ferrdinando-Novelle_agrodolci-1925","Paolieri Ferrdinando","Novelle agrodolci","1925","Io leggo nel libro della vita, con grande limpidezza, e so comprendere quel che vi è scritto... I nostri destini sono incrociati, i loro vertici non potranno mai toccarsi. Non mi capite?","NO"
