"filename","nome","titolo","anno","chunk","DIL"
"Parolini_Gaetano-Novelle_del_Cavaliere_Gaetano_Parolini-1835","Parolini Gaetano","Novelle del Cavaliere Gaetano Parolini","1835","ALLO ONORANDISSIMO AMICO MIO Barone Gaetano Cesta Rappresentante della Amministrazione generale delle Finanze delli Ducati di Parma, Piacenza e Guastalla. A Voi solo (che ad altri certamente non mi oserei), siccome più di una volta ho fatto certa sperienza della amorevolezza dell'animo vostro verso di me, intitolo e dono questo mio povero libricciuolo, al fine di darvi un pubblico e solenne contrassegno di gratitudine, e di quella schietta costante amicizia che da lunghi anni mi tiene dolcemente stretto a voi. Dissi, che ad altri non mi oserei, e ne ho giusta ragione, conciossiachè non vi ha altri che l'amico benevolo, che non isdegni di accettare dallo amico suo anche una frivolità ed una meschinità, siccome la è questa: perchè lo amico vero, quale voi siete, sguarda unicamente il cuore di chi fa la offerta, e non mica il pregio, e la ricchezza del donativo.","NO"
"Parolini_Gaetano-Novelle_del_Cavaliere_Gaetano_Parolini-1835","Parolini Gaetano","Novelle del Cavaliere Gaetano Parolini","1835","Ed in verità quale cosa più misera di cotesta! Sono ventuna Novellette, che ho potuto lasciar scorrere giù dalla penna al fine di smorbarmi (se mi si vuol consentire la frase), e di darmi un po'di ristoro e di passatempo ne' pochi momenti di riposo che mi concedeva l'esercizio del faticoso e nojevole ministero (per non chiamarlo pieno di pene) della Magistratura Criminale, che ho sostenuto presso che sei lustri; ed anzi vi dirò, che d' alcune di esse Novelle quel Ministero istesso ne ha fornito il subbietto. Ed io ho posto l'occhio sopra di voi per dedicarvele, poichè mi pare che vi stiano bene, sendo elleno liete e sollazzevoli; così che spero varranno a storre la vostra mente per qualche istante da quella immensa farraggine di pensieri che debbono affaccendare il vostro cervello, e stancarlo a dar ricapito a quella grossa somma di affari pubblici che avete sulle braccia, li quali conduceste sempre e conducete tuttavia a prospero termine, me mercè quello ammirabile senno congiunto alla più squisita sottile probità, di cui siete fornito.","NO"
"Parolini_Gaetano-Novelle_del_Cavaliere_Gaetano_Parolini-1835","Parolini Gaetano","Novelle del Cavaliere Gaetano Parolini","1835","Che Iddio benedica voi sempre e le vostre intraprese, e la vostra carità verso li miseri che fate gioir cotanto del vostro cuore, e faccia felice voi e quella illustre virtuosissima Dama vostra donna, e tutta infine la a me dilettissima famiglia vostra! Voi le troverete scritte, come si usa di dire proverbialmente, giù alla carlona; ma voi sapete bene, quanto so io, che anche questo cotale modo talvolta è pregno di utilissime dolcezze. Basta: voi ne giudicherete.","NO"
"Parolini_Gaetano-Novelle_del_Cavaliere_Gaetano_Parolini-1835","Parolini Gaetano","Novelle del Cavaliere Gaetano Parolini","1835","Vi avverto che non vi troverete nulla affatto del romantico, che oggi è tanto in voga; perchè, essendo io tagliato giù col piccone ed all'antica, non avrei potuto sposarmi a questa moda. Eglino sono in vece tutti fatti avvenuti a' miei tempi nel nostro paese, e posso dire trenta, quaranta, cinquant'anni fa, tutti veri accaduti sotto li miei occhi, e non ho fatto che appiccicarvi un po' di frangia perchè facciano un po' più di bella e piacevole mostra. Vi parra forse strano, e quasi non credevole, che io oppresso e lacerato l'anima dal dolore, che m'accompagnerà al sepolcro, per la perdita che ho fatta testè della cara mia unica figliuola, che era la pupilla degli occhi miei, io abbia potuto por mano a fare questa edizione; ma sappiate che ho tolta appunto a bella posta questa occupazione come una medicina lenificativa della piaga insanabile dell' anima mia, avendo anche sentito dentro di me la voce di Dio comandarmi di vivere ancora insino che a lui piaccia per utilità della povera mia numerosissima famiglia, che altrimenti l'immenso affanno m'avrebbe ucciso.","NO"
"Parolini_Gaetano-Novelle_del_Cavaliere_Gaetano_Parolini-1835","Parolini Gaetano","Novelle del Cavaliere Gaetano Parolini","1835","Gradite adunque, mio ottimo amico, gradite il dono, leggete e ridete, che ne avrete subbietto più di una volta, e vogliate essermi mai sempre amico, come mi foste infino ad ora, la quale cosa gioverammi di un altro conforto, e crediate che il mio cuor vi rimerita con giusta misura dello affetto del quale da tanto tempo mi fate beato. ALLI CORTESI E DISCRETI LEGGITORI Nessun di voi sia fello. Innanzi che l'uncin vostro mi pigli, Traggasi avanti l'un di voi, che m'oda, E poi di roncigliarmi si consigli.","NO"
"Parolini_Gaetano-Novelle_del_Cavaliere_Gaetano_Parolini-1835","Parolini Gaetano","Novelle del Cavaliere Gaetano Parolini","1835","DANT. Inf. C. a1, vers.","NO"
"Parolini_Gaetano-Novelle_del_Cavaliere_Gaetano_Parolini-1835","Parolini Gaetano","Novelle del Cavaliere Gaetano Parolini","1835","73 e sng. L' anno 1817 uscì alla luce in Milano, per le stampe del fu Giacomo Pirola, un libro, che portava in fronte il titolo: Novelle e Versi di Autori incerti Piacentini; del quale feci io la comparsa di esser l' Editore, come che fossi in realtà sì delle Novelle che de' Versi stessi P'Autore; e volli farlo alla imitazione di quello antico dipintor greco, il quale dietro la sua tela sposta in mostra si teneva celato al fine di udir quel tanto che li passanti ne direbbono, che a tor via le mende gli insegnerebbe, e così l'arte perfezionare. Ora però avendo abbastanza conto, che quel primo mio tentativo (veramente arrischiato, in un genere massimamente di letteratura da più che tre secoli andato fuor d'uso, e difficilissimo, o si voglia sguardarlo dal lato della invenzione, o dall'altro ancor più arduo dello stile, che a mio pensare, affinchè senta buon sapore il lavoro, debbe accostarsi il maggior possibile a quello degli Scrittori del secol d'oro), quel mio tentativo, si disse, avendolo scorto ottenner accoglienza favorevole più assai che non gliene era dovuto, e che potessi osar di promettermi, egli è per tale ragione che ho deliberato oggi mostrarmi fuori alla scoperta con lo ristamparle sotto il nome mio vero; nella qual circostanza ho voluto altresì farvi l'aggiunta di alcune altre nuove affatto, e ad un tempo restituir le antiche alla genuina loro lezione, purgandole da quelle tipografiche mende, cui talvolta la più scrupolosa attenzione non vale ad evitare.","NO"
"Parolini_Gaetano-Novelle_del_Cavaliere_Gaetano_Parolini-1835","Parolini Gaetano","Novelle del Cavaliere Gaetano Parolini","1835","Siccome poi dallo starmi dietro al quadro, udii che ad alcuni schifiltosi, ai quali quel poco di amaricante, di che odora per certe verità che vi sono entro, il mio libro ebbe rivoltato lo stomaco (indizio che lo avean malato), in modo che quanta bile si avevano in corpo contro me vomitarono, e la croce addosso mi bandirono con poco di avvertenza, e meno di carità, bramoso perciò di avere io pace con tutti, a rammorbidire alcune frasi sono di buona voglia disceso, togliendo via di quell' aspro e un po' piccante che a que'tali fece male (quantunque coloro, se avessono avuta la pazienza gli antichi Novellieri Italiani maestri del bello scrivere, e sono nelle pub 1 bliche biblioteche, e nelle private degli amorosi della bella amena letteratura, tanto romore non avrebbon menato, siccome han fatto: conciossiachè quelli, oh! quelli sì, avrebbon trovati pieni zeppi di ben altro amaro, che non è quello che ho io nelle mie mescolato). Comunque però sia la cosa io voglio, 'lo ripeto, buona pace con tutti, e così sia; ed a questo fine voglio anche alcune brevi mie parole indirizzare agli Uomini di Lettere propriamente tali, li quali, per effetto appunto della sapienza loro, sono sempre di animo nobilissimi e generosi, a quindi di ogni maggiore reverenza degni, affinchè sappiano per primo: quanto il cuor mio devotamente li onori e veneri; e poscia, che, pubblicando io coteste mie frasche, non mi intendo di avere la stolta arroganza e pretensione (che fora troppo ridevole) di volere venirmi a stare a lato di loro, conciossiachè so assai per conscienza (e non è già falsa modestia) di essere io uomo di nessune lettere, ma soltanto amoroso caldamente di quelle, le quali averei sì bene di buon coraggio, e di lena, con grande passione coltivato, se la necessità di procacciar pane non avessemi trascinato repugnante ad altri nojevoli studj; onde è che queste dette mie frasche ho messe insieme per dare a me un po' di passatempo, e di svagamento dalle fastidiose fatiche, e sono mosso a renderle di pubblica ragione per rimeritare li amici miei del tanto affetto col quale mi hanno impulso a ciò fare.","NO"
"Parolini_Gaetano-Novelle_del_Cavaliere_Gaetano_Parolini-1835","Parolini Gaetano","Novelle del Cavaliere Gaetano Parolini","1835","Per la qual cosa tengomi confortato della amorevolezza di questi, e del patrocinio che impetro di quelli, sicchè vogliano e gli uni e gli altri me difendere, che non sia roncigliato dal rabbioso diabolico sciame de' Malebranchi, de' Scarmiglioni e Calabroni, che altro uffizio non fanno, ed altro diletto non assaporano, fuor quello di straziare quanti sono che loro capitan tra le mani, che non dierono giammai, e non danno ad essi nè impaccio, nè briga. Vivete felici, miei buoni e cortesi leggitori. NOVELLA I.","NO"
"Parolini_Gaetano-Novelle_del_Cavaliere_Gaetano_Parolini-1835","Parolini Gaetano","Novelle del Cavaliere Gaetano Parolini","1835","Chi la fa l'aspetta: egli è prover bio volgare ed antichissimo, che dovrebbe essere innanzi agli occhi di molti, li quali, con certe loro maliziose arti, stanno sempre su quello d'ingannare e di tirare l'altrui a loro, ed hannovi tanto l'animo, che non credono che alcun altri possa loro fare il rimando, e non se ne guardano. Se facessono la ragion del compagno, non interverrebbe loro quello che intervenne ad un vecchio, siccome sono ora per raccontarvi, il qual fece la dura esperienza, che alcuna volta lo ingannatore si rimane appiè dello ingannato. Voi dovete adunque sapere che son di molti anni che, nella amenissima valle di Tidone fu un vecchio, il quale, per non mancare della natura d' alcuni de' vecchi, nodriva una certa sua avarizia, ajutata da tali altre sottilissime sue malizie che gli avean procacciata la riputazione del più eccellente arcadore che fosse mai stato; e Iddio ne scampi a chi avesse avuto per mala ventura a fare contratti con lui, che non ci era nè via nè modo di farlo stare al quia; conciossiachè, sebbene ei venisse le più volte attuffato nel torto per insino alla gola, tirava a mano pur tuttavia certe sue scappatoje, che faceva passare in conto di ragione, ed il compagno ne rimaneva vinto ed arcato senza replica e con molta passione.","NO"
