"filename","nome","titolo","anno","chunk","DIL"
"Pescio_Amedeo-Croce_e_Grifo-1914","Pescio Amedeo","Croce e Grifo","1914","﻿AMEDEO PESCIO CROCE E GRIFO Croce e Grifo... Fede e Forza... Come osai dare il titolo gagliardo a poche pagine giovanili, ora unite ma non più forti, dove non è che un po’ d’amore per il passato? Non so come; il titolo venne da sè, non so quando; certo ripensando a quella forza, a quella fede dei Padri, che sol ieri, al Mergheb, brillò viva, come mai più dal giorno di Calatafimi. Or io, sentendo meglio che la penna non sapesse scrivere, la virtù dei lontani, nel dì che parve rinnovata, accolsi i vecchi simboli della Repubblica e li impressi sul libro, come vorrei fare sul cuore di nostra gente.","YES"
"Pescio_Amedeo-Croce_e_Grifo-1914","Pescio Amedeo","Croce e Grifo","1914","Il superbo sigillo dell’antico Comune sulle troppo povere pagine, oggi vorrà dire quel che pensa e sente ogni più umile Italiano di questa fiera terra di navigatori e di crociati, di mercanti e di Garibaldini: rinvermiglia la Croce e il Grifo stride, gagliardamente, sotto il Tricolore. Amedeo Pescio L’ABAZIA DEGLI AMMIRAGLI San Matteo.","NO"
"Pescio_Amedeo-Croce_e_Grifo-1914","Pescio Amedeo","Croce e Grifo","1914","Come voto per il restauro della bellezza antica. Quando la Cortesina gaia e bella, fiore vermiglio di messer Martino, vergin reina della Domoculta, rise e pianse l’ultimo bacio della bocca pura sull’omero paterno, sopra il capo canuto, incline dolcemente alla carezza della bimba biondissima e leggiadra... quando la Cortesina uscì nel sole di sue nozze, e più non venne, dal gineceo dei D’Oria, cicaleccio e ridere malizioso d’ancelle, e tacque il donnesco stupor gentile attorno ai bei cofani incisi, morbidi di sete... il D’Oria bianco restò con dei fantasmi nella squallida casa dei suoi morti, nella squallida casa dei suoi anni, fatti ricordi e spasimi. L’Evangelista in quel suo cuore stanco, dov’era un figlio morto e mai sepolto, mise il fervor di Dio, mise la speranza e la luce della morte: la verità della seconda vita...","NO"
"Pescio_Amedeo-Croce_e_Grifo-1914","Pescio Amedeo","Croce e Grifo","1914","E allora, nel Campetto, dove i fabri, con secolare travaglio, sonavano sulle incudi, una preghiera d’opera per la Patria; nel Borghetto dei D’Oria, sorse allora la chiesa che a Genova ed al mare, battesimò gli eroi: cuna e bara ai secoli di gloria, s’alzò a pregare, nell’evo fosco e fiero, l’abazia degli Ammiragli. * * * In quel cavo di rupe che Fruttuoso aveva santificato col suo nome, in quella pace di scogli, dove il mare e l’eremo di Capodimonte pregavano a ogni vela che veniva, portando un D’Oria che volea dormire, vigilando ancora i flutti memori, Martino non giunse immoto e gelido nel saio mortuario; giunse vivo in vigilia di umiltà, di penitenza, e mandò tosto frate Pietro alla Badia nuova, che allora appena respirava i primi aromi di Levante ed ascoltava le più antiche preghiere, i voti maschi degli Avi. Così Pietro fu il primo priore di San Matteo, e dopo lui Ugone e Marcoaldo, Guglielmo e Ingone e Andrea di Goano, Rolando e il Vallebella, fino a Jacopo da Lodi, Domenicano, tennero ininterrottamente, per San Benedetto e San Fruttuoso, il governo della chiesa che i D’Oria presto sacrarono alla gloria di loro gesta, portandole d’Oriente santi e gemme; da Pisa e da Venezia le bandiere dei vinti e le anime esultanti dei vincitori.","NO"
"Pescio_Amedeo-Croce_e_Grifo-1914","Pescio Amedeo","Croce e Grifo","1914","Io non dirò che del tempio primissimo, già nel 1278 rimaneva soltanto il coro, che con stupendo ardire gli astieri antichi portarono indietro venticinque braccia; io non dirò del bel mosaico del Redentore che a mezzo il Cinquecento scomparve dalla vecchia tribuna; ma a Oberto, a Lamba, a Pagano, a Luciano che salgono al tempio odoroso e sonoro, posando il sereno sguardo sul nervoso popolo plaudente, parmi che possano fare ala gli anni! Oggi le belle case dei Padri vogliono dire, nel nome degli Eroi, il dolore di non chiudere, nel quadrato angusto, la visione intatta del tempo della gloria, l’imperio antico della volontà, la severa dignità gelosa del grande popolo, che una sosta lunga affatica, or che volere e vivere non sono la sua conquista, il fiero tormento d’ogni attimo martellato dalla stirpe, il grande orgoglio dell’anima infrenabile, ma quasi concessione debole e stentata di lontani distratti, atto di tutela fredda o blanda d’indifferenti esausti nel vortice di cure oziose..... Eroi saldi, di bronzo, dalle facce imperiali e marmoree, ferrei Liguri veementi, cupidi Padri tenaci, dalle anime enormi ed aspre, gremite a tumulto la piazza di San Matteo e il cuore dei vivi, sì che la gente che dolora le chiuse ogive, le logge sepolte, gli archi armoniosi scomparsi, la maestà della grazia antica e la nobile austerità del ricordo, ami placare e allietare l’anima vostra immortale, servendo colla Storia la bellezza di Genova. Voi, per Genova, pregate e ispirate chi del gran nome è degno, chi del gran Popolo è voce e forza e civil Capitano.","NO"
"Pescio_Amedeo-Croce_e_Grifo-1914","Pescio Amedeo","Croce e Grifo","1914","* * * A chiedere per l’Abazia e lo scenario stupendo delle case eroiche la bellezza già avuta; a suscitare più vigili ricordi nel popolo di Oberto; a ispirare l’orgoglio buono dei nepoti di Andrea, suoni, implori ancora una volta, la campana della Canea. Il bronzo veneto che, nel 1266, portarono in trionfo, sulle braccia aduste, i marinai di Oberto, ora più non chiama popolo e devoti; la squilla prigioniera più non si trova sulla torre di San Matteo, ma è pur ancora nell’aere, come un monito e una preghiera, l’onda grave e sonora... E chiede mercè ai nepoti ignari, per il Tempio venerabile, per la dignità della piazzetta augusta... Nei secoli sepolti nel silenzio, questa voce di popolo chiamava bene a raccolta!...","NO"
"Pescio_Amedeo-Croce_e_Grifo-1914","Pescio Amedeo","Croce e Grifo","1914","Incitava alle grandi conquiste, alle giuste vendette, e non restava senza eco il grido di bronzo... Sono le risposte degli Ammiragli scritte sulla fronte del Tempio, come in regesto marmoreo... Forte arrancarono i flutti, a portar la più antica, le snelle saettie, la sera del 6 agosto 1284! Sul mare rosso lasciavano gli scogli della Meloria! Oberto pregava a poppa della San Matteo, mentre nell’ombra, tra le vele e i cavi, s’udivano gemiti e risa... Pisa!","NO"
"Pescio_Amedeo-Croce_e_Grifo-1914","Pescio Amedeo","Croce e Grifo","1914","Pisa! non più freccie d’argento e pietre, avvolte in fin panno scarlatto, diranno a scherno; – Son ricca e nulla temo!.... – Vien Corrado implacabile, recando sulla galea più forte la catena del Porto, di cui ha stretto i polsi alla Beffarda, recandola al solazzo della Vendicata, come cagna al guinzaglio.","YES"
"Pescio_Amedeo-Croce_e_Grifo-1914","Pescio Amedeo","Croce e Grifo","1914","Mastro Chiarlo narra a prora, con vivide pupille, quel suo ingegno miracoloso per cui la catena cadde infranta e svenne tosto la Lupa d’Arno. Narra, il mirabile fabro, quell’industre opera di vendette, e i balestrieri esultano plaudendo, e plaudono, passando, i comiti abbronzati, i maestri delle vele; i grifi del Tirreno taciturni. Il cuor del popolo raggiò la gioia sul mare che portava lo sciame dei panfili e le galere di messer Corrado: ogni torre di Genova cantava: recava il vento, un inno di campane..... Si vide l’odio ridere giocondo, allor che sulla fronte alla Badia, fu posto il fiero monile delle grandi anella salse del Porto Pisano...","NO"
"Pescio_Amedeo-Croce_e_Grifo-1914","Pescio Amedeo","Croce e Grifo","1914","La folla urlò d’orgoglio... Era fra le case merlate il tumulto mirabile del giorno in cui Oberto venne recando il gonfalone di San Ranieri e il sigillo del Comune vinto, e l’aspetto istesso avrà la piazza dei D’Oria, dopo quattordici anni.... I padri che curvaronsi, pregando, col fiero volto a terra, allor che giunse il Rosso da Bisanzio, partando le reliquie della Santa Anastasia, si rialzeranno a maledire San Marco!","NO"
