"filename","nome","titolo","anno","chunk","DIL"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","PARTE PRIMA Nell’osteria del Frate, fuor di Porta alla Croce, presso Firenze, ci era quella sera gran chiasso. Frate si chiamava di soprannome un tal Bobi Carminati, già pompiere, poi birro, o a dir meglio famiglio agli ordini del Capitan Bargello di Brozzi: e autore, rimasto sempre misterioso, del tentato assassinio sulla persona del celebre pittore Roberto Gandi, nel Vicolo della Luna.1 Per miracolo scampato alla giustizia, si era ridotto in un convento nel ducato di Lucca, ove a vieppiù stornare i sospetti, avea preso l’abito francescano, ma si sfratava presto e, buttato via il cappuccio, tornava a darla per mezzo ad ogni dissolutezza.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Insieme con la Sguancia, famosa donna di partito a que’ tempi, maestra, a dirla nel gergo che correva tra le sue femmine da conio, e i lor mezzani, del vituperoso raddotto conosciuto sotto il nome di Palla, fuggendo donde già li perseguitava la rea fama e la memoria non spenta del delitto atroce commesso alle stesse pareti dell’immondo raddotto, nel Vicolo della Luna, aveano aperto osteria in una di quelle viuzze, assai cupe e strette, che serpeggiavano nei pressi del luogo tuttora appellato la Casaccia, fuori di Porta alla Croce. Quella porta aveva allora singolare aspetto e mal nome. Vi si faceva capo, venendo da Borgo la Croce, e, entro la città, a sinistra della porta, oltre una specie di androne, che s’imbuiava sotto un foschissimo arco, era la casupola del Boia.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","E fuori della porta, a sinistra, sotto le mura, si stendeva quella angusta piazzetta, ora distrutta, sulla quale era stato versato tanto sangue, donde passavano rabbrividendo gli scellerati, la piazza sulla quale si ergeva il palco della ghigliottina. A’ due lati della porta, appoggiati alle mura della città, i barocchi loggiati sotto i quali si faceva il mercato de’ suini; e a sinistra, oltre la piazza, dove ora è un’alberata, la locanda Fazzini, in cui si riunivano volentieri coloro che faceano traffico degli animali grassi: e, dietro la locanda, tante casupole nelle quali i norcini, i salcicciai, gl’insaccatori esercitavano il loro mestiere. Tali casupole venivano ad essere quasi dirimpetto alle antiche mura, si alzavano cioè, press’a poco, dov’è oggi, dalla parte di mezzo giorno, il marciapiede della Via Circondaria del Ponte di Ferro.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Queste casupole guardavano dal lato occidentale su un ammazzatoio. Non vi erano allora i pubblici ammazzatoi, come adesso, in luoghi remoti dalla consuetudine degli abitanti. Più qua e più là sorgevano alcuni di questi ammazzatoi, che un industriale teneva a sua posta, e offriva a chi gliene chiedesse servigio; ed è tuttora vivo chi si ricorda aver visto ammazzare un bove in mezzo di Via del Melarancio, nel centro della città, fra la calca de’ curiosi, proprio come se si trattasse di gradevole e onesto passatempo.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Un fossaccio correva lungo questo ammazzatoio nel quale sgocciolava il sangue degli animali, e si gettavano sozzure di ogni specie: e molte delle ridenti palazzine, testé erette in quel punto, tornato oggi a sì vago splendore, hanno le lor fondamenta in un suolo nel quale è filtrato per secoli il succo, il ribollimento de’ più immondi rigetti. E oltre il descritto ammazzatoio, che tramandava crassi profumi, vellicando acremente le più ottuse narici, dietro la locanda Fazzini erano aggruppati gli stabbioli di certi animali, che lì pigliavano stanza a diecine, standovi a tutto loro agio, prima che avesser ne’ mercati trovato il compratore. Di là dall’ammazzatoio era una piazza, chiamata Piazza Luna, e tuttora serba il suo nome, come altra che è nel Vecchio Mercato, e questa piazza che fu poi, crediamo, queto asilo ad innocenti gallinai2, era allora ricetto a gente di pessimo affare.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","L’osteria del Frate c’era situata in mezzo a terreni incolti, a orti, a campi, e a discreta distanza dalle case, in luogo appartato e solitario; vi bazzicavano precettati, sospetti, un’accozzaglia di gente rozza, audace, manesca. E diverbi vi eran frequenti; lo spazio deserto all’intorno li disperdeva; nessuno traeva a’ rumori. Ma quella sera si gridava più forte che mai.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Il Gigante, celebre cenciaiolo, che derivava tale appellativo dalla forza erculea, dall’alta statura, dall’indole feroce, era in collera. Costui urlava come un ossesso, ad ogni suo urlo pareva tutto tremasse e si commovesse; brandiva in aria il suo gran braccio, arrossato e indurito dal tannino, il suo pugno ferreo, abituato a trattar la margherita, l’orbello, il righino e il vare3; a sollevare con gli uncini le pelli, messe al verde nelle troscie; e urlava, si accendeva contro un omicciattolo assai magro e smilzo, di fisionomia però truce e sinistra, che gli rispondeva con non poca baldanza. Dieci o undici avventori, che erano nell’osteria, assistevano, senza rifiatare, al diverbio.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","In un canto della stanzuccia sedeva tranquillo un uomo, di aspetto singolare, venuto lì per la prima volta, sconosciuto a tutti, i cui occhi sfavillavano in modo inusitato, e che aveva sembiante di osservare con la massima attenzione e trepidanza la scena che accadeva. Già la disputa era più che invelenita: i due contendenti più che esasperati. — Assassino!","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","— Canaglia! — Vigliacco! — Gridò l’uomo esile.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Ma prima che quel grido gli fosse morto nella strozza, il Gigante lo aveva acciuffato, come se fosse un involto di cuoi, e gli faceva fare per aria il mulinello. — Lo ammazza!... Per Dio!...","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Lo ammazza!... Lascialo andare, Gigante! Però a nessuno bastava l’animo di farsi innanzi.","YES"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","A un tratto il Gigante dette un ruggito: l’uomo sottile, ch’egli faceva mulinare per aria, e il cui volto era divenuto bianco come la cera, gli aveva infitto la lama di un piccolo pugnale nella guancia destra. La punta della lama gli aveva tocco il palato. L’atto fu compiuto in un lampo e gli astanti se ne accorsero, non sì tosto il Gigante proruppe in un grido strappatogli dallo spasimo e videro il sangue spicciar giù per la gota.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Tutti trepidavano, anelanti di quello che stava per accadere. Lo sconosciuto non si era mosso dal suo cantuccio: sempre più corruscava gli sguardi: dall’attenzione divorante con cui assisteva alla scena non avresti saputo dire s’ei vi fosse attore, o spettatore. Però, nel momento in cui il Gigante, sopraffatto dallo spasimo, aveva lasciato la preda, l’uomo pallido e smilzo caduto a terra, e rialzatosi, si era accostato alla porta dell’osteria e in un tratto era balzato fuori con la rapidità, la vivacità di uno scoiattolo.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Il Gigante si cavò il pugnale dalla guancia, e volse attorno gli occhi, che schizzavano fuoco. Non vide più il suo nemico. Allora anch’egli, postasi una mano sulla ferita, uscì correndo.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","L’osteria, di lì a una mezz’ora rimase vuota, a uno a uno gli avventori se n’erano andati, prevedendo qualche sinistro. Il Frate, circa le dieci, quando la campana del Bargello dava i suoi lenti rintocchi sprangò la porta e se ne andò a dormire. Due ore dopo, fu svegliato da un insolito rumore.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","La sonagliera di un cavallo tintinnava alla porta dell’osteria. Il cavallo scalpitava, nitriva. Que’ rumori si prolungarono per alcuni minuti, rompendo, l’alto silenzio della notte stellata.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Il Frate scese in punta di piedi, riaprì la porta, protese innanzi a sé il lanternuccio acceso, che gli serviva di solito a farsi lume quando andava nelle cantine, e dette in un grido di spavento. Gli si era parato dinanzi un barroccino e sul barroccino era disteso un uomo. Un uomo, senza testa, e tutto intriso nel proprio sangue.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","La cassa, le ruote del barroccino erano insanguinate. I lampioni, infissi ai lati del veicolo, gettavano un bagliore sanguigno, a traverso i vetri, anch’essi tutti chiazzati di spruzzi rossi. Il cadavere era rimasto riverso, il braccio destro sempre impigliato nelle redini allentate.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Il Frate, come se il suo terrore fosse a un tratto cessato, e avesse concepito un nuovo disegno, uscì nella strada, prese il cavallo per la briglia e lo condusse dinanzi a un portone accanto alla porta dell’osteria. Spalancò il portone e il cavallo entrò di slancio in una cortaccia che serviva di stallaggio, come se già il luogo fosse conosciuto dall’animale. Il Frate richiuse subito e dette mano a un’operazione, che, descritta, farebbe rabbrividire il lettore.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","In quello stesso momento una grande ombra spiccava un salto da quella parte della sponda d’Arno, fuor di Porta alla Croce, che ha tuttora il nome di Bella Riva, un trecento passi dall’osteria, e cadeva in una barca. Due braccia robuste davano subito dei remi in acqua. E la barca di repente si allontanava.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","La mattina appresso, molto di buon’ora, una donnetta tutta trafelata, presentavasi al commissariato di Valfonda. Da quell’ufficio dipendeva la vigilanza del quartiere di Santa Maria Novella, che comprendeva allora tutto il Vecchio Mercato. — Che cosa volete?","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","– domandò un birro alla donna, che tremava a vetta a vetta e che più volte fece atto di parlare, ma non poté, come se le si fosse annodata la lingua. — Voglio – disse alla fine la donna con voce debole, interrotta – voglio parlare al Commissario!... — Il Commissario a quest’ora non c’è; né se ci fosse, potrebbe darsi briga di vagabonde.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","— E io vi ripeto – ripigliò la donna alquanto rinfrancata – che voglio vedere il Commissario! — Per la Marca di Sant’Alto4, non lo vedrete... E se mi state ancora attorno finirete in bujosa5.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","La donna tornò a tremare. Due grosse lacrime le rigavano le guance. Aveva confabulato col birro in una specie d’andito quasi all’oscuro, essendo appena levati i primi albori del giorno.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","— Ma chi sei? — disse il birro. E la tirò, abbrancatala pel braccio, verso la porta di strada.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","La donna fece un gesto come per schermirsi dall’agente. Costui, entrato in sospetto, la squadrò ben bene e si accorse che sotto lo scialle nascondeva qualche cosa. — Che hai qui?","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","– riprese battendole sotto l’ascella sinistra, dove teneva tutto abboccato e stretto lo scialle. – Vediamo! — No!","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","No! Voglio il Commissario! — e la donna si ritraeva addietro, tutta atterrita.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Nel fare quel brusco movimento, un oggetto le cadde in terra. Si chinò incontanente a raccattarlo, ma il birro già l’aveva ghermito. Era un piccolo involto.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Il birro sciolse in un attimo la rozza tela che lo copriva. — Che ci è, che ci è qui dentro? — domandava fra sé, impaziente.","YES"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","La donna si era accostata al muro per sorreggersi e aveva sembiante di persona più morta che viva. — Ah, scellerata! — gridò, quando, aperto il cencio, vide che vi era dentro una mano, una mano tagliata, tutta sanguinosa.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","E tagliata di netto con strumento finissimo intorno al polso. Subito l’agente chiamò altri due compagni, che si trovavano in una stanza lì a pianterreno. Accorsero, mostrò loro la mano, e tutti e tre dettero in un grido d’orrore.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","La donna era svenuta. — Un delitto! Un delitto!","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","— disse il birro Zampa di Ferro. — Pur che non sia un brutto scherzo, che si vuol fare alla polizia! — riprese l’altro birro, denominato il Matto.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","— Ma chi oserebbe scherzare con la polizia? – interrogò aspro l’agente, che aveva trovato la mano e guardava bieco la donna e i suoi colleghi. – Va’ subito ad avvertire il Commissario – disse colui, che abbiamo designato col nome di Matto.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","— Vado subito, Mangia! — E vola – ribatté costui – come una saetta. E, mentre l’altro già correa, il Mangia e Zampa di Ferro, presa la donna svenuta, l’uno per i piedi, l’altro sotto le braccia, la condussero nella stanza di custodia, e la buttarono sulla tavola di un pancaccio sul quale risuonò la battitura del corpo.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Poi, uscirono, tirando con gran fracasso il chiavistello. Sedettero vicino alla porta, l’uno accanto all’altro. Il Mangia aveva ripreso la mano, da lui posata per un istante in terra entro la sozza tela in cui l’avea trovata involta.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","La esaminava attentamente. — Guarda, guarda, Zampa di Ferro! – disse ad un tratto.","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","– Che mano fine, delicata... È una mano di donna. — Di donna? — Sì, di donna, e ancora giovane...","NO"
"Piccini_Giulio-I_Ladri_Di_Cadaveri-1884","Piccini Giulio","I Ladri Di Cadaveri","1884","Chi sa che gran mistero stiamo per iscoprire... osserva come il taglio è fatto bene!... Il birro tutto intento alle sue ricerche pizzicava d’artista. — Questo taglio non è fatto da un assassino volgare... È fatto con strumento perfetto, da una mano pratica e sicura...","YES"
