"filename","nome","titolo","anno","chunk","DIL"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Era la sera del 14 gennaio 1831. L'orologio del Palazzo Vecchio, in Firenze, suonava le 8. Una donna, tutta velata, della quale sarebbe stato difficile dire l'età, avendo il volto coperto, ma che pareva giovane alle snelle movenze della persona, e alla scioltezza del passo, usciva da una casa in Piazza degli Amieri, traversava frettolosamente varie stradette, passava dinanzi alla Loggia del Pesce, e senza mai guardarsi a destra e a sinistra, entrava in quell'angustissimo e nero varco, che si vede tuttora fra due gruppi di case; e si chiama Vicolo della Luna.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Cotesto vicolo è così stretto che un bambino, mettendovisi nel mezzo, e allargando le braccia, può facilmente toccarne le sozze e sbonzolate pareti. La donna appena ebbe messo il piede in quel luogo oscuro, su quel pavimento viscido, sempre dilagato da scolature di acqua putrida; infetto da lordure di ogni maniera, quasi provasse un sentimento di ribrezzo, stette per tornare indietro. Ma subito si rinfrancò.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Fece alcuni passi, quasi barcollando. Era in preda ad una grande agitazione! Finalmente girò gli occhi intorno a sè per assicurarsi che nessuno la seguiva.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Si fermò davanti a una rozza porta, aperta nel muro a sinistra, e che aveva in tinta turchina sopra una lista dell'architrave il numero 5. Pose una mano sulla porta e la porta si aprì. Fu immediatamente richiusa.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","— Antonietta! — gridò un uomo con voce piena di tenerezza, stringendo la donna fra le sue braccia, colmandola di carezze. Essa non rispose, la commozione, la paura la soffocavano.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","— Non ne posso più! — mormorò, gettandosi sopra una sedia e mettendosi una mano sul cuore, che le batteva sempre più forte. — Tu dici che non ti amo — essa riprese — e pure vedi che cosa faccio per te!","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","L'uomo si inginocchiava dinanzi a lei, le prendeva le mani e gliele cuopriva di baci. La stanza, o per dir meglio la stamberga in cui si entrava, scendendo uno scalino, faceva un singolare contrasto col vicolo dal quale vi si accedeva: l'interno era ben diverso dalla squallidissima e bieca facciata, dalla grossa e sghangherata portaccia che la chiudeva. La stamberga era mobiliata con lusso, con molto lusso, le pareti erano tappezzate di una stoffa color granato, con larghe frangie dorate: di damasco color granato erano le sedie, le poltrone, due sofà, i cortinaggi di un ampio letto: sui mobili antichi, di un intaglio sapiente, erano sparsi piccoli, vaghissimi e preziosi oggetti d'arte; e qua e là, alle pareti, cinque o sei quadri moderni, che tutti rappresentavano in varie attitudini, nelle espressioni più delicate, una donna: la stessa donna.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","In ciascuno di quei quadri era lo stesso profilo; un profilo di Etèra, di Ninfa Greca; un profilo simpatico, intelligente, di cammeo antico; uno di quei profili, che certi artisti sublimi ritraevano alcuni secoli fa con la massima sottigliezza sopra pietre preziose, che oggi costano mucchi d'oro, e fanno andare in visibilio i veri amatori delle cose perfette. Dal soffitto pendeva una gran lampada di cristallo, color di rosa, in cui ardevano due fiaccolette. Quel torrente di luce rosea si riversava, diffondeva per tutta la stanza e su tutti gli oggetti una tinta soave.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Sul pavimento di legno era steso un magnifico tappeto. Una pelle di tigre, foderata di raso scarlatto, serviva da scendiletto. La donna che si era seduta, aveva alzato il velo che le cuopriva il volto.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Chiunque allora l'avesse guardata avrebbe riconosciuto la somiglianza di lei, coi quadri che la circondavano. Erano gli stessi occhi azzurri, gli stessi capelli di un biondo carico, che le facevano sulla fronte d'avorio un superbo diadema, lo stesso naso finissimo e un po' arcuato, le stesse labbra sottili e vivide come le fresche corolle di un fiore. Ci era di più la voce della donna, che era una musica, una musica celeste, carezzevole, che rapiva l'anima del suo innamorato: ci era la innata eleganza dell'atteggiamento di tutti i suoi movimenti.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","— Antonietta! Antonietta! — sospirava l'uomo, inginocchiato a' suoi piedi.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","E la guardava fisso, inebbriato, con gli occhi bagnati di lacrime. Già da cinque minuti erano insieme. — Lasciami!","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","— ella disse con gesto risoluto. Si alzò, gettò lontano da sè il velo e lo scialle, e comparve innanzi a Roberto in tutta la sua sfolgorante bellezza. Poteva avere vent'anni!","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Egli la guardava estatico, come se la vedesse la prima volta: non osava avvicinarsele: quasi tremava. La ragazza, soddisfatta di quell'ammirazione, che si rivelava così sincera e appassionata, corse verso di lui, gli gettò le braccia al collo, gridandogli: — No, io non posso, io non voglio più esistere senza di te! Gli amanti si abbandonarono alle loro effusioni.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Chi avesse potuto sorprenderli, avrebbe udito baci, sospiri, il mormorio di dolci e sommesse confidenze... Due ore dopo, Roberto, come svegliandosi con dispiacere da un sogno delizioso: — Bisogna partire — esclamò — È tardi, a casa tua ti cercheranno.... — Oh, sì.... Che ore sono? — Le dieci e mezzo. — Mio Dio, è troppo tardi — Andrò prima io per vedere se ci è qualcuno....","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Pochi minuti dopo, Roberto usciva, lasciando là porta socchiusa. Ma Antonietta, che stava dietro la porta, trepidante, tutta ansietà, sgomenta di separarsi, e chi sa per quanto dall'uomo che amava, sgomenta pure dell'ora così inoltrata, fu spaventata a un tratto dal suono insolito di alcuni passi, come di persona che fuggisse, dal romore di un corpo che cadde, da un grido soffocato, ma straziante, terribile. Infatti, un uomo d'aspetto truce e accigliato fuggiva, e salendo la scaletta, che è sulla cantonata sinistra del vicolo, entrava, spalancando con un pugno la porta rossastra, pallido, esterrefatto, nel malfamato ridotto, conosciuto col nome di Palla.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Antonietta voleva uscire, ma la paura l'agghiacciava. L'assalivano mille cupi presentimenti. Perchè Roberto non tornava?","YES"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Furono per lei istanti di indefinibili angoscie. La porta era rimasta socchiusa, e Antonietta stava per prendere una grande risoluzione, stimolata dal desiderio di sapere cosa fosse accaduto al suo amante, e dal pensiero della propria salvezza. Ma in quel momento da una finestra dell'ultimo piano del palazzo della Cavolaia, finestra che corrisponde sulla Piazza della Luna, alla quale mette il vicoletto dello stesso nome, scendeva, vibrava, nell'aria un'onda di suoni.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Lassù un povero artista, uno di quei disgraziati, talvolta pieni d'ingegno, che vanno la sera a suonare nelle orchestre, dopo aver il giorno lavorato ne' più duri mestieri manuali, si esercitava, o si allietava, ascoltando le armonie, che uscivano scintillanti dalla facile e briosa arcata del suo violino. Nel furor delle tempeste…. E le note divine del Pirata risuonavano come un canto d'innocenza in mezzo alle umide pareti di quelle corti fosche e piene di tanfo.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Incontanente al violino si accompagnò una voce, una voce strana, tremante, capricciosa, la voce di un uomo in demenza. Chi cantava era Nello Bartelloni, mezzo idiota, e parente del famoso ladro Picchiero, ospite così assiduo delle carceri criminali fiorentine. Era Nello Bartelloni, che abitava una specie di covile in Piazza della Luna, a pochi passi dalla stanza dove si trovava Antonietta.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Il giovinastro melenso viveva di doni, di elemosine; passava una parte della giornata seduto su una seggiolaccia dinanzi alla porta della sua tana, dondolandovisi di solito per ore intere: interrotto di tanto in tanto dalla tosse, o preso dal sonno. Come altri mentecatti suoi pari, aveva una straordinaria smania pei metalli, raccoglieva, in strada i bottoni, i pezzi di vetro, di ferro, gli oggetti luccicanti. Ed aveva una qualità che si nota pure in molti poco sani della mente, una passione focosa per la musica.","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","Però la sua debole memoria non era destata che per via del ritmo o del canto; riteneva e ripeteva le arie che aveva ascoltato una volta, ma era incapace di ripetere le parole senza l'accompagnamento della musica. Ecco perchè alle prime note del violino egli si era alzato dal suo pagliericcio, la memoria desta, e aveva intonato, col suo accento rauco e quasi avvinazzato, una delle più patetiche canzoni che abbia inspirato la Musa dei casti sentimenti, e continuava: Come un angiolo celeste….","NO"
"Piccini_Giulio-L_Assassinio_Nel_Vicolo-1883","Piccini Giulio","L Assassinio Nel Vicolo","1883","E così cantando, lo sciocco si era mosso dalla sua casa e veniva giù per il Vicolo della Luna, battendo i piedi nudi sulle lastre, e picchiando con la palma della mano destra sulla muraglia. All'avvicinarsi di quel canto Antonietta fu tramortita. Tutto l'inferno era dunque scatenato contro di lei?","YES"
