"filename","nome","titolo","anno","chunk","DIL"
"Pirandello_Luigi-Tutt_E_Tre-1924","Pirandello Luigi","Tutt E Tre","1924","TUTT'E TRE Ballarò venne su strabalzoni dal giardino agitando in aria, invece delle mani, le maniche; perduto come era in un abito smesso del padrone. - Maria Santissima!","YES"
"Pirandello_Luigi-Tutt_E_Tre-1924","Pirandello Luigi","Tutt E Tre","1924","Maria Santissima! La gente si fermava per via. - Ballarò, che è stato?","YES"
"Pirandello_Luigi-Tutt_E_Tre-1924","Pirandello Luigi","Tutt E Tre","1924","Non si voltava nemmeno; scansava quanti tentavano pararglisi di fronte, e via di corsa verso il Palazzo del Barone, seguitando a ripetere quasi a ogni passo: - Maria Santissima! Maria Santissima! Quella corsa in salita, alla fine, e l'enormità della notizia che recava alla signora Baronessa lo stordirono tanto che, subito com'entrò nel palazzo, ebbe un capogiro e piombò sulle natiche, tra attonito e smarrito.","NO"
"Pirandello_Luigi-Tutt_E_Tre-1924","Pirandello Luigi","Tutt E Tre","1924","Trovò appena il fiato per annunziare: - Il signor Barone... correte... gli è preso uno sturbo... giù nel giardino... All'annunzio la Baronessa, donna Vittoria Vivona, restò in prima come basita. Con la bocca aperta, gli occhi sbarrati si portò piano le grosse mani ai capelli, e si mise a grattarsi la testa. Tutt'a un tratto, balzò in piedi, quant'era lunga, con un tal grido che per poco non ne tremarono i muri dell'antico palazzo baronale.","NO"
"Pirandello_Luigi-Tutt_E_Tre-1924","Pirandello Luigi","Tutt E Tre","1924","Subito dopo però, si diede ad agitar furiosamente quelle mani davanti alla bocca, quasi volesse disperdere o ricacciare indietro il grido; poi le protese in atto di parare, accennando che si chiudessero tutti gli usci; e con voce soffocata: - Per carità, per carità, non lo senta Nicolina! Ha il bambino attaccato al petto! Lo scialle... datemi lo scialle!","YES"
"Pirandello_Luigi-Tutt_E_Tre-1924","Pirandello Luigi","Tutt E Tre","1924","E sussultò tutta nel ventre, nelle enormi poppe, di nuovo cacciandosi le mani nei ruvidi capelli color di rame: - È morto, Ballarò? Oh Madre santa! Oh San Francescuccio di Paola, santo mio protettore, non me lo fate morire!","NO"
"Pirandello_Luigi-Tutt_E_Tre-1924","Pirandello Luigi","Tutt E Tre","1924","Così dicendo, fece per cavarsi dal petto la medaglina del santo; strappò il busto, non riuscendo a sganciarlo con le dita che le ballavano; trasse la medaglina e si mise a baciarla, a baciarla, tra i singhiozzi irrompenti e le lagrime che le grondavano dagli occhi bovini sul faccione giallastro, macchiato di grosse lentiggini; finché non sopravvennero le serve, una delle quali le buttò addosso lo scialle. Seguita da quelle e preceduta da Ballarò, col fagotto delle molte sottane tirato su a mezza gamba, si lasciò andare traballando patonfia per la scala del palazzo; e per un tratto, scordandosi di riabbassar quelle sottane, attraversò le vie della città con gli sconci polpacci delle gambe scoperti, le calze turchine di cotone grosso e le scarpe con gli elastici sfiancati, il busto strappato e le poppe sobbalzanti alla vista di tutti; mentre, stringendo nel pugno la medaglina, seguitava a gemere col vocione da maschio: - San Francescuccio di Paola, santo padruccio mio protettore, cento torce alla vostra chiesa! fatemi la grazia, non me lo fate morire!","YES"
"Pirandello_Luigi-Tutt_E_Tre-1924","Pirandello Luigi","Tutt E Tre","1924","Ballarò, battistrada, alleggerito ora dal peso della notizia, quasi rideva, da quello scemo che era, per la soddisfazione d'essere uno di casa, in una congiuntura come quella, che attirava la curiosità della gente. Rispondeva a tutti: - Sturbo, sturbo. Niente.","YES"
"Pirandello_Luigi-Tutt_E_Tre-1924","Pirandello Luigi","Tutt E Tre","1924","Un piccolo sturbo al signor Barone. - Dove? Nel giardino di Filomena.","NO"
"Pirandello_Luigi-Tutt_E_Tre-1924","Pirandello Luigi","Tutt E Tre","1924","- Nel giardino di Filomena? E tutti si davano a correre dietro alla Baronessa, senz'alcuna maraviglia che ella si recasse a vedere il marito là, nel giardino di quella Filomena, che per tanti anni era stata notoriamente «la femmina» del Barone, e dalla quale egli - ormai da vecchio amico - soleva passare ogni giorno due o tre ore del pomeriggio, amoroso dei fiori, dell'orto, degli alberetti di pesco e di melagrano di quel pezzo di terra regalato all'antica sua amante. Circa dieci anni addietro, questo barone, Don Francesco di Paola Vivona, era salito a un borgo montano, a pochi chilometri dalla città, con la scorta di tutti i suoi nobili parenti a cavallo.","NO"
