"filename","nome","titolo","anno","chunk","DIL"
"Pitre_Giuseppe-Fiabe_Novelle_E_Racconti_Popolari_Siciliani_Volume_3-1870","Pitre Giuseppe","Fiabe Novelle E Racconti Popolari Siciliani Volume 3","1870","Lu giuvini di lu Furnaru. 'Na vota cc'era un furnaru, e ogni matina carricava un'unza di pani a 'na vièstia ca cci java davanti la putía [1]. 'Na jurnata dissi: «– Ora jeu dugnu st'unza di pani a sta vièstia, e 'un mi nni duna nuddu cuntu nè ragiuni; si vôta cu lu giuvini: – «Vicienzu, dumani vieni la vièstia, comu jeu cci dugnu lu pani, tu cci ha' a jiri dappressu, e ha' a vidiri unni trasi.» Lu 'nnumani vinni la vièstia, e lu furnaru cci detti lu pani; e n'àutru piezzu di pani cci detti a lu giuvini.","NO"
"Pitre_Giuseppe-Fiabe_Novelle_E_Racconti_Popolari_Siciliani_Volume_3-1870","Pitre Giuseppe","Fiabe Novelle E Racconti Popolari Siciliani Volume 3","1870","Vicienzu cci java pi dappressu a la vièstia; scontra un ciumi di latti, e Vicienzu si misi a manciari pani e latti, e a la vèstia 'un la potti arrivari cchiù. Pigghiau e si nn'aggirau nni lu sò patruni. Lu patruni comu lu vitti vièniri senza nenti, cci dissi: – «Dumani la vièstia vieni arrieri; si tu 'un mi sa' a diri unni va, jeu nun ti vuogghiu cchiù pi giuvini.»","NO"
"Pitre_Giuseppe-Fiabe_Novelle_E_Racconti_Popolari_Siciliani_Volume_3-1870","Pitre Giuseppe","Fiabe Novelle E Racconti Popolari Siciliani Volume 3","1870","Lu 'nnumani vinni la vièstia: e lu patruni cci detti l'unza di lu pani a idda e un pezzu di pani a Vicienzu. Comu la vièstia si nni iju, Vicienzu cci iju pi dappressu; scuontra e scuontra un ciumi di vinu; si mietti a manciari pani e vinu, e la vièstia si nni iju. Turnau nni lu patruni tuttu pilànnusi ca avía spirdutu la vièstia.","NO"
"Pitre_Giuseppe-Fiabe_Novelle_E_Racconti_Popolari_Siciliani_Volume_3-1870","Pitre Giuseppe","Fiabe Novelle E Racconti Popolari Siciliani Volume 3","1870","Lu patruni cci dici: – «Senti: la prima si pirduna, la secunna si custuna [2], la terza si bastuna; si tu dumani nun va' a'rrivi la vièstia, jeu ti li dugnu boni boni e poi ti nni mannu a la tò casa.» Vicienzu, mischinu, chi fici? Lu 'nnumani quannu vinni la vièstia e lu patruni cci detti lu pani, cci iju pi dappressu; cu tantu d'occhi apierti.","NO"
"Pitre_Giuseppe-Fiabe_Novelle_E_Racconti_Popolari_Siciliani_Volume_3-1870","Pitre Giuseppe","Fiabe Novelle E Racconti Popolari Siciliani Volume 3","1870","Scuontra un ciumi d'uogghiu: – «E comu fazzu? ora la vièstia mi spirisci!» Pigghia la rètina di la vièstia e si l'attacca a lu cintu; e si misi a manciari pani e uogghiu. La vièstia tirava, e iddu: – «Finissi lu pani, mi nni vinirria.» Spiddennu lu pani, Vicienzu si metti a caminari cu la vièstia: caminannu caminannu scuontra 'na massaria di vistiuola, ca l'ierva era luonga luonga e assai, e li vistiuola eranu magri ca mancu putìanu stari a l'addritta.","NO"
"Pitre_Giuseppe-Fiabe_Novelle_E_Racconti_Popolari_Siciliani_Volume_3-1870","Pitre Giuseppe","Fiabe Novelle E Racconti Popolari Siciliani Volume 3","1870","Vicienzu jera alluccutu a vìdiri l'ierva accussì luonga e li vistiuola accussi magri; caminannu caminannu scuontra 'n'àutra massaria; e vidi ca l'ierva jera sicca e spana spana, e li vistiuola gruossi gruossi ca nun pari vieru. Dici 'nta iddu: – «Taliati! Ddà ca l'ierva jera luonga, li vistiuola eranu magri; e ccà ca l'ierva mancu si vidi, li vistiuola su' accussì gruossi.» E la vièstia caminava sempri, e Vicienzu cu idda.","NO"
"Pitre_Giuseppe-Fiabe_Novelle_E_Racconti_Popolari_Siciliani_Volume_3-1870","Pitre Giuseppe","Fiabe Novelle E Racconti Popolari Siciliani Volume 3","1870","Camina camina, e scuontra 'na truoja tutta cu la cuda virticchia virticchia [3]; e si nni fici maravigghia ch'avia sta suorti di cuda. Cchiù agghiriddà scuntrau 'na brivatura e cc'era 'na buffa [4] chi java assicutannu 'na muddica di pani, e 'un la putía arrivari. Vicienzu sicutau a caminari e junciu nn'ôn purtuni.","NO"
"Pitre_Giuseppe-Fiabe_Novelle_E_Racconti_Popolari_Siciliani_Volume_3-1870","Pitre Giuseppe","Fiabe Novelle E Racconti Popolari Siciliani Volume 3","1870","La vièstia detti 'na tistata 'nta stu purtuni, e lu purtuni si grapíu e accumparisci 'na biedda Signura, ca dici ca era la Madonna. Comu idda vitti a stu picciottu cci dici: – «E tu ccà chi vinisti a fari?» Dici Vicienzu: – «Sta vièstia veni sempri nni lu mè patruni a pigghiarisi un'unza di pani; e lu mè patruni 'un ha pututu sapiri mai stu pani unni lu puorta.» – «Sì, trasi, cci dici dda Signura, ca ora ti fazzu vìdiri unni lu puorta.» E la Signura si metti a chiamari a tutti l'Armi di lu Prïatuoriu: – «Figghi miei, viniti ccà!» Scinninu dd'armi, e cui un guranu, e cui un bajuoccu, cui cincu grana [5]: ddu pani finíu 'nt'ôn mumientu. Quannu spiddíu lu pani la Signura cci dissi a Vicienzu: – «Ora tu nienti ha' vistu pi strata?» – «Sissignura: la prima jurnata chi mi mannò lu patruni pi vìdiri la vièstia unni java, vitti un ciumi di latti.» Rispunni la Signura: – «Figghiu mieu, chissu è lu latti chi dietti a mè Figghiu.» – «La secunna jurnata vitti un ciumi di vinu.» – «Chissu, dici la Signura, è lu vinu unni si cunsagrò mè Figghiu.» – «Lu terzu juornu vitti un ciumi d'uogghiu.» – «E chissu, dici la Signura, è l'uogghiu chi m'addùmanu a mia e a mè Figghiu.","NO"
"Pitre_Giuseppe-Fiabe_Novelle_E_Racconti_Popolari_Siciliani_Volume_3-1870","Pitre Giuseppe","Fiabe Novelle E Racconti Popolari Siciliani Volume 3","1870","– E chi àutru vidisti a lu terzu juornu?» – «Vitti, arrispunni Vicienzu, 'na massaria di vistiuola, ierva cci nn'era assai assai, e iddi jèranu magri magri; e puoi vitti 'n'âtra massaria, ca l'ierva mancu si vidía, e li vistiuola jeranu beddi grassi.» – «Chissi, figghiu mieu, sunnu li ricchi, ca stannu 'mmienzu lu bieni, e quantu si mancianu mancianu nun cci fa ùttili [6]; e chiddi chi vidisti grassi, e nun hannu ierva di manciari, sunnu li puòviri, ca mè Figghiu li mantieni e iddi 'ngrassanu. – E ch'âtru vidisti?» – «Vitti 'na truoia cu la cuda virticchia virticchia.» – «Chissi, figghiu mieu, sunnu chiddi chi dicinu lu Rusariu e nun l'apprisientanu nè a mia, nè a mè Figghiu; e mè Figghiu nni fa virticchia.» – «Vitti puru 'na brivatura cu 'na buffa ch'assicutava 'na muddìca di pani, e 'un la putía arrivari mai.» Dici: – «Chissu è ca un puviriddu addimannò tantìcchia di pani a una, e idda cci detti 'na botta 'nta la manu e cci la fici càdiri; e uora è cunnannatu dduocu, chi va assicutannu 'na muddichiedda di pani. – E chi àutru vidisti, figghiu mieu?» – «Nienti, Signura.» – «Allura veni ccà cu mia, ca ti fazzu vìdiri jeu 'n'àutra cuosa.» Lu pigghia pi la manu e lu porta 'nta lu 'Nfiernu.","NO"
"Pitre_Giuseppe-Fiabe_Novelle_E_Racconti_Popolari_Siciliani_Volume_3-1870","Pitre Giuseppe","Fiabe Novelle E Racconti Popolari Siciliani Volume 3","1870","Chiddu, mischinu, comu 'ntisi lu scrùsciu di li catini e si vitti 'nta lu scuru, stava muriennu, e vuosi nièsciri. – «Lu vidi, cci dici la Signura: chiddi chi chiancinu e stannu 'nta sti catini, e 'nta stu scuru, su' chiddi chi stannu 'n piccatu murtali. Camina ora ca ti puortu 'nta lu Prïatuòriu.» Si lu pigghia pi la manu, e si lu puorta 'nta lu Prïatuòriu; ddà nun sintía nienti, ma cc'iera un scuru ca 'un si vidía nienti.","NO"
