"filename","nome","titolo","anno","chunk","DIL"
"Pitre_Giuseppe-Novelle_popolari_toscane-1885","Pitre Giuseppe","Novelle popolari toscane","1885","﻿Novelle popolari toscane Giuseppe Pitrè LE NOVELLE POPOLARI Due secoli prima che Giacomo e Guglielmo Grimm si mettessero a raccogliere in Germania le novelline popolari tedesche, uno scrittore napoletano, G. B. Basile, pubblicava il suo Pentamerone, o lo cunto de li cunti, cinquanta fiabe in dialetto di Napoli1.","NO"
"Pitre_Giuseppe-Novelle_popolari_toscane-1885","Pitre Giuseppe","Novelle popolari toscane","1885","Questo libro, per non dire della Posillecheata di Masillo Reppone di Gnanopoli, che contiene cinque altre fiabe anch’esse in dialetto napoletano2, e delle Tredici piacevoli notti dello Straparola3, venne tradotto in bolognese, in inglese, in tedesco, e fu soggetto di monografie e di dissertazioni. Sessant’anni dopo del Basile, Carlo Perrault dava in francese sette Contes de ma mère l’Oye, histoires ou contes du temps passé.4 Ma il movimento scientifico sulle novelle s’iniziò l’anno 1816 co’ Kinder- und Hausmärchen de’ fratelli Grimm. Costoro fecero delle vere rivelazioni intorno alla importanza ed alla natura di queste ingenue narrazioni, credute soltanto buone a divertire i bambini; ed aprirono un nuovo orizzonte alle ricerche degli studiosi.","NO"
"Pitre_Giuseppe-Novelle_popolari_toscane-1885","Pitre Giuseppe","Novelle popolari toscane","1885","Trent’anni più tardi, le novelline popolari erano già divenute un argomento serio pei dotti. Dal 1841 in qua, a centinaia si contano le raccolte di Märchen in Germania, di Folk-Tales in Inghilterra, di Folkeeventyr in Norvegia, di Skazkas in Russia, di Paramythia in Grecia, di Fiabe in Italia, di Contes in Francia, di Cuentos e Contos nella penisola iberica; e non pochi sono i paesi d’Europa, con questo nuovo intendimento esplorati e messi a contribuzione; nè solamente d’Europa, ma anche d’Asia, d’Africa e delle più remote ed inaccessibili regioni d’America. Inglesi, Tedeschi e Russi hanno gareggiato di zelo e di abnegazione in codesto lavoro, tutt’altro che agevole quando si tratti di lingue e di paesi proprî, difficilissimo e soverchiamente ingrato per popoli di lingue e di razze diverse.","NO"
"Pitre_Giuseppe-Novelle_popolari_toscane-1885","Pitre Giuseppe","Novelle popolari toscane","1885","Grazie a questi benemeriti, noi conosciamo oramai le novelline, non pur de’ popoli latini, germanici, slavi, ma anche degli arabi, degl’indiani, de’ chinesi, de’ giapponesi e di altri popoli assai. Questo lavoro fervido, incessante, di raccoglier novelle e tradizioni popolari d’ogni genere, ha fatto nascere ne’ dotti il bisogno d’intendersi tra loro per un indirizzo rigorosamente scientifico da dare a tanta materia raccolta ed all’altra infinita che dovrà ancora raccogliersi. Così in Londra si è costituita una “Folk-Lore Society,” che da sette anni (1878) intende alla ricerca ed allo studio delle novelline, delle leggende, delle canzoni, de’ proverbî, de’ giuochi, degli usi popolari; così è sorta in Lund nella Svezia una “Società folklorica smôlandese,” così in Ispagna la “Sociedad del Folk-Lore Español” (1882), così in Italia la “Società per lo studio delle tradizioni popolari” (1884).","NO"
"Pitre_Giuseppe-Novelle_popolari_toscane-1885","Pitre Giuseppe","Novelle popolari toscane","1885","Giornali e riviste periodiche sono state fondate a questo scopo, e attorno ad esse, come a fraterno banchetto, si sono raccolti dove gli studiosi d’Inghilterra e delle colonie inglesi (Folk-Lore Record, The Folk-Lore Journal, Publications of the Malagasy Folk-Tales Society, The Panjab Notes and Queries), dove quelli della Svezia (Nyare Bidrag till Kännedom om de Svenska Landsmalen ock Svenskt Folklif, Stockholm), dove quelli di Spagna e Portogallo (El Folk-Lore andaluz, Siviglia; El Folk-Lore bético-extremeño, Badaioz; Boletin folk-lórico español, Siviglia), dove quelli delle province napoletane (G. B. Basile, Napoli), dove i dotti d’ogni nazione d’Europa (Archivio per lo studio delle tradizioni popolari, Palermo; Mélusine, Parigi). Queste varie falangi di studiosi s’ingrossano e rafforzano di giorno in giorno, e cominciano già a conoscersi, ad aiutarsi l’un l’altro sotto il vessillo della giovane scienza che con voce inglese tutti chiamiamo Folk-Lore (sapere popolare).5 Una delle maggiori sorprese che si ebbero con la pubblicazione de’ fratelli Grimm fu la rassomiglianza delle novelline tedesche con le novelline d’altri popoli d’Europa. La contadina di Niederzwehrn in quel di Cassel racconta le medesime storielle della lavandaia di Palermo, i pescatori di Albania novellano su’ medesimi temi de’ pastori di Russia; e alla distanza di centinaia, di migliaia di leghe si riscontra uno stesso tipo di racconto.","NO"
"Pitre_Giuseppe-Novelle_popolari_toscane-1885","Pitre Giuseppe","Novelle popolari toscane","1885","La sorpresa dura da più di mezzo secolo, e ogni giorno, ad ogni nuova raccolta di fiabe, si rinnova anche in coloro che, per ispecialità e predilezione di studî, a siffatte sorprese sono oramai abituati. La novellina del Re serpente o Re porco de’ varî dialetti d’Italia è Der Schlangenbrautigam, serbiano6; Or Ujack, russo7; Das Schlangenkind, greco8, ed anche Prinz Krebs9; Der Igel, boemo10; il tedesco Hans mein Igel e Das Eselin11; il sassone della Transilvania Das Borstenkind12; The Beauty and the Beast, inglese13; il danese Kong Lindorm14; il norvegiano Hvidebjörn Kong Valemon15; L’homme poulain di Brettagna16; Riquet à la huppe di Francia17; Carneirinho branco, e O principe sapo del Portogallo18; Lo trist di Catalogna19; El Culebroncito di Concepcion nel Chilì20; Story of the Bird that made Milk delle tribù cafre21; The white Serpent-King de’ Mongoli22. La Bella dei sette cedri o Le tre cedre, o Le tre melarance, ricomparisce nell’As trez cidras do amor23 e in The Three Citrons of Love di Portogallo24; nel Las tres taronjetas di Catalogna25; nel Désiré d’amour, fiammingo26; nel Von reichen Grafensohne del Tirolo tedesco27; nel Tre Citroner della Norvegia28; nel Die drei Kaisersohne di Serbia29; in Vas Laczi di Ungheria30; in Das Mädchen, das König war, avarico31; in Die drei Citroner della Grecia moderna32, e nel Ἡ Tρεσεύγενη ἢ τὰ τρία κίτρα di Atene33.","NO"
"Pitre_Giuseppe-Novelle_popolari_toscane-1885","Pitre Giuseppe","Novelle popolari toscane","1885","E non vado innanzi con le citazioni, perchè finirei con una lunga lista. Codesta rassomiglianza non è isolata nè rara. Essa si ripete per un intero ciclo di novelle e di racconti con motivi e con formule che son patrimonio di tutti i popoli.","NO"
"Pitre_Giuseppe-Novelle_popolari_toscane-1885","Pitre Giuseppe","Novelle popolari toscane","1885","Se non che, passando di bocca in bocca, di paese in paese, queste novelle subirono profonde modificazioni negli elementi che le componevano: opera non del caso nè del capriccio, ma dello stato morale, dello sviluppo storico del pensiero che le informa e delle condizioni del clima e del suolo alle quali le tradizioni, come gli uomini, sottostanno. Qualcuna delle formule che originariamente componevano le novelle si obliterò per far posto a qualche altra formula analoga o simile, presa ad imprestito da un’altra novella. I fatti accessorî poterono qua e là diventar principali; i principali, accessorî o secondarî, e, aggruppandosi, amalgamandosi, confondendosi, dar luogo a versioni e varianti senza numero.","NO"
"Pitre_Giuseppe-Novelle_popolari_toscane-1885","Pitre Giuseppe","Novelle popolari toscane","1885","Esuberanza di sentimento, vivezza di fantasia, fecondità d’immaginazione ebbero sempre parte più o meno efficace in questo processo psichico; cause efficaci, le condizioni telluriche e meteorologiche, lo spettacolo variato e diverso della natura, la vita tutta del popolo. Ma, ciò non ostante, il fondo, il soggetto principale della tradizione, per passare che faccia od abbia fatto a comporre altri tipi, a cercare altre circostanze secondarie, rimane lo stesso, i protagonisti son sempre lì a reggere le fila del dramma; e la narrazione, attraverso a giunte, interpolazioni, innesti, amplificazioni, lascia scoprire, per la sua nota dominante o prevalente, un motivo. Qua è un marito soprannaturale, che, scoperto, abbandona la moglie, obbligandola a ricuperarlo per via d’immensi sacrifizî; là è una moglie calunniata e scacciata dal tetto coniugale, ma poi, riconosciuta innocente, ricercata e riammessa; altrove un figliuolo desiderato, che ora piglia per un dato tempo forme mostruose, ora è vittima d’un voto o d’una promessa; più in là un bambino esposto da una matrigna, o abbandonato da un padre passato a seconde nozze; e non di rado una ragazza condannata ad esser divorata da un mostro, e liberata dall’ardimento d’un terzo fratello; ed una crudele matrigna che tormenta di continuo una povera figliastra, ed altri simili argomenti.34 Questa comunanza di temi, questa identità di novelle fantastiche presso popoli lontanissimi ha fatto seriamente pensare alle origini ed alla provenienza di essi.","NO"
"Pitre_Giuseppe-Novelle_popolari_toscane-1885","Pitre Giuseppe","Novelle popolari toscane","1885","Dove nacquero? Come e quando si diffusero? Dubbî gravi, che han dato campo a studî profondi e ad investigazioni sottili e pazientissime.","YES"
