"filename","nome","titolo","anno","chunk","DIL"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","﻿LA BIONDINA ROMANZO MARCO PRAGA","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Il sole entrava dall'ampio finestrone a inondare di luce lo studio vastissimo, dove Giacomo Burton lavorava, dall'alba al tramonto. Due delle bianche pareti erano coperte da grandi tavole di disegni, modelli di macchine; sulla terza, di contro al finestrone, era una sfilata di mensole chiare di larice, con tutte le fiale ed i vasi bianchi ed azzurri, pieni di minerali e di acidi, nella gamma allegra di colori che la chimica possiede. Qua e là, e negli angoli, sul pavimento, erano pezzi di macchine, e pile, e fornelli.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Un terzo della stanza era occupato da due lunghe tavole da disegno poggianti sui cavalletti altissimi: sulle tavole, cosparse di compassi e di regoli, spioveva una gran luce dall'ampia vetrata. Tutto, là dentro, era semplice, rigido, severo, ordinato; tutto, fuorchè il breve spazio racchiuso dall'angolo a destra del finestrone, dove era un divano; e due poltroncine di tela russa con un'alta bordatura di azzurro fissata da borchiette d'oro: e, steso dinanzi ad essi, un rosso tappeto a fiorami oscuri; e, sulla parete, a coprire il bianco della muraglia, una stoffa drappeggiata con arte, che inquadrava una grande fotografia di donna racchiusa in una semplice cornice d'abete. Quell'angolo, come un salottino non ricco ma civettuolo, introdottosi quasi furtivo in quel tempio severo del lavoro, era Adelina che l'aveva voluto, che l'aveva imposto a suo marito.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Aveva comperato essa il divano e le poltroncine, e il tappeto, e un giorno era capitata là con tutta quella roba recata da un operaio della fabbrica: e, tutta sola, mentre Giacomo, sorridendo, disegnava, avea creato quel cantuccio, trasfondendovi un po' della grazia, della allegra civetteria ch'era nella sua persona. Avea messo il piccolo divano di sbieco, nell'angolo: poi, salita in piedi su di esso, appiccicò con quattro chiodi il drappeggio; poi stese il tappeto; e mise le poltroncine ai due lati del divano. — Adesso esci un momento.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","— Perchè? — Te ne prego. Esci in corte, due minuti, poi ti chiamo.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Giacomo uscì; ed essa, di furia, appese la fotografia fino allora tenuta gelosamente nascosta. Poi, affacciandosi alla porticina dello studio, ch'era all'angolo opposto a quello da lei trasformato, lo chiamò: — James! James!","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","corri, adesso, vieni, vieni presto. — Oh! il tuo ritratto!","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","— disse lui, con stupore, ma senza scomporsi molto, senza alzare troppo la voce. — Il tuo ritratto. Un'improvvisata.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Bellissimo. Chi te lo ha fatto? — Un fotografo!","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","— ribattè lei, ridendo, fissando gli occhi allegri negli occhi di suo marito. — Già, un fotografo. Ma, così grande!","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","costerà molto. Non spendi troppo, Adelina, in cose superflue? — Nulla, nulla, nulla.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","È il regalo di un'amica mia che à sposato un fotografo. — Chi? — Un'amica mia di collegio; non la conosci, tu.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Già, non ne conosci nessuna, — aggiunse, ridendo sempre. Poi fattasi seria, a un tratto: — Sei cattivo, però. Il mio ritratto lo chiami una cosa superflua.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Vivi qua dentro dalla mattina alla sera: appena mi vedi una mezz'ora durante il giorno se vengo a farti una visitina. Almeno avrai il mio ritratto dinanzi agli occhi. Credevo ti dovesse far piacere!","YES"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Invece!... — Sì, tanto piacere. Temevo soltanto tu avessi fatta una spesa troppo forte per noi.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Tu sai che non possiamo ancora spendere molto. Lo sai. — E l'aveva baciata sulla bocca, e s'era rimesso al lavoro.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Allora, Adelina, quel giorno, s'era accoccolata sul divano, ed era rimasta più a lungo. Ah! così!","YES"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Adesso, quando verrò a trovarti qui, avrò un cantuccio simpatico dove mettermi, avrò un sedile decente sul quale non arrischierò di rovinarmi le vesti come sulle tue sedie di paglia inzuppate di acidi. Sei contento? Ma anche a questo ò dovuto pensar io.","YES"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Sei un orso, tu! E poi, via, quando vien qui qualche persona per bene, potrai riceverla a modo. Un orrore, proprio un orrore: tu eri capace di far sedere sul trespolo un commendatore, o di tenere in piedi un deputato, per mancanza di sedili.","YES"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Ma la tua mogliettina pensa a tutto. Nevvero? Anzi, sai che cosa ò pensato, adesso che c'è il salottino, qui?","YES"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Io verrò ogni giorno, porterò con me il mio lavoro ed un libro, e rimarrò a lungo, a tenerti compagnia. Eh? — Ti annoierai, piccina.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","— E quando mi annoierò anderò via! Ecco!... Soltanto, ti prego: quando ti fabbrichi qualcuna di quelle tue combinazioni chimiche.... di quelle.... Dio!","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","che odori, ah! allora sì, avvertimene prima, che non ci venga. Mi fai star male una settimana intera.","YES"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Poi, ancora, gli aveva raccontato una quantità di frottole graziose, e di storielle piccanti, raccolte qua e là, nei salotti della zia o della sua amica, la Bianca, dove essa passava le ore del pomeriggio. Lui, impassibile, serio, ascoltava silenzioso, disegnando, durante le visite che sua moglie gli faceva all'officina, quasi ogni giorno, da un anno in qua. Poichè s'erano sposati da quattro anni, ma questa intimità tra di loro, questa affettuosità di Adelina per lui, erano nate da poco.","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Giacomo, innamorato di sua moglie lo era stato sempre: ma non era nel suo carattere di dirlo e di dimostrarlo troppo: poi, gli mancava anche il tempo di dirlo e di dimostrarlo. Dalle sette di sera sino all'alba del giorno appresso, ecco le ore che poteva dedicarle. Dall'alba alle sette, lavorava.","YES"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","E Adelina, nei primi tre anni di matrimonio, s'era acconciata facilmente a questa vita. Tutto il giorno era libera: l'officina lontana, fuori dazio; e poiché aveva sposato l'inglese (glie ne avevano parlato chiamandolo così, la prima volta) senza amore, per convenienza, perchè disperava, a 24 anni, di trovare di meglio, non si crucciava di questa gran libertà che suo marito era obbligato a concederle: anzi, forse, ne gioiva e se ne valeva. Ma da un anno, un gran cambiamento s'era fatto in lei.","YES"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Quasi ogni giorno, essa veniva a trovarlo in istudio. Saliva in tram in piazza del Duomo, e scendeva al dazio. Poi aveva ancora buon tratto di strada a percorrere, sino alla gran porta di un lungo fabbricato di mattoni rossicci, sulla quale ad alte lettere nere, era scritto: «Società internazionale dei tramway a vapore».","NO"
"Praga_Marco-La_biondina-1910","Praga Marco","La biondina","1910","Era una società inglese che aveva costrutto ed esercitava molte linee di tram nell'Alta Italia, e aveva la sua sede principale a Milano, e quivi il suo direttore tecnico, James Burton. Un valore, quest'uomo. C'era in lui la stoffa di un inventore.","YES"
