"filename","nome","titolo","anno","chunk","DIL"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","E Grande adito ai commerci, delle cose non solo, ma delle persone, è fuor d'ogni dubito questa felicissima invenzione dei piroscafi. Conciossiachè, ove drizzi l' occhio al cassero di un battello a vapore, vi scorgi a prima fronte associate le più disparate persone e le classi più divise della società; e gente di ogni colore ed uomini che altrove vedresti guatarsi a squarciasacco colassù vedi amicamente ritenersi e passeggiare da prora a poppa e viceversa, discettando di costumi, di lettere e spesso anche di politica. Su per quegli abeti non sono gelosi che ti squadrano da capo a piedi, dove ti accosti ad una loro donna, non nobili che schifano il contatto di un borghese quasi che avesse la lebbra, non villani rifatti che gonfiansi e par vogliano essi soli ber l'aria, come sono in presenza di uomini, che non ebbero agio di arraffare un qualche milione, non uomo di stato o burocratico che senta il dovere da tenerti a distanza o di farti riconoscere l'autorità sua.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Quella si è vera repubblica: a meno che non sia francese il capitano, ed ogni francese vuol filar del tiranno, pur dicendo non voler principi: a me no che non ti avvenga in qualche inglese, come tale che a Dieppe si rifiutava a salvare un naufrago dicendo: - II NE M'A PAS ETE PRESENTE. In mare si è cittadini del mare. E ciò non saprebbe reo a noi affetti di liberalesca monomania.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Se non che, cor-. rivi non troppo al dilargare il circolo di nostri amici, per quel convincimento che fra venti donne due solamente ne rinvieni giovani e belle, e fra cento uomini appena un solo che non sia un seccatore; in mare, più che il mal di mare, temiamo quello della compagnia, la quale non una volta e soltanto sperimentammo fastidiosissima. E sul cadere del 1861, navigando da Catania a Messina, mentre che rapito dallo incantato spettacolo di quella riviera di tutte bellezze, piacevami profondar gli occhi in fra le selve di aranci, che vestono di eterna verzura la marina, e venia discernendo i variopinti paeselli, di che vien screziato quel campo, e le rocche saracinesche onde si incoronano i monti ed i poggi e le anticaglie greche e le romane e le arabe, e i vecchi monasteri ed i templi, che talora specchiansi nell' onda che lambe la costa, talora sorgono in cima al villaggio, quasi a dir come esso sia nella tutela di Dio, venni distratto da quella silenziosa meditazione dai dimandi e dalla ammirazione loquace di tale che mi era da canto.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Cortesia volle che rispondessi (avvegnachè fra tanti codici che furono sommersi dai turbini della moderna rivoluzione non si salvasse punto quello del Galateo, che anzi naufragò per il primo); e risposto che ebbi circa il nome o la storia di alcuni di quei monumenti, fui strascinato in altri parlari, nè solo con il mio vicino, ma con altri che stavano vicini a lui. Era la brigata, nella quale veniva ammesso, me invito, un crocchio arcitalianissimo ed ameno per chi in vena di spassarsi e non irascibile ed intollerante, come l' autore di questa scrittura. Presiedevalo una bella donna, bella e forte come la Venere di Milo e graziosa... e graziosa come le donne di quell' Isola.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","La carnagione di un bianco matto e trasparente sì che vedevi serpeggiarvi sotto le vene; il naso tirato ad una linea con la fronte larga nè troppo alta; gli occhi neri e grandi, e ricchissima e crespa la nera capellatura, cui bastava appena a coronare un torcoletto bigio di feltro, fregiato di un pennacchino di arione. Il busto snello come di vespa, vestiva una camiciuola di color Magenta alla garibaldesca, e la lunga sottana di zendado nero di Catania, raccolto da nastrini di velluto, lasciavane vedere una sottoveste di bianco, tutta fatta a fiori e trapunta, ed un piede picciolo e snello, cui avrebbe incastellato fra gemme un uomo poco più giovane e mondano più che non siamo noi. E le mani non disgradavano punto nè poco quel piede; che però essa il sapeva e, ingemmatele di rubini e brillanti e smeraldi, le agitava anche un poco più che non sogliano le vivaci donne del mezzodi.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Ci era di tutto in lei per far girar la testa ad un filosofo: e noi fummo più che filosofo in quel frangente. Tranne il gesto cui abbiamo detto un po' vivo, la avresti detta gentildonna di alto legnaggio. E pure la era men che tale; poi non tutte le carte sue avevano il bollo del curato della sua pieve o di quella del bel giovane che l'accompagnava.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Con questi era un presbitero, cioè un di quei preti che lasciarono Cristo per la Samaritana, che vorrebbero il Papa riveduto e corretto (come diceva non ha guari il pio Mamiani, senza però dire ad usum Herodis), ed alcuni uffiziali piemontesi, che parea volessero al giovane siciliano giucare il dado medesimo, che il padrone aveva tratto alla bella Isola. Fra questi adunque vi era abbastanza di che farne andare in bestia; poi lo sciame degli uffiziali piemontesi onde sei sopraffatto, ad ogni piè sospinto e massime ad ogni presentarti con donna brutta o vecchia o bella o giovane che sia, o ad ogni accostarti ad esse, non è il minor dei fastidii per uomo che non si sollucheri fra le umiliazioni, come pur vi si piacciono tanti. Ma quello che, malgrado la bellezza della sirena da noi descritta, rendeva più uggiosa la brigata, si era il grugno di certa antica spia diventata spia liberalesca, unitario, cavurrino e che so io, un di coloro che esser non sanno che del vincitore, e noi non maravigliamo nè quereliamo certo dell' abbandono.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Uso a gabellare, a fiscalizzare coloro nei quali si avveniva, quel brutto Giuda non sapeva far verbo senza farvi sdrucciolare nella politica. Laonde non istette guari e incominciò a levare a cielo la felicità del nuovo stato, e ad abbrunir anche di vantaggio il non felice quadro del passato. Ma io che non ancor seppi apprendere l'arte del tener giù ciò che mi si stanzia nel cuore, veniva discorrendo di questo o quell'orrore che veggiamo passarsi dopo la rigenerazione, e domandavo come si fa a lodare il male per mille dopo che lo si è maledetto per cento?","YES"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Faceva eco alle mie parole il bel giovane compagno della bella Catanese, e non dissentivano dal riconoscere le presenti sventure d'Italia neppure alcuni di quei piemontesi, che stavano a campo attorno alla Siciliana. Solo l'ex assolutista perfidiava a dire che si stava peggio al tempo dei Borboni; ed io rimandandogli che in tal caso sarebbesi stato meglio quando si stava peggio, la dama dal torcoletto venne in soccorso della spia, e trinciandola da Mater Patriae, come se fosse la Principessa di... (basta, non cominciamo sì presto) mi apostrofò col dire: - Vergogna! Non so come una persona onesta possa aver fronte di venire a rimpiangere le infamie, a cui siamo stati segno sotto la tirannide dei Borboni e dei Preti.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","In vece di baciare le zampe dei cavalli di questa brava gente che è venuta a civilizzare ed a moralizzare questo paese, che, come si vede, non lo meritava, voi avete viso di... Vergogna! Per quanto è vero che sono una donna d'onore, se io fossi uomo..... Non sareste così piacevole !","YES"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Risposi io, su quel subito e, traendo dalla mia i begli umori, calmai anche le magne ire di quella Cornelia. Era italianissima la bella! E conoscete donne di tal fatta le quali nol siano?","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Di grazia, fatecela conoscere se ve ne sia una. Cercheremo nuovo Brantome per scriverne l'elogio. E veramente incredibile è quanta parte si abbiano avuto in questa rivoltura sgualdrine e giudei.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Via, la è guerra di emancipazione codesta! E però io non maravigliavo, del colore della vezzosa, ma sì, indi a poco, ebbi grandemente a stupire per ciò che la, non restando più dal politicare, conveniva in quella sentenza che orribile è lo stato presente del bel paese, che Italia di per sè stessa nè può farsi nè disfarsi, ma incocciava a volerla unificata per ciò che, diceva essa, l'unità d'Italia è il concetto di quella gran mente di Dante Alighieri. Questo nome di Dante su quelle labbra fresche e rosee sì, ma non pure, non mi maravigliò solamente ma mi offese.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Però sentendolo anche profferire da quelle due birbe del mal prete e dell' ex assolutista, applicato oggi alla Cassa Ecclesiastica; su questi, che non si dovevano avere i riguardi di donna, traboccai tutta la mia bile e l'indignazione di gentil uomo e di sincero italiano. E dicendo loro come Dante nol si conoscessero, e che conoscendolo non potevano le loro svergognate bocche profferire il nobilissimo, il santo nome di lui, gli mandai al diavolo ed al paese di lui. E come stavo per alzare anche il bastone, che mai discompagno da me (dappoi pei tempi che corrono più col bastone si cammina che coi proprii piedi), quei due figuri divisarono svignarsela chiotto chiotto, pur borbottanto Dio sa che, ed appuntando quasi di Sanfedista me stato prigione ed esule per amore di libertà e, per amore di libertà, una seconda volta esule, ora.","YES"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","E la vecchia spia, andato forse a stendermi la ricetta di un terzo esilio per qualche giorno do po la restaurazione, io, poco stante, mi divisi da quei signori. Ritrattomi nella mia cellina, mi abbandonai a più tranquilli pensieri che quelli ai quali mi aveva desto la brigata cui aveva lasciato a spassarsi su per il cassero. Ma non potendomisi strappar dalla mente la figura di Dante che la mi vi avea risuscitata, nè potendo poi ristar dal ridere di questa ridicolissima opinione che Dante fosse unitario, mi diceva: Daddovvero che l'ignoranza produce i brutti frutti della rivoluzione, come l' ignoranza è la sola cosa che mi appaura per quell' ora della riazione, la quale pure verrà come per tutte cose viene che sono in natura od in fatto.","YES"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","E vedi: i rivoltosi dicono Dante unitario ed il Veuillot, che pure è uomo serio, ci viene stampando che dove l'Alighieri vivesse ai dì nostri sarebbe sottoprefetto del Governo Piemontese in qualche città rubata al Pontefice 1. Povero Dante! Non pensò ai posteri.","YES"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","E buon per lui, chè ne sarebbe morto di ittirizia. Non pensava, che con il passo per che procediamo, giorno non sarebbe lontano, che nelle città italiane, potrebbe parlarsi di lui non altrimenti che può parlarsi di Omero a Smirne. E sì pensando vennemi in idea di dettare uno scritterello che discorresse di un nuovo viaggio dell' altissi 1 J'ai souvent pensé que Dante, s' il vivait de nos jours, serait sous-prefet du Piemont dans quelque ville volée au Pape.","YES"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Veuillot. Le Parfum de Rome livre III, p. 158. E lo scrittore francese si spinge anche a dire - Le Dante est grand poète, et si l'on veut, grand theologien; il n'est pas grand et intelligent catholique.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Ib. livre III, p. 129. mo poeta, di qualche scena che mostrasse quel che sarebbe l'Alighieri fra gli uomini e le massime dominanti oggi nella nuova Italia.... Ma mancatomi poscia il tempo, perciocchè da sventure non poche distratto, e ad altre cure, ad altri studii affaccendato, non vi pensava più che tanto.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Sul cominciare della scorsa estate venuti a me due onorati ed eruditi gentiluomini napoletani, il Duca Michele Caracciolo di Brienza ed il Principe di Acquaviva, mi richiesero di qualche prosa o verso per una Strenna che eglino hanno in animo di fare per il sesto centenario di Dante, e nella quale non sarebbono che scritture di letterati, i quali pensano come noi, che Dante non avesse nulla che fare con questa disonestissima rivoluzione che dicesi italiana, rivoluzione atea e sociale. Accettai su quel subito il gentile invito e, come buon italiano che mi glorio di essere, sapendo grado e grazie per il nobile divisamento di scriver qualche cosa in onore e difesa del sommo italiano, in questa età che tanto lo si inginria, credendo di sublimarlo, immediate mi accinsi a porre in carta ciò che or son quasi tre anni mulinava per la mente, navigando su per le onde di Sicilia. Ma ebbi sittosto ad accorgermi che il mio povero lavoro oltrepassava i limiti di una scrittura per Strenna.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Conciossiachè non potessi trarre Dante a questi dì senza fargli vedere od udire i fatti più appurati e più conti delle nostre presenti miserie; e mi fosse mestieri fargli vivere la vita del tempo e però imbrancarlo fra coloro in 1 cui ti abbatti oggi per il mondo. E ciò rende soverchia la mia operetta per una Miscellanea. Divisato ho dunque pubblicarlo a parte, tenendo altrimenti la promessa con quei gentili che mi invitavano a scrivere nella loro Strenna Cattolica per il sesto centenario di Dante.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Ed a proposito delle persone, con le quali mi è stato forza arrotar l'ombra di Dante, dirò lealmente come mi sia governato. Ho nominato con loro nomi e titoli coloro i quali, sia per buone opere, sia per male, o per ingegno, o per nullagine, non possono oggimai sfuggire al grido o giudizio della storia: pur sempre non di altro discorrendo che della loro vita politica o letteraria. A prima diedi loro un nome d'invenzione.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Ma alcuni uomini di lettere, cui feci udire queste pagine, perchè mi fossero cortesi di loro consiglio, animandomi a pubblicarle, mi facean pure notare che così governandomi pe' nomi di codesti uomini del giorno, il libro assumerebbe una faccia tutta fantastica, nel guardo di coloro che non sanno delle cose nostre, nè l'altissimo Poeta avrei tratto più in questo che in altro paese o nel presente piuttosto che in preterito secolo. Medesimamente facevanmi accorto, che al postutto, per quelli che conoscono ciò che si passa oggi in Italia, il dare nomi arcadici ai personaggi della presente rivoluzione, sarebbe un' inutil riserva; perciocchè i popoli italiani oggimai sanno gli uomini loro e le loro opere, nè mai potrei io vituperargli più che non facciano i diarii, i libercoli, le brigate, che non sian le logge di loro setta o le chiesuole di lor consorteria. Dopo il festino si leva la maschera per andare a cena: e la rivoluzione nostra è per appunto a quest' ora della cena.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","E dunque, cancellato i nomi allusivi, scrissi con tutte lettere i veri. Coloro che se ne troveranno offesi ne querelino con le proprie opere, se per esse diventarono brutti e tali da non più potersi nascondere nè scusare. Volgan lo sguardo nelle loro coscienze, odano il vociare di tutte genti contro di essi, e faccian poi di asserire che non sono stato meglio che discreto nel ragionare di loro.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","L'Alighieri non si governò altrimenti per i malvagi del tempo suo. Gli nominò netto e gli infamò come più seppe. E, scrivendo dell'Alighieri, non dobbiamo servire per quanto meglio ci è dato ai suoi sapientissimi dommi e tener dietro l'esempio suo autorevolissimo?","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Ed ora altra cosa vogliamo dichiarare ai nostri lettori. Come in un quadro istorico fra i personaggi principali dipintivi vi ha sempre un volgo di figure che loro fan codazzo, quale servendo ai movimenti dei primi, quale dimostrando la maraviglia, quale il dispetto, e via, quale un senso, quale altro; così ho dovuto anch' io tesser figure seconde nella tela della mia favola. Medesimamente, come in melodramma con i cantori principali è mestieri il coro, ed in uno storico dramma o commedia non istoriche vogliono essere le parti accessorie; così in questo mio racconto vi rinvieni parecchie figure di quelle incontri soventissimo ed a bizzeffe per il mondo.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Non ne potevo fare a meno. La mia commedia aveva necessarissimo bisogno di servo sciocco, di sganarelli, di coro. E come vedi, nel prototipo dei romanzi italiani, nei Promessi sposi del Manzoni, storico è il Cardinal Borromeo, storica la Peste, storico il tumulto contro il Ferrer, storica la guerra di Casale, e veri l' Innominato e la Monaca di Monza; ma non più che verosimili le altre persone che vi si leggono o tipi del vero, in quanto che di Don Rodrigo, di Fra Cristoforo, di Renzo, di Perpetua, di Don Abbondio, di Grifo, di Don Ferrante, mutato nome o veste, se ne trovan sempre e dovunque.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Soccorso dunque da tanto esemplare ho fatto a fidanza e posto anch'io, in fondo al racconto cui venni ordendo, alcuni caratteri del tempo nostro, che, non ritrattando più questo che quello di coloro nei quali cotidianamente ci avveniamo e che sono ornati di quelle virtù che lodiamo o macchiati di quei vizii che biasimiamo, di santa ragione non ho dovuto nominare altrimenti che per nomi d' invenzione. Che se poi per una particolarità o per altra, alla quale io non ho posto mente, taluno vi sia che molto od alcun poco somigliasse o credesse rassomigliarsi ad alcuna di queste figure, lo pregherò scacci ogni sospetto e gli farò notare che come non ho masticato i nomi di coloro cui voleva condannare, così non avrei mutato neanche il suo, dove lo avessi tenuto singolare, nè uno dei mille mille della sua specie. Laonde, come già disse il Labruyère a tale che credevasi soggetto di uno dei suoi caratteri, risponderò anche io : Tout beau!","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Commencez par déclarer que mon Tiphon c'est vous : e si amicamente lo conforterò che profitti dello specchio per acconciarsi, quando che vi si vegga ritratto vera mente. Eccovi dunque il mio Conte Durante. E di grazia non ne pretendete molto, dappoichè la è una facezia cui ho dettato in non più che quarantacinque giorni, onestando così i miei ozii estivi.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","E non essendosi, di quei giorni che io scriveva, perpetrati ancora il carnaggio di Torino e la vergogna, nuova nella storia, del tramutar la sedia dello Stato, per comando o per piacimento di forestiero padrone, altrimenti tessei il mio racconto, che non avrei fatto in autunno. Però appena ho potuto far qualche accenno di quelle infamie, mentre correggeansi le bozze degli ultimi capitoli di questa operetta. La quale non merita neppure che io la segni del nome mio (avvegnachè pei fatti miei ben piccolo) e si produrrà invece con quello accademico di Ausonio Vero.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","E se taluno mi farà l'onore d' indovinar chi si vesta di questo, prego mi sia indulgente in grazia dello amor grande che porto alla mia infelicissima Italia del Mezzodi. Frattanto non vuò presentare questa mia operetta a chi cortesi di gettarvi l'occhio, senza pria chieder loro venia delle ridicole scene, alle quali mi fu mestieri congiungere il nome del serissimo degli scrittori. Conciossiachè dove questa licenza non mi fossi tolta, avrei dovuto abbandonar l'opera ed il suo disegno, che egli è il tempo che è ridicolo; e volendo produr l'Alighieri in dramma tutto grave bisognava il dramma non fosse pun to moderno.","NO"
"Proto_Carafa_Francesco-Il_conte_Durante-1864","Proto Carafa Francesco","Il conte Durante","1864","Peragrate Europa per lungo e per largo, e trovate un uomo di senno che in coscienza abbia preso sul serio la rivoluzione che qui si passa. Gli attori di essa son sudicia compagnia di Pulcinelli. E volete che filino dell'Agamennone e del Bruto?","YES"
