"filename","nome","titolo","anno","chunk","DIL"
"Pulli_Filotico_Virginia-Carlo_Guelfi-1857","Pulli Filotico Virginia","Carlo Guelfi","1857","ALLA SANTA MEMORIA DEL CAVALIER PIETRO PULLI E DI MADDALENA BIANCHETTI ADORATI SUOI GENITORI PEL BENE CHE LE FECERO PER QUELLO CHE AVREBBERO VOLUTO FARLE POVERO TRIBUTO IN QUESTO SUO LAVORO LA LORO VIRGINIA OFFRE E CONSACRA. CONFESSIONE AL LETTORE. Mea culpa, mea culpa, mea maxima culpa.","NO"
"Pulli_Filotico_Virginia-Carlo_Guelfi-1857","Pulli Filotico Virginia","Carlo Guelfi","1857","Niuno mi ha mosso preghiera affinchè io mi ponga allo scrivere: mancan forse faccende alle donne? Per buona ventura lasciaron loro, magnanimo esercizio! la pazienza, la rocca e 'l fuso.","YES"
"Pulli_Filotico_Virginia-Carlo_Guelfi-1857","Pulli Filotico Virginia","Carlo Guelfi","1857","Intorno alla prima, ti dicano alcuna cosa le mie lettrici; evoca per le altre l' augusta Berta, la quale, per ozio o per operosità, mi penso, molto filò, per guisa che a noi venne in proverbio, ed (in parentesi ti dico) filava bene. Ho scritto, adunque, perchè ne avea voglia; e ti fo certo, niuno mi ha furato il lavoro: ma messol fuori da me, fu da me spedito ad uno che stampa, acciocchè, con bel garbo, lo andasse esponendo alla luce del giorno. Lettore, se alcuna volta questo libro ti farà sentire il cuore, ovvero ti chiuderà gli occhi al sonno, tienlo da conto.","NO"
"Pulli_Filotico_Virginia-Carlo_Guelfi-1857","Pulli Filotico Virginia","Carlo Guelfi","1857","Nello scriverlo (caro!) mi tolse dattorno la noia. Próvati a leggerlo: se ne hai quanto ti accenno, lo benedici (da te) e lo assolvi, ma deh!","NO"
"Pulli_Filotico_Virginia-Carlo_Guelfi-1857","Pulli Filotico Virginia","Carlo Guelfi","1857","non sia in articulo mortis. CARLO GUELFI. CAPITOLO PRIMO.","NO"
"Pulli_Filotico_Virginia-Carlo_Guelfi-1857","Pulli Filotico Virginia","Carlo Guelfi","1857","Il Paglietta. 1 In una delle molte straducce di Napoli vecchia, straduccia che per uman rispetto non verrà da noi nominata, abitava, nel tempo donde prende cominciamento il nostro racconto, l'avvocato Brettolone, quondam Andrea; notizia ch' ei non trasandava annunziare a qualunque dar dovesse l' indirizzo di sua casa. Discendente da' molti Brettolone tutti legisti, stati già di mano in mano pigionali di quel palazzotto, boriosamente, e direm pure moralmente, ei vantasi contar nel casato da forse tredici toghe, onde, a ver dire, bevve le aure vitali una soltanto.","NO"
"Pulli_Filotico_Virginia-Carlo_Guelfi-1857","Pulli Filotico Virginia","Carlo Guelfi","1857","La quale passata di generazione in generazione, di padre in figliuolo, tuttoché un po' malconcia, era pur giunta insino a lui. Tramutarsi di quella in altra casa, pel Brettolone, sarebbe tornato il medesimo che perdere il centro di gravità. Egli era avvocato, e il Tribunale stavagli poco discosto.","NO"
"Pulli_Filotico_Virginia-Carlo_Guelfi-1857","Pulli Filotico Virginia","Carlo Guelfi","1857","Dava consigli, e non li dava mica gratis, come que' tanti che ne han la rabbia addosso; e i consigliati erano suoi vicini. Tutti i bottegai dei dintorni gli facean di berretto, tutte le donnicciuole della contrada, come prima apparir vedeano dalla via il Paglietta, 1 per esse sinonimo di avvocato, cessavan tosto dai lor litigi, e gli preparavano un sorriso. E nel chiamarlo Paglietta credean invero costoro fargli onor di legista, e non somigliarlo punto, siccome s'intende or da noi, a' meschini legulèi, spazzatura del foro, i quali immersi insino a gola in cavillosi processi, ti attaccano ad ogni parola una briga, ed a furia di domande suggestive fan che da una ne insorgan cento: que' tali che mettono in un mar di confusione il meschino che va netto netto a contar loro i propri casi, e che scagliando citazioni e preventivi, come Giove scagliava un tempo i fulmini suoi, si van poi millantando averlo cavato dall'inferno e peggio.","NO"
"Pulli_Filotico_Virginia-Carlo_Guelfi-1857","Pulli Filotico Virginia","Carlo Guelfi","1857","In fatti, che ha a fare il nostro signor Brettolone col paglietta dianzi descritto? Era goffo anche egli un pochino, ma avea una goffaggine a sè, una goffaggine sui generis. Anche egli era loquace, ed erasi al pari di essi volto alla sola legale; ma per cuore, discosto era un gran tratto da quei pirati di terra, i quali osservantissimi del settimo precetto del Decalogo e del decimo, travisan la legge, ed in nome di giustizia fan sè impunemente ricchi della roba e delle sostanze altrui.","NO"
"Pulli_Filotico_Virginia-Carlo_Guelfi-1857","Pulli Filotico Virginia","Carlo Guelfi","1857","Nello aspergerlo delle acque lustrali, il parroco avealo chiamato Francesco Saverio, ed il nome di Don Francesco Saverio venne, a suo tempo, rispet 4 Nome conferito ai nostri antichi legali, in grazia di un cappello di paglia di forma triangolare, ricoperto di seta, e da essi specialmente portato. tato lungo il vico e nei chiassuoli adiacenti, siccome il nome di un paglietta dabbene. Colui che entrava nel cortile della casa, già comperata dal nostro Brettolone, vedeasi incontro la mezza figura di un guerriero, scolpita in marmo, il quale dal viso truce e dalla lunga picca ond' era armato, dando a pensar del fatto suo, manifestava pure com' ei fu una volta formidabile e grande.","NO"
