"filename","nome","titolo","anno","chunk","DIL"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","L'abolizione del Carneefice, è un desiderio universalmente sentito; e mentre da tutte le città italiane si sono indirizzate petizioni al Parlamento, onde venga tolta l' immagine schifosa della scure e del Boja, ho pubblicato il presente Romanzo per dimostrare, l' immoralità di quel tristo personaggio, e che la odierna civilizzazione, non può ridurre una creatura umana, allo stato obbrobrioso del Carnefice. Ed ho pur tentato di far conoscere, che tante volte uno sciagurato, onde togliersi alla miseria ed alla fame, ha accettata quella crudele missione, per trovarsi poi maledetto ed abbandonato da tutti i suoi simili, e condurre una vita infelice, peggiore della più lacrimevole miseria. Illustri Autori, e ingegni preclari, hanno molto scritto sopra questo soggetto; io, umile atomo di polvere, ho tentato portare ancora una piccola pietra al loro edifizio.","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","E se un giorno, l'Italia sarà liberata dal Carnefice, troverò un largo compenso alle mie povere fatiche col pensre, che io pure ho cooperato a questa desiderata riformą. Ecco il mio scopo, se le deboli forze mancarons all' intento prefisso, imploro il perdero ed il compatimento dai miei cortesi e gentili lettori. L'AUTORE","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","IL BOJA ROMANZO CONTEMPORANEO Era l'ultima sera di carnevale dell'anno 1864. Il teatro comunale della città di....era aperto al gran veglione.","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","Un numero infinito di candele rilucevano accese sulla immensa lumiera e sui viticci, nel giro dei palchi. Molti festoni di fiori stavano appesi alle pareti, con gusto ed eleganza, ed il palco scenico si vedeva trasformato, come per incanto, in un delizioso giardino. L'orchestra suonava i walzer più deliziosi, e le più fantastiche polke.","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","La turba immensa delle maschere, dai mille colori, dai costumi leggiadri, dalle pose gentili, dai gretteschi caratteri, girava per la platea, ridendo, scher zando, come se tutti quegli csseri fossero felici, e mai il dolore avesse posata la sua mano funesta sopra di loro. Quei gruppi di maschere, vestite, come la fantastica immaginazione di ognuno avevali dettato ridevano, si divertivano, e le coppie si lasciavano trascinare nei vortici del ballo. I palchi erano pieni di signore dalle ricche acconciature, dagli abiti sfarzosi.","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","Dovunque era allegria brio e felicità. La festa essendo al suo colmo, ognuno riscaldato dal ballo e dalla cena, gridava, beffeggiava a vicenda. Il più bravo appariva chi meglio sapeva ridere, ła miglior danzatrice era quella che mai si stancava.","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","Un sogno ti sembrava quella folla leggera, e scherzevole. Come traverso ad un prisma tutto quel'l'ammasso di colori, quel numero infinito di lumi ti offuscavan lo sguardo, e la musica, il profumo dei fiori, affascinava, e ti esaltava fino al delirio! Sembrava che per coloro l'oblio avesse nascosto in un velo tenebroso, i loro pensieri e le loro pene.","YES"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","Viver di ebrezza, viver d' allegria, appariva il loro motto, e come se quella notte potesse durare eterna, dimenticavano il domani, che doveva colla chiara Inco del giorno, far loro apparire la nuda realtà della vita, e dissipare il pensiero di una notte d'orgia e di follia. Nella sala del buffet, i più toltisi la maschera, non vedevi che faccia serene, occhi sciutillanti, guancie colorite; re donne leggiadre dai voluttuosi costumi, e dalle forme eccitanti, assise in pose graziose, e forti della licenza che accorda la maschera, sporgere il braccio reggendo il bicchiere e tracannare il vino spumante, dopo un sorriso di fuoco a chi lo mesceva. E la folla aumentava, e l'urtarsi l' uno coll'altro, ed il ridere senza ritegno, il chiamarsi a voce calta, il riconoscersi co sorpresa, e le argute domande e l'in barazzo di chi sentiva un proprio piccolo segreto scoperto.","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","Intanto il ricco orologio sulla bocca d'opera, sognava le due, e la musica continuava a suonare pur Nel corridoio dei palchi della seconda fila un giovane signore in abito nero passeggiava, con un grazioso domino rosa, e il di lei braccio teneva stretto sotto del proprio t Il domino era di una ricca stoffa di seta, e tanto grande che cuopriva l'abito pur rosa della signora. La maschera era di velluto nero, ma la trina lasciava vedere la più graziosa bocca del mondo. Una piccola manina vestita di un guanto bianco, si appoggiava sul braccio del giovane, ed un piede delicato e breve, usciva di quando a quando di sotto la gonnella, che la signora teneva graziosamente un poco rialzata coll'altra mano.","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","I movimenti della testa, e del corpo, avevano la più voluttuosa senbianza ed il suono della voce era oltremodo soave. -Dunque-le diceva il giovine-mi conosci tu vera mente? -È un'ora che te lo dico e non lo credi.","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","-Ma dove ci siamo incontrati ? -Questo è il mio segreto. -E non lo saprò mai?","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","Forse si. - E quando? - Un giorno!","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","Ma allora, mia cara, dimmichi sei tu, e cosa è questa gran premura di tenermi dietro da due. ore? In verità, sei poco gentilel.... -Hai ragione.","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","-Ascolta, tu sei nella mia città da tre mesi e non parti.... -Perchè? -Perchè sei innamorato. - Non trovo in questo nulla di straordinario!","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","E conosci pure la mia bella? -Si.....e meglio di te assail!.... -Oufl mia cara mi poni in un orribile curiosità E la mia amante è al veglione?","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","-No. Perché? - Perchè qualch' uno glielo ha proibito, ne sono sicura.","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","Ma dunque sei il diavolo tu? -Se tu mi vedessi, non diresti più tanto male del diavolo-ed accompagnò queste parole col più soave suono di voce. Un'altra coppia si avvicinava ed il giovine si tacque, onde lasciarla passare, e non essere compreso daessa.","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","Come fu allontanata, il cavaliere riprese: - Ebbene ti chiamerò angelo ... -Alla buon ora! - Comprendi dunque, mio caro angelo, che la nostra conversazione diventa assai lunga, ed ho quasi il diritto di sapere chi sei, perchè ti trovo troppo informata sul mio conto. -Dunque mi congedi?","NO"
"Restoni_Guido-Il_boja_romanzo_contemporaneo-1867","Restoni Guido","Il boja romanzo contemporaneo","1867","Sei propriamente affatto ga lantel non mi offri neppure da cena! Volentieri, ma non quì. - E dove?","NO"
