"filename","nome","titolo","anno","chunk","DIL"
"Righetti_Carlo-I_quattro_amori_di_Claudia-1877","Righetti Carlo","I quattro amori di Claudia","1877","PARTE PRIMA. CAPITOLO PRELIMINARE. Un Prefetto contrabbandiere di bimbi.","NO"
"Righetti_Carlo-I_quattro_amori_di_Claudia-1877","Righetti Carlo","I quattro amori di Claudia","1877","Costui l'ho conosciuto ciliegia! I Francesi in questo senso dicono: Je l’ai vu poirier. Ora è prefetto di una città... d'Europa.","YES"
"Righetti_Carlo-I_quattro_amori_di_Claudia-1877","Righetti Carlo","I quattro amori di Claudia","1877","Dico d' Europa, perchè anche in Francia ci sono dei prefetti. Nei giorni che al governo stava uno di quei ministeri, di cui Cesare Correnti scrisse: essere pietà il tacerne, avvenne la sua nomina. E tutti a domandarsi: Chi è costui?","YES"
"Righetti_Carlo-I_quattro_amori_di_Claudia-1877","Righetti Carlo","I quattro amori di Claudia","1877","D'onde viene? Mi ricordo che, discorrendo di lui, con un mio vecchio maestro di calligrafia, mi diceva: — Come mi vedi, caro Cletto, io ho insegnato a scrivere il ronde e l'inglese a molti e molti fanciulli, che poi, per un verso o per l'altro, riuscirono a far parlare di sè. Condussi la mano a Manara, quando faceva le aste: quelle che il Manzoni avrebbe voluto si chiamassero i fuscellini.","NO"
"Righetti_Carlo-I_quattro_amori_di_Claudia-1877","Righetti Carlo","I quattro amori di Claudia","1877","Tenca, Missori, Visconti-Venosta, Camperio, Susani, passarono tutti sotto di me. Ho veduto degli allievi, figli di poveri contadini, a furia di perseveranza, diventar segretari generali e prefetti; ho veduto degli scolari, tutt' altro che aquile, diventar professori e deputati.... Ma non ci voleva che un .... per far fuori un prefetto da un ex-contrabbandiere di bimbi!","YES"
"Righetti_Carlo-I_quattro_amori_di_Claudia-1877","Righetti Carlo","I quattro amori di Claudia","1877","Contrabbandiere di bimbi? In che modo? Le buone madri ne avranno forse il raccapriccio; ma quello che sto per raccontare, quantunque a moltissimi ignoto, si ripeteva in illo tempore, con disumana frequenza, sul territorio del Canton Ticino.","YES"
"Righetti_Carlo-I_quattro_amori_di_Claudia-1877","Righetti Carlo","I quattro amori di Claudia","1877","Verso l'imbrunire di un giorno di agosto del 1848, mentre al campanile del borgo di Chiasso, battevano le sette e mezza, due giovani contadini, che tenevano ciascuno un grosso fardello sotto il braccio, uscivano dalla porta di una casupola di quel villaggio, e si fermavano sulla soglia a dire un'ultima parola a una comare, che li aveva seguiti fin là. Chiasso, per chi non lo sapesse, è un borghetto svizzero, che confina con quel di Como. I duellanti lombardi lo conoscono assai, giacchè in que' dintorni vanno spesso a cercare di tagliarsi la gola.... il meno che possono!","NO"
"Righetti_Carlo-I_quattro_amori_di_Claudia-1877","Righetti Carlo","I quattro amori di Claudia","1877","Ma quei due non erano certo duellanti. Col loro fardello, avvolto in una tela di cotone azzurra, a crederli contrabbandieri non si faceva loro gran torto! Il primo uscito, dunque, si era rivolto alla donna e le aveva detto: — Bene!","YES"
"Righetti_Carlo-I_quattro_amori_di_Claudia-1877","Righetti Carlo","I quattro amori di Claudia","1877","Fra mezz'ora alla Grotta. — Ma se lo vedete prima di me ditegli che oggi ci vogliono non meno di trenta svanziche e, se non me le dà, io gli pianto là la marmottina nel bosco, com'è vero che faccio il contrabbandiere. — Io non lo vedrò, perchè deve arrivare da di là, — rispose la donna additando la terra lombarda.","NO"
"Righetti_Carlo-I_quattro_amori_di_Claudia-1877","Righetti Carlo","I quattro amori di Claudia","1877","— Addio, Nataniele. Il giovine dato uno sguardo sospettoso all'intorno s'avviò col suo compagno giù per la strada maestra. Era uno di quei vespri, in sul finir della state, splendidi e caldi; quando i rondoni fanno le ultime ridde nel cielo; trissando acutamente per raccogliersi e prepararsi alla partenza.","NO"
