"filename","nome","titolo","anno","chunk","DIL"
"Righetti_Carlo-La_mano_nera-1883","Righetti Carlo","La mano nera","1883","﻿Cletto Arrighi - La mano nera Ciò che deve essere noto La storia delle società segrete, dalle quali in tutti i tempi sono divampate le rivoluzioni che mutarono a poco a poco la faccia del mondo, ha richiamata da qualche settimana alla memoria europea un nome che stava muto da un pezzo, quello della Mano Nera, vasta associazione anarchica di malfattori, dipendente da una misteriosa Giunta, che aveva la sua sede ignorata nella capitale dell’Andalusia. Mi permetterà il lettore ch’io gli dica che mi sarei guardato bene dal trattare un argomento così spagnolesco, in tanta copia di soggetti italiani che aspettano d’essere studiati, se il protagonista di questa storia, abbastanza terribile per poter interessare i curiosi d’ogni nazione, non fosse un compatriota e direi anzi un mio amico, se la parola gli convenisse - non dispiaccia all’autore di Marocco - quando si pensi che nel 1871 lui non contava che ventitrè anni, mentre io ne avevo quasi il doppio. Esporre in quali circostanze piuttosto curiose io sia venuto a conoscere i particolari del presente dramma sulla Mano Nera mi sarebbe quasi impossibile.","NO"
"Righetti_Carlo-La_mano_nera-1883","Righetti Carlo","La mano nera","1883","La materia è troppo pericolosa e i fatti troppo flagranti perchè mi possa essere permesso di svelarne la fonte senza arrischiare di nuocere, non foss’altro che a me stesso. Ciò che posso asserire con certa scienza si è che la persona dalla quale ebbi la narrazione di questi fatti era perfettamente in grado di conoscerne la verità, e non aveva nessuno interesse di raccontarmi una fiaba. Egli aveva accompagnato in Ispagna il fratello del nostro Re, chiamato dalle Cortes ad assumere la corona lasciata dalla borbonica Isabella ed era stato spedito dal governo di Amedeo a Siviglia per una missione diplomatica, che non ha nulla a fare col mio racconto, ma che lo pose in grado di essere informato di tutto ciò ch’egli mi è venuto raccontando.","NO"
"Righetti_Carlo-La_mano_nera-1883","Righetti Carlo","La mano nera","1883","Era stato a Siviglia fin al giorno in cui Amedeo credette bene di abdicare, e aveva poi fatto ritorno in Italia molto tempo dopo il decaduto, e altrettanto imprudente, quanto sfortunato suo re. Allora la Mano Nera stava nell’ombra, ma era nuovamente nel fiore della sua potenza. Non s’erano scoperte ancora le nuove fila di essa, ma ogni giorno si sentivano in Spagna gli effetti palesi e terribili della sua occulta influenza e della sua implacabile ferocia.","NO"
"Righetti_Carlo-La_mano_nera-1883","Righetti Carlo","La mano nera","1883","Io racconterò appunto un’avventura accaduta a Siviglia nel 1870-71 nella quale la Mano Nera ebbe la più gran parte e che sollevò in quel tempo grave rumore di sè, quantunque nessuno ne sapesse mai la causa vera. I rei non vennero scoperti che in questi ultimi giorni, in uno dei processi che ebbero luogo contro gli arrestati di complicità nella Mano Nera, che continuano tuttora, dai Pirenei in giù a Lisbona sull'estrema punta del Portogallo. Questo fatto però, rimasto misterioso fino all’altro dì, per quanto degno d'essere narrato, non sarebbe uscito dalla cerchia dei soliti soggetti da romanzo, di cui pur troppo rigurgitano tutte le cronache della vita europea, se oggidì esso non avesse preso un terribile risalto sotto al marchio lugubre della Mano Nera.","NO"
"Righetti_Carlo-La_mano_nera-1883","Righetti Carlo","La mano nera","1883","Trattandosi d’un Italiano è assai probabile che gli Spagnuoli non se ne occupino. Ed ecco perchè invece credetti bene di occuparmene io stesso. Accintomi a dare questa forma alle note raccolte dal racconto del mio ex diplomatico, fui preso da quella preoccupazione assai naturale in ogni autore: di ciò che la critica avrebbe, se non detto, pensato di me.","YES"
"Righetti_Carlo-La_mano_nera-1883","Righetti Carlo","La mano nera","1883","La Mano Nera è un argomento pigliato a volo. Essa arrischia d’essere presa come una di quelle opere fuori dell’arte, che talvolta pur troppo si impongono a quegli scrittori molto fortunati, i quali non ebbero la furberia ed il buon gusto di nascere con una cinquantina di mille franchi all’anno di rendita. L’idea che mi si potesse supporre un mestierante, mi turbava fieramente.","YES"
"Righetti_Carlo-La_mano_nera-1883","Righetti Carlo","La mano nera","1883","Io non avevo mai dato a nessuno il diritto di credermi tale. In molte critiche de’ miei passati romanzi, io mi ero sentito dire invece tutt’all’opposto. Gli editori in genere non credono la roba mia degna di paccotiglia.","NO"
"Righetti_Carlo-La_mano_nera-1883","Righetti Carlo","La mano nera","1883","Io non seppi mai unire l’arte alla specu- lazione, in modo da cavare da’ miei scritti ciò che forse ne avrebbero cavato molti altri. Comunque sia la Mano Nera non mi dissimulavo essere un titolo pericoloso, e mi mise in puntiglio di trattarlo in modo che non s’avesse assolutamente a dire che 1’intenzione - se non le forze -. non fosse in me perfettamente estetica.","NO"
"Righetti_Carlo-La_mano_nera-1883","Righetti Carlo","La mano nera","1883","Io avevo per le mani un soggetto splendido - parola tanto antipatica al professore del grido - e mi doleva di rinunciarvi. Perchè, può essere che ad altri non paja, ma a me il racconto dell’amico reduce di Spagna era parso davvero degno in tutto d’essere narrato, come quello che non aveva in sè nulla di rancido, nè di conosciuto in Italia. Debbo però confessare un’altra impressione sfavorevole.","NO"
"Righetti_Carlo-La_mano_nera-1883","Righetti Carlo","La mano nera","1883","Io sono d’avviso, e ho già sostenuto, che d’ora innanzi il racconto debba essere molto fisiologico, molto oggettivo, vale a dire sperimentale. Solo a questo patto io son d’avviso che esso possa salvarsi dalla taccia di romantico e dalle inevitabili ripetizioni. Ora è chiaro che io non potevo andar a Siviglia per scrivere la Mano Nera e studiar i caratteri sul luogo.","NO"
