"filename","nome","titolo","anno","chunk","DIL"
"Rimini_Pia-Il_giunco-1930","Rimini Pia","Il giunco","1930","﻿PIA RIMINI IL GIUNCO ROMANZO PARTE PRIMA MATERNITÀ Volle bussare ancora sebbene sapesse che se all’ora solita la porta non era socchiusa, Cesco non c’era. Aspettò volgendo le spalle al muro, guardando la finestra alta che dominava, spalancata su un azzurro denso, senza nuvole. Ribussò; ma non attese.","NO"
"Rimini_Pia-Il_giunco-1930","Rimini Pia","Il giunco","1930","Volle andarsene sperando che quando sarebbe stata a metà scale, la porta si sarebbe aperta in alto e una voce sommessa l’avrebbe richiamata. Più che una voce, un gesto: furtivo, sorridente. Dopo i primi gradini, si volse, e aspettò per sentire se un passo s’avvicinava.","NO"
"Rimini_Pia-Il_giunco-1930","Rimini Pia","Il giunco","1930","Poi scese lentamente. Le parve che per le scale s’addensasse l’ombra. Vide all’orlo di un gradino dei truccioli che forse qualche garzone di falegname aveva perduti dal suo fagotto.","YES"
"Rimini_Pia-Il_giunco-1930","Rimini Pia","Il giunco","1930","(Imaginò un ragazzo svelto, biondastro, con la faccia punteggiata di lentiggini, il naso camuso e gli occhi chiari, mobili, piccolissimi. Il cappello sul naso, le braccia nude, i calzoni troppo lunghi e larghi scendenti dai fianchi.) Avrebbe voluto chinarsi a raccattare quei truccioli perchè esprimevano una solitudine che pareva vicina alla sua tristezza.","YES"
"Rimini_Pia-Il_giunco-1930","Rimini Pia","Il giunco","1930","Sperduti, dimenticati all’orlo di un gradino, dispersi domani da un colpo di scopa. La portinaia mise la testa fuori dal suo stambugio e salutò. Questo stupì Maria, perchè in tutti quegli anni che ella veniva da lui, la portinaia aveva l’ordine di non vederla.","YES"
"Rimini_Pia-Il_giunco-1930","Rimini Pia","Il giunco","1930","Ordine sonoro nell’energia della voce, sonante nel tintinnìo metallico che l’accompagnava. – A quella, ci penso io – sorrideva Cesco. — Bel tempo, signorina!","NO"
"Rimini_Pia-Il_giunco-1930","Rimini Pia","Il giunco","1930","– attaccò discorso la donna, mentre il giallo accartocciarsi delle grinze si fendeva in un riso obliquo. E apparve sulla porta: secca, strisciante nell’atto tanto da parer curva, la fronte bassa che si sollevava a tratti con la lentezza circospetta della tartaruga che sporge la testa fuori dal guscio per ispezionare l’aria, e s’abbassava poi per nascondere il lampo dello sguardo. Maria passandole innanzi sorrise impacciata.","NO"
"Rimini_Pia-Il_giunco-1930","Rimini Pia","Il giunco","1930","— Tempi difficili – sospirò la portinaia e, con un fare distratto, le tagliò il passo: – per noi, povera gente. Maria sentì il sorriso oscurarsi in un’oppressione fra il disagio e l’ira, ma tentò di sorridere ancora. — Specie adesso – continuò la vecchia – che l’ingegnere è partito.","NO"
"Rimini_Pia-Il_giunco-1930","Rimini Pia","Il giunco","1930","Da lui si pigliava sempre qualche cosa. – (Maria fece un gesto; ma subito si riprese; e non sentiva che il cuore.) – È partito l’altro giorno con tutta la roba.","YES"
"Rimini_Pia-Il_giunco-1930","Rimini Pia","Il giunco","1930","In paese nessuno lo sa. Ascoltare era come confessare: tradirsi; ma rispondere voleva dire inasprire la donna, farsene una nemica. Ma anche, se il racconto sapeva di bugia, qualche cosa di vero ci sarà stato.","YES"
