"filename","nome","titolo","anno","chunk","DIL"
"Rimini_Pia-La_spalla_alata-1929","Rimini Pia","La spalla alata","1929","﻿MARIA E GIACOMO MARIA E GIACOMO Il grano alto, fitto, si scostava al suo passare, come se il vento vi segnasse tra il biondo chiaro, la scriminatura della strada. Ella sudava un poco, ma si sentiva leggera come se qualcuno la portasse. In fondo al sentiero apparve un ponte; ed era anche nell’aria un rumore d’acqua corrente.","NO"
"Rimini_Pia-La_spalla_alata-1929","Rimini Pia","La spalla alata","1929","Mano mano che ella s’avvicinava, pareva che il ponte s’allontanasse. D’improvviso ella sentì che scendeva; e con lei scendevano anche i campi; e questo sprofondare dei campi le dava un senso di angoscia che le stringeva la gola. Le pesavano le gambe, le braccia e le palpebre; e non poteva lottare: i campi sprofondavano e il gorgoglio dell’acqua cresceva.","NO"
"Rimini_Pia-La_spalla_alata-1929","Rimini Pia","La spalla alata","1929","Le apparve sua madre; vide suo padre alle spalle. Capì che era arrivata. Portava da quel viaggio una parola e la doveva regger sulle braccia, per offrirla a sua madre; ma la parola le sfuggiva; s’insinuava nel folto del grano che scendeva, mentre il fragore dell’acqua ingrossava.","NO"
"Rimini_Pia-La_spalla_alata-1929","Rimini Pia","La spalla alata","1929","Disse: – Adesso ti racconto quanto era bello. Sua madre avrebbe dovuto rispondere. Perchè non rispondeva?","NO"
"Rimini_Pia-La_spalla_alata-1929","Rimini Pia","La spalla alata","1929","Si sentì alzata, portata. Un uomo disse: — Non la scotete. Ma la voce era lontana.","NO"
"Rimini_Pia-La_spalla_alata-1929","Rimini Pia","La spalla alata","1929","Anche sua madre era lontana: e taceva. Suo padre non lo vedeva più: ma ne ricordava le spalle e i calzoni che gli scendevano dai fianchi. L’imagine di quei calzoni le opprimeva il petto.","YES"
"Rimini_Pia-La_spalla_alata-1929","Rimini Pia","La spalla alata","1929","Avrebbe voluto aprire gli occhi per non vedere dentro a sè i calzoni di suo padre. Un che di denso, d’ovattato (dei fiocchi di stoppa impastati col bianco d’uovo) le pesava sugli occhi e le premeva dentro gli orecchi. Qualcuno le empì la bocca di stoppa.","NO"
"Rimini_Pia-La_spalla_alata-1929","Rimini Pia","La spalla alata","1929","Tentò di sputare, ma la stoppa le tappava la bocca come un bavaglio. Lo stomaco le si rivoltò, le salì in gola; un liquido le uscì per la bocca e dal grembo le fiottò un’umidità calda e densa che le scese per le coscie e subito diventò fredda. Qualcuno disse tante parole che rotolarono, si rincorsero: una di queste, bianca, spumosa, stava nell’aria: ne uscì una nuvola che ondeggiava, ispessiva, diventò la testa d’un cane dagli occhi lampeggianti e dalla bocca umana: una bocca rossa, carnosa, che ingigantì, le avvampò le gambe, le addentò il grembo in un bruciore profondo.","NO"
"Rimini_Pia-La_spalla_alata-1929","Rimini Pia","La spalla alata","1929","Un che di freddo le si sciolse in bocca. Allora le apparve la grande fontana del cortile di casa sua; l’uomo di pietra che gonfiava le gote, a dar acqua per la bocca, le ghignò contro: – Vedrai che gusto dover buttare acqua per la bocca! — Non riderò di voi – gli voleva dire, ma non poteva, tutta quell’acqua che la gonfiava e la premeva urgendo, le salì nel petto, la torse, le schizzò dalla bocca in un mugolìo che le parve un singhiozzo.","YES"
"Rimini_Pia-La_spalla_alata-1929","Rimini Pia","La spalla alata","1929","Ma forse era l’uomo della fontana che rideva. Il riso gli inturgidiva le gote, gli gorgogliava sulle labbra. Perchè nessuno lo cacciava?","YES"
