"filename","nome","titolo","anno","chunk","DIL"
"Rivetta_Pietro_Silvio-Il_destino_in_pantofole-1929","Rivetta Pietro Silvio","Il destino in pantofole","1929","﻿Il destino in pantofole Non mi parlate di filologi, di professori di lingue estere e di orientalisti specialmente. Li detesto tutti, poi che uno di essi mi ha reso omicida. * Ogni sera, in quell’ora bruna che – dal XIII secolo in poi – intenerisce il core, sono preso dal desiderio di donare le mie ricchezze ai poveri e ritirarmi, eremita, a dura penitenza.","YES"
"Rivetta_Pietro_Silvio-Il_destino_in_pantofole-1929","Rivetta Pietro Silvio","Il destino in pantofole","1929","Un dubbio mi rattiene: il dubbio che il rimorso mi seguirebbe anche lassù. Perciò, ogni sera concludo: — Se debbo conservare il rimorso per la morte della zia, tanto vale che conservi anche le ricchezze ereditate da lei. E cerco l’oblìo in una sala di cinematografo, dove è possibile non pensare a nulla, neppure a quel che si proietta sullo schermo.","NO"
"Rivetta_Pietro_Silvio-Il_destino_in_pantofole-1929","Rivetta Pietro Silvio","Il destino in pantofole","1929","* Generalmente si dice troppo male delle suocere e troppo poco bene delle zie. Delle zie d’Europa specialmente, le quali sono assai migliori che gli zii d’America. Anzitutto perchè quelle esistono ancora, mentre questi sono un genere assolutamente esaurito.","NO"
"Rivetta_Pietro_Silvio-Il_destino_in_pantofole-1929","Rivetta Pietro Silvio","Il destino in pantofole","1929","La mia buona zia Ludovica esisteva ancora, un anno fa. * (N.B. – Questo racconto è spezzettato da asterischi. Essi non hanno scopo letterario, ma sono surrogati di singhiozzi, poi che io non amo piangere in presenza dei lettori).","NO"
"Rivetta_Pietro_Silvio-Il_destino_in_pantofole-1929","Rivetta Pietro Silvio","Il destino in pantofole","1929","* Non avevo che una sola zia, quella. Ma se mio nonno fosse stato poligamo e io avessi avuto dodici o ventiquattro o quarantotto zie, nessuna sarebbe stata così buona come la zia Ludovica. * Non aveva che un solo difetto: la manìa di voler sapere come io spendevo il danaro che ella mi inviava.","NO"
"Rivetta_Pietro_Silvio-Il_destino_in_pantofole-1929","Rivetta Pietro Silvio","Il destino in pantofole","1929","La sua generosità era senza limiti, ma doveva essere motivata. Questa sua manìa, del resto, ha giovato enormemente a sviluppare le mie facoltà inventive e, di riflesso, la mia intelligenza. * Io potrei, oramai, scrivere un grosso repertorio dei pretesti, legittimi e commoventi, atti ad ottenere danaro dai parenti generosi sino al 4º grado (di parentela e di generosità).","YES"
"Rivetta_Pietro_Silvio-Il_destino_in_pantofole-1929","Rivetta Pietro Silvio","Il destino in pantofole","1929","In sette anni di carriera di nipote maggiorenne, li ho escogitati tutti, abilmente alternati: dall’incidente automobilistico («tutti salvi per miracolo; ma la macchina, uh!, in che stato!») all’acquisto dell’Encyclopaedia Britannica (quattordici volumi rilegati, col cambio altissimo): dal Comitato di beneficenza al regalo di nozze per un antico beneamato professore («più che il mio sapere, debbo a quell’uomo il mio carattere»). Purtroppo m’era preclusa ogni possibilità di addurre debiti di gioco, poi che la zia Ludovica era intransigente su questo punto: il suo unico nipote doveva essere di una morigeratezza esemplare: si divertisse pure, ma in onesti svaghi, come si conviene al bravo giovane che ella destinava, in pectore, a convolare in giuste nozze con l’unica nipote sua, Cleonice dai biondissimi capelli, deliziosa artista in pirografia. * Non c’è dunque da stupirsi se, alla metà di aprile dell’anno scorso, il mio cervello si trovasse oramai interamente sprovvisto di nuovi pretesti originali ed efficaci.","YES"
"Rivetta_Pietro_Silvio-Il_destino_in_pantofole-1929","Rivetta Pietro Silvio","Il destino in pantofole","1929","E, in tali casi, il vuoto cerebrale è ancor più atroce quando è accompagnato da un vuoto egualmente desolante nel portafoglio. Ero a Brindisi, bloccato colà da un conto di albergo il quale portava il numero della più bella camera doppia sul mare, e un numero assai più grosso come totale, S. E e O.","YES"
"Rivetta_Pietro_Silvio-Il_destino_in_pantofole-1929","Rivetta Pietro Silvio","Il destino in pantofole","1929","L’ultimo biglietto da cento era passato nelle mani di un mercante orientale girovago, il quale mi aveva dato, in cambio, due deliziose pantofoline rosse, ricamate in argento. (Chi sa quali passi, e dove, avrà fatto con quelle pantofoline turche colei che, quella sera stessa, partì verso il Nord, inviandomi un biglietto postale da Napoli, una cartolina illustrata da Chiasso, e scomparendo oltre frontiera e nei ricordi lontani...) * Asterischi..... asterischi..... * Considerate un giovane uomo in una camera troppo ampia per lui, dinanzi a un mare immalinconito dalla pioggia, con un vuoto nel cuore e un conto d’albergo da pagare, e non sarete troppo severi con lui se, scrivendo alla zia, acciuffa il più bislacco suggerimento che il caso gli presenta. E quell’insieme di leggi complicatissime e ben congegnate che noi chiamiamo «caso» volle porre sul mio tavolo un foglio di giornale turco.","YES"
"Rivetta_Pietro_Silvio-Il_destino_in_pantofole-1929","Rivetta Pietro Silvio","Il destino in pantofole","1929","Con quel foglio – di cui io non capivo un solo segno, e col quale il mercante orientale aveva incartato le pantofoline – era rimasto sul tavolo, abbandonato anche lui. Per questo semplice fatto, esso mi sembrò un compagno nella solitudine, un amico a mio soccorso. Esso mi suggerì l’espediente originale e bislacco.","YES"
