"filename","nome","titolo","anno","chunk","DIL"
"Romani_Luigi-Un_ritratto-1847","Romani Luigi","Un ritratto","1847","IL TEATRO ALLA SCALA. Era una sera del novembre 184..., ed al Teatro alla Scala in Milano si rappresentava per la prima tolta un' Opera nuova di un' giovine compositore, de' cui talenti musicali' si preconizzava assai bene. Il teatro per noi Italiani è lina necessità, è quello della Scala pei Milanesi è una delle più care glòrie municipali.","NO"
"Romani_Luigi-Un_ritratto-1847","Romani Luigi","Un ritratto","1847","L’invito ad un’ Opera nuova segna un giorno ; od una notte, se più vi garba, di vera festa pel buon popolo della capitale lombarda, e la folla, sempre avida di novelle emozioni, corre premurosa a stiparsi nel vasto recinto per intendere e dare sentenza sul nuovo lavoro musicale sottoposto al suo giudizio. Lo spazioso parterre era già gremito di spettatori, fra quali il sesso forte teneva una grande maggioranza, ed i palchetti invece si andavano a mano a mano popolando di eleganti signore, che, abbandonale di recente le ridenti sponde del Lario o gli ameni colli di Varese e delle Brianze, tornavano a rallegrare di loro presenza il più geniale convegno dell’ opulenta Milano. Gli sguardi erravano intorno solleciti e curiosi, ed i cannocchiali e le lenti d’ ogni foggia e d’ ogni dimensione, lavoravano con grande attività per togliere le distanze e ravvicinare gli oggetti.","NO"
"Romani_Luigi-Un_ritratto-1847","Romani Luigi","Un ritratto","1847","La marchesa Elisa di Vista Allegra in compagnia del marito venne a prender posto nella sua loggia in seconda fila, e la comparsa della giovine damma, ohe godeva meritata fama di rara avvenenza, attrasse gli Sguardi di tutti i più rinomati lyons e delle altre meno fiere eleganti bestie, e destò nella folla quel mormorio di ammirazione che si tributa mai sempre atta bellezza congiunta al grado ed alla fortuna. L’orologio segnava appena le sette ore e trenta minuti, ed il publico, e più particolarmente quella parte di publico che entra io teatro due ore prima dell’ incominciare dello spettacolo per trovare un angolo dove rincantucciarsi, cominciava a strepitare ed a dare i più manifesti segni della sua viva impazienza. Echeggiava sotto l’ampia vòlta un confuso rumore, come di mare su cui sta per isprigionarsi la bufera, ma il magico tocco dell’archetto del direttore dell' orchestra tornò in calma gli spiriti insofferenti ohe accolsero quel sospirato segnale con un mormorio di approvazione, e sabito dopo un profondo silenzio successe a quelle mille voci discordi, al fruscio, dei piedi ed al battere delle palme e dei bastoni.","NO"
"Romani_Luigi-Un_ritratto-1847","Romani Luigi","Un ritratto","1847","Un solo pensiero, quello di dare giudizio detta nuova musica, pareva dominare quella massa di gente fri raccolta onde dimenticare per alcune ore ia prosaica monotoni della vita reale, e seguire colla fantasia quella tutta poetica ed illusoria die, pari ad un sogno, nasce, si sviluppa e dilegua col levarsi e col calare della tela sulle sceniche finzioni. In quella sera le sorti volgevano propizie alla nuota Opera ed a’ suoi esecutori, per cui terminava il primo atto fra gli applausi e quell’ allegro cicaleccio eh’ è indizio sicura del buon'umore del rispettabile publico, ohe non sempre' retto e ponderalo ne’suoi giudizi,- getta laMàta a capriccio ed a norma delle passioni che lo agitano, o dell'impulso del momento, il biasimo o la lodo dui lavori che costarono: voglie affannose al genio creatore e palpiti mortali ai pò-veriaritetì die assunsero il difficile incarico di dargli viu’ innanzi alla folla. Elisa, dotata di una squisita sensibilità c bene iniziata nette musicali discipline, era annera sotto l’impressione delle diverse commozioni in lei prodotte dalla nuova composizione, quando per divagarsi gettò ; un'occhiala nella platea, e dopo.avere erralo il suo sguacdo sopra quello svariato ammasso di teste, l’incontrò in quello.d’ un giovine elegante che fissamente guardava al di lei palchetto.","NO"
"Romani_Luigi-Un_ritratto-1847","Romani Luigi","Un ritratto","1847","Elisa non sostenne a lutago l’ attdadia di quello: sguardo, e si volse, a: parlare cogli anici che ite tacevano corona; ma pòco dopo, quasi suo malgrado;volse di nuovo gli occhi al parterrei e lo stesso sguardo di prima fermò la Sua attenzione. Questa volta le parve di riconoscete i tratti del giovine forestiere, e torturò lai sua memoria pefr risovvenirsi dove e quando l’avesse veduto; ma non le vqnne tnar fatto di rammentarsene, e ne provò un lieve dispiacere. Il seguito dello spettacolo e le visite che succedevansi continuamenté, le fecero poscia, òbbliare quell'oggetto momentaneo delle, sue'riflessioni.","NO"
"Romani_Luigi-Un_ritratto-1847","Romani Luigi","Un ritratto","1847","Ma quando, terminata: l’Opera, Elisa:, sotto braccio del. marito, raggiungeva, alla porta deli:teatro là carrozza per restituirsi al domestico tetto, nell’ attraversare la folla che nel vestibolo faceva ala al suo passaggio, e méntre qualcuno dei più ardenti,suoi;ammiratori non. poteva trattenérsi dal susurrarle aU!","NO"
"Romani_Luigi-Un_ritratto-1847","Romani Luigi","Un ritratto","1847","orécchio , più lusinghieri complimenti, iucontrò nuovamente la figura dello straniero che la mirava col suosguardo di fuoco. Elisa per un istante sentì raddoppiaci i battiti deli cuore, e si strinse più forte al braccio del marito, quasi cercando in lui un appoggio ed una difesa contro il fascino di quello sguardo che le suscitava in cuore dei vaghi terrori ; ma appena fuori della vista del giovine riprese la primiera calma; però in quella notte il di lei sonno fu agitato, e le sembianze del forastiero le apparvero più volte nei confusi suoi sogni. ELISA.","NO"
"Romani_Luigi-Un_ritratto-1847","Romani Luigi","Un ritratto","1847","Elisa si era da qrca ;un anno .sposata; al marchese di; Vista ; Allegra» turno, d’, età alquanto: avanzata» ma, d’aggradevole, aspetto, di. ferma salate , d’ umore, vivace e di modi, forte». Elisa Contava appena j; diciannove anni :: era oltremodo, avvenente della persona; ed aveva sortiti i natali da una famiglia.distinta per nottila^ ma cadutaia bassa fortma.","NO"
"Romani_Luigi-Un_ritratto-1847","Romani Luigi","Un ritratto","1847","Mentre era ancora bambina rimase priva, del. padre , e la madre ohe l’ idolatrava concentrò tutto ilpróprio affetto: in qhelicar» $egnó della: sua passata felicità. -Quésta tenera madre potiomeUevàsi con.","NO"
"Romani_Luigi-Un_ritratto-1847","Romani Luigi","Un ritratto","1847","animo: sereno atte privazioni che son? cbsìdure per ohi; aUevatft nell’opttlenza, si vede scasa sua colpa travolto in basso stato, e tutto quanto le era rimasto delle perdute ricchezze consacrava nell' educare convenientemente 1' unica ed amatissima figlia. Desiderosa di assicurarle un appoggio ed un lieto avvenire, la persuase, senza però violentarne l'inclinazione, a dare la mano di sposa al ricco ed onorato marchese Alberto, che invaghito delle attrattive di Elisa, della dolcezza del suo carattere, e tocco dalle sventure che avevano colpita la sua disgraziata famiglia, l’aveva domandata in moglie, offrendosi generosamente d’assegnare del proprio una conveniente dote alla fanciulla, e di provvedere largamente all’esistenza della madre.","NO"
