"filename","nome","titolo","anno","chunk","DIL"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Parte prima TEMPESTA NEL PADULE Il ritorno del flebotomo Bossano a Murialto d'Asti avvenne alla vigilia della festa di maggio, e benché seguisse di sera e di nascosto, fu subito segnalato da un complesso di strane commozioni.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Come negli antichi misteri il diavolo si annunziava con un forte puzzo di zolfo, così la presenza di questo famigerato perturbatore era tradita dal disordine, suo naturale elemento. La notizia scoppiò come un fulmine nella casa comunale. Un'ora dopo il tramonto per il paese non se ne sapeva nulla.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","In piazza la solita funzione era quasi compiuta: il maggio era calato nella buca e rizzava la sua vetta di pino davanti l'arme di Murialto, i tre simbolici cucuzzoli color d'ocria dipinti sul muro; i sei abati della cerimonia avevano fatto torno torno ciascuno il suo giro pestando coscienziosamente per riassodare il terreno, mentre il clarino gemeva il motivo tradizionale: due strilli acuti e una cadenza grave, - e il coro cantava negli intervalli, colle stesse modulazioni, il ritornello: Evviva maggio Ritorna maggio Ben venga maggio Poi gli abati erano venuti ad allinearsi ai due lati della porta del Comune, chiusa come richiede il costume - tre per banda con le labarde a pied-arm - ed aspettavano pazientemente.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Alcuni contadini silenziosi, in riga diseguale come le comparse di un teatro dei sobborghi, facevano la parte di popolo che si annoia necessario alle feste ufficiali che non divertono. Sul finestrino dell'ufficio postale e sull'altro più basso del tabaccaio due miseri e consunti moccoletti di sego, piegando la fiamma avida e stenta a bere le sgocciolature sul davanzale gettavano delle fioche zaffate di luce rossiccia su quella festa allegra come un mortorio. Intanto l'antica torre quadrata dormiva nell'ombra della notte nuvolosa e da qualche finestra socchiusa la curiosità assonnita sbadigliava.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Finalmente, dopo un gran pezzo, Strambo, l'inserviente, - spalancò adagio i battenti e domandò con voce chioccia: - Chi viva? - Viva Murialto, risposero gli abati discordemente. - Chi viva?","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","ridomandò lo Strambo. - Viva sor Sindaco. A questo punto cominciarono i guai.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Un grido strano e beffardo, il gracidare di un rospo colossale rispose dal fondo della piazza. Gli abati e i sonatori furono introdotti. Il sindaco Biancardi li aspettava nella sala del consiglio al primo piano e li ricevette mormorando: - Là, buona sera, là, buona sera...","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","La comitiva sfilò scalpicciando lungo la parete: i sonatori svitarono e sgocciolarono gli strumenti. La nudità della sala, il sito di muffa e di rinchiuso mostrava l'intorpidimento della vita pubblica murialtese. Però quel corpaccio municipale inerte aveva un viscere vivacissimo.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Dalla parte della segreteria veniva un garrito stizzoso incessante. Il segretario Stroppiana che abitava colla famiglia il palazzo comunale e ne faceva gli onori, strapazzava la moglie chiamandola mortaio, erpice, rullone, ciabatta: - e calunniava quegli utensili di una riconosciuta utilità agricola e domestica. Intanto il sindaco rimaneva goffo ne' suoi abiti da festa, si stropicciava lentamente le mani callose, mormorando: - Ora viene, ora viene il segretario.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Lo Stroppiana entrò finalmente, spingendo innanzi la moglie coi bicchieri. Egli, piccolo, magro, segaligno, tutto voce e scatti, le correva dietro, le sfarfallava intorno, le dava punzoni, - su bionda, lesta la bionda - stimolandola colla tormentosa insistenza del tafano: ella corpulenta e placida come una mucca ci pareva avvezza a quella molestia, tirava innanzi senza che ne' suoi occhioni sonnacchiosi e sul suo viso bianco di sugna trasparisse il menomo segno d'impazienza. Lo Strambo era di nuovo scomparso.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","S'era dimenticato di aprire il balcone e di accendervi sulla ringhiera i tre ceri per la serenata. Il segretario schiattava dalla bizza; dormivano tutti perdio! scaraventò sul sindaco un rabbuffo di interiezioni, riportò i bicchieri nella segreteria, mandò la moglie in traccia dell'inserviente, ci andò lui stesso: la sua collera minuscola ronzava per ogni dove suscitando appena col suo brusio gli echi pigri e intorpiditi dello squallido luogo.","YES"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Tornò collo Strambo e coi ceri: l'aiutò a fermarli, ad accenderli e chiamò fuori i sonatori e gli abati. Pareva il solo vivo di quella gente. Allora si riudì il gracchiare di prima e una voce nota aggiunse: - Abbasso Metternich.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Gran brutto segno se Andrea alzava la voce; segno certo che v'era qualcosa di nuovo. Andrea era il figlio del segretario, figlio di primo letto - e da gran tempo il suo nemico implacabile. La piccola orchestra si fe' coraggio e stonò fra le distrazioni la monferrina rituale.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","L'aspetto della piazza era mutato. All'angolo della farmacia s'era radunato nell'ombra più densa un crocchio, e ne veniva un cupo mormorio. Sull'angolo opposto del caffè, un altro gruppo più inquieto di tre o quattro persone si stringeva intorno ad un coso lungo e magro che minacciava con degli strilli selvaggi e dei gesti da energumeno la casa comunale.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Lo spazio in mezzo rimaneva vuoto come campo aperto ad una prossima zuffa: e i ceri gettavano sul ciottolato ineguale un lume incerto che vi disegnava delle asperità singolari. La romba di una ignota tempesta turbava la morta quiete di Murialto e agitava quel pugno di automi. L'insolito turbamento assaliva i sonatori, li confondeva, abbaruffando tempi e toni e facendoli dare in lamentevoli sgarrate.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Il solo capo banda, soprannominato il Pesce, per antitesi, teneva fermo nello sbarraglio soffiando imperterrito nel suo clarino picchiando infuriato la misura a suon di calci contro la ringhiera che tutta ne tremava - affrontando bravamente le minaccie nemiche e lo sgomento dei soggetti, coi suoi trilli squillanti, sterminati e coi gruppetti vittoriosi. Ma l'orchestra ruzzolava alla confusione. A un certo punto il bombardino tacque e allora il fazioso gracidare fe' da accompagnamento tanto a proposito che delle risa di scherno scoppiarono sulla cantonata del caffè.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Andrea ripeté: - Abbasso Metternich. E soggiunse: - Abbasso il gesuita. Questo grido tanto audace da colpire di fronte il potere di Murialto con un soprannome che appena i malevoli osavano susurrar in istretta confidenza, sgominò i curiosi che riparavano in fretta dietro la cantonata della farmacia.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Nessuno voleva pigliarsi la grave responsabilità di averlo inteso. Il gruppo sedizioso rimasto padrone del campo, crebbe d'ardimento. Andrea vociò: - Qua!","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Qua! E il rospo misterioso sbucò dal cancello dietro alla farmacia, trasse al richiamo, rasentando il muro del comune e gettando con ritmica frequenza il suo grido grasso, qua, qua. Passò nell'ombra sotto il balcone, sostò davanti la porticina del Segretario.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","A un tratto i battenti si spalancarono e lo Strambo ghermì qualcuno che stava lì accoccolato sul gradino, tirando la sua preda in cucina, dove il notaio e segretario Stroppiana l'attendeva. Il lume appeso alla cappa del camino rivelò nel catturato un ragazzone sbilenco che tremava come una foglia, sbarrava gli occhi rossi di coniglio in cima a una grossa testa senza fronte, e sbuffava dal naso sfrogiato una paura bestiale. Il notaio aveva strillato prima di guardarlo: - La pagherai per tutti!","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Ma quando ravvisò suo nipote Tuni, figlio di Andrea, la sua bile traboccò. Mentre credeva di aver in mano la sua brava vendetta, erano ancora quegli altri che corbellavano lui abbandonandogli quel povero cretino, lo zimbello innocente di tutto il paese. Andrea se ne serviva solitamente per fargli onta, mandandoglielo fra i piedi nelle grandi occasioni.","YES"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","- Cosa facevi stupido?... su parla, miseria! - È pà che mi ha detto di fare il rospo al messere.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","- Ah te lo darò io il rospo, razza grama! - È pà che mi ha detto! Il vecchietto rabbioso lo coprì di improperi, buttandolo a punzoni e pedate in tutti i canti della cucina.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Quel corpaccio imbecille si cansava come poteva, goffamente colla passività di un animale inconscio della propria forza: ripeteva smarrito ma senza mostrar dolore per i maltrattamenti: - È pà che mi ha detto! Lo Strambo gustava la scena a braccia conserte, con un mozzicone di pipa fra le labbra, e quando l'infelice si abbatteva contro qualche mobile rideva sconciamente. Finalmente il segretario, rifinito, gli ordinò di cacciarlo nella torre, nel carcere dei ladri di campagna, e uscì gridando: - Per ora vai all'ombra; poi se ti ci colgo un'altra volta, collo da forca, ti scortico e ti rimando colla pelle in mano a quella carogna di tuo padre.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","- L'è pà che mi ha detto: fa il rospo a messere, rispose ancora il povero scemo. Intanto la serenata finiva in mezzo a una tempesta di fischi; tempesta di vento - nessuno aveva intenzione di menar le mani. I tumultuanti, carrettieri venuti per la fiera dell'indomani e reclutati da Andrea all'osteria del Leone avevano fatto quel po' di baccano, senz'altro scopo che il gusto di spassarsela a spese dei feudatari come per l'antica boria si chiamavano ancora i murialtesi.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","I sonatori e gli abati rientravano in iscompiglio dal terrazzo stizziti e vergognosi. Il Pesce li rampognava di essersi lasciati intimidire da tre o quattro intrusi, rammentava che i forti di Murialto avevano una volta a molte miglia all'intorno una fama battagliera e formidabile ben meritata e gelosamente mantenuta: alle sagre e alle fiere bisognava lasciar loro la dritta: un giorno a Camerano erano entrati sul ballo pubblico, cacciandone i ballerini del paese ed egli col Giacchetta, col Cione, i due furieri e Cenzo del Monco ballavano con le più belle ragazze del paese. Ora quella bravura s'era arrugginita: quei prodi erano morti, invecchiati, maritati, impoltriti.","YES"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Il Pesce proponeva ai compagni di imitare le loro gesta; si offriva di guidarli alla riscossa contro quei non si sa chi a far ballar loro il correntone a suon di legnate. Ma dei compagni, giovinetti appena ventenni, nessuno si mosse. Si sarebbe potuto da principio far cessare lo scandalo, ricorrendo ai carabinieri, ma sarebbe stato esempio novo che le autorità indigene avessero richiesto l'intervento dell'arma, - se si vantavano invece di farne senza, di escluderne l'azione, di ignorarne la presenza!","YES"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Se il maresciallo si fosse presentato ad offrire i suoi servigi, sarebbero stati rifiutati - e avrebbe avuto contro la Giunta se avesse agito di suo. Egli si limitava dunque, per regola, ad una semplice vigilanza, caso mai le cose pigliassero una piega pericolosa. Il che, sia detto il vero, non era mai accaduto.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Quando il segretario Stroppiana rientrò nella sala del Consiglio, il tumulto era cessato, la piazza ridiventata silenziosa. Andrea coi compagni entrati in caffè. Il Pesce finiva l'arringa dicendo che s'egli fosse il sindaco vieterebbe a tutta quella canaglia forestiera di fermarsi in paese.","YES"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Il sindaco si stropicciava ancora le mani ripetendo: - Oh sì magari... come si fa? - Come si faceva una volta. - E la fiera?","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","chiedeva uno. - La fiera la faremmo da noi. Il notaio invitò la compagnia ad entrare per il rinfresco d'uso nella segreteria.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Una stanzaccia enorme dove l'ufficio pubblico era invaso e soverchiato dallo studio notarile e l'attiguo tinello spingeva innanzi sulla gessata del pavimento un denso pattume. L'ampia scansia, le due tavolaccie, la vecchia scrivania a tamburo rigurgitavano: volumi d'atti, scartafacci, carte ingiallite, spiegazzate, rotolate, abbattuffolate, cadevano da tutte le parti sulle sedie sfondate, si ammucchiavano in terra con quel laido disordine che rivela non tanto la ressa quanto la trascuranza degli affari. Qualche vecchia litografia in cui i tarli avevano fatto il bozzolo, appesa senza simetria alle pareti.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Le ragnatele venerande andavano liberamente dai mobili alla finestra, da questa alla canna della stufa, e ai travicelli del soffitto, e là si spiegavano distesamente. La polvere alta, inamovibile regnava da sovrana, infarinando le ragnatele, i libri, i mobili, tutto, fuorché una cosa: - un quadro a cornici dorate, diligentemente ripulito, ricoperto di vetro e involto in una mussola rosa. Conteneva un'antica cartapecora dove, a caratteri di diverso tempo, era tracciato l'albero genealogico degli Stroppiana, una fila di notai che avea per stipite quel notaio Secondo Stroppiana, il quale rogò l'atto di fondazione di Murialto nel 1074.","NO"
"Sacchetti_Roberto-Vecchio_Guscio-1879","Sacchetti Roberto","Vecchio Guscio","1879","Questo singolare documento, unica adorazione di quell'antro polveroso aveva il posto d'onore sopra la scrivania come la pala d'altare nel santuario e non mancavano due candele che un candelabro appeso al muro sosteneva sotto la cornice. L'albero genealogico terminava col nome del notaio attuale, che a mostrare come non riconoscesse la propria discendenza, ci aveva tracciato sopra e tutt'intorno degli ampi arabeschi. Colmati i bicchieri in giro, e scambiato il rituale: evviva - il segretario soggiunse: - Evviva noi e il nostro paese!","NO"
