"filename","nome","titolo","anno","chunk","DIL"
"Sacchi_Antonietta-Il_paladino_dell_umanita-1867","Sacchi Antonietta","Il paladino dell umanita","1867","IL PALADINO DELL' UMANITÀ OSSIA I SEDICI ANNI ROMANZO STORICO CONTEMPORANEO dal 1848 al 1864 PER ΑΝΤΟΝΙΕΤΤA SACCHI MILANO 1867 A CESARE MAZZA A Te cui ferve d'amor patrio l'alma, A Te Poeta e Paladino ardito Che di valor cogliesti verde palma E, dal tuo ciel proscritto, in stranio lito Vuotasti lieto con mirabil calma Tutto l'amaro nappo del bandito, Dono quest'opra, eletto cittadino, E copro del tuo merto pellegrino.","NO"
"Sacchi_Antonietta-Il_paladino_dell_umanita-1867","Sacchi Antonietta","Il paladino dell umanita","1867","La sera del 17 marzo 1848. Patria!... Libertà!...","NO"
"Sacchi_Antonietta-Il_paladino_dell_umanita-1867","Sacchi Antonietta","Il paladino dell umanita","1867","Sublimi parole che fanno palpitare d'entusiasmo i paladini dell'indipendenza; che scuotono l'animo dei despoti; che inspirano le menti dei liberi poeti; ma svolgono dinanzi allo sguardo di freddo pensatore una tela straziante, uno spettacolo di terrore! Vede egli vili creature, che s'arrogano la supremazia, e colla forza raschiano dalla fronte dei popoli il crisma divino contrassegno d' essere l'uomo di sè stesso padrone e vi sovrappongono il marchio infamante della schiavitù. Vede generazioni degradate sopportare, quali armenti, il tirannico giogo.","NO"
"Sacchi_Antonietta-Il_paladino_dell_umanita-1867","Sacchi Antonietta","Il paladino dell umanita","1867","Vede quindi la fiaccola del progresso scorrere per quel caos d'ignoranza, e le anime generose scuotersi, drizzare l'incurvato dorso, e volgersi unanime alla rivoluzione. Vede inalberata la bandiera del diritto, ed un eletto drappello marciare contro l'oppressore. Vede finalmente il cozzo ter ribile, mortale!","YES"
"Sacchi_Antonietta-Il_paladino_dell_umanita-1867","Sacchi Antonietta","Il paladino dell umanita","1867","e qui si fa colla mano velo agli occhi quasi voglia nascondere al pensiero la scena d'orrore. Gridi, bestemmie, maledizioni, gemiti, agonie, sangue, morte... tutto, tutto in un colpo si presenta alla mente!Il suo sguardo di fuoco s'incontrò in quello della cugina, e l'abbassarono entrambi temendo di leggervi ciò che da qualche tempo sentivano nel loro cuore. Ma la fama sorvola sul teatro di tante scia.","YES"
"Sacchi_Antonietta-Il_paladino_dell_umanita-1867","Sacchi Antonietta","Il paladino dell umanita","1867","gure proclamando ai quattro venti i martiri della libertà, ed una aureola di gloria infiamma di luce immortale i loro nomi. Un solo Essere si vede dimenticato la donna. Ella sente strapparsi il cuore nel vedere le persone care esposte sui campi dell'onore; eppure il dovere di cittadina la rende forte: ostenta freddezza, e le viene meno la vita dall'angoscia.","NO"
"Sacchi_Antonietta-Il_paladino_dell_umanita-1867","Sacchi Antonietta","Il paladino dell umanita","1867","A quante madri, spose, sorelle, amanti, la patria schiuse avanti tempo la fossa; nè il loro sagrificio è dall'umanità ricordato, e giacciono nell' obblio gli slanci virtuosi del sesso gentile! In queste pagini, o lettori, incontrerete donne che le più tenere affezioni dovettero immolare sull'altare dell' indipendenza, e morirono affrante dal dolore. Se sulla loro sciagura pian.","NO"
"Sacchi_Antonietta-Il_paladino_dell_umanita-1867","Sacchi Antonietta","Il paladino dell umanita","1867","gerete esulteranno quelle ombre generose, perchè fino a tanto che l'ingiusta società qualifica il sesso femminile debole, esso non può ambire la corona dei forti: la sua gloria sta nell'avere adempito al proprio dovere, e nello strappare da nobili cuori una lagrima di compassione. Lungo il corso di porta Vercellina - ora Magenta s' innalzava un magnifico palazzo appartenente alla ricca famiglia Nicolari. In sfarzosa sala era sdraiata sopra elegante ottomana una signora di mezza età che ognuno poteva conoscere a primo slancio essere stata molto avvenente.","NO"
"Sacchi_Antonietta-Il_paladino_dell_umanita-1867","Sacchi Antonietta","Il paladino dell umanita","1867","Ella si chiamava Emma Lottini, vedova di Egidio Nicolari. In piedi al di lei fianco, appoggiato col braccio all'ottomana, aveva suo figlio maggiore Arturo giovine sui diciotto anni, bruno, alto, ben fatto, occhi ardenti, capigliatura nera arricciata, un vero tipo italiano. Ambedue ascoltavano attentamente un pezzo dei Lombardi alla prima crociata che Irma Nicolari, nipote della signora Emma, suonava sul pianoforte con rara disinvoltura e sentimento.","NO"
"Sacchi_Antonietta-Il_paladino_dell_umanita-1867","Sacchi Antonietta","Il paladino dell umanita","1867","La graziosa giovinetta contava appena quindici anni: era pallida, pensierosa; aveva due grandi occhi pieni d'espressione, la chioma corvina, la corporatura snella ed il complesso attraente. Tutto ad un tratto il suono cessa, ed Irma corre a nascondere la bella testolina in seno alla zia, che sempre chiamava col dolce nome di madre. La signora Emma ed Arturo, sollevano la fronte della fanciulla, e cercano carezzevolmente di strapparle dal labbro il motivo del suo dolore.","NO"
