"filename","nome","titolo","anno","chunk","DIL"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","LA FORNARINA NOVELLA STORICA La era una bella mattina di maggio, nell'ora che in piazza della Rotonda a Roma ferve il mercato d'erbe, di pollami, di selvaggine; due uomini s'incontrano quasi a mezzo la piazza, uno solo, l'altro accompagnato da molte persone. Si salutano piacevolmente, si fermano e scambiano varie parole, e tutti intorno, i cittadini e fino la gente del popolo, li guardano con meraviglia, si parlano l'un l'altro susurrandosi all'orecchio il loro nome.","NO"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","Uno accenna all'aspetto di avere appena trent'anni: lunghe chiome gli cadono dalle spalle, [10] due occhi vivaci ma dolcissimi, un volto soave, di belle forme e di un profilo quasi greco. Veste le gambe e le cosce di bei calzoni di seta ricamati e stretti; al corpo un giubbarello di velluto arabescato in oro che alla schiena si ristringe a pieghe, e nell'innanzi si abbottona sul petto: una fascia di seta gli recinge il fianco e copre l'apertura fra il giubbarello e i calzoni: in testa un berretto nero di velluto. L'altro lo avanza in età di forse sette anni, capelluta la testa, la barba lunga sul mento: aspetto d'uomo focoso ma determinato, occhi accesi, fronte su cui siedono alti pensieri, naso corto, la cui metà anteriore scopresi guasta dalla forma primitiva per riportata ferita: veste dimesso, abito schietto e sopravveste nera.","NO"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","Poco lungi dal primo, si raggruppa una mano di giovani tutti elegantemente arredati alla sua foggia; sono i suoi compagni che ritiratisi a parte, attendono ei finisca il conversare: si guardano fra loro e a maniera che sentono il ragionare dei due primi, talora sogghignano, talora si toccano col gomito maligno. Si odono fra i discorsi di que' due queste parole: - Ebbene, diceva il maggiore d'età, vai a casa Ghigi? E questa tua Galatea è sorta dall'onde?","NO"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","Già m'immagino che la farai bella più che non pingesse Dante la sua Bice. - E l'altro stringendosi un po' nelle spalle - Bella! come si fa?","NO"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","converrebbe avere tante modelle come ne ebbe quel di Crotone: ma che vuoi? [11] non so trovarne, e tutto mi conviene cavare da un'idea che ho in testa. Capiterà una donna che sarà immaginaria, come quel tuo Giulio II, che lo hai fatto in atto più da maledire che da benedire.","YES"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","- Eh mio caro, Giulio è un uomo che non ha molta parentela cogli altri: pensa non solo a benedizioni ma a sfolgorare i nemici della chiesa e d'Italia: Giulio ve', ah Giulio! lo avrebbe amato fino Dante, e scommetto si rifarebbe Guelfo, perchè leggerebbe ne' suoi grandi pensieri... - Eh via con queste tue fantasie! io non me ne impiccio.","NO"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","- Ah! tu Rafaello non sei nato a Firenze, tu non sei concittadino dell'Alighieri: va là; sei quasi figlio di questa Roma, e so che ti piacerebbe un cappello rosso. Io invece... ma mutiamo discorso; dì un po': è vero che prendi moglie?","NO"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","bada bene che un artista non ha più pace. - È il cardinale Bibiena che vorrebbe sposarmi sua nipote; ma io non ne ho voglia, e ti dirò che sebbene sia un buon boccone, non mi ha mai solleticato l'appetito. - Eh sì, che non sei tanto difficile di accontentatura!","NO"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","ad ogni modo la sarebbe un bel modello... Oh! a proposito di modelli: tu che stai sulle novelle e le avventure galanti, avrai veduta questa Fornarina che fa girare la testa a tutti gli artisti di Roma, sicchè sgambettano ogni momento al Tevere per vederla.","YES"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","- Oh! non ne so nulla. [12] - Eppure vi corrono qualche volta anche il tuo Rafaellino e Pierin del Vaga.","NO"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","- Rafaello guardò al gruppo dei giovani e vide che ridevano - Ora comprendo: è la bella di cui li sento spesso chiacchierare fra loro: bravi! me ne avete fatto un segreto, e toccava al severo Michelangelo a sbertarvi; ve ne pagherò di buona moneta. - Quei ridevano e l'altro rispose: - È naturale; hanno paura d'averti a rivale: però finora sono tutti a denti asciutti; colei è fiera.","YES"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","- E Rafaello l'interruppe - Come una tua Sibilla? - Michelangelo si annubilò alquanto. - Se non ho tanta mollezza perugina, quella Sibilla può però farsi guardare, e so che vi fu un tale a vederla...","NO"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","Basta: Bramante vuole ch'io gli fiacchi il collo giù per le scale del Vaticano. - I giovani si guardavano in viso, e s'accorsero che minacciava tempesta, sicchè tosto il Fattorino si accostò al Sanzio: - Maestro, l'ora è tarda; sai che Giulio Romano aspetta e non ha lavoro. - Allora il Buonarotti guatò Rafaello e disse: Addio.","YES"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","- Questi con un fare tutto mite gli sporse la mano, l'altro gliela strinse freddamente, e si divisero. Rafaello partì colla numerosa schiera de' scolari, e dopo aver seco loro parlato a lungo come chi distribuisce varie cure, si divisero in due drappelli e presero diversa via. Quando ei si accorse [13] che più nol vedevano, prese lesto lesto la strada verso il Tevere.","NO"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","Intanto Michelangelo guardava il Panteon con quella sua aria d'impero; consideratolo alquanto, si scosse nelle spalle, come quegli cui pareva piccola cosa questo miracolo antico, e sentivasi capace d'innalzarlo per cupola su quattro colonne. Si pose indi trascuratamente in giro sulla piazza rovistando i rivenditori d'erbe e di pollami, e a un tratto si fermò innanzi ad uno che aveva una gabbia entro la quale svolazzavano alcuni uccelli. - Quanto vuoi di queste povere bestiuole che mi tieni prigione?","YES"
"Sacchi_Defendente-Novelle_e_racconti-1836","Sacchi Defendente","Novelle e racconti","1836","- L'altro lo guarda in faccia, e senza rispondere alza ambe le mani aperte, e tosto l'artista gli enumera dieci monete di rame; poi levata la gabbia, la apre, e presi gli uccelli ad uno ad uno, li accarezza, e li lascia liberi volar via. Il fanciullo scrolla il capo quasi tenendolo per pazzo, e il Buonarotti trascuratamente seguita la sua rivista. Uno di quegli uccelli metteva appena le penne, nè valeva a spiccar molto volo, talchè dopo piccolo tratto s'era posato in terra: il venditore bricconcello, come Michelangelo ebbe volte le spalle, si alza, e quatto quatto avvicinatosi al passero, stende le mani per ghermirlo; se n'accorse l'artista, e prestamente trasse colà, e sdegnoso gli diede un gran scappellotto, dicendogli che lo aveva pagato; cui l'altro rispose che sarebbe caduto nelle unghie di qualche gatto.","NO"
