"filename","nome","titolo","anno","chunk","DIL"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","﻿Novelle Diodata Saluzzo Roero I SARACENI NELLA PENISOLA DI SANT'OSPIZIO PRESSO NIZZA.","NO"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","NOVELLA DELL'ANNO 1150 Ottone II Imperatore, che ordinò al Conte di Cimela, Robaldo, di cacciare i Saraceni ed il loro Duce Aimone dalla Penisola di Sant'Ospizio presso Nizza. L'argomento storico si trova nel Piemonte Cispadano di Iacopo Durando, pag. 81, sino alla pag.","NO"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","84; e venne narrato, da chi scrisse la Novella, siccome accaduto sotto l'Impero di Ottone IV, onde vi potesse aver luogo la descrizione del Torneo e della Corte d'Amore. (Il nome d'Aimone è storico). I SARACENI Sorgeva il sole del mattino circondato da leggiere nuvole estive; rivestivano le nuvole cento variate forme muovendosi rapidissimamente; e mentre fra le alte rocche del Monte Mauro che divideva da quelle sponde la fiorita Provenza, sciolta la neve veniva giù per la mezza falda in mille ruscelli d'argento, e cadeva nel Mediterraneo tutto increspato dal vento mattutino, una delle armigere schiere che serviva all'imperatore Ottone spiegava le bandiere del suo Signore, e circondava un carro veloce, ove sedeva la giovane Igilberta.","NO"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","Scende dal veloce carro, e fa arretrar gli armati con un cenno d'impero, sola seguitando la via. Il bianco velo di lei è scosso, sollevato, ravvolto dal vento del mare; ed al muovere dei veli, al rapido camminare, al raggio che le batte sulla fronte diresti Igilberta una visione mattutina, anziché una vergine della popolosa Cimela. Nobile figlia di Robaldo Conte di Cimela, cresciuta fra la corte piccola sì, ma non meno proterva del padre, qui l'ha tratta il di lui comandamento; ella vi piega l'animo sia pure iniquo: non la spinge il senso di un obbedire profondo ed ossequioso, ma bensì la vera somiglianza di cuore e di volere che ritrovasi fra il padre e lei.","NO"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","Serve il padre all'imperatore Ottone IV, non per riverenza a giusta signoria, ma per l'innalzamento della fortuna propria; e costei opera per una certa cupidità di malvagia fama. Ella volge sempre l'operare ad una doppia meta, ricercando la vittoria propria e la potenza del padre; e ben vi riesce celando il meditare profondo di un astuto pensatore sotto il bruno crine di una fanciulla avvenente. Non muove passo, non iscioglie parola che non venga dettata dall'arte; arte fatale di vincere i cuori fingendo.","NO"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","L'imparò costei nella vicina Provenza fra le nascenti Corti d'Amore. La sua voce non si ode mai senza palpiti dai Trovatori e dai Cavalieri, ed è il sorriso ingannevole pegno d'amore, e l'armonica lode promettitrice di felicità menzognera. Ora giunta a queste sponde la donna, si asside all'ombra prolungata del monte, su cui vede sorgere l'antico diroccato trofeo romano, segnato tutto di una luce dorata.","NO"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","Igilberta cova nel petto un pensiero sovvertitore; stassi dapprima fissi gli occhi alla non lontana penisola di Sant'Ospizio; già vede sorgere i tetti de' Saraceni, ed essi appariscono veglianti tra i frassini ond'è coperta la solitaria lor terra. Ella posa la fronte sulla mano, e l'occhio pinge il dubitare del pensiero. Le pende sul fianco l'inutile liuto; quando compita nella mente accesa la tela dell'operare futuro, ad un tratto le scintilla sul volto l'ardire, e saluta col riso di risvegliata speranza la barca che le conduce dinanzi il nocchiero di suo padre.","YES"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","Ella vi salisce arditamente, e tosto avanzandosi sovra i flutti tranquilli, stassi immobilmente in piedi nel mezzo della barchetta che ha solo un remo ed una piccola vela; il tragitto è breve, e poich'ella vede avvicinarsi la sponda custodita, e scopre la torre di Frassinetto, manda un grido di gioja; spicca dal fianco il liuto, e così fa suonare il suo canto: Sulla placida marina, Musulmano, a che sospiri? Una rosa damaschina Sorge là dove t'aggiri; Ride 'l cielo e ride 'l mar. Pur sei tacito pensoso Sotto il salice piangente; E pur guardi il mezzo ascoso Largo Sole d'Oriente, Che dall'onde mezzo appar.","NO"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","Ah! risponde il Musulmano, Che val mare e ciel sereno? Cielo e mar io guardo invano; Ogni Aurora mi vien meno La speranza del valor.","NO"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","Notte fugge; in ciel si avanza L'Alba torbida funesta; Ché, se manca la speranza È la vita mesta, mesta, Senza gloria e senza amor. I gridi che venivano dalle mura di Frassinetto avevano già più volte interrotto quel compianto. Poscia fermata la nave dall'onda fatta maremma fra le ghiaie del basso lido, fu circondata da navi non maggiori, ma però tutte armate e ripiene di Saraceni sdegnosi.","NO"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","Igilberta seguitò i guerrieri senza resistere neppure un istante colle voci o cogli atti schivi di obbedire. La trassero sulle sponde, ed abbandonarono alle onde la nave ed il nocchiero; poscia proruppero costoro: «Forse, o donzella, Trovatore ti festi, onde turbare colla tua sirventa l'animo generoso dei Musulmani?». Si rivolse la donna ai guerrieri, e con un sorriso che mostrava arditezza di cuore e soavità di costumi, rigettando colla destra il velo dagli occhi, rispose all'inchiesta non col labbro, ma soltanto con un moto di ammirazione e di schivo pudore: passò fra il suono di amorose lodi e di non acerbi rimproveri il ponte di larga torre che signoreggiava sovra tutte le altre, ed entrò nella porta di quella torre che si apriva innanzi a lei.","NO"
"Saluzzo_Roero_Diodata-Novelle-1830","Saluzzo Roero Diodata","Novelle","1830","Qui sedevano i maggiori tra i Saraceni sovra dura pietra, deposte le armi; terminava il favellare uno fra loro che stava in mezzo alla schiera senza insegne d'impero. Aveva costui rase le chiome; ricopriva la testa di un verde turbante; aveva gli occhi vivaci, e bruno il volto: gli posavano a' piedi la fionda e la chiaverina. Sospesi vide la fanciulla a quelle disadorne pareti i vessilli Castigliani che usavano i Saraceni, qualora venivano condotti fra le armi da una difesa necessaria: assalitori non vollero esser mai, perché valorosi, ma pochi.","NO"
