"filename","nome","titolo","anno","chunk","DIL"
"Sanesi_Ranieri-La_buona_Maria-1854","Sanesi Ranieri","La buona Maria","1854","AB. RANIERI SANESI LA BUONA MARIA OSSIA LA DONNA EDUCATA A VERA PIETA DAL CULTO CATTOLICO La Religione santificando felicita la famiglia. II Sacrifizio.","NO"
"Sanesi_Ranieri-La_buona_Maria-1854","Sanesi Ranieri","La buona Maria","1854","Don Carlo era un saggio e zelante ecclesiastico, il quale col titolo di Piovano teneva il governo spirituale degli abitanti di antico e piccolo castello, uno dei tanti che coronano le amene colline della Toscana. Tutto ciò che potea ridondare a profitto dell' anime alla sua cura affidate, stava sommamente a cuore al pio sacerdote, che l'opera e la parola avea del tutto consacrate a cotesto gran fine della sua vocazione, Ripensando egli con gran rammarico per quali cagioni i fedeli assistessero all' augusto sacrifizio della Messa, senza quel senso di pietà e di venerazione che pur dovrebbe ispirare un'azione così sacrosanta, credè doversi imputare questo difetto, almeno in gran parte, all' ignoranza in cui vivono molti cristiani circa il valore di questa eccellentissima fra le opere del culto cattolico. Risolse pertanto di provvedere a questo bisogno con apposita e più estesa istruzione.","NO"
"Sanesi_Ranieri-La_buona_Maria-1854","Sanesi Ranieri","La buona Maria","1854","Era il 26 Novembre dell' anno 1837, giorno di Domenica, quando il buon Parroco, dopo letto l'Evangelio, si volse al suo popolo, e con semplice esordio lo fece avvertito, che l'argomento su cui si era proposto trattenerli in quel giorno sarebbe: l'eccellenza del santo sacrifizio della Messa. Conciliatasi l'attenzione degli uditori, riprese a parlare in tal guisa : « Il buon agricoltore appena vede maturar nei suoi campi i primi pomi, scelti i più belli e assettatili in an canestro, si affretta a portarli al suo padrone, lieto di praticare così un atto di sommissione, e di cattivarsi la benevolenza di quel signore. Un sentimento poco dissimile fu quello che fin dal principio del mondo mosse gli uomini ad offerire a Dio qualche parte di quei tanti beni che riconoscevano aver ricevuti dalle mani di lui.","NO"
"Sanesi_Ranieri-La_buona_Maria-1854","Sanesi Ranieri","La buona Maria","1854","Conobbero che Dio creatore di tutte le cose, di tutte le cose era il supremo padrone; e vollero in qualche modo esternare questo concetto, offrendo all' Altissimo, e distruggendo in onor suo alcuna cosa ad essi cara e preziosa. » « È questa l'origine dei sacrifizj; perocchè il sacrifizio altro in somma non è che l'offerta fatta a Dio di cosa che si distrugge o notabilmente si muta in onor suo, per riconoscere il supremo dominio di lui su tutte le creature. E vedete quante virtù esercita l'uomo con quest' atto di religione: professa di aver ricevuto tutto da Dio, e questa è riconoscenza; professa di aspettar tutto da Dio, e questa è fiducia; mostra di esser disposto a perder tutto per lui, ed ecco un segno di sommissione e di amore; si punisce colla privazione di una cosa a sè cara, ed ecco un atto di penitenza, » « Si: dopo il peccato, il sacrifizio divenne necessario ancora come un atto di penitenza.","NO"
"Sanesi_Ranieri-La_buona_Maria-1854","Sanesi Ranieri","La buona Maria","1854","» « I figliuoli di Adamo sentirono di esser caduti in uno stato di avvilimento e di colpa; sentirono che la loro vita meritava di essere distrutta per espiare il peccato, per soddisfare alla giustizia di Dio. E Dio disse all' uomo: Sì, tu sei colpevole, tu meriti la morte, io voglio che tu lo riconosca; e perciò mi sacrificherai degli animali che ti sono utili e cari, venendo per tal modo a confessare che dovresti esser immolato tu stesso. In luogo del tuo sangue io accetterò il sangue di quelle vittime, immolate in figura d'un Sacrifizio infinito, e con quello sopra l'altare espiar potrete l'anime vostre e il sangue servirà alla purgazione dell'anima (1).","NO"
"Sanesi_Ranieri-La_buona_Maria-1854","Sanesi Ranieri","La buona Maria","1854","Ecco per qual ragione si cominciò ad offrire in. sacrifizio degli animali, spargendo il loro sangue, e distruggendo col fuoco la loro carne, sostituita alla carne dell'uomo colpevole. >>> « Come non si trovò mai un popolo senza religione, così in nessun luogo, in nessun tempo si trovò una religione senza sacrifizj.","NO"
"Sanesi_Ranieri-La_buona_Maria-1854","Sanesi Ranieri","La buona Maria","1854","Sappiamo che i figli stessi di Adamo, Caino ed Abele, si diedero cura di sacrificare a Dio, l'uno i frutti della terra, l' altro i prodotti del suo gregge; ed è credibile che avessero imparato dal proprio padre a far simili offerte. Noè, Abramo, Isacco, Giacobbe, tutti gli antichi Patriarchi offrirono a Dio sacrifizii, e tutti i popoli che dalla torre (1) Lev. cap.","NO"
"Sanesi_Ranieri-La_buona_Maria-1854","Sanesi Ranieri","La buona Maria","1854","17. 11. di Babel si sparsero ad abitare la terra, portarono seco questo costume: chè anzi molti di questi popoli pensando che più accettevoli a Dio sarebbero le loro offerte, quanto più preziose fossero le vittime sacrificate, giunsero all'orribil eccesso di immolare vittime umane. Certamente la paura dell' offesa Divinità ed altre passioni avevano stravolto le loro menti, perchè giungessero a credere potersi placare Dio con questi barbari sacrifizii. Certamente Iddio abominava tali offerte.","NO"
"Sanesi_Ranieri-La_buona_Maria-1854","Sanesi Ranieri","La buona Maria","1854","Ma le offerte innocenti dei Patriarchi erano degne di Dio? Il sangue dei tori e degli agnelli che questi immolavano, era forse di per sè solo capace di soddisfare per i peccati degli uomini? No, certamente no.","NO"
"Sanesi_Ranieri-La_buona_Maria-1854","Sanesi Ranieri","La buona Maria","1854","Tutte le offerte degli uomini, benchè presentate con mani innocenti, benchè accompagnate da vivi sentimenti di sommissione e di amore, per sè stesse non potevano esser degne di Dio; perchè gli omaggi di una creatura, di un essere finito e imperfetto, non possono aver mai proporzione alla dignità di un Essere infinito che in sè contiene tutte le perfezioni; tanto meno potevano esser bastevoli a soddisfare per gl' innumerevoli peccati, per i quali queste miserabili creature offendevano con offesa infinita il loro Creatore. Dio solo può rendere a sè medesimo un omaggio degno di sè; Dio solo può dare a sè stesso un onore una soddisfazione infinita. Ed ecco che questo Dio, tesoro immenso di sapienza e di amore, trovò il mezzo onde ottenere un sacrifizio degno di sè, un sacrifizio bastevole a rendergli un infinito onore ed un' infinita soddisfazione.","NO"
