"filename","nome","titolo","anno","chunk","DIL"
"Sangiacomo_Olivieri_Arturo-La_spia-1902","Sangiacomo Olivieri Arturo","La spia","1902","﻿Arturo Olivieri Sangiacomo - La spia PARTE PRIMA La signora che al braccio del principe Serwianine era entrata nel gran salone del Consolato Russo quando la festa toccava ora del suo massimo splendore, era una di quelle creature che vedute una volta difficilmente si dimenticano.","NO"
"Sangiacomo_Olivieri_Arturo-La_spia-1902","Sangiacomo Olivieri Arturo","La spia","1902","Bionda, di quel biondo fulvo dai caldi riflessi d’oro che splende nelle tele del Tiziano e del Tiepolo; , pallida di quel pallore ricco e opaco che dà alle carni muliebri quasi un senso di profondità incalcolabile; alta, snella, modellata come una danzatrice greca, agile nelle movenze serpentine, vestita con suprema eleganza di un abito che pareva intessuto di raggi lunari e trapunto d’astri come un cielo notturno, ella emanava intorno a sè un fascino inquietante che costringeva gli uomini all’ammirazione e le donne all’invidia. Le pupille oscure, opache e fonde erano perpetuamente velate dalle palpebre lunghissime che riempivano, della propria ombra, tutta la cavità inferiore delle orbite fino al sommo delle gote; ma se si aprivano a fissare qualcuno avevano lo scintillio dolce e freddo dello zaffiro. Quando ella passò accanto ad una finestra nel cui vano due eleganti signori discorrevano tranquillamente, uno di costoro, Maurizio Doumic, si alzò per farle un profondo inchino, al quale la bellissima donna rispose con un sorriso e con un cenno del capo pieno di amichevole cordialità.","NO"
"Sangiacomo_Olivieri_Arturo-La_spia-1902","Sangiacomo Olivieri Arturo","La spia","1902","- Conoscete quella signora? - chiese al salutato l’uomo che gli era compagno. - Sarei indiscreto se vi domandassi il suo nome?… - Oh, niente affatto.","NO"
"Sangiacomo_Olivieri_Arturo-La_spia-1902","Sangiacomo Olivieri Arturo","La spia","1902","Vi piace? - Moltissimo. È una meravigliosa creatura.","NO"
"Sangiacomo_Olivieri_Arturo-La_spia-1902","Sangiacomo Olivieri Arturo","La spia","1902","- Avete buon gusto e vi intendete di bellezze femminili. Credo infatti, che a Nizza la contessa Nadine Nickita-Vassilieff non abbia chi la superi…. - È russa?","NO"
"Sangiacomo_Olivieri_Arturo-La_spia-1902","Sangiacomo Olivieri Arturo","La spia","1902","- No: è francese, ma è vedova di un antico diplomatico russo…. - Vedova da molto tempo? - Da tre anni.","NO"
"Sangiacomo_Olivieri_Arturo-La_spia-1902","Sangiacomo Olivieri Arturo","La spia","1902","Voi dovete, del resto, averla di già veduta perchè è questo il terzo inverno che passa sul litorale. Abita uno dei più bei villini sulla Passeggiata degli Inglesi, riceve gli stranieri più noti, va spessissimo a Monte Carlo, giuoca appassionatamente e molte volte vince. La dicono onestissima, ma disposta a cercare un altro marito che la consoli della perdita del primo….","NO"
"Sangiacomo_Olivieri_Arturo-La_spia-1902","Sangiacomo Olivieri Arturo","La spia","1902","- Ah!… È ricca? - Mah! Son tutti ricchi in questa terra benedetta che assorbe i milioni come una spugna assorbe l’acqua.","NO"
"Sangiacomo_Olivieri_Arturo-La_spia-1902","Sangiacomo Olivieri Arturo","La spia","1902","A giudicarne dalla vita che mena, dalle somme che arrischia, si dovrebbe desumere che il fu diplomatico russo non l’ha lasciata sul lastrico…. Volete che vi presenti? - Perchè no?","YES"
"Sangiacomo_Olivieri_Arturo-La_spia-1902","Sangiacomo Olivieri Arturo","La spia","1902","Se vi si offre l’occasione…. - Guardate; in questo momento appunto il principe Serwianine t’accompagna a sedere in mezzo a quella fila di signore. È il momento propizio; venite!","NO"
