"filename","nome","titolo","anno","chunk","DIL"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","﻿CAPITOLO PRIMO E allora? Sedeva, come al solito, allo scrittoio direttoriale.","YES"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","Brephus, ritto davanti all'alta scrivania, registrava. Nessun indizio che le loro rispettive qualità di capo e di subordinato fossero mutate. E allora?","YES"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","Ricordava distintamente: «Arno, fammi la cortesia...» Ha tono di ordine? «Arno, fammi la cortesia». Fu allora che Brephus gli passò addosso lo sguardo indulgente del cane che sollecita le nostre carezze.","NO"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","Soppesava l'opportunità di ripetere l'invito. Inutile: tra l'insistenza di lui e l'apatia del segretario, s'era stretta un'alleanza inespugnabile. L'erba cresceva a vista d'occhio sulla scrivania.","YES"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","La trepidazione primaverile propagava dentro i muri tessuti vibranti. Rothspeer non è più Rothspeer? Cominciò a dubitare.","YES"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","L'aria impetuosa grandinava sui vetri. A dubitare del suo stesso dubbio. L'inesauribile fecondità del dubbio lo spaventò.","NO"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","Tre ore che l'occhio di Dio navigava il cielo. E se l'ultima verità si fosse annidata nel segretario che scriveva? Vasti cumuli di nebbia si addensavano sul soffitto.","YES"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","Grondavano in folte cateratte. Lo circuirono dentro una liquida colonna. Finché all'improvviso getto di una risata altissima e al suo successivo impennacchiarsi, colonna e cateratte vanirono di colpo.","NO"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","La pressione dell'aria mutava le finestre in enormi lenti convesse, gonfiava i muri in palloni di cemento. L'occhio di Dio s'affaccia alla finestra e guarda. «Arno, se non ci affrettiamo a provvedere, l'intero edificio del Deutsche Diskontokonzern ci crollerà sulla testa.» Curvo e vecchissimo, Brephus registrava.","NO"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","Il tempo non scorreva eguale per entrambi. Lanciò le braccia in avanti, allargò le gambe, si accosciò. Non c'era dubbio: l'invecchiamento di Brephus non era se non il contraccolpo del ringiovanimento di lui, Rothspeer.","YES"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","Lo scrollò: «Hai dimenticato a quanti gradi di altitudine settentrionale tu accudisci alle mansioni di segretario dell'uomo più ricco della Germania! Mica siamo all'equatore. L'arrivo della primavera quassù ha un'importanza enorme.","NO"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","È un'ospite di lusso. Le dobbiamo riguardi, onori. Sentila come bussa!","YES"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","Se tanto facciamo di lasciarla alla porta, è capace di farci uno di quei tiri di cui tu, mio povero Arno, non hai idea!». Il pensiero del segretario si stampò in caratteri di fuoco sulla parete vegetale. L'aria irruppe a vortici.","NO"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","La poltrona cadde sulla schiena. Brephus non si fermò se non per baciare il muro. Una calma spaventosa piovve sul cataclisma.","NO"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","La folla scende compatta e senza voce il viale. Colonne di automobili stirano in silenzio il lucido asfalto. La luce filtrata dagli alberi segna pallidamente sul marciapiede l'alfabeto chinese.","NO"
"Savinio_Alberto-Angelica_o_la_notte_di_maggio-1927","Savinio Alberto","Angelica o la notte di maggio","1927","La vitalità di uomini e macchine, alberi e aria, motori e luce si è raccolta laggiù: poggiata al tronco di un tiglio, stanca di lungo viaggio. Come delineare il suo abito? Straniera, certo.","YES"
