"filename","nome","titolo","anno","chunk","DIL"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","﻿Alberto Savinio Hermaphrodito Les chants de la mi-mort Scènes dramatiques d’après des épisodes du «Risorgimento» (1914) Personnages L’homme-chauve L’homme-jaune Daisyssina La mère de Pierre Les hommes de fer forgé Deux anges... Un roi fou Les hommes-cibles Un garçonnet Statues Machines Voix","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Décors et costumes dessinés par l’auteur. Préface poétique Derrière le bastion infranchissable, frêle comme la portière de roseaux d’un perruquier méridional (rempart qui ondoie), la bête étrange couve ses œufs, assise anxieusement, vibrante, dans l’expectative, folle de tendresse, enfouie dans la lumière épaisse comme l’ombre, inconnue... Les œufs sont chauds, mous, l’écorce frémit — membrane de la cornemuse -.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Elle est fatale, sombre, insensée, pensive comme un despote moscovite souillé de sang ou comme un nouveau-né souillé de salive. Homme sans voix, sans yeux et sans visage, fait de douleur, fait de passion et fait de joie; il connaît tous les jeux, il fait toutes les culbutes, il parle tous les langages... et il attend... Le mort revient et se regarde mort; cet homme noir qui passe; d’un tout petit lit de fer sans matelas pointent les pieds aux mules rouges; haut dans le ciel, ceints de nimbes, volent les deux archers aux flèches invisibles et plaintives: la grande chandelle brûle à la fenêtre; et le trois-mâts s’en va; l’homme a hurlé à la mort; silence; Les requins folâtres lutinent dans l’océan; la bonne mère est pétrifiée, rapetissée comme un fantoche; une femme folle s’esclaffe et court, fesses au vent.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Dans son attente: il jongle avec des globes multicolores (ses belles surprises), il happe au vol le gros bourdon diapré qu’il nomme son insecte fatal; il sait les mots pour composer des devinettes; il conte des histoires qu’en d’autres âges on redira aux marmousets qui auront été bien sages... Et il attend... Car il savoure un fruit, et il boit l’air qui est sectionné par tranches; sa pluie est dure comme l’acier et vibrent haut dans son ciel de longs éclairs sans bruit. VOIX: («La nuit!...","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","La nuit!...») Non!... Et ses moignons sans doigts - informes cônes de chair - tout comme ses pieds pointus sont froids. Ah!","YES"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","et ses yeux inexistants sont pleins de larmes résineuses. Ah! et son cœur gélatineux appelle Comme la cloche de minuit.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","La rencontre «Ami !... Ami !... Ta bouche est pleine de la parole réconfortante, première réponse à toute ma nostalgie.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Ami!... Ami!... tes mains sont pleines de fleurs aux doux poisons, premier remède à toute ma soif ardente.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Ami!... Ami!... tes paniers sont pleins de fruits meurtriers, première moisson de tout mon labourage».","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","On entendit alors une longue éructation de joie, et la planète péta; le voile du temple se tordit et puis tomba en cendres. «Qu’est-ce?...» «Un dieu souffre..., ou bien l’Univers s’abîme...» dit l’Onirocrite sur l’autre péninsule.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","— Regarde donc. - Où?... — Là!","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Comment? Mais tu ne vois donc pas? — Mais où?","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Mais où? — Droit devant toi, la route qui mène au loin... (baisse la tête, ô vil manant, protège tes yeux cillés par la lumière sombre). ...et ils sont deux maintenant à cheminer sous le soleil de l’ombre...","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Ah!... (On entend l’hymne joyeux et martial) L’épiscope Avant le lever du rideau; un coup de feu, un cri; le silence... Le rideau se lève.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Une place rouge. Un mur. Une maison avec une seule fenêtre où brûle une chandelle dans un chandelier d’argent.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Nuit complète, mais le ciel est bleu. L’homme- chauve gît par terre. Des hommes-cibles en tôle sont rangés contre le mur, la place du cœur désignée par un cœur rouge.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Des hommes noirs en fer forgé passent en se traînant le long du mur et en grognant. On entend sans discontinuer un roulement de tambour. Des hommes noirs, ondulés de contorsions, tordus par d’affreux maux de viscères, recouvrent d’un lourd manteau l’homme-chauve, puis ils sortent en fléchissant les jambes et en gémissant.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Du coup, le bras de l’homme-chauve rejette la couverture et sa main tient une lampe qui projette une lumière terriblement vive. On entend l’horrible bruit d’une toile écrue que l’on déchire. Aussitôt, le roulement de tambour cesse.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Silence. une voix (dans un mégaphone): «Enfin, monsieur Burness, voulez-vous me dire vers quel port, se dirige la "" Santa Barbara ” ? » Chant de marins.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Le chant de délivrance. Bruit de ressorts déclenchés; les hommes-cibles étirent leurs bras de fer, puis, rigidement, ils font des mouvements de gymnastique suédoise. (Rideau)","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Scène de la tour La scène est à deux étages. Le haut: une chambre conique au faîte d’une tour. On se croirait dans un navire.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Deux fenêtres - sortes de hublots - ouvertes sur le ciel froid et dur: ciel des hauteurs. Tapis écarlate. Une draperie noire divise la chambre.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Dans le fond, un lit lourd comme un catafalque caché par des rideaux. Le bas: l’intérieur de la tour. Escalier de pierre.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Près du sol, une ouverture carrée où s’encadrent les antennes d’un trois-mâts. Au centre, la statue équestre d’un roi. D’autres statues, un peu partout.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","De grosses machines — roues et pistons — en inaction. Par les hublots entrent deux anges égarés; ils se rejoignent au milieu de la chambre; ils s’agenouillent dans une attitude de gardiens de tombeaux. Une porte s’ouvre derrière la draperie; les anges qui s’envolent produisent un doux frou-frou d’ailes.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Entre Daisyssina, suivie de l’homme-jaune qui marche, extatique, poussé par un dieu-amour invisible. Daisyssina écarte les rideaux du lit et y découvre l’homme-chauve qui, d’un bond, se coule derrière la tenture. Daisyssina s’allonge sur le lit.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","L’homme-jaune pousse un hurlement; il court en rond dans la chambre; il crie: La mort! La mort!","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","douce, brûlante, fraîche... - j’étais, enfant, hanté par le cauchemar de l’innocence -. Ah! la couche merveilleuse; je dors; mon cœur s’écoule, mon âme - tube de cristal - glisse d’entre mes doigts.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Tourne, tourne, tourne spirale! L’axe de la toupie m’embroche; Tous les cerceaux se sont fermés. Le centre, là, point rouge, attire comme l’aimant...","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Les os se sont dissous, je ne suis plus que sang! L’HOMME-CHAUVE (caché): «Voici un homme qui s’imagine mourir parce que la volupté l’assaille!» L’HOMME-JAUNE (dans un cri terrible)·.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","«Daisyssina!» Il s’abîme sur le lit. L’homme-chauve tire les rideaux.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Obscurité. Gémissements. Cris de douleur.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Du dehors parviennent les éclats d’une bruyante musique militaire; chant de volontaires: Ad-dio mia bel-la, ad-di-i-o! l’a-armata se-e ne va (pararam, pam, pam), e se non partis - sianch’io sarebbe una viltà... e se non partis - sianch’io sarebbe una viltà.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Salve d’artillerie. L’homme-chauve descend vite l’escalier, une lampe à la main. Du lit ne s’élève plus aucune voix.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","(Silence) Coups frappés à la porte. Un sanglot.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Entre un garçonnet en chemise de nuit, tenant une bougie. Du revers de sa mule, il écrase un faucheux qui grimpait sur le mur; puis, tremblant, il observe la bête aplatie qui agite une antenne. Cri de sirène d’un pyroscaphe.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","UNE VOIX (venue du dehors)·. «Genova! Genova!»","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","L’homme-chauve remonte l’escalier et, avec lui, la mère de l’homme-jaune. Arrivé dans la chambre, l’homme-chauve écarte les rideaux, découvrant l’homme-jaune et Daisyssina endormis. L’homme-chauve passe à la vieille une lancette d’acier fixée à un manche de bois attaché à un fil électrique.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","La mère enfonce la lancette dans le sein de Daisyssina... Eclair bref, verdâtre. Daisyssina n’ouvre pas les yeux, n’émet aucun cri; elle lève les bras, se dresse sur le lit; et retombe, morte. Les statues placées dans la partie basse de la tour commencent à se mouvoir.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Le cheval de bronze portant le roi en croupe galope sur son socle. Le roi tire sur les rênes. L’homme-jaune gémit dans son sommeil.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","La mère place au milieu de la salle un pot de bois avec des tournesols, et une chaise où elle s’assied et chante doucement en s’accompagnant sur sa guitare: Ah! nino! apprends donc ma souffrance.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","(Elle hurle de rage) Toi, fille de putain, fille de femme fardée, tu voulais me le prendre! (Grand fracas sur les cordes; puis éclat de rire) Tra la la la la, Amore e pietà.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","(Accords pathétiques) Belle matinée; pif! paf !","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","fusillé, ton pauv’ père. Lorenzo! Lorenzo!","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Le soleil dans la chambre, la nappe blanche, la polenta refroidie. (Musique tragique) Toc!","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","toc! trois messieurs dans l’antichambre, pâles, redingotes noires et chapeaux hauts. Giuseppino!","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Giuseppino! (Avec rage) Ah!","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","fille de chiens, tu m’as pris mon p’tit Jésus! Ah! fille de loups, tu m’as pris la joie de mes mamelles!","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Ah! fille de chacals, tu m’as pris mon p’tit cœur, mon p’tit gésier! Est-ce pour toi que je lui donnai mon sang à boire?","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","(Elle traîne une révérence) Gracieuse Mort, merci! (Et reprend le refrain)","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Tra la la la la, Amore e pietà. Giuseppino, mio bambino, tu sei bello come un fior. Tra la la la la, Amore e dolor!","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","L’un des anges de tantôt se montre à la fenêtre; l’homme-chauve arrache un gros tournesol et le lui lance à la tête; l’ange tombe mort sur le parapet. L’homme-jaune se plaint et gémit plus fort. Il fait des gestes angoissés qui montrent qu’il est en proie à un cauchemar.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","La mère continue à chanter avec beaucoup de douceur. L’homme-chauve allume deux grandes bougies qu’il place sur les bords des hublots — la nuit est survenue -; puis il sort et descend l’escalier de la tour lentement. Le dormeur crie terriblement; il agite les mains; il appelle: «Mamâ!","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","mamâ!» Et la mère chante plus fort, angoissée, mais joyeuse. L’homme-jaune se réveille; il saute du lit. De trouver Daisyssina morte, il n’éprouve nulle surprise.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Il la soulève dans ses bras; il la dépose sur la chaise. La mère s’est retirée dans le fond de la chambre; elle ne chante plus. L’homme-jaune compose le corps de Daisyssina; on la croirait vivante; il lui appuie la tête au dossier; il lui met des tournesols dans les mains, dans les cheveux; il commence à danser autour du cadavre; la folie l’assaille.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Du fond, la mère le regarde, et pleure. Au paroxysme de la démence, l’homme-jaune bondit sur sa mère et la tue. La vieille rapetisse; bientôt, elle semble n’être plus qu’une grosse poupée de pierre.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","L’homme-jaune la regarde; il s’attendrit. Il pleure, il l’appelle. Il commence à jouer avec la poupée; il l’embrasse, la berce; il la lance au plafond et la rattrape; il la jette par terre et la piétine.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","Grands éclats de rire. La nuit est très noire. Les deux bougies brillent étrangement aux fenêtres.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","VOIX du roi affolé (venue du dehors)·. «Ah! éteignez le phare si vous ne voulez pas me voir mourir!»","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","(Par l’ouverture carrée du bas de la tour, pénètre le rayon circulaire d’un phare; les rayons se succèdent à intervalles réguliers). Entre le roi, affolé; de ses mains pâles, il presse une couronne sur sa tête; il tourne plusieurs fois autour de la statue équestre; il sort, dans une rafale soudaine. L’homme-jaune, assommé de vertige, tombe à plat ventre sur le tapis écarlate.","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","UNE VOIX (venue du dehors): «Vittorio Emanuele, re d’Italia!» (Coup de canon, très loin sur la mer) (Cri de sirène)","NO"
"Savinio_Alberto-Hermaphrodito-1918","Savinio Alberto","Hermaphrodito","1918","(Silence) Les grosses machines noires frémissent; elles entrent en action. Les roues énormes tournent vertigineusement, enroulées dans les courroies de cuir; les pistons jaillissent par saccades, et replongent dans leurs étuis d’acier.","NO"
