"filename","nome","titolo","anno","chunk","DIL"
"Silvola_Rodolfo_Giuseppe-Alboino_in_Italia-1840","Silvola Rodolfo Giuseppe","Alboino in Italia","1840","ALBOINO IN ITALIA ROMANZO STORICO PATRIO DEL DOTTORE IN AMBE LE LEGGI RODOLFO GIUSEPPE SILVOLA DI MILANO VOLUME I. AL CARISSIMO MIO AMICO E COMPATRIOTTO CARLO FONTANA. Voglia tu accogliere questa mia letteraria fatica, tenue guiderdone al nobilissimo tuo cuore ed alla verace tua amicizia.","NO"
"Silvola_Rodolfo_Giuseppe-Alboino_in_Italia-1840","Silvola Rodolfo Giuseppe","Alboino in Italia","1840","A te la consacro colla maggiore soddisfazione. Credimi il tuo Affezionatissimo Amico R. G. SILVOLA A PREFAZIONE Vorrei sperare riuscir possa gradevole a miei concittadini che sentono amor di patria, conoscere di essa le vicende si prospere che avverse.","NO"
"Silvola_Rodolfo_Giuseppe-Alboino_in_Italia-1840","Silvola Rodolfo Giuseppe","Alboino in Italia","1840","Credo quindi che rammentando ciò che in Italia avvenne nella metà del sesto secolo, anzi appunto l'anno 568 dopo l'era cristiana, cioè, dappoichè i Goti, dalle indigene forze italiane per opera del valentissimo e perspicace Narsete esarca, residente in Ravenna, furono scacciati da queste belle e floride contrade, le quali già da settanta e più anni dispoticamente signoreggiavano, sia per 1 essere, come a me è sembrato, un tratto storico interessantissimo, sicchè mi sono accinto a trattarło in questo romanzo, nel quale, mentre ho lasciato sfogo alla non più verde immaginazione mia, non ho però dimenticato di curare con ogni impegno e ricerca la storia traendola dalle più pure fonti. Quanto avrei bramato poter rintracciare nelle memorie dei tempi, in cui scrivo, un argomento, un fatto, che sostener potesse l'onor italiano! Sola Pavia ed alcune città marittime rialzarono per poco l'animo mio, e le mie brame furono poi detuse dalle susseguenze!","NO"
"Silvola_Rodolfo_Giuseppe-Alboino_in_Italia-1840","Silvola Rodolfo Giuseppe","Alboino in Italia","1840","Basti or dunque a noi l'intrattenersi d'un ероса, se non felice almeno assai distinta memoranda, sia pei seguiti cambiamenti di stati, di politica, di leggi, di costumi, di usi, e persino di dialetti e di lingua. Ma dachè gli invasori d' Italia, che noi chiamiamo Barbari, quivi si naturalizzarono col trascorrere dei secoli, chi dinoiardirà odiarli o disprezzarli, mentre da essi riconoscer forse potremmo l'origine nostra? La storia d' Alboino, re longobardo, il primo incoronatosi dei Longobardi in Italia ed a Pavia; la crudele vendetta che ordir seppe sua moglie Rosmonda perchè in pubblico convitto l' obbligò a bere nel teschio del suo genitore; la tragica fine di questo marito, quella di Elmegiso che dessa prese in seconde nozze, quella di essa stessa e d' altri, che per tale sua atroce vendetta seppe trarre al medesimo indispensabile passo, mi son sembrati fatti, che quantunque di raccapriccio, non lasciano però di essere, nella storia delle umane passioni, così importanti da poter tessere il poema, che alla pubblica saviezza oso di presentare.","NO"
"Silvola_Rodolfo_Giuseppe-Alboino_in_Italia-1840","Silvola Rodolfo Giuseppe","Alboino in Italia","1840","Già da settant'anni l'Italia che signoreggiato aveva per più secoli tante varie e-belligere nazioni, le quali piegar dovettero al genio, al coraggio ed alle armi de' nostri illustri antenati, viveva misera ed oppressa sotto il giogo dei Goti, i quali, sebbene ne fossero padroni, pure vedendosi non ben sicuri del loro dominio, lungi dall' avvilirla di troppo, cercavano anzi con simulate apparenze di stima di accarezzarla e blandirla, onde grado grado metterla nella schiavitù e tenersela avvinta coll' adottare le di lei costumanze, e col vestire essi pure all'uso romano abbandonando il proprio, quando nell'anno 558 sorse per lei il fortunato momento di scacciare colle proprie forze quegli scaltri oppressori, e di ritornare onorata e felice qual prima sotto il dolce impero di Giustiniano, reggendola il valoroso Narsete in nome di lui che in Costantinopoli risiedeva. Quei Barbari scacciati ehe furono non più osarono altre imprese per molestarla tampoco. Ma venuto fatalmente a morte, dopo il breve spazio di quattordici anni di sua reggenza, Narsete, e non vi essendo dopo di lui rimasto un sol uomo che fosse capace a difenderla e preservarla dalle invasioni straniere, dovette pur troppo ricadere nella schiavitù!","NO"
"Silvola_Rodolfo_Giuseppe-Alboino_in_Italia-1840","Silvola Rodolfo Giuseppe","Alboino in Italia","1840","Longobardi, Gepidi, Bulgari, Pannoni, Svevi, Norici, tutti abitatori la destra sponda dell' Elba, avidi di preda e di dominio di così bella parte di Europa, risolvettero di abbandonare colle informi loro città, borghi e castella le ingrate ed incolte loro terre, per impadronirsi delle fertilissime, ubertose e ridenti sponde del Po e del Tevere, e fissarvi sovrani la loro dimora. A tale audacissima impresa vennero quelle barbare genti invitate e spinte dall' arditissimo Alboino, figlio unico di Audonio decimo re dei Longobardi, che da tutte quelle da lui unite nazioni fu creato supremo loro condottiero. 1 CAPITOLO II.","NO"
"Silvola_Rodolfo_Giuseppe-Alboino_in_Italia-1840","Silvola Rodolfo Giuseppe","Alboino in Italia","1840","Era Alboino uomo di bello e robustissimo aspetto, dí coraggio e di forze poi superiore a qualunque suo contemporaneo; magnanimo nello stesso tempo, fornito di mente perspicacissima, eloquente, fermo ed immutabile ne' suoi divisamenti; perciò da tutte le nazioni che a lui si sottomisero, e che lo seguirono e più ancora dai grandi era venerato e temuto assieme. Nella prima sua gioventù aveva egli date prove di insuperabile valore. Nella guerra mossa dal padre suo contro i Gepidi, venuto a duello con Torismondo, figlio di Torisendo, re di quella nazione, guerriero pur desso, che godeva fama qual più valente nei campi marziali, dopo lungo, ostinato e difficile combattimento lo mise a morte, procacciando così a suoi Longobardi completa vittoria.","NO"
"Silvola_Rodolfo_Giuseppe-Alboino_in_Italia-1840","Silvola Rodolfo Giuseppe","Alboino in Italia","1840","Ma dopo tale duel lo rinnovellatosi il bullore della battaglia fra le due nazioni, ed affrontando egli ovunque ogni pericolo per tenersi la già afferrata vittoria, non si curò di far raccogliere dell'estinto Torismondo le armi senza delle quali, com'era legge di quella barbara sua nazione, non si faceva dritto a figlio di re di sedere a mensa col padre, e godere degli onori regali, solo concessi al figlio che di sangue reale avesse ucciso sul campo di Marte un altro che fosse pure di real sangue, e che al padre re presentato avesse le armi dell' estinto. Quindi è che Alboino dopo la più segnalata vittoria sui Gepidi, e d' avere in fatti estinto Torismondo, non potè ancor sedere alla mensa del padre, e godere degli onori che mercè la sua brayura nell'armi si era meritati, per il che ne sentiva grave cruccio. Ben se ne avvidero i suoi commilitoni ed amici che furon testimoni delle valorose sue gesta in quella decisiva battaglia, sicchè gli fecero cuore e lo stimolarono a presentarsi in loro compagnia a Torisendo, per ottenere le armi dell'estinto suo figlio.","NO"
"Silvola_Rodolfo_Giuseppe-Alboino_in_Italia-1840","Silvola Rodolfo Giuseppe","Alboino in Italia","1840","Punto I' ardito giovane più dall' onore che da ogni altra passione gli fu grato il consiglio, ed insciente il padre suo alla reggia si portò di quel re fra il timore e la speranza di conseguire graziosamente quelle armi; quaranta erano i compagni suoi più fidi che lo seguirono, tutti valorosi campioni di guerra e di quasi eguale ardimento di lui. Passava però Torisendo per un uomo giusto, quindi più forte nasceva in esso lui la lusinga di conseguirle. « Se è vero che quel re sia giusto, diceva agli amici suoi, non dovrebbe ricusarmele; voi foste presenti all'ostinato duello fra me e Torismondo, e come io egualmente ch'egli fossimo in pericolo di perdere la vita, poichè Torismondo era al par di me buon schermitore.","YES"
"Silvola_Rodolfo_Giuseppe-Alboino_in_Italia-1840","Silvola Rodolfo Giuseppe","Alboino in Italia","1840","Se la sola sorte della lotta e dell'armi ha fatto che egli perdesse la vita sul campo della gloria, ed ha voluto me preservare, come mai il padre suo potrebbe avermi in onta? Io non vorrei dubitare che egli non sia per concedermi un atto di giustizia che pure i suoi compagni teneano sicuro ». Non andarono in fatti deluse le concepite speranze, poichè presentatosi Alboino a Torisendo nei modi più rispettosi, venne co' suoi commilitoni amorevolmente accolto, anzi volle il re che Alboino sedesse alla stessa sua mensa ed al posto medesimo che veniva in addietro occupato dal cotanto da lui amato suo figlio Torismondo.","NO"
