"filename","nome","titolo","anno","chunk","DIL"
"Spaventa_Filippi_Silvio-_Terzetto_Di_Signorine-1896","Spaventa Filippi Silvio"," Terzetto Di Signorine","1896","CAPITOLO PRIMO Nel quale l'eroe di questa storia assiste al sonno di due signorine e finisce con l'imitarle; cosa che può accadere anche al lettore, con grave disdoro dall'autore. — Il treno per Aquila?","NO"
"Spaventa_Filippi_Silvio-_Terzetto_Di_Signorine-1896","Spaventa Filippi Silvio"," Terzetto Di Signorine","1896","— domandò Ettore Boni al primo ferroviere che vide fermo sul marciapiede, sotto la vasta tettoia di cristallo affumicata e fragorosa. — In fondo! — gli fu risposto.","NO"
"Spaventa_Filippi_Silvio-_Terzetto_Di_Signorine-1896","Spaventa Filippi Silvio"," Terzetto Di Signorine","1896","Il cortese funzionario, più autorevole nel suo laconismo che nella sua divisa di panno regolamentare, gli aveva dato le più chiare indicazioni; fu per la propria inesperienza che il viaggiatore non trovò il treno lì per lì, e andò errando un bel pezzo confuso tra un monte di merci, di carretti e di bagagli, tra una folla di altri viaggiatori frettolosi che affluivano da tutte le porte, tra lunghe file di carrozzoni fermi e vuoti, allineati come casette d'un villaggio fantastico nella semioscurità della tettoia, tra due locomotive che manovravano in senso opposto e parevano sul punto di cozzare, sfolgorando dagli enormi occhi rossi, ansimando e fischiando breve, fra un gran strepito d'assi, di catene e di ruote. — Aquila? — ripetè Ettore a un uomo gallonato, ch'egli aveva scambiato a primo aspetto per un capostazione e ch'era, invece, o un graduato della regia marina o un solenne personaggio alle dipendenze d'un solennissimo albergatore.","NO"
"Spaventa_Filippi_Silvio-_Terzetto_Di_Signorine-1896","Spaventa Filippi Silvio"," Terzetto Di Signorine","1896","L'uomo gallonato ci teneva in modo superlativo ai suoi galloni e reputava alquanto oltraggioso un errore di quella specie, e lo punì col silenzio e con un'occhiata di sdegno che parve la punta d'una freccia. Prima di arrischiare una terza domanda a un terzo che gli apparve fornito di qualche autorità – una particella, anche minima, di potere splende su un uomo meglio di una medaglia – Ettore aperse bene gli occhi per squadrarlo attentamente e classificarlo nella benemerita famiglia dei ferrovieri. L'impiegato si teneva dritto contro l'orlo d'uno sportello, e guardava tra i viaggiatori come per distinguere i proprî.","YES"
"Spaventa_Filippi_Silvio-_Terzetto_Di_Signorine-1896","Spaventa Filippi Silvio"," Terzetto Di Signorine","1896","— Aquila è qui? — ripetè il giovane con umiltà. — L'ultima vettura!","NO"
"Spaventa_Filippi_Silvio-_Terzetto_Di_Signorine-1896","Spaventa Filippi Silvio"," Terzetto Di Signorine","1896","— disse l'impiegato, accennando in fondo, e soggiunse, con un grido: — Treno Foligno-Ancona! Ettore s'affrettò per quanto glielo permettevano due valige pesanti, che reggeva a fatica su un fianco e sull'altro, e finalmente poggiò il piede sul predellino della vettura Roma-Castellamare. — Permettete, signori — fece, spingendo a stento una valigia per lo sportello aperto.","NO"
"Spaventa_Filippi_Silvio-_Terzetto_Di_Signorine-1896","Spaventa Filippi Silvio"," Terzetto Di Signorine","1896","— Presto, presto, si parte! — gridò una voce dal fondo. Qualche istante dopo, una mano sgarbata lo spinse di dietro, lo sportello si chiuse, il treno si scosse, ed egli cascò ginocchioni sul pavimento a regoli della vettura, con la seconda valigia in mano sulla prima già deposta.","NO"
"Spaventa_Filippi_Silvio-_Terzetto_Di_Signorine-1896","Spaventa Filippi Silvio"," Terzetto Di Signorine","1896","Voleva vendicarsi dell'urto brutale con un'imprecazione; ma la vista di tre fanciulle, sedute nel compartimento, gliela trattenne sulle labbra. Invece, espresse naturalmente un'esclamazione ammirativa, rialzandosi col miglior garbo che poteva e facendo miracoli per tenersi in equilibrio nell'atto di collocar le valige nella rete. In verità era un po' confuso, e lo sentiva al calore del viso, per parecchie ragioni, una più grave dell'altra: il bagaglio, d'una volgarità troppo evidente – è strano come la grossolanità di un oggetto debba direttamente influire sulla impalpabilità dello spirito, fino a umiliarlo – la caduta, la cravatta un po' logora, e le mani, nella sua condizione di studente, non sempre pulite.","YES"
"Spaventa_Filippi_Silvio-_Terzetto_Di_Signorine-1896","Spaventa Filippi Silvio"," Terzetto Di Signorine","1896","Se le guardò con una rapida occhiata e rilevò che erano monde d'inchiostro; cosa che lo ricompose un pochino, e lo fece sedere abbastanza tranquillo nel centro del divano, di faccia a due delle fanciulle, fra la terza seduta in un angolo e un signore dal pizzo bianco seduto nell'altro. Il primo attimo d'un incontro con visi nuovi è di ostilità; il secondo può essere di simpatia. Ma se i visi nuovi sono in maggioranza di giovinette la simpatia può nascere nel primo istante.","YES"
"Spaventa_Filippi_Silvio-_Terzetto_Di_Signorine-1896","Spaventa Filippi Silvio"," Terzetto Di Signorine","1896","Piccolo punto nero nella beata visione di quelle tre paia d'occhi sorridenti gli fu il pensiero di dover tutta la notte far a meno del sigaro: privazione questa che, ad un cavaliere meno forte o più risoluto, avrebbe suggerito l'idea di cambiar di vettura alla prima fermata. Egli invece se ne stette al suo posto dolcemente rassegnato, tenendo gli occhi fermi in un punto vago, per non sollevar diffidenze nell'animo paternamente severo o sospettoso del signore dal pizzo bianco, il quale lo guardava con un atteggiamento non chiaramente definibile, certo più seccato che benevolo, perchè con l'ingresso improvviso d'uno straniero in quell'intimità familiare, era svanita la speranza di riposar tranquillamente in quella vettura, come nel proprio letto, per il resto della notte. Intanto, si misero tutti e cinque a seguire le ondulazioni del treno, che lasciava i numerosi binarî, sparsi di fiammelle verdi e rosse e si lanciava nelle tenebre, accelerando le sue pulsazioni metalliche.","NO"
