"filename","nome","titolo","anno","chunk","DIL"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— O Ventura, tornate dalla fiera? — Come vede, vossignoria. E buona sera.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Vedeste don Cesco? — Un momento, a mezzogiorno, da Bista. — E per la strada mò?","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Niente. — Vuol dire che oggi ha fatto tardi. C’era gente?","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Di molta: fiera grossa, davvero. — Grazie, Ventura. Buona sera.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— S’altro non occorre a vossignoria, buona sera. Il giovane raccolse le redini abbandonate un momento e diede la voce al cavallo che si mosse lento su per la salita. Donna Carola tornò ad aguzzare lo sguardo giù verso il paese in fondo alla via larga, polverosa, dove avrebbe dovuto comparire la cavalla bianca di don Cesco.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Nulla. La strada bianca e riarsa scendeva serpeggiando in volute ampie dalla grande tenuta dei Tortoli – «la Spinazzola» – fino al paese, più su scompariva nella macchia; ma fin dove l’occhio poteva scorgere, e sopra e sotto, la fiancheggiavano le verdi campagne dei baroni prospere e feconde come una benedizione di Dio. Donna Carola si tolse dalla finestra dove erasi affacciata un momento appena: il tempo per avvertire Annalena che aspettasse a mettere la minestra al fuoco e che togliesse un po’ di bragia da sotto lo spiedo, perchè le pareva che la lepre asciugasse troppo, poi tornò su e riprese il suo posto di vedetta.","YES"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Ma la cestina di don Cesco non compariva; invece, scendeva rapido il tramonto autunnale; ancora un bel raggio d’oro indugiava di qua di Monte Gargano mettendo una carezza dolce nella macchia fatta già bionda e porporina dall’ottobre inoltrato: anche la campagna dei Tortoli e la strada ridevano liete di quel saluto estremo; ma di là dal paese tutto bianco allineato sulla spiaggia come un fiocco di spuma fatto, per incanto, indistruttibile, il mare azzurro perdeva, nella distesa lontana, la chiarezza luminosa del giorno. Lo spettacolo meraviglioso di quel tramonto unico era perduto, quella sera, per gli occhi di donna Carola: più dell’Adriatico silenzioso riposante laggiù, più del profilo di Pianosa visibile appena sullo sfondo lontano dell’orizzonte, la occupava e preoccupava la strada bianca ancora deserta. Perchè don Cesco facesse tanto tardi bisognava che qualche cosa d’insolito fosse successo: forse la cavalla era caduta, o il carrozzino s’era guastato, lui stesso, don Cesco, s’era sentito male.... Un vivo senso d’angustia l’assalse nella considerazione di questa ultima possibilità: poi, la cosa parve tanto assurda che sorrise scotendo il capo a scacciare l’importuno pensiero.","YES"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Don Cesco non poteva star male: non era stato ammalato mai, era la forza, la giovinezza, la salute, l’ardire. Forse lo avevano trattenuto gli amici: compare Achille che aveva riscosso i soldi delle bovine. Nazzarè che per mala ventura aveva aperta la peggiore delle osterie di Rodi, piena sempre di mala gente che osava invitare il barone a trattare con lui – Dio li perdonasse tutti!","YES"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","– quasi da pari a pari. Troppo buono don Cesco, proprio troppo buono. Un’ombra strisciò sotto la finestra interropendo il corso delle meditazioni di donna Carola.","YES"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Sei tu, Gianni? – disse sporgendosi, come le parve di riconoscere il ragazzo che procedeva a testa bassa rasente il muro della casa. — Buona sera a vossignoria.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Il giovane alzò il viso verso la finestra e sorrise d’un sorriso ebete cui contrastava la tristezza immensa di due grandi occhi scuri e fondi nel viso terreo, emaciato. — Dove vai, Gianni? — Eh, li aspetto.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— E chi? — Loro due. Sono lassù, – indicò col dito la strada verso la macchia, – vengono adagio, ma passeranno di qua.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Vai a casa, Gianni, dài retta, vai a casa, non ci badare. Mancano forse ragazze belle al paese? La voce di donna Carola aveva assunto una espressione persuasiva, dolce e affettuosa.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Le stringeva l’animo il dolore rude e profondo di quel povero ragazzo innamorato. Egli parve non udire le parole buone: con voce piana, indifferente, ripetè il lamento che da due mesi andava facendo a tutti. — Vossignoria deve sapere che Lucietta mi voleva bene.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Lui ci ha fatto il malefizio. «Lui», era il rivale. Un avvocato Vittori da Manfredonia venuto per mala ventura a passare le vacanze in paese in casa del dottore suo amico e a rubare le fidanzate ai giovani peschitani.","YES"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Gianni Baldi era più bello assai dell’avvocato Vittori ma non portava le scarpe di coppale, ma non fumava le sigarette nei bocchini d’ambra e non aveva le unghie lunghe, rosee, lucide, e non si profumava i baffi e il fiore all’occhiello se lo metteva soltanto la domenica, quando si rasava la barba ispida e mutava i suoi poveri panni da mulinaio infarinato nel bel vestito di tela portato dal reggimento. Lucietta di Camorello s’era lasciata prendere dalla lucidezza delle scarpe e dal profumo delle sigarette dell’avvocato Vittori: per farsi vedere sul far della sera con quel bel signore cittadino che aveva dei così bei denti bianchi, lucidi, piccoli, aveva piantato il povero Gianni, onesto, buono, innamoratissimo, il più bel ragazzo e il miglior partito del paese. E Gianni Baldi consumava cervello e vita in quella passione disperata: da che gli era successa la disgrazia pareva istupidito: il mulino riposava: la gran ruota inerte nereggiava triste, sullo sfondo chiaro della macchia di betulle.","YES"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Il giovane passava le giornate e le notti a spiare gli innamorati seguendoli da lungi inosservato, triste, mite, nelle lunghe, tortuose strade che essi sceglievano per giungere a ritrovarsi senza essere importunati. Ci lasciava sonno e vita, povero Gianni! Adesso s’era appoggiato alla muraglia bianca sotto la finestra abbandonandosi tutto come gli fossero mancate le gambe.","YES"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Dalla. finestra, donna Carola lo osservava con compassione infinita non immaginando certo per quanto tempo lo avrebbe riveduto così. — Eccoli, – disse a un tratto il ragazzo.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Si drizzò tornato improvvisamente forte, tremando tutto, stringendo istintivamente i pugni mentre la fiamma cattiva gli balenava in fondo agli occhi cupi. Dalla strada della macchia scendevano lentamente i due amanti: camminavano piano parlandosi e sorridendo; lui, cercando di tratto in tratto di cingerle con un braccio la vita, lei svincolandosi abilmente con una piccola mossa aggraziata piena di civetteria. Quando furono presso la casa si scostarono prudentemente.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Vittori si fermò lasciando che la fanciulla continuasse sola.. Invece di seguire la via maestra ella prese una scorciatoia attraverso i campi: l’avvocato Vittori l’accompagnò coll’occhio fin che potè scorgerla, poi accese una sigaretta, e continuò la sua strada. Dinanzi alla casa dei Tortoli scorse donna Carola e si toccò il cappello.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Gianni Baldi volle slanciarsi; donna Carola che non lo perdeva d’occhio, chiamò imperiosamente: — Gianni! Il ragazzo prese a singhiozzare come un bimbo. — Gianni, vieni su, ho bisogno di te.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Ancora una volta l’istinto d’ubbidienza prevalse: si accomodò il cappello, girò dietro la casa e sparve. Donna Carola lo udì aprire il cancello dell’orto, spingere la porta di casa e salutare Annalena. Udì anche la donna dire colla famigliarità delle vecchie domestiche affezionate e rudi: — Se è la signora che vi vuole, andate pur su.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Aperse ella stessa al ragazzo e lo fece entrare nel suo salottino invaso già tutto dall’ombra del crepuscolo. Lo aveva chiamato per consolarlo, per convincerlo, per sgridarlo anche, per sopire la sua violenza e ridargli la calma. Soffrendo inconsapevolmente dello stesso male si sentiva presa da una grande tenerezza dinanzi a quel pezzo di ragazzo robusto e forte rovinato e disfatto da una sì gran passione.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Ma quando se lo vide dinanzi, più alto di lei, poderoso e aitante malgrado il viso sofferente, quando udì quella voce di basso profondo dirle l’ossequioso: Vossignoria comandi, non seppe più come cominciare. — Gianni, – disse cercando intanto le parole più atte per l’opera sua pietosa di consolatrice. Un’altra volta egli ripetè mettendosi sull’attenti: — Comandi.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Non ho nulla da comandarti, Gianni; vorrei soltanto che tu non pensassi più.... mi capisci? — Vossignoria, no. — Insomma, che tu non guardassi più la Lucietta.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Lucietta mi voleva bene: è lui che le ha fatto il malefizio. — Lucietta non è una ragazza per te, Gianni. È leggera, civetta, senza cuore: è stato meglio così, credi.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Tu devi portare a tua madre una brava figliuola che le voglia bene e che abbia senno. — Vossignoria mi perdoni: Lucietta era buona; è lui che le ha fatto il malefizio. Donna Carola ebbe un gesto d’impazienza.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Va bene, lui. Ma se lei non avesse voluto.... ti pare? Insomma, ormai quello che è stato è stato.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Tu, mettiti il cuore in pace: lavora, cercati un’altra ragazza che ti voglia bene e, sopratutto, non fare sciocchezze. Capisci? pensa a tua madre, Gianni: non ha più che te quella povera vecchia.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Sarai buono di’? Gli accarezzò il mento come ad un bambino sollecitando sempre una risposta. — Sarai buono?","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Mi prometti? — Vossignoria mi perdoni: non capisco. — Che gli volevi fare stasera quando passò?","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Abbassò il capo e prese a tormentare il cappello che rigirava tra le mani. — Non gli avrei fatto mica del male, – disse poi. — E allora?","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Soltanto gli volevo dire che lasciasse in pace la Lucietta. — Adesso? La vorresti riprendere adesso?","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Vossignoria, sì. — Oh povero Gianni! povero Gianni!","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Ripetè tre volte, lentamente, quella esclamazione di pietà guardandolo con espressione di commiserazione infinita. Quanto doveva amare per essere pronto a riprendere e, far sua l’infedele! Capì che nessuna esortazione, nessun consiglio avrebbe potuto vincere quella passione infelicissima e rinunziò a parlargli di Lucietta.","YES"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Hai lavorato quest’oggi? – chiese invece. — Vossignoria, no.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Male, Gianni, pensa a quella povera donna di tua madre: è vecchia, non ha più salute, non le resti che te al mondo. Ti par giusto di farla soffrir tanto? Non ottenne risposta.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Lavorerai domani? me lo prometti? — Domani?","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Sì: voglio sentire la ruota battere l’acqua, quando mi alzerò. Il giovane ebbe quel sorriso ebete che faceva tanto male a vedersi. — Domani, – disse, – è impossibile.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","— Perchè? — Perchè andrò a Manfredonia col barone: me lo disse stamattina prima di andare alla fiera. — Hai ragione.","NO"
"Steno_Flavia-Il_Pallone_Fantasma-1911","Steno Flavia","Il Pallone Fantasma","1911","Domani il barone va a Manfredonia. Donna Carola ricordava a un tratto che proprio pel giorno seguente era attesa la forestiera. — A che ora partite?","YES"
