"filename","nome","titolo","anno","chunk","DIL"
"Tarchetti_Igino_Ugo-Una_Nobile_Follia-1869","Tarchetti Igino Ugo","Una Nobile Follia","1869","I. U. TARCHETTI. …….Tant'è: non poteva prestar fede a me stesso: tornai a rileggere quella lettera:","YES"
"Tarchetti_Igino_Ugo-Una_Nobile_Follia-1869","Tarchetti Igino Ugo","Una Nobile Follia","1869","«Ho il cuore teneramente commosso. Da un giovine ufficiale che ti conosce, al quale ho offerto ospitalità nella mia famiglia, ho inteso che tu sei a…., a venti miglia di qui, e sulle mosse per recarti in Francia. Questa notizia mi ha tutto agitato.","NO"
"Tarchetti_Igino_Ugo-Una_Nobile_Follia-1869","Tarchetti Igino Ugo","Una Nobile Follia","1869","Sono sette anni che non ti vedo. Potrò ora abbracciarti? Mia moglie, i miei figli ti attendono; non sono più solo: la fortuna ha collocato un abisso tra la mia vita passata e la mia vita attuale; ma per quella misteriosa attrazione che l'uomo ha poi sempre verso il dolore, io desidero di rivivere teco nel passato; fosse un'ora soltanto, tu non negherai questa ineffabile consolazione al tuo amico».","NO"
"Tarchetti_Igino_Ugo-Una_Nobile_Follia-1869","Tarchetti Igino Ugo","Una Nobile Follia","1869","Mi rincantucciai nell'angolo della carrozza per nascondere l'alterazione del mio viso, e mi portai una mano sul cuore come per contenerne il sussulto: – il mio amico, l'amico della mia infanzia, Vincenzo!... Ed era stato detto che un amore sventurato, che un rovescio di fortuna irrimediabile l'avevano tratto ad uccidersi. Io l'aveva pianto morto, io lo aveva quasi dimenticato; non credeva di rinvenirlo più sulla terra.","NO"
"Tarchetti_Igino_Ugo-Una_Nobile_Follia-1869","Tarchetti Igino Ugo","Una Nobile Follia","1869","Oh! la terribile sorpresa di rivedere viva una persona che credevamo estinta, la solenne mestizia di un ritrovo dopo sette anni di una vita ignorata e soffrente. E non doveva rivederlo più solo.... una moglie, dei figli….","YES"
"Tarchetti_Igino_Ugo-Una_Nobile_Follia-1869","Tarchetti Igino Ugo","Una Nobile Follia","1869","Quale sarà dunque il segreto di questa esistenza misteriosa? Quali le fila di questo destino imperscrutabile? E guardai il cielo, e mi sentiva gli occhi pieni di lagrime, e dissi fervorosamente: Oh mio Dio, fate che io possa trovare il mio amico felice!","YES"
"Tarchetti_Igino_Ugo-Una_Nobile_Follia-1869","Tarchetti Igino Ugo","Una Nobile Follia","1869","Su per una salita del colle, i passeggieri discesero dalla vettura, e discesi io pure con essi. Mi incamminavo avanti a passi accelerati per rimanermene solo: era un bel mattino di maggio, la primavera era nel suo pieno sviluppo; e quelle praterie, e quei colli che le cingevano come un anfiteatro gigantesco, parevano uno di quei quadri meravigliosi che la natura ha disseminati qua e colà sulla terra, quasi per attestare il vigore della sua potenza creatrice: – prati tutti rosati leggermente di margherite, siepi di bianco-spino fiorite, padiglioni di clematidi e di caprifogli; e lungo i filari dei salici alcune tordelle di montagna che andavano e venivano a piccoli voli, da un albero all'altro, e folate di passeri a migliaia. Tornai indietro per quindici anni nella mia vita: la mia immaginazione mi trasportò in quel piccolo paradiso della mia patria, che non aveva più riveduto da lungo tempo, e risentii quella sensibilità vergine e squisita che è propria della prima giovinezza.","NO"
"Tarchetti_Igino_Ugo-Una_Nobile_Follia-1869","Tarchetti Igino Ugo","Una Nobile Follia","1869","In quei luoghi aveva spesso folleggiato con Vincenzo... spesso! noi vi avevamo passato la nostra infanzia. Ve lo rividi fanciullo come in quel tempo, co' suoi occhi del colore della pervinca, col suo viso sorridente e gentile, coronato di capelli ricciuti e biondissimi: rividi quelle lunghe siepi di rovi dove venivamo a raccogliere assieme i frutti del lampone selvatico, e quella viuzza serpeggiante a precipizio, e quei molinelli di giunco sospesi sopra il ruscello, e quei vecchi pioppi vestiti di licheni secolari, dove le piche dalla coda azzurra collocavano, sfidandoci, i loro nidi.","NO"
"Tarchetti_Igino_Ugo-Una_Nobile_Follia-1869","Tarchetti Igino Ugo","Una Nobile Follia","1869","Oh, i primi anni dell'infanzia! Questo affacciarsi alla vita colla baldanza che dà una felicità non contesa; e la cieca imprevidenza, la piena sicurezza dell'avvenire, la felice ignoranza del dolore... chi può rammentare quell'età senza lagrime? Ma gli affetti rimangono allora assopiti, il cuore non si è ancora aperto: le sensazioni dell'infanzia sono vaghe, indefinibili, incomprese; sono un fremito di tutte le potenze intellettuali che si sviluppano e tentano di soverchiarsi nella lotta; sono le note di una musica divina, ma echeggianti tutte ad un tempo, senza legge di accordo, e senza misura; e quando l'anima si apre agli affetti, quando incomincia la conoscenza dell'esistere, e le note di questa musica armonizzano coi numeri e colla poesia dell'universo, il labbro che si accosta al calice del piacere vi sugge i primi sconforti e le prime amarezze della vita.","NO"
"Tarchetti_Igino_Ugo-Una_Nobile_Follia-1869","Tarchetti Igino Ugo","Una Nobile Follia","1869","Il dolore è una scienza che non ha d'uopo di lunghi ammaestramenti per essere appresa. Il primo affetto nasce sempre col primo dolore, quando pure il dolore non preesisteva all'affetto. – Vincenzo ed io fummo separati a dodici anni: io non rammenterò qui lo strazio di quella separazione: ciascuno di noi fu chiuso tra le pareti di un collegio, e quando ci rivedemmo ne contavamo venti caduno.","NO"
