"filename","nome","titolo","anno","chunk","DIL"
"Tartufari_Clarice-Eterne_leggi-1911","Tartufari Clarice","Eterne leggi","1911","﻿Clarice Tartufari Eterne leggi Al mio diletto figliuolo Filippo dedico questo libro, che mi sorse nel pensiero quando egli, per la prima volta, si allontanò da noi, lasciando muta la nostra casa dove oggi la sua bella gaiezza non suona più. Il concetto di questo romanzo è orgoglioso: tracciare su infinitesima scala, nell’epilogo della storia di una famiglia che decade e nel prologo della storia di una famiglia che sorgerà, l’eterno ripetersi degli eventi con eterna uniformità di vicende.","NO"
"Tartufari_Clarice-Eterne_leggi-1911","Tartufari Clarice","Eterne leggi","1911","Un essere d’istinti vigorosi, di robusti appetiti, di mente circoscritta, ma aguzza, di tenacissima eppure duttile volontà, si spinge avanti, forma nucleo, trasmette impulso ai discendenti i quali, di generazione in generazione, prosperano, maturano, si affinano, diventano sottili nell’intelletto, sensibili nella coscienza, privi di unità nel pensiero troppo irrequieto, sazî di conquiste, innamorati della pura idea. Essi incalzati dal loro destino, contribuiscono alla distruzione propria, mirano con estetica dilettazione, sè discendere, altri salire, generosi ed equanimi perchè superiori, sopraffatti perchè la loro superiorità è la loro debolezza. Un nuovo essere frattanto si distacca dalla folla e ricomincia per i suoi discendenti la favola breve.","NO"
"Tartufari_Clarice-Eterne_leggi-1911","Tartufari Clarice","Eterne leggi","1911","Le passioni, eterne anch’esse, fanno viluppo e ciascuno vi s’impiglia e geme. Ho voluto che l’azione si svolgesse tutta in campagna perchè animali e cose ne fossero partecipi; ho scelto le colline del contado novilarese, in quel di Pesaro, perchè, nel limite della mia possibilità, desidero proseguire a illustrare con i miei libri taluni fra i luoghi non degnamente conosciuti di questa nostra Italia, dove ogni pietra ci narra di passati fastigi, ogni zolla ci rivela segni di ubertà e di vaghezza. Se, come temo, alla baldanza dell’impresa l’esito non risponde, mi valga di scusa la serietà degl’intendimenti e della preparazione.","NO"
"Tartufari_Clarice-Eterne_leggi-1911","Tartufari Clarice","Eterne leggi","1911","La stella di Venere, sola a ornare il silenzio vasto del cielo soffuso di bianchezza nella soavità dei primi albori, entrò per la finestra nel salone della casa addormentata e incoronò di piccoli raggi la fronte di Iulia bella, che rispose al saluto irradiandosi di fulgori. Iulia bella non sorrideva con facilità; anzi si dilettava di rimanersene cinta di mistero sopra il fondo del piatto amatorio, dove un vasaio di Castel Durante l’aveva collocata in effigie, dotandola di venustà squisita fra la doppia lista dei capelli assettati dietro le orecchie e segnati di colore acceso per una fettuccia scendente dal capo, lungo le gote, fin sopra le spalle cariche a dovizia di pendagli e catene. Ma nell’albeggiare di quella mattina di San Giovanni, mentre la campagna usciva dalla quiete notturna con tenui bisbigli, Iulia bella si compiaceva d’intrattenersi con la stella di Venere, come quando, forse, in altri secoli ella inviava sospiri alla notte gemmata da qualche balcone di qualche palazzo pesarese, dopo avere motteggiato donnescamente coi gentiluomini di Alessandro Sforza, duca novello di Pesaro, o aver danzato per alleviar la noia di madonna Lucrezia Borgia, moglie giovanetta del Signore Giovanni.","NO"
"Tartufari_Clarice-Eterne_leggi-1911","Tartufari Clarice","Eterne leggi","1911","Lo aveva detto Marìsa, collocando con devozione dentro una credenzetta a cristalli il prezioso piatto amatorio a lei donato dalla vecchissima zia Basina: «Ecco, da questo punto della parete Iulia bella ritornerà ogni giorno splendente al primo apparire della luce. Qualche volta, all’alba, io scenderò per vederla risplendere ed ella mi narrerà la sua storia». Ma ciò difficilmente poteva accadere, perchè Marìsa di prima mattina dormiva bene, e fugaci erano i colloquî di Iulia bella con le stelle del cielo.","NO"
"Tartufari_Clarice-Eterne_leggi-1911","Tartufari Clarice","Eterne leggi","1911","Infatti, appena le cime degli alberi cominciarono a tremare e fra i solchi ebbero palpiti le piume delle quaglie, la luce capricciosa portò su altri punti della parete la instabilità de’ suoi giuochi e Iulia bella tornò muta e bianca tra i gialli fregi del tondo. In compenso Giorgio Secondo si destò. Trasse la testa di sotto l’ala variopinta e dopo avere arrotato il becco sulle stecche dell’alta pappagalliera e avere scosso irosamente la zampa vincolata dalla pastoia di acciaio, starnazzò, si lisciò le penne con accuratezza e poi rimase dignitoso a mirare i colli sfumati di rosee tinte sotto il leggiadro velo dell’aurora.","NO"
"Tartufari_Clarice-Eterne_leggi-1911","Tartufari Clarice","Eterne leggi","1911","Giorgio Secondo era tenuto in molta stima dal capo della famiglia Almerici, il vecchio Savello, perchè insieme avevano trascorso ore di gloria e di trepidazione. Circa quarant’anni prima, allorchè i cuori ardevano per l’Italia come lampane davanti a un altare, e Savello Almerici, uomo generoso di sensi, ingegnoso di mente, immaginava ogni giorno mezzi strani per punzecchiare il governo di sua Santità e spronare all’amor di patria gli animi dei pesaresi, una domenica verso l’ora del passeggio, dietro l’inferriata di una finestra a pianterreno del palazzo Almerici in via San Giovanni, fu vista Violante, la dolce sposa di Savello, seduta in abito verde, con in mano un volumone rilegato in pelle rossa e sciorinato sul grembo un largo fazzoletto di batista bianca. I cittadini, fra cui la parola d’ordine era corsa, sfilarono tutti in via San Giovanni, per solito deserta e, passando innanzi al palazzo Almerici, onoravano di ripetute scappellate il bel viso della signora ed i colori simbolici ond’ella si ornava.","NO"
"Tartufari_Clarice-Eterne_leggi-1911","Tartufari Clarice","Eterne leggi","1911","Violante, quieta e ridente, rispondeva agli ossequi piegando il capo e sollevava, a tratti, con gesti maliziosi, il libro, il fazzoletto e un lembo della veste. Pareva proprio ch’ella, cauta, sollevasse e mostrasse una bandiera. Dietro la finestra attigua stavano Giorgio Secondo e Savello, il quale con le mani sprofondate nelle tasche dei pantaloni a quadri, con il cappello a staio messo di sghimbescio sopra la folta zazzera bruna, simulava il fare sbadato di chi si diverta a interrogar le nuvole e cantava fra i denti: «È partito il mio brunetto, Chissà quando ritornerà» Il pappagallo, spenzolandosi all’ingiù e chinando la testa, proseguiva con la sua voce stridula: «Va a morire per l’Italia, Va a morir per la libertà».","NO"
"Tartufari_Clarice-Eterne_leggi-1911","Tartufari Clarice","Eterne leggi","1911","I pesaresi, esultanti, passavano, ripassavano davanti alle due finestre e per tutta la città era come se ci fosse una gran festa. Savello Almerici, chiamato l’indomani a rendere stretto conto dello scandalo, rispose con sarcastica umiltà che solamente l’uomo è animale ragionevole, che gli altri animali non posseggono il dono del raziocinio e che i pappagalli danno fiato al becco senza ombra di riflessione. «Appunto per questo la loro voce è la eco di maligne voci» gli era stato ribattuto minacciosamente; ma Savello, sempre più remissivo, si era scusato, osservando che forse il pappagallo aveva appreso la malefica canzoncina dalla voce del popolo; e voce di popolo è voce di Dio.","NO"
"Tartufari_Clarice-Eterne_leggi-1911","Tartufari Clarice","Eterne leggi","1911","Comunque, a lui venne imposto con fiero cipiglio che la sconcia scena non si rinnovasse e che la signora variasse i colori della sua veste. Savello promise di ubbidire, come di dovere e infatti la domenica successiva al posto di Giorgio secondo c’era un cartello con la scritta: «In esilio per i suoi principî» e Violante, invece di un abito verde, indossava un abito bianco e invece del fazzoletto candido teneva in mano un grosso mazzo di erba cedrina; quanto al volume era sempre quello rilegato in rosso, ma si narrava in esso la vita di San Terenzio, protettore di Pesaro, e l’autorità ecclesiastica non poteva trovarci nulla da ridire. Piccole vicende, minuscoli puntigli, che prima del sessanta avevano sapore eroico e di cui il ricordo non commoveva oramai più nessuno, tranne Savello, diventato adesso un vecchione collerico e scontento, che imprecava al governo italiano dopo averlo tanto sognato e che talvolta sostava a contemplare il suo pappagallo, dicendogli con amarezza: «Se giustizia ci fosse avrebbero dovuto pensionarti.","YES"
