"filename","nome","titolo","anno","chunk","DIL"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","﻿Clarice Tartufari Il giardino incantato PARTE PRIMA Il giardino incantato - Ricordi dell’età lillipuziana - Il tenentino di fanteria L’eterno inganno. IL GIARDINO INCANTATO Tremo tutta e il livore m’indurrebbe a tornare di là per rivolgere parole acerbe a quella ragazza che non mi ha fatto nulla. Tonina è molto corretta nelle sue maniere, è sollecita, pronta, zelante, rispettosa, desiderosa di rendersi gradita e mio fratello, il quale si disinteressa completamente di ciò che avviene in casa, mi disse ieri: — Tonina è speciale.","YES"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","Basta chiederle una cosa, ed ella risponde subito di averla già fatta. Perchè dunque mi dà tanto fastidio? Non per gelosia.","YES"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","Io non sono stata mai gelosa di mio marito, quando era vivo e molto meno sono gelosa adesso di quel povero diavolo di Romeo, che ha di fronte a me arie d’impaccio ogni volta che mi tradisce e che io perdono di gran cuore per la semplice ragione che di lui e della sua fedeltà non m’importa più affatto. Io non sono gelosa di Tonina; ma è certo che la sua presenza m’irrita. Stamani ella mi è passata accanto in fretta.","NO"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","Il corridoio era quasi al buio, eppure il filo di sole che veniva dallo spiraglio della porta socchiusa l’ha illuminata a un tratto ed io l’ho vista risplendere in volto. La sua fronte pareva d’argento, ed ella teneva sollevato in alto lo spazzolino piumato con atteggiamento di gioia e di orgoglio. Ebbi l’impressione che dietro di lei fiorisse un grande cespo di rose.","NO"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","— Non voglio che tu adoperi i miei profumi — io le ho detto. — Nossignora, i profumi io non li adopero mai — e per lasciarmi passare si è addossata alla parete, proprio nel punto dove il filo di sole batteva. Ho avuto il desiderio di chiamarla bugiarda tanto ella mandava odore; ma ho poi capito che l’odore esalava da’ suoi vent’anni e sono entrata qui nel mio studio, chiudendo con violenza la porta.","YES"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","Poco fa è stato peggio. Eravamo insieme, io e lei, nello stanzone per fare quello che si fa ogni anno in primavera; ossia per riporre nelle casse i vestiti d’inverno e trarne fuori i vestiti di estate. Nei primi anni del mio matrimonio era questa per me una occupazione divertentissima.","YES"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","Durante l’inverno, allacciandomi la pelliccia davanti allo specchio, dicevo sempre: “Dio mio, quando arriverà il mese di maggio?” L’idea di scoprirmi il collo e le braccia fino al gomito, l’idea di camminare per le vie, mostrando fra i lembi della gonna leggera i ghirigori delle calze traforate, e sotto la falda del cappello fiorito la massa lucente delle mie trecce e la instabile curiosità de’ miei occhi cangianti, mi dava moti d’impazienza nel vedermi scomparire, dal mento al pollice dei piedi, dentro una fodera scura come se io fossi un ombrello. Da qualche anno invece la fodera scura mi somiglia a un rifugio. Col cappellone piumato sceso fin sulle ciglia, con la veletta nera aderente alle gote, il bavero di lontra rialzato in modo che i lobi gemmati delle mie orecchie scintillino tra i riflessi rossigni del pelame prezioso, io mi contemplo nello specchio e sorrido rassicurata, camminando poi svelta, col passo spavaldo di altri tempi, occupando della mia sottile persona l’intiera larghezza del marciapiede, procedendo in mezzo alla folla degli sconosciuti quasi in mezzo a una folla di amici, perchè ogni passante mi rivolge sguardi di riconoscenza.","YES"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","Io dunque, poco fa, nello stanzone guardavo crucciata i vestiti d’inverno adagiarsi nelle casse per un sonno di mezzo anno e le robe di estate uscire a una a una e sparpagliarsi sui mobili, simili a farfalle tenute chiuse dentro un involucro di garza e lasciate poi libere sulle aiuole di un giardino. La canfora, che Tonina spargeva su giacche e mantelli, mandava acuto odore e quell’odore mi pareva il saluto cordiale di un amico fedele che se ne va; le camicine di merletto, le vestaglie di mussolina, diffondevano intorno un aròma sottile e quell’aròma somigliava al saluto ironico di una persona che non ci ama più dopo averci molto amato e che torna per farci soffrire. Io mi sentivo diventar cattiva e, ruvida insolitamente, rimproveravo Tonina senza ragione.","NO"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","Stavo in piedi, con le mani dietro il dosso, appoggiata allo sportello chiuso di un armadio aperto a metà, e parlando con brevi frasi, non riconoscevo la mia voce. Ero io? Era un’altra persona?","YES"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","In faccia a me, sull’opposta parete dello stanzone, la finestra era spalancata e, oltre l’ampiezza del cortile, io vedevo un’altra finestra sulle cui imposte il sole mandava i suoi raggi, facendo sfolgorare i cristalli quasichè cento lampade fossero accese. — Là, in quella casa hanno il sole! — io ho detto con accento di collera.","NO"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","— Noi lo abbiamo avuto fino a poco fa — Tonina mi ha risposto. — Taci, sei sciocca! — ed ho avuto uno scatto involontario di tutta la mia persona contro di lei.","NO"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","Sì, è sciocca. Ella non comprende che, appunto perchè io ho avuto il sole sino a poco fa, patisco e mi ribello nel vederlo rifulgere altrove. Tonina si è messa a ridere.","YES"
"Tartufari_Clarice-Il_giardino_incantato-1912","Tartufari Clarice","Il giardino incantato","1912","— Perchè ridi così? — le ho chiesto. Ella sentendo che c’era una minaccia nella mia interrogazione, è diventata molto seria e mi ha fissata con occhi di stupore.","NO"
