"filename","nome","titolo","anno","chunk","DIL"
"Tartufari_Clarice-Roveto_ardente-1905","Tartufari Clarice","Roveto ardente","1905","﻿ROVÈTO ARDENTE PARTE PRIMA. Una rapida, improvvisa folata di vento trasvolò con impeto al dissopra della campagna e tutte le cose, che parevano morte nel tedio di quel pomeriggio autunnale, furono scosse da un brivido lungo, quasi pauroso, mentre il velo fosco delle nubi, violentemente squarciato, si ornava per un attimo di bizzarri fregi luminosi.","NO"
"Tartufari_Clarice-Roveto_ardente-1905","Tartufari Clarice","Roveto ardente","1905","Flora, supina presso il tronco contorto di una quercia secolare, rimaneva immobile, con le braccia ripiegate ad arco dietro la testa e con una espressione di godimento intenso diffusa per ogni tratto del volto ancora infantilmente attonito e giulivo. Perchè aguzzava essa lo sguardo dei profondi occhi cerulei a interrogare il cielo che scendeva sempre più in basso, quasi a toccare la cima degli ulivi, aggruppati a sinistra, verso la collina? Cosa cercava ella al di là delle nubi, che si accavallavano, si sospingevano, si addensavano, si stringevano, si confondevano in mobili montagne sempre più gigantesche, sempre più tetre?","YES"
"Tartufari_Clarice-Roveto_ardente-1905","Tartufari Clarice","Roveto ardente","1905","Perchè tendeva essa l’orecchio a seguire l’urlo del vento, che, dopo avere scosso i rami degli alberi rabbiosamente, s’insinuava, strisciando furtivo, tra le foglie del canneto? Quale fantasma attendeva ella che scendesse verso lei dalle nubi o di quale canzone seguiva la eco in mezzo ai sibili del vento? Flora non attendeva nulla, non ascoltava nulla.","YES"
"Tartufari_Clarice-Roveto_ardente-1905","Tartufari Clarice","Roveto ardente","1905","A lei bastava di sentirsi vivere. Dalle regolari pulsazioni del cuore, dal misurato battito dei polsi, dall’ondeggiare pacato del sangue, dai nervi, che niente avevano ancora disperso della loro energia, dai muscoli, agili per l’esistenza libera selvaggiamente, da tutt’i sensi, già vigili a succhiare il nèttare di ogni sensazione esteriore, ma non ancora indocili nè scomposti, veniva alla giovanetta un senso pieno ed armonico di benessere puramente fisico. Un grido iroso e prolungato ruppe il silenzio e, giungendo dalla parte della casa bianca, si allargò sui campi, illanguidì presso la collina e si smorzò lento, a guisa di gemito.","NO"
"Tartufari_Clarice-Roveto_ardente-1905","Tartufari Clarice","Roveto ardente","1905","Flora sollevò il capo vivamente e rabbrividì per istinto. Certo era il nonno, che si arrabbiava col babbo. La supposizione la preoccupò e la trasse dal sogno alla realtà di un’esistenza punto lieta.","YES"
"Tartufari_Clarice-Roveto_ardente-1905","Tartufari Clarice","Roveto ardente","1905","Il nonno era così impetuoso, così imperioso, mentre il babbo era così umile, così triste e buono! Un lampo di tenerezza brillò negli occhi della giovanetta al pensiero di suo padre, ed ella ripercorse, a ritroso, il sentiero della propria infanzia, ancora tanto vicina, su cui l’affetto paterno aveva brillato come unico raggio. Flora si rivedeva bambina reclinare la fronte sul petto di Leone e addormentarsi dolcemente al suono delle parole che egli le mormorava; poi si rivedeva camminare con lui attraverso la campagna, entrambi silenziosi; egli assorto nel cruccio di un dolore irrimediabile, ella paurosa di scorgere negli occhi paterni l’ombra di smarrimento scorta il giorno in cui aveva chiesto perchè la mamma fosse sempre in viaggio, eternamente in viaggio.","YES"
"Tartufari_Clarice-Roveto_ardente-1905","Tartufari Clarice","Roveto ardente","1905","«Taci! Taci!» le aveva gridato Leone, sollevandola nelle braccia. «La mamma tornerà, deve tornare.","NO"
"Tartufari_Clarice-Roveto_ardente-1905","Tartufari Clarice","Roveto ardente","1905","Vedrai come saremo contenti allora. Tu l’amerai e io le perdonerò!» poi, ad un tratto, forse vergognoso delle sue parole, il babbo l’aveva nuovamente deposta in terra, rimanendo accigliato ed assorto durante tutto il cammino. E la mamma era tornata infatti, portando con sè, nella casa bianca, un fruscìo di sete, un aroma di essenze, una irrequietezza di parole e di gesti, che, in mezzo alla tetra austerità della monotona esistenza campestre, producevano l’effetto di un bizzarro costume da maschera in mezzo agli arredi di una sacrestia monacale.","NO"
"Tartufari_Clarice-Roveto_ardente-1905","Tartufari Clarice","Roveto ardente","1905","Allora la bimba era stata condotta a Pesaro e chiusa in un convento, dove, a più riprese, aveva sentito narrare, in modo confuso, che la mamma aveva intrapreso un nuovo viaggio, poi che era tornata, poi che era partita ancora; finchè, un anno prima, il babbo, più curvo, più pallido, più emaciato nella persona, più incolto nelle vesti, cogli occhi sempre più ardenti, fissi nelle orbite sempre più fonde, era andato a ritirarla definitivamente dal collegio. Flora non aveva chiesto di sua madre; Leone non gliene aveva parlato; ma bastava che il padre e la figliuola si guardassero in volto, per leggersi a vicenda un pensiero acuto e costante. «Tornerà?» chiedevano gli occhi della giovanetta, col tremolìo delle pupille cerule, dove palpitava il raggio della speranza.","YES"
"Tartufari_Clarice-Roveto_ardente-1905","Tartufari Clarice","Roveto ardente","1905","«No, non tornerà, non vuol tornare» rispondevano gli occhi accesi, dove la disperazione brillava di cupo lume. E gli occhi di Flora si chinavano pensosi, quasi a scrutare un mistero; e gli occhi di Leone, marito innamorato e reietto, si avvallavano paurosi, quasi a fuggire uno spettacolo di vergogna. Flora avrebbe potuto sapere, interrogando i coloni, ma un pudore invincibile la tratteneva e l’ignoto le appariva pieno di minaccia e di tristezza, pari alla oscurità di una notte senza stelle; pari al silenzio sconsolato di un cimitero, quando la pioggia cade minuta sopra le lapidi da un chiuso cielo invernale.","YES"
