"filename","nome","titolo","anno","chunk","DIL"
"Tedeschi_Treves_Virginia-Nel_regno_delle_chimere-1898","Tedeschi Treves Virginia","Nel regno delle chimere","1898","I FIGLI DI ERALDO. Viveva molti secoli fa, in un paese lontano, un uomo saggio e virtuoso che si chiamava Eraldo. Negli anni giovanili avrebbe desiderato viaggiare per conoscere il mondo e gli uomini, ma rimasto vedovo con tre figliuoli dovette rinunziare alle sue aspirazioni per dedicarsi interamente alla famiglia.","NO"
"Tedeschi_Treves_Virginia-Nel_regno_delle_chimere-1898","Tedeschi Treves Virginia","Nel regno delle chimere","1898","Egli lavorava molto e procurava di fare delle economie per lasciare ad ognuno dei suoi figli un discreto patrimonio, desiderava che crescessero buoni ed operosi, e dava loro continuamente saggi ed utili consigli. Era molto preoccupato nel vederli crescere d’indole affatto diversa l’uno dall’altro, per quanto egli prodigasse a tutti le medesime cure. Accadeva come colle piante del suo giardino; per quanto spargesse il medesimo seme nell’istesso terreno, e lo coltivasse con amore, le piante non crescevano mai nell’identico modo, l’una dava più frutti, l’altra più ombra; l’una cresceva robusta e rigogliosa, mentre l’altra intisichiva debole e delicata.","NO"
"Tedeschi_Treves_Virginia-Nel_regno_delle_chimere-1898","Tedeschi Treves Virginia","Nel regno delle chimere","1898","Quando i ragazzi furono cresciuti si accorse che in una cosa sola andavano d’accordo, ed era nel prepotente desiderio di libertà e d’indipendenza. Li sorprendeva spesso con gli occhi levati al cielo, seguire con invidia gli uccelli che volavano liberi nello spazio infinito, oppure capiva che quando dovevano obbedire ai suoi voleri non sapevano nascondere un senso di ribellione che rivelavano nei movimenti e negli atti; tanto che un bel giorno egli decise di appagare il loro desiderio, cioè di lasciarli liberi e indipendenti, e nello stesso tempo di poter riacquistare la propria libertà. Si chiamavano Fiorenzo, Fulgenzio e Mansueto; ed erano vicini ai vent’anni, quando il padre li chiamò a sè con aria solenne e disse: — Io vi ho sempre amato ed educato con affetto, e posso vantarmi di aver avuto presente soltanto il vostro bene, però m’accorgo che siete impazienti di spezzare la catena che a me vi lega, e di essere liberi come gli uccelli del bosco; è inutile che me lo vogliate nascondere, io vi leggo in cuore come in un libro aperto, e preferisco la dura verità ad una pietosa menzogna.","NO"
"Tedeschi_Treves_Virginia-Nel_regno_delle_chimere-1898","Tedeschi Treves Virginia","Nel regno delle chimere","1898","Essi chinarono il capo arrossendo, ed egli continuò: — Non c’è bisogno di vergognarsi e d’arrossire, i giovani sono impazienti e presuntuosi; alla vostra età, tutti la pensano come voi, salvo a pentirsene amaramente quando abbandonati a sè stessi si commettono errori irreparabili. In ogni modo io sono deciso di appagare il vostro desiderio e di lasciarvi liberi. Rammentatevi però che quando sarò partito, potrete gridare, e chiamarmi con tutte le forze, ma non mi vedrete più per molti anni.","NO"
"Tedeschi_Treves_Virginia-Nel_regno_delle_chimere-1898","Tedeschi Treves Virginia","Nel regno delle chimere","1898","Alla vostra età avevo anch’io delle aspirazioni, che, per cagion vostra non potei soddisfare, ma sono ancora giovane e forte per farlo ora che siete giunti ad un’età da potervi dirigere senza di me. Il podere che a furia di lavoro e di economia sono andato ampliando e migliorando, è diviso, come potete esservene accorti, in tre parti uguali, con tre case, una per ognuno di voi, che potrete abitare ed adornare secondo il vostro gusto. Se avrete amore alle vostre terre, e le coltiverete con intelligenza, potrete vivere agiatamente; se rammenterete i miei consigli, potrete procurarvi la pace e la tranquillità; e se dimenticherete i miei avvertimenti sarà peggio per voi.","NO"
"Tedeschi_Treves_Virginia-Nel_regno_delle_chimere-1898","Tedeschi Treves Virginia","Nel regno delle chimere","1898","Io me n’andrò lontano a girare il mondo per vedere se trovo un popolo felice, ed un uomo veramente sincero. Quando mi sentirò vecchio e stanco ritornerò da queste parti, e spero che almeno uno di voi sarà in grado d’accogliermi nella sua casa, perch’io possa finire in pace i miei ultimi giorni. I giovani erano commossi, e lo assicurarono che al ritorno sarebbe accolto con festa da tutti loro, e che intanto approfitterebbero dei di lui saggi insegnamenti.","NO"
"Tedeschi_Treves_Virginia-Nel_regno_delle_chimere-1898","Tedeschi Treves Virginia","Nel regno delle chimere","1898","— Spero che così avverrà! – rispose Eraldo, – ma il tempo cancella anche i migliori propositi, e non è che nei cuori di diamante che rimane scolpita eternamente la memoria di chi ha guidato i nostri primi passi sul sentiero della vita. Dopo aver abbracciato e benedetto i figliuoli, egli prese un gruzzolo di denari che aveva messo da parte, salì sul suo cavallo, e s’avviò lontano sulla strada maestra, finchè scomparve ai loro sguardi.","NO"
"Tedeschi_Treves_Virginia-Nel_regno_delle_chimere-1898","Tedeschi Treves Virginia","Nel regno delle chimere","1898","Essi, contenti come uccelletti usciti appena dal nido, andarono tosto a prender possesso delle loro case; le trovarono perfettamente in ordine, semplici e pulite, e nulla mancarvi di ciò che è necessario ad una modesta esistenza. Presso ad ogni casa, c’era una stalla con un bue, una mucca, un maiale ed un cavallo; alcune capre e pecore pascolavano sul prato: sull’aia una quantità di polli razzolava saltellante; il granaio era pieno di viveri, la cantina, di vino; ed essi, contenti d’essere padroni assoluti di tutta quella grazia di Dio, dettero sfogo in mille modi alla loro allegrezza, ed i sogni, tenuti compressi dalla presenza del padre, ricominciarono a danzare nel loro cervello, tanto che in quei primi momenti sembravano pazzi. FIORENZO.","NO"
"Tedeschi_Treves_Virginia-Nel_regno_delle_chimere-1898","Tedeschi Treves Virginia","Nel regno delle chimere","1898","Fiorenzo era un bel giovane, dalle forme scultorie, dai lineamenti del volto regolari e gli occhi grandi ed espressivi. Fin da bambino egli s’era sentito sorgere nell’anima un vero culto per la bellezza, e sua aspirazione costante fu di circondarsi delle cose più belle che esistevano sulla terra. Il suo era un sogno, che non sapeva come avrebbe potuto realizzare, ma quel giorno in cui si trovò assoluto padrone di sé, incominciò a pensare a cose impossibili ed inverosimili, lasciando libero campo alla sua fantasia fervida e sfrenata; tanto che stanco e spossato, si sdraiò all’ombra d’una pianta e s’addormentò.","NO"
"Tedeschi_Treves_Virginia-Nel_regno_delle_chimere-1898","Tedeschi Treves Virginia","Nel regno delle chimere","1898","Ad un certo punto gli parve d’esser trasportato in alto in alto, come se avesse le ali; finchè si trovò innanzi ad un globo di fuoco che gli abbagliò la vista: fece uno sforzo per vedere il luogo dove si trovava, ma non potendo sopportare quella luce intensa, dovette chiudere gli occhi; non però così velocemente da non accorgersi che una bella fanciulla gli era vicina e gli serviva da guida. — Dove sono? – le chiese meravigliato.","NO"
