"filename","nome","titolo","anno","chunk","DIL"
"Tenca_Carlo-La_Ca_dei_cani-1840","Tenca Carlo","La Ca dei cani","1840",""".... Et sconjuriamo ogni uno che si faciessero a leggere questa historia di ajutare credentia alle nostre parole, et di honorarla di cortese indulgentia. Con che poniam fine nel nome del Signore."" Le quali parole che chiudono la cronaca del canattiere di Bernabò, noi abbiamo stimato opportuno mettere in cima al nostro libro, quasi a perorare la nostra causa presso i lettori, e chieder loro quella credenza e benignità che il buon cronista domandava a' suoi.","NO"
"Tenca_Carlo-La_Ca_dei_cani-1840","Tenca Carlo","La Ca dei cani","1840","E invero non è senza un segreto sgomento che osiamo per la prima volta srugginire e mondar dalla polvere una vecchia pergamena, in questi tempi in cui tanti illustri ci precedettero sul difficile cammino e si accaparrarono intera l'attenzione del pubblico. Se il pensiero di esser puntello al pericolante edifizio delle lettere e di recare singolar giovamento alla società non ci avesse sospinto all'arrischiata impresa, forse noi avremmo lasciato dormire quel prezioso manoscritto fino al dopo pranzo del dì del giudizio, a gran tripudio dei topi e delle tignuole. Ma la santità della nostra missione la vinse sul natural timore: il bisogno dei tempi è troppo altamente annunziato dal succedersi degli almanacchi e delle strenne, il Cicca berlicca, l'Ara bell'ara, il Minin minell, il Cicciorlanda e tali altri riputatissimi libri dovevano avere un confratello.","NO"
"Tenca_Carlo-La_Ca_dei_cani-1840","Tenca Carlo","La Ca dei cani","1840","Ed ecco che la nostra buona ventura ci condusse a scoprire fra le carte d'un pescivendolo la cronaca del canattiere di Bernabò, la quale se non elevasi alla sublimità di quei primi modelli, non è priva di certa importanza ed ha in se tutti gli elementi che richiedonsi a fare un racconto storico. In essa trovammo le violenze, le prigioni, i rapimenti, le carnificine, le stregherie, le morti, e tutto ciò col condimento d'un po' d'amore e di qualche scena burlesca: solo mancavano i tornei e le feste, e di questo difetto, più dei tempi che nostro, domandiamo generoso perdono ai lettori. Ben è vero che abbiam posto a tortura il nostro cervello, e abbiamo sudato le intere settimane per trovar modo a tirarvi pe' capegli almeno un pajo di tali episodii, non tanto per seguitare il costume, quanto per rimpinzare con essi il racconto senza molto studio nè fatica; ma questo non ci venne mai fatto stante la gramezza dei tempi che tornei e feste non comportava.","NO"
"Tenca_Carlo-La_Ca_dei_cani-1840","Tenca Carlo","La Ca dei cani","1840","Invece, perchè gli episodii sono pur necessarii, anzi costituiscono la parte principale di un racconto storico, vi abbiamo introdotto la esecuzione di cento cittadini impiccati sulla pubblica piazza, quella di due frati abbruciati vivi, l'apparizione d'una cometa, tutte descrizioni che valgono per quelle di cento tornei e che hanno il pregio di sviare più che mai la mente del lettore dal fatto principale. Per questo lato il nostro racconto non è privo di una certa importanza e può stare non ultimo fra molti romanzi storici contemporanei. Oltre di che l'erudizione vi è sparsa a piene mani essendoci stato d'ajuto in ciò il nostro cronista, il quale pare che sia andato razzolando tutte le memorie de' suoi tempi e ne abbia fatto tesoro nella sua storia.","NO"
"Tenca_Carlo-La_Ca_dei_cani-1840","Tenca Carlo","La Ca dei cani","1840","Anzi fu sì grande questa sua smania di narrare fatti, che raccolse in una sola epoca avvenimenti di cinque o sei anni: il che noi abbiamo fedelmente osservato non solo per una cotal venerazione alle cronache, ma confortati in ciò dall'esempio di alcuni scrittori pei quali anacronismo è parola vota di senso. Rispetto allo stile e alla lingua, che tengono oggidì primato d'importanza in un racconto qualsisia, ci siamo sforzati di stare più strettamente che per noi si potesse vicino alla verità. La qual verità noi riputammo consistere nel far parlare ciascheduno secondo la sua condizione e tutti secondo i tempi.","NO"
"Tenca_Carlo-La_Ca_dei_cani-1840","Tenca Carlo","La Ca dei cani","1840","Ond'è che al signore o al principe abbiamo posto in bocca un linguaggio fiorito e sentenzioso adorno di frasi studiate e peregrine, e al popolo un parlar basso e ruffianesco misto di solecismi e di arzigogoli d'ogni fatta. Anche in ciò i nostri lettori troveranno quella varietà e diremmo quasi screziatura che tanto piace nella comune dei romanzi. Pel colorito locale e contemporaneo poi ci fu modello la cronaca medesima, alla cui narrazione semplice e concisa attingemmo la maggior parte dei modi di dire, non in guisa però da non poter giurare di aver creato lo stile.","NO"
"Tenca_Carlo-La_Ca_dei_cani-1840","Tenca Carlo","La Ca dei cani","1840","Inoltre, per accrescere curiosità ai lettori e per dare certa vaghezza al libro, abbiamo avuto cura d'interrompere qua e là il racconto e di saltare da un fatto all'altro, lasciando lacune che la mente dei lettori non riempirà mai. A questo uopo abbiamo religiosamente abbruciato alcuni fogli della nostra cronaca, per poter asserire con fondamento ch'essa è difettosa in alcune parti, e proprio là dove il racconto ha maggior bisogno di essere rischiarato. Tali lacune saranno abbellite da una falange di puntini, i quali oltre al far vaga mostra all'occhio, hanno il pregio di non istancare la pazienza dei lettori.","NO"
"Tenca_Carlo-La_Ca_dei_cani-1840","Tenca Carlo","La Ca dei cani","1840","Ben è vero che ove quelle lacune fossero veramente esistite, sarebbe stato facile supplirvi colla nostra imaginazione e compire la narrazione; ma poichè nessun romanziero, per quanto sappiamo, ha mai fatto ciò, noi pure ci siamo trattenuti dal farlo. I lettori poi sono pregati di credere che quelle pagine perdute contenevano le più belle e mirabili cose del mondo, al cui confronto sono uno zero quelle narrate nel restante del libro. Il racconto abbiamo diviso in capitoli, e a ciascun capitolo abbiam posto in cima un motto od epigrafe per vieppiù invogliare i lettori a scorrerne le pagine.","NO"
"Tenca_Carlo-La_Ca_dei_cani-1840","Tenca Carlo","La Ca dei cani","1840","Queste epigrafi poi le abbiamo rubacchiate qua e là dovunque ci capitavano sott'occhio senza badar molto se si acconciavano o no alla narrazione; e quando non ne trovammo, le abbiamo fabbricate a bella posta spacciandole per brani di canzoni inedite o di poemi manoscritti che non esistettero mai. Il qual segreto insegnatoci già da un nostro confratello, abbiam trovato comodissimo e pieno di utilità. Solamente non volemmo dare alcun titolo ai capitoli, e ciò per un capriccio, che preghiamo i lettori di perdonarci.","NO"
"Tenca_Carlo-La_Ca_dei_cani-1840","Tenca Carlo","La Ca dei cani","1840","Quelli tra essi che non potessero far senza di questa oziosa nomenclatura, piglino l'ultimo romanzo da essi letto e ne applichino i titoli al nostro racconto, che vi si adatteranno a meraviglia. Perchè alla fine son sempre le medesime scene che si riproducono in tutti i romanzi, e i capitoli di ciascheduno hanno tanta analogia tra loro come le messe d'una chiesa rassomigliano a quelle d'un altra. Ora ci rimarrebbe a dire del lusso dell'edizione, degl'intagli, e di tutte le vaghezze tipografiche.","NO"
