"filename","nome","titolo","anno","chunk","DIL"
"Thouar_Pietro-Le_tessitore-1844","Thouar Pietro","Le tessitore","1844","AVVERTENZA In questo Racconto, nel quale interloquiscono alcuni Artigiani Fiorentini e che ad essi è dedicato, l'Autore doveva studiarsi d' imitare il loro linguaggio. Ma se mai il libro meritasse d' aver lettori anche fuor di Firenze e in qualche altra parte d'Italia, non tutti potrebbero subito intendere il significato di certe parole e di certi modi d'esprimersi particolari al paese dove è stato scritto; e perciò è parso conveniente di porre in nota alcune semplici spiegazioni e indicare con accenti la pronunzia dei termini men comuni nei libri. LA SGOMBERATURA.","NO"
"Thouar_Pietro-Le_tessitore-1844","Thouar Pietro","Le tessitore","1844","Ai primi di Novembre del 18.., la casa di maestro Cecco muratore in via dell'Ariento era tutta sotto-sopra. La mobilia, parte nella strada e parte nel baroccio, doveva andare a un secondo piano delle case-nuove sul Prato. Maestro Cecco, assistito da Michele e dall'Anna suoi figlioli, sgomberava la sua roba per dar luogo a' nuovi pigionali venuti anch'essi col loro carico.","NO"
"Thouar_Pietro-Le_tessitore-1844","Thouar Pietro","Le tessitore","1844","Il medesimo baratto di famiglie e di masserizie accadeva in molti luoghi del vicinato, come anche in tutta la città, sicchè figuratevi che via-vai, che tramenio, che casa del diavolo ! I pigionali vecchi imbarazzati nello scendere dai pigionali nuovi solleciti di salire; i carretti o i barocci stracarichi di seggiole, d'arcolai (1), di trabiccoli (2), inalberati alle gambe dei tavolini, si rintoppavano nei punti (1) Arnese per dipanar le matasse. (2) Scaldaletti.","NO"
"Thouar_Pietro-Le_tessitore-1844","Thouar Pietro","Le tessitore","1844","più stretti delle stradúcole: là una contesa tra li sgomberatori; qui un tafferuglio tra il padron di casa e il pigionale minacciato del sequestro o del gravamento, e sfrattato per insolvente, ma che non vorrebbe andarsene perchè non sa dove; qua un rammarichio di donne per qualche attrezzo smarrito e barattato o per qualche mobile fracassato; e per tutto il polverone che acceca e la spazzatura tra'piedi: peggio che peggio se il cattivo tempo sopraggiunge ad accrescere lo sciupio della roba, la fretta, il parapiglia, la confusione ! Ah sì, una sgomberatura è sempre un tracollo! E chi volesse meglio conoscere le più riposte miserie dei poveri, dovrebbe introdursi appunto allora ne' fondacci (1) de' Camaldoli (2), dov'e'si rannicchiano', perchè i vasti palazzi, i conventi sterminati, le case de' ricchi o nuove o ampliate e gli stabili rimpasticciati (3) alla moderna dagli speculatori, occupano le parti più centrali, più pulite, più ariose della città, e sempre più rammontano e ricacciano la così detta marmaglia e il cianùme (4) crescente nei luoghi bassi, infetti e ottusi.","YES"
"Thouar_Pietro-Le_tessitore-1844","Thouar Pietro","Le tessitore","1844","Costi vedrebbe tra le altre quanto sia grande la tribolazione di non (1) Strade delle più lontane dal centro della città. (2) Quartieri dei poveri, dove le donne per lo più esercitano l'arte della seta. Forse ebbero questo nome da una chiesa dei padri Camaldolensi.","NO"
"Thouar_Pietro-Le_tessitore-1844","Thouar Pietro","Le tessitore","1844","(3) Racconciati malamente. (4) L'infima plebe; le ciane. aver sotto i piedi quattro mattoni di suo in tutta l'immensità della terra, troppo angusta per alcuni e troppo spaziosa per altri; costi scorgerebbe più chiaramente che dalle suppellettili innumerevoli e sontuose venute di fuori via, dai rococo e dai ninnoli comprati a peso d'oro, dalle voluttà della mollezza ostentate nei palazzi, passa una differenza troppo grande ai tréspoli (1) scarsi e fiaccati, ai cocci fessi, ai cenci luridi nelle soffitte afose o nei terreni umidi, buj, insalubri della povera gente.","NO"
"Thouar_Pietro-Le_tessitore-1844","Thouar Pietro","Le tessitore","1844","Il signore a cassetta d'una bella carrozza attraversa a caso un crocicchio di Camaldoli, incontra un uomo che trascina lentamente in bilico sul baroccio tutti gli averi d'una povera famigliola; quella lentezza lo infastidisce, gli amici lo aspettano a un banchetto, ed ei percote con la frusta le nude spalle del pover uomo perchè si levi subito di mezzo; e tira via con l'aria minacciosa del Tribbia (2) maledicendo l'importuno inciampo.... Ma se per disgrazia una seggiola fosse capitombolata fra le zampe dei focosi cavalli, e li avesse fatti infuriare e scatenare a fuga precipitosa...? Oh, non pensiamo a disgrazie!","YES"
"Thouar_Pietro-Le_tessitore-1844","Thouar Pietro","Le tessitore","1844","Io mi ricordo che in mezzo al diascolio delle sgomberature camaldolesi, tra il lezzùme d'una gente vilipesa e calunniata perchè vive senza (1) Mobili ordinari e mezzo guasti, per lo più a tre piedi. (2) Personaggio immaginario, come a dire un Rodomonte: dal verbo tribbiare. sua colpa nell' ignoranza e nella rozzezza, hơ pur visto molte povere creature dar prove d'affetti gentili e fare azioni caritatevoli e generose.","NO"
"Thouar_Pietro-Le_tessitore-1844","Thouar Pietro","Le tessitore","1844","Quella famiglia che va via dice addio con segni di commovente afflizione alle altre che rimangono, come se le non s'avessero più a rivedere; e da una parte hanno ragione perchè il povero non può spendere il tempo nelle visite; e se un giorno ebbero che dire su qualche cosa, in quell'espansione di core fanno monte (1) di tutto, e se ne scordan per sempre; i nuovi pigionali che nell'arruffio del mutar casa son mezzi persi, trovano pronti i vicini a far loro tutti i servizi che in tali occorrenze sono tanto opportuni; v'è chi li chiama a cena con sè e li fa dormire nel proprio letto, e non gli avrà mai conosciuti... Ma, o che non siamo noi tutti fratelli? e non hanno essi un distintivo per esser riconosciuti e amati addirittura, la povertà?","NO"
"Thouar_Pietro-Le_tessitore-1844","Thouar Pietro","Le tessitore","1844","Che se tra loro vi fosse un vecchio decrepito, un malato, una donna sopra-parto, allora sì che le attenzioni crescono, e sono carità fiorite, carità benedette! Quelli non trovano un ricovero perchè non hanno da pagarlo quanto l'avidità del padron di casa vorrebbe.... Dunque, l'albergo della stella (2) nelle notti di novembre?...","YES"
