"filename","nome","titolo","anno","chunk","DIL"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","IL BIANCO-NERO 0 LA CIVILTÀ E LA BARBARIE Origine' di questo racconto Io leggeva nel Droit, trovandomi a Parigi, le seguenti curiose e strane parole : « Ho conosciuto a Chicago, braccio del lago Michigan negli Stati uniti di America, un ricco avventuriero, che, dopo lunga assenza dal paese nativo, vi era ritornato con una splendida fortuna. « Ecco il modo originale, onde, da vero yankee, si servi per acquistarla.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Essendo marinaro a bordo di un bastimento americano dato al traffico nelle Indie Orientali, discese un giorno a terra a Giava, ed essendosi annerito il volto e le mani con lucido da scarpe, trasformato completamente in negro, si vendè per 400 dollari a un piantatore olandese. I suoi crespi capelli e il naso un cotal poco schiacciato contribuirono all'effetto della metamorfosi. « Il domani, ridivenuto bianco, fuggiva dalla piantagione, e siccome il suo bastimento faceva vela, andò in un altro porto a rinnovare il suo gioco.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","In questo modo, nuovo Proteo, mutò otto o dieci volte di colore. « Incoraggiato dal successo, fece un ultimo colpo da maestro, che gli valse una somma prodigiosa. D'accordo con quindici uomini di equipaggio del suo bastimento, mise loro indosso vecchi cenci, li anneri da capo a piedi con lucido da scarpe, e fece a suon di tromba annunziare in un'isola olandese di aver da vendere la sera stessa un carico di schiavi venuti dal Kongo.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Era tuttavia il tempo della tratta dei negri. « Vendutili tutti, gliene fu sborsato il prezzo in denaro sonante. « Il compratore, soddisfattissimo del contratto, menò via la merce, e si addormentò alla sera contento come una pasqua.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Ma la notte, la sua mercanzia alzò i tacchi. Un canotto l'attendeva alla riva, e il brick mise alla vela senza aspettare che si svegliasse il padrone di quegli schiavi immaginarii. « Così divenne possessore di una discreta fortuna, ch' egli seppe poi far prosperare in modo prodigioso sino a divenire milionario.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Ora, ricchissimo, vive a Boston d'Inghilterra ». Passando a Londra, io raccontava questo fatto in conversazione. Colà mi fu detto: Questo individuo sta veramente a Boston: esso non fa un mistero nè della sua vita, nè dei suoi fatti.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Voi lo potete conoscere, se volete - Lo desidero ardentemente, risposi io- Allora, non avendo scopo prefisso, mi condussi a Boston; ivi m'insegnarono la sua abitazione - Io gli fui presentato - Egli si chiama, John Barne. Lo trovai seduto sovra un seggiolone di noce, afflitto dalla podagra, sintomo quasi che infallibile dei ricchi, come è sintomo di un facile marito nel vederlo sotto il braccio sempre di un fido amico, che per lo più gli è cugino o nipote. Egli era ancora un bell' uomo, vegeto e robusto.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Io, salutandolo, gli dissi : - Ho io l'onore di parlare col sig. John Barne ? Il signor John, dopo le prime parole d'introduzione e conoscenza, mi disse sorridendo : Io ò avuto più nomi, come o rappresentato più razze nei miei lunghi e diversi viaggi E siccome la mia non fu un'industria diversa dalle altre, così non ne fo mistero.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Nelle isole inglesi mi son chiamato John Barne, e colà la mia firma vale quanto quella di ogni primario negoziante. Vuol dire, gli risposi io, che voi non cangiaste di firma come di colore? Ah!","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","no, caro mio - La firma è una cambiale, e misero colui che manca di estinguerla alla sua scadenza!-- Fra i Mongoli io mi chiamai Ostiaks. Fra i Tartari Kirguis. Fra gli Etiopi, Ouriaga.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Nella Nuova Olanda, Qui-rè Kine. Nel Caucaso, Turcoman. Fra i Cosacchi, Livonie - Fra i Lapponi, Pongol.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Fra i Calmucchi, Katschinzes Ma veramente, come vi chiamate voi, e di qual paese siete voi veramente? Io sono, mi rispose sorridendo, lasciando di parlare l'inglese, e parlando un perfetto italiano, io sono Veneziano, propriamente di Venezia. 3 Non poteva essere che un Italiano ricco di tanta immaginazione!","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","E vi chiamate? Antonelli. Misericordia !...","YES"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Antonelli? Parente al Cardinale? - Niente affatto -- Io era un semplice fabbro ferrajo, e poi divenni marinajo dell'Atlant, che faceva il traffico delle Indie Orientali.","YES"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Non è che l'Antonelli discenda da sangue più puro del mio, perchè si dice venisse da parenti che battevano la campagna. Se non altro io nasceva da padre e madre onesti, che Dio non à voluto che io consolassi nella loro misera vecchiaja. Quando io era povero, essi vivevano: quando fui ricco, morirono!","YES"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Ho loro fatto erigere una magnifica tomba di marmo di Carrara. Al solito: poveri in vita, ricchi dopo morti. E foste mai ammogliato nei diversi paesi del mondo ?","YES"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Lo fui sempre, mio caro. - Nei paesi della schiavitù le mogli sono una merce: se ne comprano quante se ne vogliono. -Quanto gradirei conoscere da voi la storia di quella misera umanità.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Umanità, dite voi? Nei luoghi della schiavitù questa parola è sconosciuta, come tra noi non si addice alle mandrie di pecore e giumenti. Fra queste vi sono nul l'altro che razze e specie peggiori o migliori; e cosi fra gli schiavi, non vi sono che articoli buoni, mediocri, o cattivi.","YES"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Ma prima di andare innanzi: Chi siete, Signore? Che professione fate? - Io sono giornalista di Napoli - E capirete bene che il vostro racconto non andrà perduto.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Ne godo, e desidero anzi che sia pubblico, massime in Italia, dove sono le mie più care memorie - Riprendendo il racconto vi dirò che i migliori schiavi anno questi distintivi---Non molta intelligenza, e molta brutalità. Ciò si rileva dal loro sguardo. Più è fisso e vitreo, meno lo schiavo è intelligente; più è mobile e destro, più lo schiavo intellige - Lo schiavo allegro, che nell'ozio balla, che si rotola per terra, che canta, che fa salti bestiali e scimiottici, è il migliore tra gli schiavi, perchè è felice e non à sospetto di libertà.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Quando noi portavamo una redina di schiavi nei nostri magazzini, o meglio nelle nostre stalle, ov'era preparato il cibo quelli che accorrevano a mangiarlo, erano certo i più sani e robusti. I malinconici, sono i peggiori – Nelle donne, la gran sete è un pessimo indizio. Perciò la notte noi lasciavamo secchi pieni d'acqua, e dal trovarne molta o poca, giudicavamo di loro costituzione, e quella che beveva molto, era da noi tosto rivenduta.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Nelle donne nate schiave, l'amore dei figli è feroce sino al compimento della lattazione. Dopo, si curano poco se prendete o lasciate i loro figli. Chi li ama molto, anche grandetti, non dà speranza di buona riuscita nella schiavitù.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Gli schiavi, se non si vendono, si affittano, come ogni mobilia o bestiame, e rendono assai per chi è stazionario in un luogo. I padroni degli schiavi sono i padroni dei loro figliuoli nascituri, ma essi non prediligono di avere schiave incinte, perchè si perde tempo, salute e lavoro nei misteri della gravidanza, del parto e della lattazione. Di fatti i piccoli schiavi al di sotto di dieci anni si vendono per nulla, o si regalano appresso alle madri.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","-Spaventevole descrizione! Avete ragione che ivi la voce umanità è parola vana! E quali schiavi preferivate nei vostri negozi?","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Noi bianchi dobbiamo dimenticare le nostre fattezze. Per lo più il nostro bello è il loro brutto. Un profilo greco sarebbe una mostruosità fra gli Etiopi, o gli Ottentoti.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Le spalle di un Cafro o di un uomo del Kongo sarebbero per la nostra Accademia di Belle Arti de'tronchi informi, anzichè dei torsi umani. Un Alcibiade verrebbe là per là rifiutato da una stupida Ottentota, preferendo mille volte più un orribile suo compagno brutto come una bitorzoluta radice di quercia. Ma voi, fabbro ferrajo e marinajo, come parlate si bene di ciò ?","YES"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","2 - A che non conduce l'amore del guadagno e del farsi ricco? A Giava trovai un missionario, che m' insegnò il leggere, lo scrivere, la storia, e più di tutto la geografia. Io gl'insegnai un po' l'arte mia, ch'egli diceva potergli essere molto utile tra'selvaggi.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Gli regalai una morsa, un martello ed una lima, e questi tre strumenti bastavano a far il mio mestiere. Poscia feci il resto da me leggendo sempre non appena avea un momento di ozio. Oh la felicità della istruzione!","YES"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Qual mondo mi si apri innanzi agli occhi! Ed allora, debbo dirlo? Divenni anche più umano.","YES"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Gl'ignoranti sono barbari, e i barbari crudeli. A norma che m'istruiva, il mio negozio mi incresceva più; e quando fui ricco abbastanza, tra le derisioni dei miei amici, io mi ritirai dal commercio della carne umana. - E di grazia, in tutti i vostri viaggi, quali vi parvero essere stati i primi uomini del mondo?","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Due, mio caro, e in tutto l'universo: Colombo e Galilei. Quelli si direbbero meglio divinità che uomini: quando penso che à anima tanto la creta di un Calmucco quanto l'argilla di un Galilei, debbo concludere che la catena degli esseri non si ferma al disotto del Calmucco nè al di sopra di Galilei. È per conseguenza naturale, che se è immortale l'anima di Galilei come quella del Calmucco, non so dove andremmo a parare per la quistione dell' immortalità dell' anima..... - Eh, mio caro signor John, lasciamo andare questo molto sdrucciolevole proposito.","YES"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Ritorniamo alla vostra storia che interessa tanto me, quanto molto dovrà un giorno interessare i miei lettori. - Ebbene, avete ragione - Al Cairo mi avvenne di comprare una donna che Dio solo poteva fare più bella. Essa era una Circassa.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Le tribù Circasse sono veramente indipendenti, ma pagano un forte tributo alla Russia. I Circassi, uomini e donne, sono i popoli più belli dell'universo, ma di quel bello come l'intendiamo noi, non come s'intende tra gli Africani. Onde è che delle donne peregrine si fa grande commercio per gli Harem orientali.","NO"
"Torelli_Vincenzo-La_civilta_e_la_barbarie_o_Il_bianco_nero-1865","Torelli Vincenzo","La civilta e la barbarie o Il bianco nero","1865","Si cedono, si vendono, si rubano, e fino i padri, le madri, i mariti, non resistono alle ricche offerte che loro si fanno da' mercanti di schiavi bianchi di questa natura. A gloria del vero, la Russia usa grandissima sorveglianza acció questo commercio non avvenga, ma son tanti i sotterfugi e le frodi, che un tal mercato dura sempre. La Circassa di cui vi parlo, era alta, ben formata; con carni del color della rosa; occhi cerulei; palpebre lunghissime; capellatura nera folta e lunga, che faceva capanna su tutto il corpo; piedini piccolissimi; gambe rotondite; corpo pieghevole, come quello di una silfide; viso ovale; sguardo languido ed affascinante.","NO"
