"filename","nome","titolo","anno","chunk","DIL"
"Torriani_Maria_Antonietta-Dopo_il_caffe-1880","Torriani Maria Antonietta","Dopo il caffe","1880","SONO le sette, o le sette e mezza di sera Il servitore, o la cameriera, o loro stesse, mie graziose lettrici, hanno sbarazzata la tavola dalle tazze, dalla cuccuma, ed anche dalla zuccheriera di cui si sono serviti quei profani del gusto, che mettono lo zuccaro nel caffè. S'è tolta la tovaglia bianca, e le si è sostituito un buon tappeto di grossa lana, a colori gai. << Che progetti hai per questa sera?","NO"
"Torriani_Maria_Antonietta-Dopo_il_caffe-1880","Torriani Maria Antonietta","Dopo il caffe","1880","Domanda il marito alla signora. « Vorrei andare in casa Ipsilonne, o in « Benissimo. T' accompagnerò fino alla casa Zetta.","NO"
"Torriani_Maria_Antonietta-Dopo_il_caffe-1880","Torriani Maria Antonietta","Dopo il caffe","1880","porta. « Grazie; sei molto gentile. Tu non sa lirai?","NO"
"Torriani_Maria_Antonietta-Dopo_il_caffe-1880","Torriani Maria Antonietta","Dopo il caffe","1880","« No, cara. Non posso; ho un impegno... « Il club? « Il club... gia.","NO"
"Torriani_Maria_Antonietta-Dopo_il_caffe-1880","Torriani Maria Antonietta","Dopo il caffe","1880","È un tasto antipatico alla signora. un momento di silenzio, piuttosto freddino. C'è Il marito che si sente il club sulla coscienza, è il primo a rompere il ghiaccio, e riprende: « A che ora vuoi andare?","YES"
"Torriani_Maria_Antonietta-Dopo_il_caffe-1880","Torriani Maria Antonietta","Dopo il caffe","1880","« Non ho ora. Quando uscirai tu. « Ebbene, quando avrò letto i giornali.","NO"
"Torriani_Maria_Antonietta-Dopo_il_caffe-1880","Torriani Maria Antonietta","Dopo il caffe","1880","Favorisci domandare se sono venuti. La signora dà una strappata al cordone del campanello, e dice alla persona di servizio che accorre, di scendere alla porta a vedere se ci sono i giornali. Quegli uggiosi visitatori non mancano mai coi loro lunghi discorsi politici.","YES"
"Torriani_Maria_Antonietta-Dopo_il_caffe-1880","Torriani Maria Antonietta","Dopo il caffe","1880","Sono d'un'esat tezza, d' un' assiduità... Che Dio li benedica... e ce ne scampi! Il marito apre l' Opinione o il Fanfulla o Il Diritto, La Perseveranza, o il Corriere della Sera, o Il Secolo, la Gazzetta di To rino o la Gazzetta Piemontese, a seconda del suo colore politico, e della città in cui vive. E, per un paio d'ore non è più di questo mondo.","YES"
"Torriani_Maria_Antonietta-Dopo_il_caffe-1880","Torriani Maria Antonietta","Dopo il caffe","1880","Non vede che Parlamento, Senato, Ministero, atti ufficiali, bilanci, questioni d'Oriente, d' Occidente, di tutti i punti cardinali... non esclusi quelli del Vaticano. Guai se la moglie osa rivolgergli la parola; Guai o se i figliuoli fanno un po' di chiasso! al mondo!","YES"
"Torriani_Maria_Antonietta-Dopo_il_caffe-1880","Torriani Maria Antonietta","Dopo il caffe","1880","Dopo il caffè tutte le famiglie debbono raccogliersi in un religioso silenzio, dinanzi al kilo ed alle gravi preoccupazioni del capo di casa, che pondera nella sua alta saviezza i destini dei popoli. Mie signore. Coi giornali d'oggi il portinaio ha mandato su anche i miei raccontini.","YES"
"Torriani_Maria_Antonietta-Dopo_il_caffe-1880","Torriani Maria Antonietta","Dopo il caffe","1880","Li ho scritti per loro. Sono storiette semplici; sono le idee ed i sentimenti che, poco su poco giù, si scontrano ad ogni uscio; la vita di tutti i giorni. Sono cosuccie che possono leggere anche le loro figliole.... Via, non gettino il libro, non si sgomentino.","YES"
