"filename","nome","titolo","anno","chunk","DIL"
"Torriani_Maria_Antonietta-Un_matrimonio_in_provincia-1885","Torriani Maria Antonietta","Un matrimonio in provincia","1885","﻿Marchesa Colombi UN MATRIMONIO IN PROVINCIA È difficile immaginare una gioventú piú monotona, piú squallida, piú destituita d'ogni gioia della mia.","NO"
"Torriani_Maria_Antonietta-Un_matrimonio_in_provincia-1885","Torriani Maria Antonietta","Un matrimonio in provincia","1885","Ripensandoci, dopo tanti e tanti anni, risento ancora l'immensa uggia di quella calma morta che durava, durava inalterabile, tutto il lungo periodo di tempo, da cui erano separati i pochissimi avvenimenti della nostra famiglia. Non conobbi mia madre, che morí nel primo anno della mia vita. La famiglia si componeva del babbo, notaio Pietro Dellara; d'una vecchia zia di lui, una zitellona piccola, secca come un'aringa, che dormiva in cucina dove aveva messo un paravento per nascondere il letto, e passava la vita al buio dietro quel paravento; di mia sorella maggiore Caterina, che si chiamava Titina; e di me, che avevo ereditato dal mio compare il nome infelice di Gaudenzia, ridotto, per uso di famiglia, al diminuitivo ridicolo di Denza.","YES"
"Torriani_Maria_Antonietta-Un_matrimonio_in_provincia-1885","Torriani Maria Antonietta","Un matrimonio in provincia","1885","Avevamo una casa... Dio che casa! Un'anticamera, di grandezza naturale, ma chiara che abbagliava, e perfettamente vuota. Non c'era dove posare un cappello.","YES"
"Torriani_Maria_Antonietta-Un_matrimonio_in_provincia-1885","Torriani Maria Antonietta","Un matrimonio in provincia","1885","Alcuni testi con un resto di terra arsiccia e dei mozziconi di piante, morte di siccità, perché nessuno si era mai curato di inaffiarle, la ingombravano qua e là, e servivano, quando occorreva, a tener aperto l'uscio che metteva in sala. La sala vasta, quadrata, chiara, troppo chiara, perché non c'erano né tende, né cortine, né trasparenti alle finestre, era mobigliata con un divano addossato alla parete principale di contro alle finestre, quattro poltrone due a destra e due a sinistra del divano, appoggiate al muro, ed otto sedie lungo le pareti laterali, quattro per parte. Nel centro della sala c'era una tavola rotonda, coperta con un tappeto di lana; e sul rosone di mezzo del tappeto, c'era una scatola da guanti col coperchio di vetro, traverso il quale si vedeva un paio di guanti bianchi un po' sciupatini.","NO"
"Torriani_Maria_Antonietta-Un_matrimonio_in_provincia-1885","Torriani Maria Antonietta","Un matrimonio in provincia","1885","La scatola era un dono nuziale del babbo alla sua sposa, ed i guanti erano quelli che la mia povera mamma aveva portati il giorno delle nozze. Intorno alla scatola erano schierati sulla tavola: due cerchi da tovaglioli ricamati sul canovaccio, colla scritta «buon appetito»; un portasigari di velluto rosso, con una viola del pensiero ricamata in seta; una busta di pelle scura, imbottita di raso turchino, che stava sempre aperta per lasciar vedere una ciotola ed un piattino d'argento, dono del mio compare Gaudenzio alla mia mamma, in occasione della mia nascita. Nessuna di quelle cose aveva mai servito all'uso a cui era destinata, perché il babbo le trovava troppo di lusso e per conseguenza la teneva in sala, la stanza di lusso della casa.","NO"
"Torriani_Maria_Antonietta-Un_matrimonio_in_provincia-1885","Torriani Maria Antonietta","Un matrimonio in provincia","1885","Dopo la sala veniva la camera del babbo con un gran letto nuziale, che la riempiva tutta. A capo del letto c'erano due pilette d'acqua santa d'argento cesellato, che il tempo aveva ossidate rendendole piú belle, due altre pilette di porcellana, in forma di angeli, colla gonnellina rialzata che faceva da coppa, e finalmente una quinta piletta di rame inargentato, che però aveva perduto l'argento, era la sola che contenesse veramente l'acqua santa. E sopra le pilette erano appesi molti rami d'ulivo, e palmizi, ed un fascio di lumen-cristi, dai quali si sarebbero potuti contare gli anni dacché il babbo aveva messo casa, cominciando dai primi, rappresentati da candelette sminuzzate, tenute insieme soltanto dall'anima di bambagia, sulla quale quei vecchi pezzetti di cera annerita, ciondolavano come una filza di salsiccie, e passando via via, d'anno in anno, pei lumen‑cristi scrostati, sgretolati, contorti, poi per quelli intieri ma gradatamente sudici, che, dal color castano, venivano giú giú per tutte le sfumature del giallo, fino a quello dell'ultimo anno, intatto, quasi bianco, coi fiorellini rossi e verdi dipinti, che erano una bellezza.","NO"
"Torriani_Maria_Antonietta-Un_matrimonio_in_provincia-1885","Torriani Maria Antonietta","Un matrimonio in provincia","1885","A destra del letto c'era uno scrigno, dove il babbo teneva gelosamente rinchiusi i denari e quelle che chiamava «le reliquie di famiglia»: i ritratti al dagherrotipo di lui e della mamma quand'erano sposi, quasi completamente svaniti; la cuffiettina che aveva servito pel nostro battesimo; una quantità di fogli ingialliti, che contenevano le poesie giovanili del babbo, e finalmente i gioielli della mamma. Dall'altra parte del gran lettone, c'erano otto seggiole a spalliera alta, ma punto antiche né belle, vecchie soltanto, e schierate in fila come tanti soldati. E se per caso una si staccava un dito dal muro, o rimaneva voltata anche solo d'una linea verso la sua vicina, il babbo correva a metterla a posto e non era contento se non s'era assicurato, chinandosi e prendendo la mira come se dovesse sparare, che gli otto sedili formavano una linea retta inappuntabile.","NO"
"Torriani_Maria_Antonietta-Un_matrimonio_in_provincia-1885","Torriani Maria Antonietta","Un matrimonio in provincia","1885","Dopo la camera del babbo, c'era una vasta cucina, dove la zia s'era tagliata fuori la camera da letto col paravento; il che non impediva che ci stessero a tutto agio una tavola ordinaria per usi di cucina, ed una tavola di noce piú grande, dove si pranzava. Dietro la cucina c'era una stanzona larga, bassa di soffitto, colle pareti imbiancate a calce, dove si dormiva la Titina ed io. I nostri letti erano di quelli primitivi, fatti di cavalletti e panchette, con un saccone di cartocci ed una materassa.","NO"
"Torriani_Maria_Antonietta-Un_matrimonio_in_provincia-1885","Torriani Maria Antonietta","Un matrimonio in provincia","1885","Ed a capo del letto avevamo anche noi la piletta dell'acqua santa, ma di terra verniciata come i tegami da cucina, delle immagini sacre che, per risparmiare la cornice, erano state appiccicate al muro colla pasta, ed un rosario di avellane con una noce per ogni paternostro, che ci aveva fatto commettere col desiderio chissà quanti peccati di gola, ed aveva dovuta la sua salvezza, nei primi anni al suo carattere sacro, e piú tardi al suo gran puzzo di rancido. Non c'era un giardino, né un cortile, né un balcone per uscire a respirare all'aperto. Ma, in compenso, il nostro babbo aveva la passione, la fede, la manía del moto.","NO"
"Torriani_Maria_Antonietta-Un_matrimonio_in_provincia-1885","Torriani Maria Antonietta","Un matrimonio in provincia","1885","Per tutte le malattie, per tutti i guai della vita ammetteva due soli rimedi, ma erano infallibili: una lampada alla madonna, ed il moto. Li usava anche come preservativi, come semplici misure igieniche; perché noi non s'avevano in casa né malattie, né guai; eppure la lampada s'andava a farla accendere ogni venerdí, e, quanto al moto, se ci penso mi dolgono ancora le piante dei piedi. Dio!","YES"
