"filename","nome","titolo","anno","chunk","DIL"
"Tozzi_Federigo-Bestie-1917","Tozzi Federigo","Bestie","1917","Bestie Che punto sarebbe quello dove s'è fermato l'azzurro? Lo sanno le allodole che prima vi si spaziano e poi vengono a buttarsi come pazze vicino a me?","YES"
"Tozzi_Federigo-Bestie-1917","Tozzi Federigo","Bestie","1917","Una mi ha proprio rasentato gli occhi, come se avesse avuto piacere d'impaurirsi così, fuggendo. Che chiarità tranquille per queste campagne, che si mettono stese per stare più comode! Che silenzii là dall'orizzonte e dentro di me!","YES"
"Tozzi_Federigo-Bestie-1917","Tozzi Federigo","Bestie","1917","La strada per tornare a Siena è là. Vado. Le case si facciano un poco a dietro, e quel mendicante non mi cada addosso.","YES"
"Tozzi_Federigo-Bestie-1917","Tozzi Federigo","Bestie","1917","Almeno l'altro è seduto per terra! Dio mio, tutte queste case! Più in là, più in là!","YES"
"Tozzi_Federigo-Bestie-1917","Tozzi Federigo","Bestie","1917","Arriverò dove trovare un poco di dolcezza! Dio mio, queste case mi si butteranno addosso! Ma un'allodola è rimasta chiusa dentro l'anima, e la sento svolazzare per escire.","YES"
"Tozzi_Federigo-Bestie-1917","Tozzi Federigo","Bestie","1917","E la sento cantare. Verso il settentrione; dov'è di notte l'orsa, dove la luna non va mai! Ora, se anche io t'amo così, o allodoluccia, vuol dire che tu puoi restare dentro la mia anima quanto tu voglia; e che vi troverai tanta libertà quanta non ne hai vista dentro l'azzurro.","NO"
"Tozzi_Federigo-Bestie-1917","Tozzi Federigo","Bestie","1917","E tu, certo, non te ne andrai mai più. Non fai né meno ombra! Esciamo dalle strette delle case e dei tetti.","YES"
"Tozzi_Federigo-Bestie-1917","Tozzi Federigo","Bestie","1917","La città si chiude sempre di più; le case sono sempre più vuote; e non vi troveremmo niente per noi. Lasciamola qui, questa gente che metterebbe me al manicomio e te dentro una gabbia! Sono le tue ali che tremano oppure è il mio cuore?","YES"
"Tozzi_Federigo-Bestie-1917","Tozzi Federigo","Bestie","1917","Credo che sia passata la morte, in cerca non si sa di chi. Oh, ma la chiuderemo dietro qualcuno di questi cancelli, in uno di questi vicoli senza sfondo, insieme con la spazzatura! A Siena, ce ne sono di questi cancelli che nessuno apre mai, perché non servono più a niente; dalla parte di dietro a qualche orto che nessuno coltiva; di fianco a qualche palazzo disabitato.","YES"
"Tozzi_Federigo-Bestie-1917","Tozzi Federigo","Bestie","1917","*** Nel tinaio, sotto un vecchio barile che aveva perduto anche i cerchi, ritrovo una tavola di sorbo. Perdio!","YES"
"Tozzi_Federigo-Bestie-1917","Tozzi Federigo","Bestie","1917","Se mi riesce a segarla come voglio, mi ci viene un bel tagliere. Prima, con la lima a triangolo, arroto i denti della sega, poi mi metto all'opera. È legno così duro, che, per quanto consumi tutta la sugna che tenevo incartata su la cappa del camino, non giungo alla fine.","YES"
