"filename","nome","titolo","anno","chunk","DIL"
"Valera_Paolo-Amori_bestiali-1884","Valera Paolo","Amori bestiali","1884","﻿Paolo Valera Amori bestiali Documenti umani All’illustre Professor L.","NO"
"Valera_Paolo-Amori_bestiali-1884","Valera Paolo","Amori bestiali","1884","M. BOSSI A te, studioso d’anime, queste sognatrici e questi sognatori che ho trovato nella società del mio e del tuo.","NO"
"Valera_Paolo-Amori_bestiali-1884","Valera Paolo","Amori bestiali","1884","Giugno, 1913. P. V. VITALIANA","NO"
"Valera_Paolo-Amori_bestiali-1884","Valera Paolo","Amori bestiali","1884","Eravamo troppo felici! ln quel salottino cilestre - ondeggiato di profumi- sapientemente illuminato - profondamente silenzioso, la testa sulla tua spalla, le dita tra le dita, trepidamente allacciati in un pensiero, in un desiderio, in un affetto... No, io non volevo, non cercavo di più. Mio marito si divertiva, scialacquava, se la godeva con una donna magari tutta notte, ebbene che mi importava?","YES"
"Valera_Paolo-Amori_bestiali-1884","Valera Paolo","Amori bestiali","1884","Tanto e tanto, fra me e lui, non c’era che la finzione. Ci salutavamo, ci scambiavamo frasucce puerili, lambiccate, ci facevamo anche qualche gentilezza, ma nulla d’intimo, d’appassionato, di febbrile. Con te invece, Edoardo!","YES"
"Valera_Paolo-Amori_bestiali-1884","Valera Paolo","Amori bestiali","1884","La tua voce mi rivibrava nel cuore, i tuoi occhi, voluttuosamente lucidi, mi rapivano, mi facevano superba; i tuoi abbracciamenti lunghi, sentiti, mi rendevano folle. Che serate! Serate d’ansie ineffabili, serate d’ebbrezze sottili, serate di baci che suggevano l’anima.","YES"
"Valera_Paolo-Amori_bestiali-1884","Valera Paolo","Amori bestiali","1884","Le ricordi, Edoardo? O guai, guai se tu le dimentichi! È tutta la nostra storia.","NO"
"Valera_Paolo-Amori_bestiali-1884","Valera Paolo","Amori bestiali","1884","Un’altra donna, vedi, imprecherebbe, a quel passato e lacererebbe tutte le pagine che formano la mia fierezza. Ma io no, sai. Io non sono sazia de’ tuoi baci.","NO"
"Valera_Paolo-Amori_bestiali-1884","Valera Paolo","Amori bestiali","1884","Io brucio dalla voglia d’appendermi al tuo collo, di risospingermi sul tuo petto, di genuflettermi alle tue ginocchia come a un dio d’amore. Voglio risentirti e stringerti nelle braccia, voglio udire quelle soavi parole monosillabate, rotte dall’intensità del desiderio, voglio riprovare la furia della tua carezzatura. Voglio... ma come sbarazzarmi di questo carabiniere della famiglia, di questa proteiforme figura che fa della morale tutte le volte che la moglie gli rende pan per focaccia?","NO"
"Valera_Paolo-Amori_bestiali-1884","Valera Paolo","Amori bestiali","1884","Ma, dimmi, non ho gli stessi diritti e le stesse esigenze? Che legge infame è questa, che dà all’uno tutta la libertà che sopprime all’altra? Scellerati mariti e legge ancora più scellerata, io me ne infischio di voi è passo oltre.","YES"
