"filename","nome","titolo","anno","chunk","DIL"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Le ultime parole dei copains del fatto sono state queste: — Noi siamo tutti destinati alla morte. Se uno di noi sopravvive spieghi le ragioni della nostra guerra alla Società. — E se morremo tutti?","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","domandò Garnier senza spaventarsi. — Affidiamo questo compito alla storia, rispose con un gesto tragico Bonnot. Io sono il superstite della «banda» e mi presento nell'anonimo.","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","È inutile la spiegazione del mio rifugio. Nessuno può credermi vile. L'audacia degli automobilisti rossi è il mio scudo.","YES"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Mi abbozzo. Fisicamente sono simpatico e di una magrezza spettrale. Alto, forte, molti capelli chiari e crespi come quelli di Sante Caserio, il fornaio presidenticida.","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Occhi grandi azzurri lucidi, mani lunghe che stritolano o stringono come una morsa. Le mie dita sono tentacoli di ferro adunghiate di punte che lacerano le carni. La pieghevolezza delle membra l'ho acquistata al trapezio e al maneggio delle armi.","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Tutti noi siamo stati appassionatissimi degli esercizi muscolari, Garnier e Valet sono stati sorpresi dalla polizia mentre martellavano gli ultimi chiodi nei pali di sospensione. Il trapezio ci ha resi tutti agili e duttili come clown. Giulio Bonnot aveva la prestezza dei gatti lesti e gli slanci delle scimmie.","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Egli avrebbe potuto buttarsi da un albero all'altro senza catastrofi. Rocambole correva per i tetti nella fantasia bislacca del Ponson du Terrail. Bonnot, là là!","YES"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","era di gomma. Più i tetti erano stravaganti e pensili e più egli si trovava in casa sua. Passava dall'uno all'altro con una rapidità turbinosa.","YES"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Si appiattava dietro i comignoli raggruppato, con l'occhio che strisciava alle rotondità se era inseguito e se doveva affrettare l'attimo per sottrarsi alla persecuzione. L'elasticità fisica di Bonnot a 36 anni era tale che egli ha potuto allungarsi vicino al cadavere di Luigi Jouin come morto. Accanto al poliziotto pareva che egli si fosse scaricato della vita con una rumorosa fiatata.","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Non c'era rigidezza nel suo corpo. La rilassatezza in lui era completa. Se lo si fosse toccato adagiato nella finzione se ne sarebbe sentito il freddo delle carni indurite dalla morte.","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Non respirava, non palpitava. Tutti noi eravamo addestrati alla browning. A trenta passi di distanza si colpiva la punta del naso di un mannequin che ci serviva da bersaglio.","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Un giorno Bonnot che padroneggiava la sua audacia ha detto che noi dovevamo esercitare i tiri su noi stessi. — È con la paura di ammazzarci che diventeremo tiratori invincibili. Noi non possiamo prendere parte alle nostre spedizioni con la cartucciera dei soldati.","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Bisogna contentarci di quelle che possiamo metterci in tasca. Non una cartuccia sciupata, sia per tutti noi un'ingiunzione. Parlava e ce ne dava l'esempio mettendo un arancio sulla mia testa.","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Non mi ha dato tempo di spaventarmi. L'arancio, o piuttosto le fibrille dell'arancio, erano sparse sulla parete calcinata. In sala d'armi sembravamo tanti moschettieri.","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Ma senza il chiasso dei personaggi di Dumas padre. Kirchoffer e Mérignac, maestri francesi, in mezzo a noi sarebbero stati scolari. Bonnot mi ha capoté più di una volta.","YES"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","Nessuno di noi pestava i piedi o gridava – chiassate buone per coloro che hanno paura. Al fioretto eravamo insuperabili. Anche fra noi sovente si doveva smettere senza sapere a chi gridare bravo.","NO"
"Valera_Paolo-Memorie_Di_Giulio_Bonnot-1913","Valera Paolo","Memorie Di Giulio Bonnot","1913","L'eleganza di Bonnot al fioretto era somma. La sua persona si allungava e si ritirava come se fosse stata di gomma. I nostri ferri distesi subivano i leggeri battimenti che davano a tutti noi la voluttà dell'attacco.","NO"
