"filename","nome","titolo","anno","chunk","DIL"
"Valeriani_Gaetano-L_educatore_ovvero_dieci_racconti_popolari-1847","Valeriani Gaetano","L educatore ovvero dieci racconti popolari","1847","A FELICE BISAZZA GAETANO VALERIANI Mio diletto Amico È usanza oggi intitolar, con bassi pensieri, tutte le opere dell' umano ingegno, comecchè sieno, a chi e a quale goda fama di potente per isplendor di antenati, d'autorità, o d'oro, credendo così dare anco alle proprie fatiche quel pregio che non hanno, e quello schermo che poscia l'imparzialità dei leggenti rende vanissimo. Io per me dagli uomini non ebbi mai che sperarmi, nè sperar volli mai nulla. Solo un conforto alle mie tristezze attesi ognora dall' amicizia, che in terra, quantunque rara, è il supremo dei beni.","NO"
"Valeriani_Gaetano-L_educatore_ovvero_dieci_racconti_popolari-1847","Valeriani Gaetano","L educatore ovvero dieci racconti popolari","1847","Ecco dunque che all'amicizia intitolo questa mia povera opericciuola. Ultimo degli uomini per valore di forze, ma non ultimo certo per robustezza di volontà e di desiderio in procacciare l' immegliamento dei fratelli, non ti saprei dir, mio Felice, che mi venisse mai fatto; anco che non abbia as seguito lo scopo, tu ben lo vedi santissimo, e credo che sia pur qualcosa l' averlo tentato. Se niun merito avrà questa mia faticuccia, non sarà poco quello di portare essa in fronte il tuo Nome, o caldissimo degli amici.","NO"
"Valeriani_Gaetano-L_educatore_ovvero_dieci_racconti_popolari-1847","Valeriani Gaetano","L educatore ovvero dieci racconti popolari","1847","Forse t'increscerà che, senza avertene fatta innanzi parola, abbia io cotanto osato, ma se continuerai ad onorarmi, come già sempre, dell' antica e sincera tua bontà, figlia di quel quore virtuoso, che ti fa caro alla tua terra natale e all'Italia intera, e pregiatissimo e invidiato fra gli stranieri, io mi avrò da te con ogni agevolezza indulgenza e venia. Gradisci questo misero tributo di venerazione e di stima, perdonami tanto ardire, continuami la tua calda amicizia, amami, e sii più di me, quanto lo meriti, e quant' io te lo desidero, felice. ALLA GIOVENTU ITALIANA A voi, speranza di una generazione, sono dirette le mie parole; e queste parole, trattando dei vostri doveri innanzi a Dio e innanzi agli uomini, debbono profondamente scolpirsi nel vostro quore, affinchè raggiungiate lo scopo, cui sono intese.","NO"
"Valeriani_Gaetano-L_educatore_ovvero_dieci_racconti_popolari-1847","Valeriani Gaetano","L educatore ovvero dieci racconti popolari","1847","Forse alcuni di voi, o Giovanetti, lamentano aver sortito natali non felicissimi per miserande fortune? Non è vostra colpa; Dio a suo senno dispensa le dovizie, e le dà a chi e a quale vogliono gli altissimi suoi divisamenti; e tentar di squerciarne il velo impenetrabile è stoltissima follia; su tutte le azioni dell'Eterna Sapienza è scritto ADORA E TACI. Per avventura duole ad alcuni altri il non essere di condizione magnatizia, e nobil sangue non portar nelle vene?","NO"
"Valeriani_Gaetano-L_educatore_ovvero_dieci_racconti_popolari-1847","Valeriani Gaetano","L educatore ovvero dieci racconti popolari","1847","Poco male: azioni magnanime furon sempre l'origine di ogni nobiltà. Rimontate ai principî di ogni casata illustre, e troverete che furon essi come i vostri, poichè Si pater est Adam, mater est omnibus Eva, Cur non sunt omnes nobilitate pares? (1) Generose azioni, sforzi di straordinarie virtù sollevarono quelle famiglie dal gregge comune, e ciò è pure in vostro diritto di conseguire.","YES"
"Valeriani_Gaetano-L_educatore_ovvero_dieci_racconti_popolari-1847","Valeriani Gaetano","L educatore ovvero dieci racconti popolari","1847","Ma poi, siate pur nati da men degli altri, spreginsi pure da'grandi i vostri natali, tocca a voi potervi rendere maggiori di essi. Ciascun'uomo tiene in pugno l'immortalità di se medesimo. Napoleone è un nome che non morirà più, finchè i secoli strisceranno su questo basso pianeta; e, certo, questo gran capitano non aveva sortito principî di tanta altezza: volle farli maggiori di tutte le generazioni, lo potè, e l'ottenne.","NO"
"Valeriani_Gaetano-L_educatore_ovvero_dieci_racconti_popolari-1847","Valeriani Gaetano","L educatore ovvero dieci racconti popolari","1847","Ma che forse le occassioni, il vostro stato, l'altrui volontà si oppongono a un conseguimento di nobiltà singolare, a farvi grandi fra gli uomini? Non è gran danno ; procedete nel sentiero dell'onore, e sarete (1) Se Adamo ed Eva furono i progenitori di tutti gli uomini, perchè tutti gli uomini non sono di una medesima nobiltà, e di una condizione medesima? 2 sempre felici.","NO"
"Valeriani_Gaetano-L_educatore_ovvero_dieci_racconti_popolari-1847","Valeriani Gaetano","L educatore ovvero dieci racconti popolari","1847","Tutto quaggiù può scusarsi ed acconciarsi alle bisogne di ciascun uomo, nè la felicità sorge dalla grandezza; non di rado l'umile tugurio è più ilare della torre dorata. Tali doveri vi sono però, tali obblighi da compiersi per le creature, tali canoni da seguirsi, leggi tali da osservarsi che è enorme nefandezza il mancarvi anco un poco, e per ogni minima trasgressione è maledetto il colpevole. Parlo di ciò che dobbiamo a Dio ed alla patria.","NO"
"Valeriani_Gaetano-L_educatore_ovvero_dieci_racconti_popolari-1847","Valeriani Gaetano","L educatore ovvero dieci racconti popolari","1847","Dio dee aversi da noi ogni veneranza, e come Padre comune ha diritto ad ogni nostra gratitudine; la patria non è che un nome pe' vili e pe'codardi, ma considerando che sotto questo nome si comprende l' amor della gloria della nostra terra natale, l'amor di chi ci diè vita e sapienza, vogliam dire al padre ed ai maggiori, l'amor pe' fratelli, e tutti quaggiù componiamo una famiglia, il nostro decoro e l'onore nostro, comprenderemo allora con ogni agevolezza quanto sia mai augusta questa suprema parola di PATRIA, non costituita già dal circuito delle mura di una città, ma dai nostri doveri di cittadini e di figli. Nè questa voce è muta o debole, chè, anzi potentissima fin da quando nasciamo, parla ai nostri quori, e ci manifesta questi nostri doveri; ma questa voce, sebbene eloquente, non compie l'ammaestramento, che più o men perfetto egli è sempre secondo le occasioni che lo procacciano, del tutto relative e parziali, quantunque lo scopo sia continuamente uno su tutta la terra. Questo perfezionamento intanto lo si ottiene mercè I'educazione.","NO"
"Valeriani_Gaetano-L_educatore_ovvero_dieci_racconti_popolari-1847","Valeriani Gaetano","L educatore ovvero dieci racconti popolari","1847","Il presente secolo egli è ben provveduto di Trattati all'uopo, che uniscono l'utile ad ogni santità di precetto, ma non tanto ricco egli è poi di quelle opere, che, insinuandosi per la via più del quore che della mente, infiammano le generose passioni dell'anima, e di necessità convincono. Il nudo precetto è fredda verità che seguitasi per dovere; una similitudine, un'allegoria, un racconto di cose che spettino al viver nostro, dipinte con i colori i più teneri, faran piùcaro il precetto e la verità più dilettevole, perchè tutta l'immaginazione è obbligata a fermarvisi leggendo, esaminando, confrontando, applicando. S' io vi dirò, o Giovanetti, che Dio, col settimo precetto del Decalogo, v'impone di NON RUBARE, voi venererete l'eterno comando, perchè una Sapienza Infallibile ve lo diede, ne adempierete il cenno scrupolosamente, senza curarvi della ragion filosofica, per cui egli fu promulgato, sapendo aver Dio data ogni legge consentanea ai principî di natura, per cui, se diss'egli NON RUBAKE, avea già manifestato alla razza umana l' ingiustizia di appropriarsi l' altrui, dolorosa ad altri tanto quanto se altri il nostro derubasse.","NO"
