"filename","nome","titolo","anno","chunk","DIL"
"Vassallo_Luigi_Arnaldo-Guerra_In_Tempo_Di_Bagni-1896","Vassallo Luigi Arnaldo","Guerra In Tempo Di Bagni","1896","Nel quale già si vede un amore infelice. - Ma quest'omnibus è tornato, sì o no? - Non ancora, signor conte.","YES"
"Vassallo_Luigi_Arnaldo-Guerra_In_Tempo_Di_Bagni-1896","Vassallo Luigi Arnaldo","Guerra In Tempo Di Bagni","1896","- Pure, il diretto dovrebb'essere già arrivato da mezz'ora! - Lei sa bene che un treno in orario ha sempre mezz'ora di ritardo, tanto più se è un diretto. Il conte Giorgio Tibaldi mormorò tra le labbra una parola italiana, che somigliava alquanto al sinonimo d'un accidente, poi escì dall'atrio del Grand Hôtel e si fermò sopra l'ampia gradinata, a fumare rabbiosamente una favorita, guardando, spazientito e distratto, il Tirreno troppo turchino e troppo tranquillo, in desolante monotonia, e la rotonda di Pancaldi, popolata di sonnolenti leggitori di giornali, di mamme industriose, assorte nei lavori di uncinetto, nell'ombra dei larghi tendoni, che riparavano dai raggi torridi, non dai fastidiosi riflessi d'un sole tremendo che pareva l'ira di Dio.","YES"
"Vassallo_Luigi_Arnaldo-Guerra_In_Tempo_Di_Bagni-1896","Vassallo Luigi Arnaldo","Guerra In Tempo Di Bagni","1896","Ogni tanto, il bagnino Tenebrone, con le carni del colore del bronzo, traversava la rotonda e, col sorriso ebete e cortese, diceva a qualche signora, toccando rispettosamente il cappello di paglia: - Signora Teresina, la baracca è pronta. Perchè Tenebrone, labile di memoria quanto ai nomi, ha trovato uno spediente machiavellico: qualsiasi bagnante, per lui, è «la signora Teresina». Due signori, alti di statura e di eleganza irreprensibile, si alzarono dai tavolini del caffè, dove avevano bevuto un vermouth con china e ghiaccio, e col passo indolente del fannullone estivo, traversarono lo stabilimento piano piano, diedero una occhiata a quei magnifici coralli e specialità di Sorrento che nessuno compra, ascoltarono con indulgenza la cantafera del mercante di bastoni, salutarono l'onorevole Guido Baccelli, incantonato nell'ombra con un mucchio di giornali sui ginocchi, indugiarono davanti al mercante di cianfrusaglie giapponesi, che da molti anni ha sempre le stesse ultime novità, e poi si diressero verso il Grand Hôtel.","NO"
"Vassallo_Luigi_Arnaldo-Guerra_In_Tempo_Di_Bagni-1896","Vassallo Luigi Arnaldo","Guerra In Tempo Di Bagni","1896","Giorgio salutò familiarmente uno dei due che si avvicinavano: - Ciao, Cicillo. - Tu qui? e che ci fai?","NO"
"Vassallo_Luigi_Arnaldo-Guerra_In_Tempo_Di_Bagni-1896","Vassallo Luigi Arnaldo","Guerra In Tempo Di Bagni","1896","- Faccio l'uomo che aspetta. - A proposito, ieri ho inteso parlare di te. Sei dunque a Livorno da qualche tempo?","NO"
"Vassallo_Luigi_Arnaldo-Guerra_In_Tempo_Di_Bagni-1896","Vassallo Luigi Arnaldo","Guerra In Tempo Di Bagni","1896","- Da un giorno appena. - E come mai ti circondi di mistero? Assassino, tu premediti qualche cosa.","NO"
"Vassallo_Luigi_Arnaldo-Guerra_In_Tempo_Di_Bagni-1896","Vassallo Luigi Arnaldo","Guerra In Tempo Di Bagni","1896","Giorgio arrossì e sorrise col sorriso idiota dell'uomo il quale ha da nascondere un segreto che vorrebbe far conoscere, poi soggiunse: - Tu, piuttosto, ho sentito dire che premediti qualche cosa: un romanzo, è vero? - E come s'intitola? - Ananke.","NO"
"Vassallo_Luigi_Arnaldo-Guerra_In_Tempo_Di_Bagni-1896","Vassallo Luigi Arnaldo","Guerra In Tempo Di Bagni","1896","- È il nome del protagonista? - Press' a poco: è una parola greca, che significa fatalità. - Parole greche?","NO"
"Vassallo_Luigi_Arnaldo-Guerra_In_Tempo_Di_Bagni-1896","Vassallo Luigi Arnaldo","Guerra In Tempo Di Bagni","1896","male, amico mio: indizio di decadenza. - È quel che gli ho detto anch'io! - esclamò l'altro signore, - ho conosciuto un barone De Renzis molto giovane, che non diceva mai una parola greca, neppure alle signore.","NO"
"Vassallo_Luigi_Arnaldo-Guerra_In_Tempo_Di_Bagni-1896","Vassallo Luigi Arnaldo","Guerra In Tempo Di Bagni","1896","- Ti sbagli: mi son servito di tutte le lingue, - interruppe, ridendo, il barone, quindi aggiunse: - facciamo la presentazione: il conte Tibaldi. - Tanto piacere! conoscevo molto il generale suo zio.","NO"
