"filename","nome","titolo","anno","chunk","DIL"
"Vassallo_Luigi_Arnaldo-Nel_mondo_degli_invisibili-1902","Vassallo Luigi Arnaldo","Nel mondo degli invisibili","1902","﻿Gli invisibili LUIGI ARNALDO VASSALLO Perché scrivo","NO"
"Vassallo_Luigi_Arnaldo-Nel_mondo_degli_invisibili-1902","Vassallo Luigi Arnaldo","Nel mondo degli invisibili","1902","Genova, Febbraio Questo mio piccolo libro, denso di fatti e di ragionamenti, farà pensare. Ogni pensiero susciterà dubbi d'ogni sorta: eppure l'anima mia, scrivendo, è sgombra d'ogni dubbiezza: la mente è tutta vibrante d'energia e di serenità, come se una primavera di luci, di verità, di bellezze ideali prorompesse gaia da tutte le misteriose profondità dell'essere, infondendomi una gioia di vita interiore che non saprei descrivere. Giusto, è carnevale: e molta brava gente prova gusto a mascherarsi, nelle fogge più strane: invece, io provo una voluttà indicibile nel buttar via ogni maschera d'ipocrisia sociale: e spalancare il cuore, come uno sportello.","NO"
"Vassallo_Luigi_Arnaldo-Nel_mondo_degli_invisibili-1902","Vassallo Luigi Arnaldo","Nel mondo degli invisibili","1902","In Italia, ma soprattutto all'estero - osservò acutamente il Petruccelli, in una sua vecchia monografia sopra la colonia italiana a Parigi - ogni italiano porta abitualmente sopra il suo viso una maschera: ma se vi riesce d'alzar quella maschera, scoprite spesso un viso nobilissimo, quale nessun altro potrebbe vantare. L'osservazione, vera e profonda, si rannoda da una parte alla legge biologica del mimetismo, dall'altra alle tradizioni storiche del nostro popolo. Non si attraversa impunemente una serie di secoli, in cui la vita sociale è lacerata di continuo da fazioni atroci, da crudeli gare di feroci oligarchie, dalle guerre intestine e di conquista, dalle ferree compressioni d'ogni coscenza, in mezzo a ogni maniera di pericoli e d'insidie, senza che qualchecosa d'atavico s'imprima nel carattere.","NO"
"Vassallo_Luigi_Arnaldo-Nel_mondo_degli_invisibili-1902","Vassallo Luigi Arnaldo","Nel mondo degli invisibili","1902","Tutto che siano o paiano cangianti i tempi, noi nasciamo ancora col senso acuto della dissimulazione, perché ci sentiamo tuttavia ravvolti in un formidabile ingranaggio d'interessi, di passioni, di pregiudizi, di tirannie morali, e prima di liberare pubblicamente una verità che possa urtare qualcuno o qualche cosa, riflettiamo: - Mi gioverà o mi produrrà del danno? - E ricordiamo, con paurosa amarezza, che Salomone di Caus, il rivelatore della forza motrice del vapore, fu mandato al manicomio: che quando Gray propose d'applicare la scoperta di Watt alle ferrovie, tutti i dotti gli gridarono essere una chimera: che lo stesso grande chimico Dawy dichiarò impossibile l'illuminazione a gas: che l'immenso accademico Babinet battezzò il telegrafo Morse una invenzione stupida e ridicola... Tutta una serie di buaggini umane, che poco assai conforta ad affrontare il misoneismo della folla e la rabbiosa reazione degli sfruttatori dell'ignoranza pubblica. Pure, io scrivo, senza esitare, con una libertà di coscienza salda come cristallo di rocca, sopra cui scivoleranno, impotenti, astiose critiche o facili sarcasmi.","NO"
"Vassallo_Luigi_Arnaldo-Nel_mondo_degli_invisibili-1902","Vassallo Luigi Arnaldo","Nel mondo degli invisibili","1902","Sento che questo libro sicuramente è un'azione onesta: e sento ancora che questo libro può essere un'azione benefica. Farà pensare, ripeto: ma nell'onda folta e agitata dei pensieri, sentirete fiorire qualche cosa d'insolitamente bello, di soavemente buono: qualche cosa che vi farà dire: - Strana malìa! non so come, non so in che, ma mi sento migliore.","NO"
"Vassallo_Luigi_Arnaldo-Nel_mondo_degli_invisibili-1902","Vassallo Luigi Arnaldo","Nel mondo degli invisibili","1902","Gli studi medianici Sul Giornale d'Italia apparve una corrispondenza genovese che, in forma frettolosa e oscura, porgeva notizia di una nuova serie di sedute sperimentali medianiche, cui presero parte chiarissimi cultori della scienza, tra i quali Cesare Lombroso ed Enrico Morselli. Dai primi del dicembre 1901, in realtà su nuovo invito del Circolo scientifico Minerva, la famosa medio Eusapia Palladino prese dimora in Genova, e si prestò a una serie di sedute, ripartite fra cinque o sei gruppi di persone, ciascun dei quali diretto da individualità capaci di presentare le migliori garanzie di serietà d'esame e di critica.","NO"
"Vassallo_Luigi_Arnaldo-Nel_mondo_degli_invisibili-1902","Vassallo Luigi Arnaldo","Nel mondo degli invisibili","1902","Verissimo l'intervento dei professori Lombroso e Morselli, i quali hanno raccolto in diligenti verbali copiosa narrazione di fenomeni, per poi farne, suppongo, analisi accurata in un volume o sopra rassegne scientifiche. Intanto, essendo grande e legittima la curiosità, mi propongo di esporre, come saprò meglio, il risultato delle cinque sedute a cui presi parte, nel gruppo diretto, con intelligente serenità, dal professore Francesco Porro, le relazioni del quale, intorno alla prima serie delle sedute della Palladino, hanno già fatto il giro di tutti i principali fogli del mondo, attestando così qual vivo interesse tutti prendano a quest'ordine meraviglioso di studi, quando sian condotti da persone degne d'affrontare le indagini dell'ardua materia. Ma prima di tutto, più che utile mi par necessario sfrondare alquanto la selva selvaggia di pregiudizi e d'asinerie che s'è addensata intorno all'argomento.","NO"
"Vassallo_Luigi_Arnaldo-Nel_mondo_degli_invisibili-1902","Vassallo Luigi Arnaldo","Nel mondo degli invisibili","1902","Comincerò dal Circolo scientifico Minerva, che ho l'onore di presiedere, per avvertire quale ne sia lo scopo supremo: non già quello di divulgare le cosidette pratiche spiritiche, o altro genere d'occultismo, ma quello al contrario di condurre e ristringere gli studi medianici alle persone le quali, per abito di scienza, per profondità di mente, per pratica di osservazione acuta, per serietà di ingegno, abbiano la capacità non comune, l'autorità, sto per dire, di addentrarsi in simili studi, che richiedon fibre energiche e cervelli d'acciaio, e siano in grado di avvicinarsi, passo passo, alla ricerca dell'assoluta verità. Tanto è vero che abbiamo scartato a decine, per non dire a centinaia, le domande d'ammissione a socio, restringendo deliberatamente il numero a coloro ch'erano mossi, non da vana curiosità, non da morbosa avidità di misteri, bensì da sincero amore di severa indagine, spoglia di qualsiasi fanatismo. Tanto è vero, aggiungo, che ogni socio è libero di pensare quel che meglio gli torni circa la causalità dei fenomeni (e c'è infatti molto divario di pareri, tra l'uno e l'altro) ma l'essenziale è che tutti giungano a un accordo critico quanto all'accertamento, alla sincerità dei fenomeni stessi.","NO"
"Vassallo_Luigi_Arnaldo-Nel_mondo_degli_invisibili-1902","Vassallo Luigi Arnaldo","Nel mondo degli invisibili","1902","A tale scopo, le sedute promosse dal Circolo vengono sempre circondate dalle maggiori cautele di controllo, in modo da chiarire i casi di illusione soggettiva o di frode incosciente o no: e si adoperano mezzi la cui efficacia risultò da prove irrefutabili. Ma quale, di tali studi, il morale interesse? Immenso.","NO"
"Vassallo_Luigi_Arnaldo-Nel_mondo_degli_invisibili-1902","Vassallo Luigi Arnaldo","Nel mondo degli invisibili","1902","Da oltre un secolo, le ricerche e le scoperte scientifiche hanno fatalmente condotto a una filosofia materialista e desolante, che ha disseminato il nichilismo nei cervelli umani. Anche negli esseri più mistici vi è la perturbazione, il dissidio, lo squilibrio. La religione, certo, è una potenza: ma la religione è fatta per le anime semplici, e le nostre anime non sono più semplici.","NO"
