"filename","nome","titolo","anno","chunk","DIL"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","﻿ELENA DI CAMPIREALI ABBADESSA DI CASTRO Storia del secolo XVI PER FELICE VENOSTA È una molto terribile storia quella che adesso io racconto. Guerrazzi.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Veronica Cybo. C. III.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Forse nelle veglie, o in romito luogo, mentre la cadente sera ci invita a dolce tristezza, udiste già da caro labbro la storia che ci accingiamo a scrivere. Leggeteci tuttavolta, o voi che studiate dimenticare i dolori che travagliano questa misera terra colla pietà per gli altrui affanni; che dotati d'intelletto di gentili cose sapete compatire, perdonare. La nostra storia è un nuovo fiore tolto alla città eterna, ove sempre viviamo coll'anima.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Nella medesima guisa che allettaci un'armonia udita e riudita, poichè in essa vi discopriamo sempre nuove bellezze; così è degli amori di una donna romana che si chiamava Elena. Assai sofferse la tapina: e le lagrime di lei vennero raccolte dalla memoria del popolo, trasmesse al vigile cronista, e rivestite di quelle forme che ai tempi d'allora si addicono: la sua storia fu quale noi la sentiamo in oggi nel cuore. Correva l'anno 1542, quando Elena di Campireali veniva alla vita nella gentile Albano.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Il padre suo era riputato il più ricco patrizio del paese; e come tale aveva sposata Vittoria Caraffa, la quale possedeva estesi poteri nel regno di Napoli. Il signore di Campireali godeva fama di essere uomo assai onesto, e molto prodigo co' poveri: ciò che gli procacciava ogni sorta di benedizioni, e l'amicizia de' conventi. E trovavasi per lo appunto un dì a quello di Monte-Cavi onde visitare un frate, che spesse fiate era stato sorpreso nella propria cella in estasi, sorretto da terra dagli Angeli come san Paolo, quando venne a sapere la più terribile delle cose.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Il sant'uomo gli disse essere scritto ne' cieli che la sua famiglia si spegnerebbe con esso lui, che soltanto due figliuoli avrebbe, che questi perirebbero di morte violenta. Non sorridano i nostri leggitori, ché tutti i popoli s'ebbero ognora i loro profeti, ed ogni forte disastro fu sempre previsto. Non saprei darne la ragione, scrive Machiavelli, ma è testificato da tutta la storia antica e moderna, che non accade quasi mai grande sventura che non sia stata predetta.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Il signore di Campireali era un uomo di poco spirito; imbevuto delle massime di que' tempi, credeva a quanto gli veniva detto, e molto se da ministri della chiesa. Epperò dopo la fatale predizione non trovò altro rimedio che d'andare ad abitare il suo palazzo di Albano. E così fece.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Colà si diede alla coltivazione delle ubertose sue terre, e cercò dimenticare quanto gli era stato pronosticato. Non trascurò tuttavia l'educazione de' proprj figli: Fabio, giovane altiero di sua schiatta, ed Elena, che fu un prodigio di bellezza, vennero allevati così finemente più che al loro rango si addicesse. Dopo di essere stata per otto anni consecutivi, come educanda, nel convento della Visitazione in Castro, Elena ritornò al paterno focolare; ma prima di dipartirsi dalle sante sue institutrici, volle lasciare memoria di sè, ed offrì all'altare maggiore del tempio un calice, la cui ricchezza ed il cui lavoro peregrino attiravano l'ammirazione di tutti.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Appena giunta in Albano, le venne dal padre procurato un maestro, onde la mente di lei facesse tesoro di quelle scienze, che al convento non aveva potuto apparare. Per lo che il celebre poeta Cecchino, allora già assai innanzi negli anni, fu chiamato da Roma; ed egli ornò la mente della giovinetta coi più bei versi di Virgilio, di Dante, di Petrarca e di Ariosto. Sembra che Elena sapesse già di latino; imperocchè molte delle poesie che declamava erano scritte in quella lingua; e queste e le altre poesie con cui intratteneva le elette brigate, favellavano di un amore che ci parebbe assai ridicolo, se ci fosse dato vederlo in effetto nella seconda metà del decimonono secolo, che come ognuno sa la è quella del maggiore progresso.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Quello era un amore appassionato che si pasceva de' più grandi sacrificj, avvolto perciò nel mistero o minacciato dalle più spaventevoli disgrazie. E tale un amore seppe Elena far nascere nel cuore di un certo Giulio Branciforte. Elena non oltrepassava allora i diciassett'anni: grande della persona, augusta negli atti, aveva lineamenti e contorni di una grazia incantevole: due occhi neri, nerissimo il diffuso volume della chioma.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Tutto in lei era aggentilito dal fiore, dal sorriso della prima età, tutto rallegrato da quell'aura di pace e di contento, da quel molle e misterioso profumo che esala da un'anima ignara delle tempeste della vita, non ben conscia per anco di sè stessa. Giulio era un giovine che abitava una casa di misera apparenza edificata sul pendio d'un monte, a un miglio circa dal palazzo dei Campireali, fra gli avanzi dell'antica Alba, precisamente di contro al lago. Quell'abituro venne poscia demolito, e sui suoi ruderi sorse superbo il convento di Palazzuola.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Giulio sopportava colla più grande indifferenza la miseria, in cui allora si trovava; il volto di lui ardito ed aperto, aveva, senz'esser bello, un non so che di attraente che facilmente gli acquistava la simpatia di coloro che lo avvicinavano. In quanto al suo coraggio la fama ne cantava le lodi; e moltissimi opinavano che, sotto gli ordini del principe Colonna e fra i suoi bravi, si fosse ei trovato più volte in rischiose imprese. Ed era forse cotesta la ragione che, malgrado non avesse sortito dalla natura appariscenti forme, avesse potuto piagare il cuore di Elena.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","Ovunque bene accetto, Giulio aveva avuto quasi sempre in spregio l'amore. Ma con Elena gli si aprì un'êra novella; imperocchè v'hanno nella vita dell'uomo quell'ore in cui siamo costretti a credere, e ad amare. Non è a dire se la gelosia ed il dispetto delle forosette, quando si accorsero che i pensieri di Giulio erano rivolti altrove, nuocessero alle precauzioni che ei prendeva per nascondere la passione.","NO"
"Venosta_Felice-Elena_di_Campireali-1858","Venosta Felice","Elena di Campireali","1858","E vaglia il vero, quell'amore fra un giovine di ventidue anni e una fanciulla di diciassette, venne condotto contro ogni regola della prudenza. Non erano per anche scorsi tre mesi, quando il signore di Campireali si accorse che Giulio asolava troppo di sovente sotto le finestre del palazzo, che esisteva verso la metà della strada che mette capo al lago. Il signore di Campireali era uno di quegli uomini leali e franchi che non saprebbero fingere per tutto l'oro del mondo: per lo che appena le frequenti apparizioni di Giulio cominciarono a stancarlo, mandò per lui, e tale un discorso gli tenne: – Non so capire come tu abbia l'arditezza di passare ad ogni istante sotto le finestre di questo palazzo, ed insolenti occhiate lanciare alla figliuola mia, vestito qual tu sei.","NO"
