"filename","nome","titolo","anno","chunk","DIL"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","﻿A PIETRO CROCI Piero, la nave omai volge a rovina Pel desolato mar dello sconforto, Nè più giova alla triste pellegrina, Opra di vela o di nocchiero accorto... Quante volte vedemmo alla mattina Sull’orizzonte dileguarsi il porto, Quant’altre volte ai fuochi della sera Lo vedemmo svanir nell’ombra nera! E poi ch’è vano ogni impeto di speme Ver la piaggia serena ognor sfuggente, perchè non ravvivar quest’ore estreme Nella vampa ideal d’un sogno ardente?","NO"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","E all’abisso che già c’incalza e preme Perchè non scenderem, coll’irrompente Gioia d’una vision che trasfigura In roseo incanto l’ultima paura? La visione per cui sul mar degli anni Drizzammo un dì la spensierata prora! Salian con noi, compagne ai vaghi inganni, Le belle, onde il ricordo ancor ci accora; Ricordo d’ombre e d’insidiosi affanni Giunti ahi!","NO"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","si presto a contristar quell’ora, Si che n’andar travolti e sconsolati E il riso e gli occhi che ci fean beati! Riso di fiamma, fonte di quiete Ove taceva ogni amorosa sete, Occhi languenti che pareano dire: Dolce il viver con te, dolce il morire... CAPITOLO PRIMO.","NO"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","Dove si fa conoscenza coll’armajolo di Milano, un ispettore di pompe funebri e varie partite a briscola. I casi ch’io sto per raccontare intorno al mio armajolo, e che potrebbero dedicarsi tanto a chi sta per prender moglie come a chi è già stanco d’averla, non hanno punto la pretesa di rinnovare le anime, nè di disporre le cose di questo mondo secondo teorie più o meno accettabili. Li metto giù man mano che mi cascano dalla penna, nella pia, quanto scusabile intenzione ch’abbian a trovar della buona gente che si commuova leggendoli al pari di me che li scrivo.","NO"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","E se per avventura qualche ingegno sottile o qualche spirito superiore, si lamentasse della volgarità del mio racconto e volesse persuadermi che ben altre trattazioni i nostri tempi e le nostre lettere richiedono, io risponderò che pur ammettendo la sensatezza delle suesposte obbiezioni, vorrei pregarlo di lasciarmi l’illusione d’esser libero di poter metter giù un romanzo a mio piacimento, visto che al dì d’oggi purtroppo, in tutto il resto, bisogna far la volontà degli altri. Tutt’al più, se non sarò riuscito a fare un bel libro, ne avrò fatto uno cattivo: inconveniente questo non troppo raro ai nostri giorni. Quanto poi agli uomini di buona fede e di miglior volontà che leggeranno le mie pagine col solo scopo di far passare il tempo, dirò loro che la storia del mio armajolo è bella e interessante quanto quella dei Paladini di Francia, e che se proprio non riuscisse a piacere, la colpa sarebbe tutta di chi l’ha raccontata, ma non di chi l’ha vissuta.","NO"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","Devesi dunque aver presente che il mio degno armajolo era un uomo molto noto nella sua bellicosa professione, in Milano e fuori. Godeva una alta stima nel mondo commerciale per la ragione che lo si riteneva molto ben provvisto del suo e che la sua bottega, situata in via Broletto all’insegna del Fucile di Solferino, era forse la più riputata di tutta la città. L’esser poi egli proprietario della casa stessa in cui aveva il negozio (un bel casamento a cinque piani, diciotto botteghe, quindici magazzini interni e trentasei casigliani) aggiungeva un qual certo peso al credito sopra accennato.","NO"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","Era insomma un uomo il signor Antonio che poteva dir la sua con tutti e in qualunque stagione dell’anno, piovesse o facesse bel tempo e se a questo s’aggiunge una bella e giovane donna per moglie, un po’ sciocca al dire degli amici, ma ad ogni modo pur sempre una bella donna e che gli aveva portato fior di quattrini, come non affermar con sicurezza che l’armajolo era un uomo felice o almeno poteva essere considerato come tale? Gli affari andavan d’incanto, la moglie bella e virtuosa non lo disturbava punto perchè era casalinga come una gallina e quieta come un mobile, la salute non poteva essere migliore, quindi... S’intende, che di fastidiucci e di contrarietà ne aveva egli pure, ma da uomo che sapeva di avere una testa ben piantata sulle spalle e null’affatto sviata dietro alle romanticherie dei libri e dei sognatori, non vi badava troppo, scrollava tutto giù dalle spalle e tirava innanzi colla solita calma imperturbabile. Quando si è veramente una persona seria e si possiede il senso pratico della vita, come era persuaso di possederlo l’armajolo, a certe cosucce non si bada.","YES"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","Sapeva benissimo, per esempio, che gl’invidiosi (fra i quali primeggiavano, come è naturale, i suoi colleghi d’arte) pur non mettendo menomamente in dubbio la sua probità, il suo ingegno, la sua avvedutezza, dicevano non volerci gran fatica l’esser ricco e galantuomo, quando s’ha ereditato, casa, bottega, denari dal padre, come un principe qualunque eredita un trono; e che del resto se non fosse stato l’avviamento secolare del suo negozio e la abilità dei suoi operai, il caro signor armajolo, per conto proprio, poteva star fresco anche col sole di luglio, in quanto, dopo tant’anni di negozio, sarebbe stato ancora imbarazzato a smontare una rivoltella e ancor capace di confondere una polvere Acapnia, con una Walsrode o una Martini. Sapeva pure che andavan dicendo essere molto facile avere una bella moglie virtuosa, quando si va a scegliere una donna che all’infuori del libro di cucina non avea mai visto una pagina stampata e stava tutto il giorno rintanata in casa a spolverar mobili e far rammendi, non sapendo proprio far altro. Sapeva, come dico, tutto questo, ma lui lasciava dire, contentandosi di viver bene, di prendersi i suoi comodi e di pigliar il mondo come veniva.","YES"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","È vero però che negli ultimi tempi, proprio in sul cominciare della nostra meravigliosa storia, l’ampia fronte dell’armajolo s’era turbata da qualche ombra passeggiera. La sua vita di famiglia non scorreva più coll’antica placidezza e regolarità. Da parecchi mesi, dopo cinque anni di matrimonio, gli era nata una bambina, proprio quando avea messo da parte ogni pensiero di diventar padre, qualità del resto quest’ultima, che a lui non era mai sembrata troppo invidiabile.","YES"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","Avea sopportato dunque l’inconveniente, con una certa rassegnazione, nella fiducia, più che nella speranza, che se quel bambino era il primo, sarebbe stato anche l’ultimo. Perchè s’egli aveva commesso la sciocchezza di prender moglie, non era questa una ragione per mettersi d’attorno una mezza dozzina di figli. Il peggio però era stato che appena appena la sua bambina fu svezzata, la si tolse dalla balia e la si tirò in casa.","YES"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","L’armajolo ebbe un bel protestare in nome del suo quieto vivere, a cui tanto teneva! la moglie questa volta la vinse, ed ora era costretto a sopportar giorno e notte gli strilli del fantolino, ad aver la casa sempre sottosopra, le ore dei pasti rivoluzionate dai continui accidenti, dalle mille miserie della bambina. Quante volte l’aveva pur fatto capire a sua moglie che i bambini non devono esser tolti dalla balia prima dei tre anni e che i figli danno già gravi e serii disturbi quando son grandi, senza che s’abbia a perdere il tempo e la pazienza a insegnar loro a ingoiar le pappe e a reggersi in piedi!","YES"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","E pensare che sua moglie era perduta dietro a quell’esseruccio il quale non aveva voce che per strillar da mattina alla sera e dalla sera alla mattina e che da un paio di mesi s’era fatto la padrona assoluta della casa. All’infuori però di queste piccole contrarietà, il signor Antonio continuava a viver la sua vita quieta ed abitudinaria che viveva da tant’anni in qua, e una sera dei primi di febbrajo, dopo aver pranzato con molto appetito, ma non con altrettanta soddisfazione finale, il nostro eroe s’alzò da tavola molto di malumore, in causa prima di tutto del pranzo protratto quasi una mezz’ora dell’ora solita e poi d’un certo stufatino di vitello in salsa d’oro, assaporato si può dire in anticipazione durante tutta la giornata e che invece era andato a male, s’era mezzo abbrustolito e gli aveva rovinato il palato. Lui non era certamente un ghiottone; tutt’altro!","YES"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","ma da uomo che lavorava sacrosantamente dalla mattina alla sera, ci teneva a mangiar bene, quietamente e all’ora fissata, e quella volta di scuse non aveva proprio voluto sentirne. Se la moglie e la domestica avevano dovuto interrompere le loro occupazioni gastronomiche per correre a rimediar non so quali diavolerie commesse dalla bambina, che cominciando appunto allora a muovere i primi e incerti passi esigeva una sorveglianza delle più accurate (visto le scarse e balzane nozioni ch’ella possedeva in fatto di pulizia, d’ordine e di maniere ammodo), lui non voleva affatto intenderle certe cose. Tanto peggio per loro!...","YES"
"Venturini_Luigi-L'armajolo_di_Milano-1902","Venturini Luigi","L'armajolo di Milano","1902","I suoi presagi si avveravano e quel che più gli coceva era che s’avveravano a sue spese. Quindi si alzò, come dicemmo, da tavola di molto cattivo umore e senza quasi nemmeno salutar la moglie, s’avviò in anticamera, infilò il soprabito, si mise il cappello e uscì, per recarsi, come tutte le sere, al Caprera. Giunto sul portone di casa sua si fermò sui due piedi, sprofondò le mani nelle tasche dei pantaloni, fissò il cielo ch’era leggermente annuvolato come il suo umore, poi quietamente guardò a destra e a sinistra del corso, accese uno sigaro, s’accarezzò la bella barba nera tagliata a punta e adagio adagio, si diresse al solito desiato convegno.","YES"
