"filename","nome","titolo","anno","chunk","DIL"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","LE DUE MOGLI - E l'inferma guarirà? - domandai tutto trepidante al dottore.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- Guarirà di certo, se Dio vuole - rispose questi che già s'era levato da sedere e avea preso il cappello per andar via. - Gli è che, vedete, tutta notte mi ha tenuto in pensiero con quella sua tosse ostinata. Ora però sta meglio.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Non è vero che ti senti meglio, Emma? - Oh sì! - rispose ella con la sua vocina sottile nella quale entrava una nota di fiduciosa allegria.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- Non senti? da che il dottore è qui non ho tossito una volta sola. - Brava!","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","e non tossirete altro, ve lo garantisco - riprese a dire il dottore, seguendo sempre quel suo mirabile sistema curativo di non sentenziare in latino, di scrivere brevi ricette e di dare agli infermi suoi una perfetta sicurezza di guarigione - Il petto non è mica impegnato. Niente di grave. Con un po' di cautela, vi do parola che fra cinque giorni sarete fuori di letto.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- Oh grazie, dottore! - esclamammo ad una voce Emma ed io. - Niente, niente.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Che merito è il mio? Ringraziate la gioventù che è più forte di tutte le nostre bobe. La gioventù vi fa ammalare, la gioventù vi guarisce -.","YES"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","E così dicendo, fece per uscire. - Non gli dici quella cosa? - mi domandò Emma.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Davvero, io non ci pensavo più: una cosa da nulla, un vero capriccio di donna. Ora le tornava in mente, dopo che i timori del male s'erano dileguati. Risposi sorridendo che se ne sarebbe parlato altra volta e che anche troppo fastidio s'era dato al buon dottore.","YES"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- No, no! - insistette ella con quel tono bizzoso da bambina che le stava così bene. Il dottore s'era fermato sulla soglia a guardare verso la nostra parte.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","La sua persona alta e delicata, quella leggiera brizzolatura dei capelli che faceva così spiccato contrasto con le guance colorite, quegli occhiali d'oro di dietro ai quali splendevano due occhi vivaci e spiranti bontà, gli conferivano non so che forte simpatia senza nulla sottrargli della sua gravità serena di scienziato. Pareva una persona di famiglia. Si vedeva in lui l'amico, non il medico.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","I medici, checché si dica e per quanto con l'arte salutare e col sacrificio si adoperino a lenire i mali dell'umanità sofferente, hanno sempre impresso nella persona un certo carattere sospettoso che li fa considerare dai più come nemici. - Che cosa è che vuol sapere? - domandò dopo un poco.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- Niente, dottore; scusatela. Un desiderio infantile... No, non te l'avere a male... Dirò meglio, una curiosità femminile. Va bene così?","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- Sentiamo la curiosità - disse il dottore. - Egli non ve la vuol dire - venne su Emma, senza darmi tempo di mettere una parola, - non ve la vuol dire perché ha vergogna. O di che ti vergogni?","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Non c'è niente di male in fondo. Noi, donne, siamo più franche. Non ci preme niente affatto di parere istruite e spregiudicate.","YES"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Che vuoi? Anche i pregiudizi son buoni a qualche cosa, e io ci ho i miei, e ce li voglio avere e ci tengo -. Disse tutto questo d'un fiato e con tutta la sua grazia imperiosa.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Quanto mi faceva piacere di sentirla così ben disposta! Era già mezza guarigione, capite. E lo dissi anche al dottore.","YES"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Il morale ha una enorme influenza sul fisico; il corpo è valido quando l'anima sta bene. - Ed è proprio di questo che si tratta dottore, - riprese a dire Emma che non si lasciava svolgere dalla sua fissazione. - C'è l'anima o non c'è?","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Io so che c'è. Lui dice di no: io dico di sì. Sentiamo voi, ecco -.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- No, badiamo - diss'io. - La questione non è proprio qui. Io non voglio passare per materialista... - Ma se lo sei, Dio Buono!","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- Adagio. Il dottore mi intende. Anche i medici sono un po' come me; un poco o molto non importa.","YES"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","A certe cose io non vado in fondo, nessuno di noi va in fondo. Ci basta di credere a quel che vediamo... - E a quel che sentiamo, no? - Anche a quello, bambina mia; anche il sentimento è una cosa che si vede, che è tangibile nei suoi effetti, che si spiega egregiamente con le funzione dell'organismo.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Parlo da profano, si sa: il dottore ha tutte le ragioni di sorridere sotto i baffi e dietro gli occhiali. Io dico dunque che, in punto di materialismo, non tocca a me pronunziare una sentenza terminativa. Né a me, né a tanti altri.","YES"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","La scienza assoda i fatti, noi gli accettiamo. Ecco tutto. In somma, sono e non sono materialista -.","YES"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Il dottore disse semplicemente: - Siete e non siete - e crollava il capo e seguitava a sorridere. - Di molte cose oggi si può dire lo stesso, di molti uomini anche; e di moltissime opinioni. - Al Parlamento, per esempio?","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- Lasciamo andare; ne torno or ora. Ma non si può dire lo stesso dell'anima. L'anima c'è o non c'è.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- E la scienza che dice? - Che non c'è. - E voi?...","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- Il dottore tacque e restò pensoso. Emma lo fisava con quegli occhi profondi e chiari che il viso pallido e smagrito pareva ingrandire. Era ansiosa; anticipava la parola di lui.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","- Sedete, dottore - pregò. - No, grazie - rispose egli -. Ne parleremo un'altra volta.","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Per ora lasciatemi andare. Non mi piace fermarmi su certe questioni. - Perché?","NO"
"Verdinois_Federigo-Racconti_Inverisimili_Di_Picche-1886","Verdinois Federigo","Racconti Inverisimili Di Picche","1886","Perché? sentiamo il perché, dottore; fatemi a me questo piacere -. Non è facile resistere a un desiderio di Emma.","YES"
