"filename","nome","titolo","anno","chunk","DIL"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Avevo visto una capinera chiusa in gabbia: era timida, triste, malaticcia ci guardava con occhio spaventato; si rifuggiava in un angolo della sua gabbia, e allorché udiva il canto allegro degli altri uccelletti che cinguettavano sul verde del prato o nell'azzurro del cielo, li seguiva con uno sguardo che avrebbe potuto dirsi pieno di lagrime. Ma non osava ribellarsi, non osava tentare il rompere il fil di ferro che la teneva carcerata, la povera prigioniera. Eppure i suoi custodi, le volevano bene, cari bambini che si trastullavano col suo dolore e le pagavano la sua malinconia con miche di pane e con parole gentili.","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","La povera capinera cercava rassegnarsi, la meschinella; non era cattiva; non voleva rimproverarli neanche col suo dolore, poiché tentava di beccare tristamente quel miglio e quelle miche di pane; ma non poteva inghiottirle. Dopo due giorni chinò la testa sotto l'ala e l'indomani fu trovata stecchita nella sua prigione. Era morta, povera capinera!","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Eppure il suo scodellino era pieno. Era morta perché in quel corpicino c'era qualche cosa che non si nutriva soltanto di miglio, e che soffriva qualche cosa oltre la fame e la sete. Allorché la madre dei due bimbi, innocenti e spietati carnefici del povero uccelletto, mi narrò la storia di un'infelice di cui le mura del chiostro avevano imprigionato il corpo, e la superstizione e l'amore avevano torturato lo spirito: una di quelle intime storie, che passano inosservate tutti i giorni, storia di un cuore tenero, timido, che aveva amato e pianto e pregato senza osare di far scorgere le sue lagrime o di far sentire la sua preghiera, che infine si era chiuso nel suo dolore ed era morto; io pensai alla povera capinera che guardava il cielo attraverso le gretole della sua prigione, che non cantava, che beccava tristamente il suo miglio, che aveva piegato la testolina sotto l'ala ed era morta.","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Ecco perché l'ho intitolata: Storia di una capinera. Monte Ilice, 3 Settembre 1854 Mia cara Marianna.","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Avevo promesso di scriverti ed ecco come tengo la mia promessa! In venti giorni che son qui, a correr pei campi, sola! tutta sola!","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","intendi? dallo spuntar del sole insino a sera, a sedermi sull'erba sotto questi immensi castagni, ad ascoltare il canto degli uccelletti che sono allegri, saltellano come me e ringraziano il buon Dio, non ho trovato un minuto, un piccolo minuto, per dirti che ti voglio bene cento volte dippiù adesso che son lontana da te e che non ti ho più accanto ad ogni ora del giorno come laggiù, al convento. Quanto sarei felice se tu fossi qui, con me, a raccogliere fiorellini, ad inseguire le farfalle, a fantasticare all'ombra di questi alberi, allorché il sole è più cocente, a passeggiare abbracciate in queste belle sere, al lume di luna, senz'altro rumore che il ronzìo degli insetti, che mi sembra melodioso perché mi dice che sono in campagna, in piena aria libera, e il canto di quell'uccello malinconico di cui non so il nome, ma che mi fa venire agli occhi lagrime dolcissime quando la sera sto ad ascoltarlo dalla mia finestra.","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Com'è bella la campagna, Marianna mia! Se tu fossi qui, con me! Se tu potessi vedere codesti monti, al chiaro di luna o al sorger del sole, e le grandi ombre dei boschi, e l'azzurro del cielo, e il verde delle vigne che si nascondono nelle valli e circondano le casette, e quel mare ceruleo, immenso, che luccica laggiù, lontan lontano, e tutti quei villaggi che si arrampicano sul pendìo dei monti, che sono grandi e sembrano piccini accanto alla maestà del nostro Mongibello!","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Se vedessi com'è bello da vicino il nostro Etna! Dal belvedere del convento si vedeva come un gran monte isolato, colla cima sempre coperta di neve; adesso io conto le vette di tutti i codesti monticelli che gli fanno corona, scorgo le sue valli profonde, le sue pendici boschive, la sua vetta superba su cui la neve, diramandosi pei burroni, disegna immensi solchi bruni. Tutto qui è bello, l'aria, la luce, il cielo, gli alberi, i monti, le valli, il mare!","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Allorché ringrazio il Signore di tutte queste belle cose, io lo faccio con una parola, con una lagrima, con uno sguardo, sola in mezzo ai campi inginocchiata sul musco dei boschi o seduta sull'erba. Ma mi pare che il buon Dio debba esserne più contento perché lo ringrazio con tutta l'anima, e il mio pensiero non è imprigionato sotto le oscure volte del coro, ma si stende per le ombre maestose di questi boschi, e per tutta l'immensità di questo cielo e di quest'orizzonte. Ci chiamano le elette perché siamo destinate a divenire spose del Signore: ma il buon Dio non ha forse fatto per tutti queste belle cose?","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","E perché soltanto le sue spose dovrebbero esserne prive? Come son felice, mio Dio! Ti rammenti di Rosalia la quale voleva provarci che il mondo fosse più bello al di fuori del nostro convento?","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Non sapevamo persuadercene, ti ricordi? e le davamo la berta! se non fossi uscita dal convento non avrei mai creduto che Rosalia potesse aver ragione.","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Il nostro mondo era ben ristretto: l'altarino, quei poveri fiori che intristivano nei vasi privi d'aria. il belvedere dal quale vedevasi un mucchio di tetti, e poi da lontano, come in una lanterna magica, la campagna, il mare e tutte le belle cose create da Dio, il nostro piccolo giardino, che par fatto a posta per lasciar scorgere i muri claustrali al disopra degli alberi, e che si percorre tutto in cento passi, ove ci si permetteva di passeggiare per un'ora sotto la sorveglianza della Direttrice, ma senza poter correre e trastullarci... ecco tutto! E poi, vedi... io non so facevamo bene a non pensare un poco di più alla nostra famiglia!","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Io sono la più disgraziata di tutte le educande, è vero, perché ho perduto la mamma!... Ma ora sento che amo il mio babbo assai più della Madre Direttrice, delle mie consorelle e del mio confessore; sento che io l'amo con più confidenza, con maggior tenerezza il mio caro babbo, sebbene possa dire di non conoscerlo intimamente che da venti giorni. Tu sai che io fui chiusa in convento quando non toccavo ancora i sette anni, allorché la mia povera mamma mi lasciò sola!...","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Mi dissero che mi davano un'altra famiglia, delle altre madri che mi avrebbero voluto bene... È vero, sì... ma l'amore che ho per mio padre mi fa comprendere che ben diverso sarebbe stato l'affetto della povera madre mia. Tu non puoi immaginarti quello che io provo dentro di me allorché il mio caro babbo mi dà il buon giorno e mi abbraccia! Nessuno ci abbracciava mai laggiù, tu lo sai, Marianna!...","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","la regola lo proibisce... Eppure non mi pare che ci sia male a sentirsi così amate... La mia matrigna è un'eccellente donna, perché non si occupa che di Giuditta e di Gigi, e mi lascia correre per le vigne a mio bell'agio.","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Mio Dio! se mi proibisse di saltellare pei campi come lo proibisce ai suoi figli sotto pretesto di evitare il pericolo di una caduta o di un colpo di sole... sarei molto infelice, non è vero? Ma probabilmente è più buona e più indulgente verso di me, perché sa che non potrò godermi tutti questi divertimenti per molto tempo, e che poi tornerò ad esser chiusa fra quattro mura...","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Intanto non pensiamo a quelle brutte cose. Adesso sono allegra, felice, e mi stupisco come tutta gente abbia paura e maledica il coléra... Benedetto coléra che mi fa star qui, in campagna! Se durasse tutto l'anno!","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","No, io ho torto! Perdonami, Marianna. Chi sa quanta povera gente piange mentre io rido e mi diverto!...","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Mio Dio! bisogna che io sia ben disgraziata se non devo esser felice che allorquando tutti gli altri soffrono! Non mi dire che son cattiva; vorrei esser soltanto come tutti gli altri, nulla di più, e godere coteste benedizioni che il Signore ha date a tutti: l'aria, la luce, la libertà!","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Vedi come la mia lettera si è fatta triste senza che io me ne avvedessi! Non ci badare, Marianna. Salta a pie' pari questo periodo sul tiro una bella croce, così...","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Ora in compenso ti farò vedere la nostra graziosa casetta. Tu non sei mai stata a Monte Ilice, poverina! Che idea fu mai quella dei tuoi genitori d'andarti a seppellire in Mascalucia?","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Un villaggio!... delle case addossate ad altre case. delle vie, delle chiese!...","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Ne abbiamo visto anche troppe. Bisognava venire qui in campagna, fra i monti, ove per andare all'abitazione più vicina bisogna correre per le vigne, saltar fossati, scavalcar muricciuoli, ove non si ode né rumor di carrozze, né suon di campane, né voci di estranei, di gente indifferente. Questa è campagna!","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Noi abitiamo una bella casetta posta sul pendio della collina, fra le vigne, al limite del castagneto. Una casetta piccina piccina, sai; ma così ariosa, allegra, ridente. Da tutte le porte, da tutte le finestre si vede la campagna, i monti, gli alberi, il cielo, e non già muri, quei tristi muri anneriti!","NO"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Sul davanti c'è una piccola spianata e un gruppo di castagni che coprono il tetto con un ombrello di rami e di foglie, fra le quali gli uccelletti cinguettano tutto il santo giorno senza stancarsi mai. Io occupo un amore di cameretta, capace appena del mio letto, un una bella finestra che dà sul castagneto. Giuditta, mia sorella, dorme in una bella camera grande, accanto alla mia, ma io non darei il mio scatolino, come la chiama celiando il babbo, per la sua bella camera; e poi ella ha bisogno di molto spazio per tutte le sue vesti e i suoi cappellini, mentre io, allorché ho piegato la mia tonaca su di una seggiola ai piedi del letto, ho fatto tutto.","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Ma la sera, quando dalla finestra ascolto lo stormire di tutte quelle fronde, e fra quelle ombre, che assumono forme fantastiche, veggo un raggio di luna agitarsi fra i rami come uno spettro bianco, e ascolto quell'usignolo che gorgheggia lontano lontano, mi si popola la mente di tante fantasie, di tanti sogni, di tante dolcezze, che se non avessi paura, aspetterei volentieri il giorno alla finestra. Dall'altra parte della spianata c'è una bella capannuccia col tetto di paglia e di giunchi, ove abita la famigliuola del castaldo. Se vedessi la bella capanna, com'è piccina ma pulita!","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","come tutto vi è in ordine e ben tenuto! La culla del bimbo, il pagliericcio, il deschetto! Per quella capannuccia sì che darei il mio stanzino.","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Mi pare che cotesta famigliuola, riunita in due passi di terreno, debba amarsi dippiù ed essere maggiormente felice; mi pare che tutte quelle affezioni, circoscritte fra quelle strette pareti, debbano essere più intime, più complete; il cuore commosso e quasi sbalordito dal cotidiano spettacolo di codesto orizzonte ch'è grande, debba trovare un gaudio, un conforto nel ripiegarsi in sé stesso, nel rinchiudersi fra le sue affezioni, nel circoscriversi in un piccolo spazio, fra i pochi oggetti che formano la parte più intima di sé stesso, e che debba sentirsi più completo, trovandosi più vicino ad essi. Che ti scrivo, che ti scrivo mai, Marianna?... Tu riderai di me, e di darai del Sant'Agostino in gonnella.","YES"
"Verga_Giovanni-Storia_Di_Una_Capinera-1871","Verga Giovanni","Storia Di Una Capinera","1871","Perdonami, mia cara, ho il cuore così pieno che senza accorgermene cedo al bisogno di comunicarti tutte le nuove emozioni che provo. Nei primi giorni che uscii dal convento e venni qui, ero sbalordita, astratta, trasognata, come trasportata in un mondo nuovo; tutto mi turbava, tutto mi confondeva. Immaginati un cieco nato che per miracolo riacquisti la vista!","NO"
