"filename","nome","titolo","anno","chunk","DIL"
"Vertua_Gentile_Anna-Angelita-1905","Vertua Gentile Anna","Angelita","1905","﻿A LA GENTILE, CARA SIGNORINA IDA PERTI IN RICORDO ANGELITA Seduto a la piccola tavola, di sotto il platano che dava ombria a la casa, Roberto Noli, il medico del paese, leggiucchiava il giornale aspettando il desinare. Era appena tornato dal suo giro in montagna, per frazioni e casolari sparsi; giro faticoso in quella stagione che il sole scottava nell’aria afosa. La giacchetta scura e attillata modellava il suo busto d’uomo giovine e forte e dava risalto al volto dai lineamenti regolari, i baffi biondi, gli occhi grandi azzurri.","NO"
"Vertua_Gentile_Anna-Angelita-1905","Vertua Gentile Anna","Angelita","1905","Nel silenzio si sentiva lo scrosciare monotono dell’onda morta contro il muro del giardinetto; ad ogni poco la voce di chi passava lungo la via, su cui aprivasi l’entrata della casa; un rapido fracasso di ruote su l’acciottolato; il lontano toccheggiare di qualche chiesuola. Roberto Noli aveva fame. Leggiucchiando pregustava il piacere del modesto desinare; già due volte aveva sollecitato con voce il domestico perchè si spicciasse.","NO"
"Vertua_Gentile_Anna-Angelita-1905","Vertua Gentile Anna","Angelita","1905","E Andrea posava appunto la zuppiera fumante su la mensa, quando un tintinnìo speciale annunciò l’arrivo d’una bicicletta e subito si sentì squillare il campanello. Padrone e servitore si rabbruscarono. Chi poteva essere?...","YES"
"Vertua_Gentile_Anna-Angelita-1905","Vertua Gentile Anna","Angelita","1905","Venivano per il medico?... E il povero medico che cascava di fame! Drrrrrrrin!","YES"
"Vertua_Gentile_Anna-Angelita-1905","Vertua Gentile Anna","Angelita","1905","C’era dell’impazienza in quella sonata di campanello. — Vengo! — disse forte Andrea.","NO"
"Vertua_Gentile_Anna-Angelita-1905","Vertua Gentile Anna","Angelita","1905","E andò ad aprire, scotendo il capo in atto di malcontento. Apparve subito su la soglia dell’uscio a vetrate una strana figura di fanciulla, in succinto costume di ciclista, con il berretto bianco a visiera su i capelli d’un bellissimo castano dorato, sfuggenti a ciocche dal grosso nodo puntato su la nuca. — Il dottore?","NO"
"Vertua_Gentile_Anna-Angelita-1905","Vertua Gentile Anna","Angelita","1905","— chiese con ansia. Roberto Noli scattò ritto, e si inchinò. — È lei?","NO"
"Vertua_Gentile_Anna-Angelita-1905","Vertua Gentile Anna","Angelita","1905","Nella voce fresca trillò una nota di sollievo. Si avanzò di alcuni passi spiccando nella luce rossa del tramonto, con la svelta figurina alta e aggraziata. — Sono caduta dalla macchina, — disse sforzandosi di levare dal taschino della attillata sottana la mano sinistra.","NO"
"Vertua_Gentile_Anna-Angelita-1905","Vertua Gentile Anna","Angelita","1905","Nello sforzo le sfuggì un piccolo gemito di dolore e si fece pallida. — Ho urtato contro il tronco d’una pianta; il male è qui! — soggiunse, toccando il polso della mano sempre sprofondata nel taschino.","NO"
"Vertua_Gentile_Anna-Angelita-1905","Vertua Gentile Anna","Angelita","1905","Il dottore invitò la fanciulla a sedere e con riguardo trasse la mano dalla tasca; una manina piccola, bianca, dalle dita affusolate e le unghie rosee, che tremava di spasimo e pendeva inerte dal polso. A ogni lieve pressione del dottore, un piccolo gemito usciva dalle labbra scolorite della poverina. Roberto Noli ordinò a Andrea che portasse un bicchierino di cedro e pregò la fanciulla che lo bevesse.","NO"
